County,state,value,range,year
Pennington,MN,21.6,12.2 - 32.5 (632),2012-2014
Platte,WY,21.6,12.2 - 32.5 (632),2012-2014
Lincoln,OR,21.7,12.2 - 32.5 (632),2012-2014
Power,ID,21.7,12.2 - 32.5 (632),2012-2014
Franklin,ID,21.8,12.2 - 32.5 (632),2012-2014
Lac qui Parle,MN,21.8,12.2 - 32.5 (632),2012-2014
Ferry,WA,21.8,12.2 - 32.5 (632),2012-2014
Morrow,OR,21.9,12.2 - 32.5 (632),2012-2014
Bowman,ND,21.9,12.2 - 32.5 (632),2012-2014
Kauai,HI,21.9,12.2 - 32.5 (632),2012-2014
Moffat,CO,21.9,12.2 - 32.5 (632),2012-2014
Huerfano,CO,22.1,12.2 - 32.5 (632),2012-2014
Santa Fe,NM,22.1,12.2 - 32.5 (632),2012-2014
Clatsop,OR,22.1,12.2 - 32.5 (632),2012-2014
Traverse,MN,22.2,12.2 - 32.5 (632),2012-2014
Hand,SD,22.2,12.2 - 32.5 (632),2012-2014
Brewster,TX,22.2,12.2 - 32.5 (632),2012-2014
Carolina,PR,22.3,12.2 - 32.5 (632),2012-2014
Nuckolls,NE,22.3,12.2 - 32.5 (632),2012-2014
Sheridan,NE,22.3,12.2 - 32.5 (632),2012-2014
Macon,NC,22.3,12.2 - 32.5 (632),2012-2014
Las Animas,CO,22.3,12.2 - 32.5 (632),2012-2014
Nome,AK,22.3,12.2 - 32.5 (632),2012-2014
North Slope,AK,22.4,12.2 - 32.5 (632),2012-2014
Adams,ID,22.4,12.2 - 32.5 (632),2012-2014
Clayton,IA,22.4,12.2 - 32.5 (632),2012-2014
Wadena,MN,22.4,12.2 - 32.5 (632),2012-2014
Dukes,MA,22.4,12.2 - 32.5 (632),2012-2014
Caledonia,VT,22.4,12.2 - 32.5 (632),2012-2014
Stanley,SD,22.5,12.2 - 32.5 (632),2012-2014
Buena Vista,IA,22.5,12.2 - 32.5 (632),2012-2014
Campbell,SD,22.6,12.2 - 32.5 (632),2012-2014
Richland,WI,22.7,12.2 - 32.5 (632),2012-2014
Big Horn,WY,22.7,12.2 - 32.5 (632),2012-2014
Butte,ID,22.7,12.2 - 32.5 (632),2012-2014
Bingham,ID,22.8,12.2 - 32.5 (632),2012-2014
Lyon,MN,22.8,12.2 - 32.5 (632),2012-2014
Union,NM,22.8,12.2 - 32.5 (632),2012-2014
Polk,WI,22.8,12.2 - 32.5 (632),2012-2014
Carbon,WY,22.9,12.2 - 32.5 (632),2012-2014
Kimble,TX,22.9,12.2 - 32.5 (632),2012-2014
Sheridan,MT,22.9,12.2 - 32.5 (632),2012-2014
Prowers,CO,22.9,12.2 - 32.5 (632),2012-2014
Teller,CO,23.0,12.2 - 32.5 (632),2012-2014
Lewis,ID,23.0,12.2 - 32.5 (632),2012-2014
Arlington,VA,23.0,12.2 - 32.5 (632),2012-2014
Sawyer,WI,23.0,12.2 - 32.5 (632),2012-2014
Okanogan,WA,23.1,12.2 - 32.5 (632),2012-2014
Scott,KS,23.1,12.2 - 32.5 (632),2012-2014
Caribou,ID,23.1,12.2 - 32.5 (632),2012-2014
Sierra,CA,23.1,12.2 - 32.5 (632),2012-2014
Gosper,NE,23.1,12.2 - 32.5 (632),2012-2014
Chase,NE,23.1,12.2 - 32.5 (632),2012-2014
Ravalli,MT,23.2,12.2 - 32.5 (632),2012-2014
Wilkin,MN,23.2,12.2 - 32.5 (632),2012-2014
Randolph,GA,23.2,12.2 - 32.5 (632),2012-2014
Hodgeman,KS,23.2,12.2 - 32.5 (632),2012-2014
Hodgeman,KS,23.2,12.2 - 32.5 (632),2012-2014
Custer,NE,23.3,12.2 - 32.5 (632),2012-2014
Humboldt,NV,23.3,12.2 - 32.5 (632),2012-2014
McIntosh,ND,23.4,12.2 - 32.5 (632),2012-2014
Williams,ND,23.4,12.2 - 32.5 (632),2012-2014
Boone,NE,23.4,12.2 - 32.5 (632),2012-2014
Kimball,NE,23.4,12.2 - 32.5 (632),2012-2014
Fajardo,PR,23.4,12.2 - 32.5 (632),2012-2014
Roberts,SD,23.4,12.2 - 32.5 (632),2012-2014
Gregory,SD,23.4,12.2 - 32.5 (632),2012-2014
Coos,NH,23.5,12.2 - 32.5 (632),2012-2014
Griggs,ND,23.5,12.2 - 32.5 (632),2012-2014
Monona,IA,23.5,12.2 - 32.5 (632),2012-2014
Montgomery,IA,23.6,12.2 - 32.5 (632),2012-2014
Teton,ID,23.6,12.2 - 32.5 (632),2012-2014
Potter,SD,23.6,12.2 - 32.5 (632),2012-2014
Waupaca,WI,23.6,12.2 - 32.5 (632),2012-2014
Merrick,NE,23.7,12.2 - 32.5 (632),2012-2014
Cherry,NE,23.7,12.2 - 32.5 (632),2012-2014
Pondera,MT,23.7,12.2 - 32.5 (632),2012-2014
Valley,MT,23.7,12.2 - 32.5 (632),2012-2014
Ramsey,ND,23.8,12.2 - 32.5 (632),2012-2014
Lincoln,NM,23.9,12.2 - 32.5 (632),2012-2014
Stevens,WA,23.9,12.2 - 32.5 (632),2012-2014
Catano,PR,23.9,12.2 - 32.5 (632),2012-2014
Addison,VT,24.0,12.2 - 32.5 (632),2012-2014
Jeff Davis,TX,24.0,12.2 - 32.5 (632),2012-2014
Towner,ND,24.0,12.2 - 32.5 (632),2012-2014
Brown,NE,24.0,12.2 - 32.5 (632),2012-2014
Swift,MN,24.1,12.2 - 32.5 (632),2012-2014
La Plata,CO,24.1,12.2 - 32.5 (632),2012-2014
Madison,IA,24.2,12.2 - 32.5 (632),2012-2014
Pershing,NV,24.2,12.2 - 32.5 (632),2012-2014
Transylvania,NC,24.2,12.2 - 32.5 (632),2012-2014
Beadle,SD,24.2,12.2 - 32.5 (632),2012-2014
Gurabo,PR,24.2,12.2 - 32.5 (632),2012-2014
Loiza,PR,24.2,12.2 - 32.5 (632),2012-2014
Asotin,WA,24.2,12.2 - 32.5 (632),2012-2014
Goshen,WY,24.2,12.2 - 32.5 (632),2012-2014
Haakon,SD,24.3,12.2 - 32.5 (632),2012-2014
Burke,ND,24.3,12.2 - 32.5 (632),2012-2014
Lake,MT,24.3,12.2 - 32.5 (632),2012-2014
Lyon,IA,24.3,12.2 - 32.5 (632),2012-2014
Cheyenne,KS,24.3,12.2 - 32.5 (632),2012-2014
Nemaha,KS,24.3,12.2 - 32.5 (632),2012-2014
Nemaha,KS,24.3,12.2 - 32.5 (632),2012-2014
Red Willow,NE,24.4,12.2 - 32.5 (632),2012-2014
Sargent,ND,24.4,12.2 - 32.5 (632),2012-2014
Tillamook,OR,24.4,12.2 - 32.5 (632),2012-2014
Harlan,NE,24.5,12.2 - 32.5 (632),2012-2014
Howard,NE,24.6,12.2 - 32.5 (632),2012-2014
Oxford,ME,24.6,12.2 - 32.5 (632),2012-2014
Fall River,SD,24.6,12.2 - 32.5 (632),2012-2014
Walworth,SD,24.6,12.2 - 32.5 (632),2012-2014
Grant,SD,24.7,12.2 - 32.5 (632),2012-2014
Miner,SD,24.7,12.2 - 32.5 (632),2012-2014
Greeley,NE,24.7,12.2 - 32.5 (632),2012-2014
Perkins,NE,24.7,12.2 - 32.5 (632),2012-2014
Shelby,IA,24.7,12.2 - 32.5 (632),2012-2014
Osborne,KS,24.8,12.2 - 32.5 (632),2012-2014
Delaware,IA,24.8,12.2 - 32.5 (632),2012-2014
Lincoln,CO,24.8,12.2 - 32.5 (632),2012-2014
Catron,NM,24.8,12.2 - 32.5 (632),2012-2014
Sanpete,UT,24.8,12.2 - 32.5 (632),2012-2014
Niobrara,WY,24.8,12.2 - 32.5 (632),2012-2014
Island,WA,24.9,12.2 - 32.5 (632),2012-2014
Graham,KS,24.9,12.2 - 32.5 (632),2012-2014
Chouteau,MT,25.0,12.2 - 32.5 (632),2012-2014
Chippewa,MN,25.0,12.2 - 32.5 (632),2012-2014
Vega Alta,PR,25.0,12.2 - 32.5 (632),2012-2014
San Juan,PR,25.0,12.2 - 32.5 (632),2012-2014
Brule,SD,25.1,12.2 - 32.5 (632),2012-2014
Los Alamos,NM,25.1,12.2 - 32.5 (632),2012-2014
Lander,NV,25.1,12.2 - 32.5 (632),2012-2014
Traill,ND,25.2,12.2 - 32.5 (632),2012-2014
Socorro,NM,25.3,12.2 - 32.5 (632),2012-2014
Aitkin,MN,25.3,12.2 - 32.5 (632),2012-2014
Burt,NE,25.3,12.2 - 32.5 (632),2012-2014
Santa Cruz,AZ,25.3,12.2 - 32.5 (632),2012-2014
Meade,SD,25.3,12.2 - 32.5 (632),2012-2014
Millard,UT,25.3,12.2 - 32.5 (632),2012-2014
Dickinson,KS,25.4,12.2 - 32.5 (632),2012-2014
Brown,MN,25.4,12.2 - 32.5 (632),2012-2014
Stark,ND,25.4,12.2 - 32.5 (632),2012-2014
Iron,MI,25.5,12.2 - 32.5 (632),2012-2014
Sac,IA,25.5,12.2 - 32.5 (632),2012-2014
Butte,SD,25.5,12.2 - 32.5 (632),2012-2014
Guaynabo,PR,25.5,12.2 - 32.5 (632),2012-2014
San Juan,WA,25.5,12.2 - 32.5 (632),2012-2014
Garfield,WA,25.5,12.2 - 32.5 (632),2012-2014
Grant,WI,25.5,12.2 - 32.5 (632),2012-2014
Tripp,SD,25.6,12.2 - 32.5 (632),2012-2014
Lincoln,KS,25.6,12.2 - 32.5 (632),2012-2014
Cass,IA,25.6,12.2 - 32.5 (632),2012-2014
Baraga,MI,25.6,12.2 - 32.5 (632),2012-2014
Kiowa,KS,25.7,12.2 - 32.5 (632),2012-2014
Garfield,CO,25.7,12.2 - 32.5 (632),2012-2014
Benewah,ID,25.7,12.2 - 32.5 (632),2012-2014
Summit,CO,25.7,12.2 - 32.5 (632),2012-2014
Yoakum,TX,25.7,12.2 - 32.5 (632),2012-2014
Crawford,WI,25.8,12.2 - 32.5 (632),2012-2014
Rio Blanco,CO,25.8,12.2 - 32.5 (632),2012-2014
Fremont,CO,25.8,12.2 - 32.5 (632),2012-2014
Jefferson,NE,25.8,12.2 - 32.5 (632),2012-2014
Cibola,NM,25.8,12.2 - 32.5 (632),2012-2014
Pope,MN,25.9,12.2 - 32.5 (632),2012-2014
Carbon,MT,26.0,12.2 - 32.5 (632),2012-2014
Worth,MO,26.0,12.2 - 32.5 (632),2012-2014
Phillips,CO,26.0,12.2 - 32.5 (632),2012-2014
Clearwater,ID,26.0,12.2 - 32.5 (632),2012-2014
Marion,GA,26.0,12.2 - 32.5 (632),2012-2014
Columbia,WA,26.0,12.2 - 32.5 (632),2012-2014
Adams,WA,26.0,12.2 - 32.5 (632),2012-2014
Jackson,WI,26.1,12.2 - 32.5 (632),2012-2014
Monroe,WI,26.1,12.2 - 32.5 (632),2012-2014
Dorado,PR,26.1,12.2 - 32.5 (632),2012-2014
Honolulu,HI,26.1,12.2 - 32.5 (632),2012-2014
Ouray,CO,26.1,12.2 - 32.5 (632),2012-2014
Marin,CA,26.1,12.2 - 32.5 (632),2012-2014
Marin,CA,26.1,12.2 - 32.5 (632),2012-2014
Monroe,IN,26.1,12.2 - 32.5 (632),2012-2014
Redwood,MN,26.1,12.2 - 32.5 (632),2012-2014
Carroll,NH,26.2,12.2 - 32.5 (632),2012-2014
LaMoure,ND,26.2,12.2 - 32.5 (632),2012-2014
Walsh,ND,26.2,12.2 - 32.5 (632),2012-2014
Benton,OR,26.2,12.2 - 32.5 (632),2012-2014
Lawrence,IN,26.2,12.2 - 32.5 (632),2012-2014
Chickasaw,IA,26.2,12.2 - 32.5 (632),2012-2014
Saguache,CO,26.2,12.2 - 32.5 (632),2012-2014
Arroyo,PR,26.2,12.2 - 32.5 (632),2012-2014
Pacific,WA,26.3,12.2 - 32.5 (632),2012-2014
Lawrence,SD,26.3,12.2 - 32.5 (632),2012-2014
Deuel,SD,26.3,12.2 - 32.5 (632),2012-2014
Mesa,CO,26.3,12.2 - 32.5 (632),2012-2014
Kossuth,IA,26.3,12.2 - 32.5 (632),2012-2014
Monroe,IA,26.3,12.2 - 32.5 (632),2012-2014
Wheatland,MT,26.3,12.2 - 32.5 (632),2012-2014
Polk,NC,26.4,12.2 - 32.5 (632),2012-2014
Sullivan,NH,26.4,12.2 - 32.5 (632),2012-2014
Norton,KS,26.4,12.2 - 32.5 (632),2012-2014
San Mateo,CA,26.4,12.2 - 32.5 (632),2012-2014
Santa Barbara,CA,26.4,12.2 - 32.5 (632),2012-2014
Iowa,WI,26.4,12.2 - 32.5 (632),2012-2014
San Juan,UT,26.5,12.2 - 32.5 (632),2012-2014
Eagle,CO,26.5,12.2 - 32.5 (632),2012-2014
Oneida,ID,26.5,12.2 - 32.5 (632),2012-2014
Winston,MS,26.5,12.2 - 32.5 (632),2012-2014
Prairie,MT,26.6,12.2 - 32.5 (632),2012-2014
York,NE,26.6,12.2 - 32.5 (632),2012-2014
Rio Arriba,NM,26.6,12.2 - 32.5 (632),2012-2014
Wayne,IA,26.6,12.2 - 32.5 (632),2012-2014
Washington,CO,26.6,12.2 - 32.5 (632),2012-2014
Washington,CO,26.6,12.2 - 32.5 (632),2012-2014
Ashland,WI,26.7,12.2 - 32.5 (632),2012-2014
Custer,SD,26.7,12.2 - 32.5 (632),2012-2014
Modoc,CA,26.7,12.2 - 32.5 (632),2012-2014
Lincoln,ID,26.7,12.2 - 32.5 (632),2012-2014
Mahaska,IA,26.7,12.2 - 32.5 (632),2012-2014
Marion,IA,26.7,12.2 - 32.5 (632),2012-2014
Dunn,ND,26.7,12.2 - 32.5 (632),2012-2014
Broadwater,MT,26.7,12.2 - 32.5 (632),2012-2014
Wilkinson,MS,26.7,12.2 - 32.5 (632),2012-2014
Benson,ND,26.8,12.2 - 32.5 (632),2012-2014
Ness,KS,26.8,12.2 - 32.5 (632),2012-2014
Yolo,CA,26.8,12.2 - 32.5 (632),2012-2014
Maui,HI,26.8,12.2 - 32.5 (632),2012-2014
Plumas,CA,26.9,12.2 - 32.5 (632),2012-2014
San Luis Obispo,CA,26.9,12.2 - 32.5 (632),2012-2014
Juneau,AK,26.9,12.2 - 32.5 (632),2012-2014
Grant,KS,26.9,12.2 - 32.5 (632),2012-2014
Grant,WV,26.9,12.2 - 32.5 (632),2012-2014
Kittitas,WA,27.0,12.2 - 32.5 (632),2012-2014
Comanche,KS,27.0,12.2 - 32.5 (632),2012-2014
Thayer,NE,27.0,12.2 - 32.5 (632),2012-2014
Nance,NE,27.0,12.2 - 32.5 (632),2012-2014
Seward,NE,27.1,12.2 - 32.5 (632),2012-2014
Cheyenne,CO,27.1,12.2 - 32.5 (632),2012-2014
Lexington,VA,27.1,12.2 - 32.5 (632),2012-2014
Lexington,VA,27.1,12.2 - 32.5 (632),2012-2014
Pend Oreille,WA,27.2,12.2 - 32.5 (632),2012-2014
Mendocino,CA,27.2,12.2 - 32.5 (632),2012-2014
Stutsman,ND,27.2,12.2 - 32.5 (632),2012-2014
McCone,MT,27.2,12.2 - 32.5 (632),2012-2014
Box Butte,NE,27.3,12.2 - 32.5 (632),2012-2014
Kittson,MN,27.3,12.2 - 32.5 (632),2012-2014
Payette,ID,27.3,12.2 - 32.5 (632),2012-2014
Meade,KS,27.4,12.2 - 32.5 (632),2012-2014
Delta,MI,27.4,12.2 - 32.5 (632),2012-2014
Meagher,MT,27.4,12.2 - 32.5 (632),2012-2014
Roosevelt,MT,27.4,12.2 - 32.5 (632),2012-2014
Juab,UT,27.4,12.2 - 32.5 (632),2012-2014
Mason,WA,27.5,12.2 - 32.5 (632),2012-2014
Rock,MN,27.5,12.2 - 32.5 (632),2012-2014
Washington,KS,27.5,12.2 - 32.5 (632),2012-2014
Lucas,IA,27.5,12.2 - 32.5 (632),2012-2014
Sonoma,CA,27.5,12.2 - 32.5 (632),2012-2014
Clarke,IA,27.6,12.2 - 32.5 (632),2012-2014
Appanoose,IA,27.6,12.2 - 32.5 (632),2012-2014
Rooks,KS,27.6,12.2 - 32.5 (632),2012-2014
Edwards,KS,27.6,12.2 - 32.5 (632),2012-2014
Montgomery,MD,27.6,12.2 - 32.5 (632),2012-2014
Gallatin,MT,27.6,12.2 - 32.5 (632),2012-2014
Mercer,MO,27.6,12.2 - 32.5 (632),2012-2014
Grafton,NH,27.6,12.2 - 32.5 (632),2012-2014
Hormigueros,PR,27.6,12.2 - 32.5 (632),2012-2014
Kane,UT,27.6,12.2 - 32.5 (632),2012-2014
Davis,UT,27.6,12.2 - 32.5 (632),2012-2014
Summit,UT,27.6,12.2 - 32.5 (632),2012-2014
Deschutes,OR,27.7,12.2 - 32.5 (632),2012-2014
Wilson,KS,27.7,12.2 - 32.5 (632),2012-2014
Henry,IA,27.7,12.2 - 32.5 (632),2012-2014
Santa Clara,CA,27.7,12.2 - 32.5 (632),2012-2014
Ketchikan Gateway,AK,27.8,12.2 - 32.5 (632),2012-2014
Ringgold,IA,27.8,12.2 - 32.5 (632),2012-2014
Mercer,ND,27.8,12.2 - 32.5 (632),2012-2014
Pawnee,NE,27.8,12.2 - 32.5 (632),2012-2014
Hettinger,ND,27.9,12.2 - 32.5 (632),2012-2014
Kearney,NE,27.9,12.2 - 32.5 (632),2012-2014
Keith,NE,27.9,12.2 - 32.5 (632),2012-2014
Emmet,IA,27.9,12.2 - 32.5 (632),2012-2014
Shoshone,ID,27.9,12.2 - 32.5 (632),2012-2014
Conejos,CO,27.9,12.2 - 32.5 (632),2012-2014
Jefferson,CO,27.9,12.2 - 32.5 (632),2012-2014
Gillespie,TX,27.9,12.2 - 32.5 (632),2012-2014
Vernon,WI,28.0,12.2 - 32.5 (632),2012-2014
Golden Valley,ND,28.0,12.2 - 32.5 (632),2012-2014
Ashe,NC,28.1,12.2 - 32.5 (632),2012-2014
Ada,ID,28.1,12.2 - 32.5 (632),2012-2014
Wallace,KS,28.1,12.2 - 32.5 (632),2012-2014
Lafayette,WI,28.1,12.2 - 32.5 (632),2012-2014
Sherman,KS,28.2,12.2 - 32.5 (632),2012-2014
Rio Grande,CO,28.3,12.2 - 32.5 (632),2012-2014
Sheridan,ND,28.3,12.2 - 32.5 (632),2012-2014
Fillmore,NE,28.3,12.2 - 32.5 (632),2012-2014
Flathead,MT,28.3,12.2 - 32.5 (632),2012-2014
Toa Baja,PR,28.3,12.2 - 32.5 (632),2012-2014
Faulk,SD,28.4,12.2 - 32.5 (632),2012-2014
Phelps,NE,28.4,12.2 - 32.5 (632),2012-2014
Curry,OR,28.4,12.2 - 32.5 (632),2012-2014
Logan,ND,28.4,12.2 - 32.5 (632),2012-2014
Stevens,MN,28.5,12.2 - 32.5 (632),2012-2014
Koochiching,MN,28.5,12.2 - 32.5 (632),2012-2014
Kearny,KS,28.5,12.2 - 32.5 (632),2012-2014
Decatur,IA,28.5,12.2 - 32.5 (632),2012-2014
Wayne,UT,28.5,12.2 - 32.5 (632),2012-2014
San Lorenzo,PR,28.6,12.2 - 32.5 (632),2012-2014
Bonneville,ID,28.6,12.2 - 32.5 (632),2012-2014
Morrill,NE,28.6,12.2 - 32.5 (632),2012-2014
Renville,MN,28.7,12.2 - 32.5 (632),2012-2014
Taos,NM,28.7,12.2 - 32.5 (632),2012-2014
Washington,OK,28.7,12.2 - 32.5 (632),2012-2014
Umatilla,OR,28.7,12.2 - 32.5 (632),2012-2014
Haines,AK,28.7,12.2 - 32.5 (632),2012-2014
Saline,KS,28.7,12.2 - 32.5 (632),2012-2014
Washington,IA,28.7,12.2 - 32.5 (632),2012-2014
Caguas,PR,28.7,12.2 - 32.5 (632),2012-2014
Skamania,WA,28.7,12.2 - 32.5 (632),2012-2014
Plymouth,IA,28.8,12.2 - 32.5 (632),2012-2014
Smith,KS,28.8,12.2 - 32.5 (632),2012-2014
Greene,IA,28.8,12.2 - 32.5 (632),2012-2014
Park,CO,28.8,12.2 - 32.5 (632),2012-2014
El Paso,CO,28.9,12.2 - 32.5 (632),2012-2014
San Francisco,CA,28.9,12.2 - 32.5 (632),2012-2014
Jefferson,OR,28.9,12.2 - 32.5 (632),2012-2014
Dawson,NE,28.9,12.2 - 32.5 (632),2012-2014
Musselshell,MT,28.9,12.2 - 32.5 (632),2012-2014
Klickitat,WA,28.9,12.2 - 32.5 (632),2012-2014
Weber,UT,28.9,12.2 - 32.5 (632),2012-2014
Hansford,TX,28.9,12.2 - 32.5 (632),2012-2014
Box Elder,UT,29.0,12.2 - 32.5 (632),2012-2014
Cache,UT,29.0,12.2 - 32.5 (632),2012-2014
Ward,TX,29.0,12.2 - 32.5 (632),2012-2014
Morrison,MN,29.0,12.2 - 32.5 (632),2012-2014
Mitchell,IA,29.0,12.2 - 32.5 (632),2012-2014
Neosho,KS,29.1,12.2 - 32.5 (632),2012-2014
Douglas,CO,29.1,12.2 - 32.5 (632),2012-2014
Ontonagon,MI,29.1,12.2 - 32.5 (632),2012-2014
