County,state,value,range,year
Blaine,ID,12.2,12.2 - 32.5 (632),2012-2014
Kit Carson,CO,12.8,12.2 - 32.5 (632),2012-2014
Lemhi,ID,12.8,12.2 - 32.5 (632),2012-2014
Idaho,ID,13.7,12.2 - 32.5 (632),2012-2014
Hood River,OR,14.0,12.2 - 32.5 (632),2012-2014
Valley,ID,14.5,12.2 - 32.5 (632),2012-2014
Decatur,KS,14.6,12.2 - 32.5 (632),2012-2014
Essex,VT,14.7,12.2 - 32.5 (632),2012-2014
Gem,ID,15.2,12.2 - 32.5 (632),2012-2014
Grant,OR,15.3,12.2 - 32.5 (632),2012-2014
Adams,ND,15.3,12.2 - 32.5 (632),2012-2014
Richland,MT,15.3,12.2 - 32.5 (632),2012-2014
Grand,UT,15.3,12.2 - 32.5 (632),2012-2014
Beaverhead,MT,15.7,12.2 - 32.5 (632),2012-2014
Harney,OR,15.9,12.2 - 32.5 (632),2012-2014
Cloud,KS,16.0,12.2 - 32.5 (632),2012-2014
Orleans,VT,16.1,12.2 - 32.5 (632),2012-2014
Johnson,WY,16.2,12.2 - 32.5 (632),2012-2014
Sedgwick,CO,16.2,12.2 - 32.5 (632),2012-2014
Chaffee,CO,16.3,12.2 - 32.5 (632),2012-2014
Republic,KS,16.7,12.2 - 32.5 (632),2012-2014
Sweet Grass,MT,16.8,12.2 - 32.5 (632),2012-2014
Cassia,ID,17.0,12.2 - 32.5 (632),2012-2014
Yuma,CO,17.0,12.2 - 32.5 (632),2012-2014
Union,OR,17.1,12.2 - 32.5 (632),2012-2014
Park,MT,17.2,12.2 - 32.5 (632),2012-2014
Custer,MT,17.2,12.2 - 32.5 (632),2012-2014
Cheyenne,NE,17.2,12.2 - 32.5 (632),2012-2014
Lake,OR,17.3,12.2 - 32.5 (632),2012-2014
Foster,ND,17.3,12.2 - 32.5 (632),2012-2014
Jerauld,SD,17.3,12.2 - 32.5 (632),2012-2014
Mitchell,KS,17.4,12.2 - 32.5 (632),2012-2014
Dawes,NE,17.5,12.2 - 32.5 (632),2012-2014
Madison,MT,17.5,12.2 - 32.5 (632),2012-2014
Fallon,MT,17.6,12.2 - 32.5 (632),2012-2014
Baker,OR,17.6,12.2 - 32.5 (632),2012-2014
Fergus,MT,17.7,12.2 - 32.5 (632),2012-2014
Minidoka,ID,17.7,12.2 - 32.5 (632),2012-2014
Montezuma,CO,17.8,12.2 - 32.5 (632),2012-2014
Ceiba,PR,17.8,12.2 - 32.5 (632),2012-2014
Park,WY,17.9,12.2 - 32.5 (632),2012-2014
Gunnison,CO,17.9,12.2 - 32.5 (632),2012-2014
Cuming,NE,18.0,12.2 - 32.5 (632),2012-2014
Wallowa,OR,18.2,12.2 - 32.5 (632),2012-2014
Kodiak Island,AK,18.2,12.2 - 32.5 (632),2012-2014
Lincoln,WY,18.3,12.2 - 32.5 (632),2012-2014
Douglas,SD,18.4,12.2 - 32.5 (632),2012-2014
Washington,ID,18.5,12.2 - 32.5 (632),2012-2014
Liberty,MT,18.5,12.2 - 32.5 (632),2012-2014
Deer Lodge,MT,18.8,12.2 - 32.5 (632),2012-2014
Cherokee,IA,18.8,12.2 - 32.5 (632),2012-2014
Inyo,CA,18.9,12.2 - 32.5 (632),2012-2014
Todd,MN,18.9,12.2 - 32.5 (632),2012-2014
Colfax,NM,18.9,12.2 - 32.5 (632),2012-2014
Granite,MT,19.0,12.2 - 32.5 (632),2012-2014
Gove,KS,19.0,12.2 - 32.5 (632),2012-2014
Sanders,MT,19.1,12.2 - 32.5 (632),2012-2014
Lincoln,MN,19.1,12.2 - 32.5 (632),2012-2014
Powell,MT,19.2,12.2 - 32.5 (632),2012-2014
Washakie,WY,19.2,12.2 - 32.5 (632),2012-2014
Whitman,WA,19.2,12.2 - 32.5 (632),2012-2014
Pipestone,MN,19.3,12.2 - 32.5 (632),2012-2014
Allamakee,IA,19.6,12.2 - 32.5 (632),2012-2014
Marshall,SD,19.6,12.2 - 32.5 (632),2012-2014
Perkins,SD,19.6,12.2 - 32.5 (632),2012-2014
Presidio,TX,19.7,12.2 - 32.5 (632),2012-2014
Thomas,KS,19.7,12.2 - 32.5 (632),2012-2014
Wichita,KS,19.7,12.2 - 32.5 (632),2012-2014
Boundary,ID,19.7,12.2 - 32.5 (632),2012-2014
Crook,OR,19.7,12.2 - 32.5 (632),2012-2014
Winneshiek,IA,19.8,12.2 - 32.5 (632),2012-2014
Jefferson,IA,19.8,12.2 - 32.5 (632),2012-2014
Trujillo Alto,PR,19.8,12.2 - 32.5 (632),2012-2014
Adams,IA,19.9,12.2 - 32.5 (632),2012-2014
Cavalier,ND,19.9,12.2 - 32.5 (632),2012-2014
Cook,MN,20.0,12.2 - 32.5 (632),2012-2014
Adair,IA,20.0,12.2 - 32.5 (632),2012-2014
Pitkin,CO,20.0,12.2 - 32.5 (632),2012-2014
Mono,CA,20.0,12.2 - 32.5 (632),2012-2014
Polk,NE,20.1,12.2 - 32.5 (632),2012-2014
Archuleta,CO,20.2,12.2 - 32.5 (632),2012-2014
Custer,ID,20.2,12.2 - 32.5 (632),2012-2014
Siskiyou,CA,20.3,12.2 - 32.5 (632),2012-2014
Osceola,IA,20.3,12.2 - 32.5 (632),2012-2014
Rio Grande,PR,20.3,12.2 - 32.5 (632),2012-2014
Wasatch,UT,20.3,12.2 - 32.5 (632),2012-2014
Hot Springs,WY,20.4,12.2 - 32.5 (632),2012-2014
Hutchinson,SD,20.5,12.2 - 32.5 (632),2012-2014
Dawson,MT,20.5,12.2 - 32.5 (632),2012-2014
Divide,ND,20.5,12.2 - 32.5 (632),2012-2014
Mineral,NV,20.5,12.2 - 32.5 (632),2012-2014
Wayne,NE,20.6,12.2 - 32.5 (632),2012-2014
Vieques,PR,20.6,12.2 - 32.5 (632),2012-2014
Garfield,NE,20.7,12.2 - 32.5 (632),2012-2014
Lake,CO,20.7,12.2 - 32.5 (632),2012-2014
Bonner,ID,20.8,12.2 - 32.5 (632),2012-2014
Jefferson,WA,20.8,12.2 - 32.5 (632),2012-2014
Ellsworth,KS,20.9,12.2 - 32.5 (632),2012-2014
Hamilton,KS,20.9,12.2 - 32.5 (632),2012-2014
Ida,IA,20.9,12.2 - 32.5 (632),2012-2014
Latah,ID,21.0,12.2 - 32.5 (632),2012-2014
Rawlins,KS,21.0,12.2 - 32.5 (632),2012-2014
Bayfield,WI,21.0,12.2 - 32.5 (632),2012-2014
Door,WI,21.1,12.2 - 32.5 (632),2012-2014
Taylor,IA,21.1,12.2 - 32.5 (632),2012-2014
Elmore,ID,21.1,12.2 - 32.5 (632),2012-2014
Union,IA,21.2,12.2 - 32.5 (632),2012-2014
Toole,MT,21.2,12.2 - 32.5 (632),2012-2014
Green Lake,WI,21.2,12.2 - 32.5 (632),2012-2014
Yates,NY,21.4,12.2 - 32.5 (632),2012-2014
Jewell,KS,21.4,12.2 - 32.5 (632),2012-2014
Dillingham,AK,21.4,12.2 - 32.5 (632),2012-2014
Bear Lake,ID,21.6,12.2 - 32.5 (632),2012-2014
Sioux,IA,21.6,12.2 - 32.5 (632),2012-2014
