County,state,value,range,year
Perkins,SD,11.2,11.2 - 31.2 (630),2014-2016
Mitchell,KS,12.2,11.2 - 31.2 (630),2014-2016
Blaine,ID,13.2,11.2 - 31.2 (630),2014-2016
Fergus,MT,13.2,11.2 - 31.2 (630),2014-2016
Dawes,NE,13.8,11.2 - 31.2 (630),2014-2016
Scott,KS,14.4,11.2 - 31.2 (630),2014-2016
Republic,KS,14.7,11.2 - 31.2 (630),2014-2016
Baker,OR,14.9,11.2 - 31.2 (630),2014-2016
Hood River,OR,15.0,11.2 - 31.2 (630),2014-2016
Cheyenne,NE,15.4,11.2 - 31.2 (630),2014-2016
Grant,OR,15.6,11.2 - 31.2 (630),2014-2016
Chaffee,CO,15.6,11.2 - 31.2 (630),2014-2016
Pitkin,CO,15.7,11.2 - 31.2 (630),2014-2016
Idaho,ID,15.7,11.2 - 31.2 (630),2014-2016
Lemhi,ID,15.7,11.2 - 31.2 (630),2014-2016
Minidoka,ID,15.8,11.2 - 31.2 (630),2014-2016
Fallon,MT,15.8,11.2 - 31.2 (630),2014-2016
Pipestone,MN,16.1,11.2 - 31.2 (630),2014-2016
Decatur,KS,16.1,11.2 - 31.2 (630),2014-2016
Grand,UT,16.1,11.2 - 31.2 (630),2014-2016
Juab,UT,16.1,11.2 - 31.2 (630),2014-2016
Gunnison,CO,16.2,11.2 - 31.2 (630),2014-2016
Johnson,WY,16.3,11.2 - 31.2 (630),2014-2016
Bowman,ND,16.4,11.2 - 31.2 (630),2014-2016
Huerfano,CO,16.6,11.2 - 31.2 (630),2014-2016
Wasatch,UT,16.6,11.2 - 31.2 (630),2014-2016
Cloud,KS,16.7,11.2 - 31.2 (630),2014-2016
Catron,NM,16.7,11.2 - 31.2 (630),2014-2016
Wallowa,OR,16.7,11.2 - 31.2 (630),2014-2016
Sheridan,NE,16.9,11.2 - 31.2 (630),2014-2016
Park,MT,16.9,11.2 - 31.2 (630),2014-2016
Trujillo Alto,PR,16.9,11.2 - 31.2 (630),2014-2016
Adams,ND,17.0,11.2 - 31.2 (630),2014-2016
Meade,KS,17.0,11.2 - 31.2 (630),2014-2016
Eddy,ND,17.1,11.2 - 31.2 (630),2014-2016
Chouteau,MT,17.2,11.2 - 31.2 (630),2014-2016
Essex,VT,17.2,11.2 - 31.2 (630),2014-2016
Orleans,VT,17.3,11.2 - 31.2 (630),2014-2016
Whitman,WA,17.3,11.2 - 31.2 (630),2014-2016
Deer Lodge,MT,17.3,11.2 - 31.2 (630),2014-2016
Madison,MT,17.3,11.2 - 31.2 (630),2014-2016
Boone,NE,17.3,11.2 - 31.2 (630),2014-2016
Latah,ID,17.3,11.2 - 31.2 (630),2014-2016
Cherokee,IA,17.4,11.2 - 31.2 (630),2014-2016
Hot Springs,WY,17.4,11.2 - 31.2 (630),2014-2016
Hutchinson,SD,17.5,11.2 - 31.2 (630),2014-2016
Richland,MT,17.6,11.2 - 31.2 (630),2014-2016
Mono,CA,17.9,11.2 - 31.2 (630),2014-2016
Montezuma,CO,18.0,11.2 - 31.2 (630),2014-2016
Teton,ID,18.1,11.2 - 31.2 (630),2014-2016
Winneshiek,IA,18.1,11.2 - 31.2 (630),2014-2016
Beaverhead,MT,18.1,11.2 - 31.2 (630),2014-2016
Pershing,NV,18.2,11.2 - 31.2 (630),2014-2016
Cavalier,ND,18.3,11.2 - 31.2 (630),2014-2016
Roseau,MN,18.3,11.2 - 31.2 (630),2014-2016
Hand,SD,18.3,11.2 - 31.2 (630),2014-2016
Deuel,SD,18.4,11.2 - 31.2 (630),2014-2016
Merrick,NE,18.4,11.2 - 31.2 (630),2014-2016
Valley,ID,18.4,11.2 - 31.2 (630),2014-2016
Teller,CO,18.4,11.2 - 31.2 (630),2014-2016
Bonner,ID,18.5,11.2 - 31.2 (630),2014-2016
Harney,OR,18.5,11.2 - 31.2 (630),2014-2016
Gosper,NE,18.9,11.2 - 31.2 (630),2014-2016
Wadena,MN,18.9,11.2 - 31.2 (630),2014-2016
Ouray,CO,19.0,11.2 - 31.2 (630),2014-2016
Jeff Davis,TX,19.0,11.2 - 31.2 (630),2014-2016
Yuma,CO,19.1,11.2 - 31.2 (630),2014-2016
Bear Lake,ID,19.1,11.2 - 31.2 (630),2014-2016
Nuckolls,NE,19.1,11.2 - 31.2 (630),2014-2016
Dawson,MT,19.1,11.2 - 31.2 (630),2014-2016
Pope,MN,19.2,11.2 - 31.2 (630),2014-2016
Madison,IA,19.2,11.2 - 31.2 (630),2014-2016
Sioux,IA,19.2,11.2 - 31.2 (630),2014-2016
Rio Blanco,CO,19.3,11.2 - 31.2 (630),2014-2016
Traverse,MN,19.3,11.2 - 31.2 (630),2014-2016
Union,OR,19.4,11.2 - 31.2 (630),2014-2016
Foster,ND,19.4,11.2 - 31.2 (630),2014-2016
Lac qui Parle,MN,19.5,11.2 - 31.2 (630),2014-2016
Sedgwick,CO,19.5,11.2 - 31.2 (630),2014-2016
Custer,ID,19.5,11.2 - 31.2 (630),2014-2016
Chase,KS,19.6,11.2 - 31.2 (630),2014-2016
Kit Carson,CO,19.6,11.2 - 31.2 (630),2014-2016
White Pine,NV,19.6,11.2 - 31.2 (630),2014-2016
Crane,TX,19.6,11.2 - 31.2 (630),2014-2016
Lincoln,MN,19.7,11.2 - 31.2 (630),2014-2016
Moffat,CO,19.7,11.2 - 31.2 (630),2014-2016
Osceola,IA,19.7,11.2 - 31.2 (630),2014-2016
Thomas,KS,19.7,11.2 - 31.2 (630),2014-2016
Millard,UT,19.8,11.2 - 31.2 (630),2014-2016
Williams,ND,19.9,11.2 - 31.2 (630),2014-2016
Custer,MT,20.0,11.2 - 31.2 (630),2014-2016
Wheatland,MT,20.1,11.2 - 31.2 (630),2014-2016
Perkins,NE,20.1,11.2 - 31.2 (630),2014-2016
Niobrara,WY,20.1,11.2 - 31.2 (630),2014-2016
Cassia,ID,20.2,11.2 - 31.2 (630),2014-2016
La Plata,CO,20.2,11.2 - 31.2 (630),2014-2016
Siskiyou,CA,20.2,11.2 - 31.2 (630),2014-2016
Nome,AK,20.2,11.2 - 31.2 (630),2014-2016
Logan,KS,20.3,11.2 - 31.2 (630),2014-2016
