County,state,value,range,year
Grant,OR,12.5,12.5 - 34.0 (634),2011-2013
Cloud,KS,13.0,12.5 - 34.0 (634),2011-2013
Blaine,ID,13.5,12.5 - 34.0 (634),2011-2013
Lemhi,ID,14.0,12.5 - 34.0 (634),2011-2013
Hood River,OR,14.0,12.5 - 34.0 (634),2011-2013
Granite,MT,14.7,12.5 - 34.0 (634),2011-2013
Johnson,WY,15.0,12.5 - 34.0 (634),2011-2013
Beaverhead,MT,15.1,12.5 - 34.0 (634),2011-2013
Cavalier,ND,15.2,12.5 - 34.0 (634),2011-2013
Gem,ID,15.6,12.5 - 34.0 (634),2011-2013
Chaffee,CO,15.8,12.5 - 34.0 (634),2011-2013
Lake,OR,15.8,12.5 - 34.0 (634),2011-2013
Cassia,ID,15.9,12.5 - 34.0 (634),2011-2013
Washakie,WY,16.0,12.5 - 34.0 (634),2011-2013
Orleans,VT,16.1,12.5 - 34.0 (634),2011-2013
Kit Carson,CO,16.2,12.5 - 34.0 (634),2011-2013
Richland,MT,16.2,12.5 - 34.0 (634),2011-2013
Union,OR,16.6,12.5 - 34.0 (634),2011-2013
Idaho,ID,16.7,12.5 - 34.0 (634),2011-2013
Daniels,MT,16.8,12.5 - 34.0 (634),2011-2013
Essex,VT,16.8,12.5 - 34.0 (634),2011-2013
Rio Grande,PR,16.8,12.5 - 34.0 (634),2011-2013
Mineral,NV,16.9,12.5 - 34.0 (634),2011-2013
Harney,OR,17.0,12.5 - 34.0 (634),2011-2013
Kodiak Island,AK,17.0,12.5 - 34.0 (634),2011-2013
Custer,MT,17.1,12.5 - 34.0 (634),2011-2013
Colfax,NM,17.3,12.5 - 34.0 (634),2011-2013
Morrow,OR,17.5,12.5 - 34.0 (634),2011-2013
Madison,MT,17.5,12.5 - 34.0 (634),2011-2013
Moffat,CO,17.6,12.5 - 34.0 (634),2011-2013
Washington,ID,17.7,12.5 - 34.0 (634),2011-2013
Park,WY,17.7,12.5 - 34.0 (634),2011-2013
Valley,ID,17.8,12.5 - 34.0 (634),2011-2013
Powell,MT,17.8,12.5 - 34.0 (634),2011-2013
Republic,KS,18.0,12.5 - 34.0 (634),2011-2013
Inyo,CA,18.2,12.5 - 34.0 (634),2011-2013
Yuma,CO,18.3,12.5 - 34.0 (634),2011-2013
Minidoka,ID,18.3,12.5 - 34.0 (634),2011-2013
Ida,IA,18.3,12.5 - 34.0 (634),2011-2013
Adair,IA,18.4,12.5 - 34.0 (634),2011-2013
Gunnison,CO,18.5,12.5 - 34.0 (634),2011-2013
Pondera,MT,18.5,12.5 - 34.0 (634),2011-2013
Deer Lodge,MT,18.5,12.5 - 34.0 (634),2011-2013
Vieques,PR,18.5,12.5 - 34.0 (634),2011-2013
Sweet Grass,MT,18.6,12.5 - 34.0 (634),2011-2013
Dawes,NE,18.6,12.5 - 34.0 (634),2011-2013
Jefferson,IA,18.6,12.5 - 34.0 (634),2011-2013
