County,state,value,range,year
Ouray,CO,11.9,11.9 - 31.3 (630),2015-2017
Perkins,SD,12.3,11.9 - 31.3 (630),2015-2017
Chaffee,CO,13.9,11.9 - 31.3 (630),2015-2017
Bowman,ND,13.9,11.9 - 31.3 (630),2015-2017
Fergus,MT,14.0,11.9 - 31.3 (630),2015-2017
Roseau,MN,14.3,11.9 - 31.3 (630),2015-2017
Mitchell,KS,14.7,11.9 - 31.3 (630),2015-2017
Wayne,UT,14.7,11.9 - 31.3 (630),2015-2017
Pipestone,MN,15.0,11.9 - 31.3 (630),2015-2017
Dawes,NE,15.1,11.9 - 31.3 (630),2015-2017
Harney,OR,15.2,11.9 - 31.3 (630),2015-2017
Scott,KS,15.4,11.9 - 31.3 (630),2015-2017
Rio Blanco,CO,15.4,11.9 - 31.3 (630),2015-2017
Lemhi,ID,15.5,11.9 - 31.3 (630),2015-2017
Hood River,OR,15.6,11.9 - 31.3 (630),2015-2017
Hand,SD,15.6,11.9 - 31.3 (630),2015-2017
Pitkin,CO,15.7,11.9 - 31.3 (630),2015-2017
Grant,OR,16.0,11.9 - 31.3 (630),2015-2017
Grand,UT,16.0,11.9 - 31.3 (630),2015-2017
Moffat,CO,16.1,11.9 - 31.3 (630),2015-2017
Blaine,ID,16.2,11.9 - 31.3 (630),2015-2017
Cheyenne,NE,16.5,11.9 - 31.3 (630),2015-2017
Baker,OR,16.6,11.9 - 31.3 (630),2015-2017
Custer,ID,16.6,11.9 - 31.3 (630),2015-2017
Campbell,SD,16.6,11.9 - 31.3 (630),2015-2017
Cloud,KS,16.7,11.9 - 31.3 (630),2015-2017
Millard,UT,16.8,11.9 - 31.3 (630),2015-2017
Juab,UT,16.9,11.9 - 31.3 (630),2015-2017
Latah,ID,17.0,11.9 - 31.3 (630),2015-2017
Cherokee,IA,17.1,11.9 - 31.3 (630),2015-2017
Republic,KS,17.1,11.9 - 31.3 (630),2015-2017
Wallowa,OR,17.1,11.9 - 31.3 (630),2015-2017
Nuckolls,NE,17.1,11.9 - 31.3 (630),2015-2017
Pope,MN,17.2,11.9 - 31.3 (630),2015-2017
