,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Alabama,1,2012,4822023,700359,32287,41574,0.1896257003963052,0.11114926991926476,0.4845360824742268,0.171,0.086,0.12,0.29600000000000004,0.111,0.195,0.6912806098187421,0.2646532378630297,0.005005368078916256,0.01216895896182992,0.0002816245380828752,0.010880910356503898,0.015729290382895313,0.35063303248762423,0.755,0.184,0.1410820354889421,0.20629744909253686,0.1677569913650186,0.9973611716515279
1,Alaska,2,2012,731449,62119,46666,67712,0.10117270908094934,0.044298188025210086,0.5210727969348659,0.198,0.101,0.114,0.237,0.101,0.16,0.6651878668232508,0.03582888212301883,0.14024491112845872,0.05850031922936527,0.011253006019558438,0.009291146751174723,0.07969386792517319,0.3838761087589948,0.843,0.26899999999999996,0.21059523438883432,0.13240947222266938,0.11414220487897922,0.9915802258403361
2,Arizona,4,2012,6553255,971086,39083,47826,0.1866044457094706,0.08310927697534339,0.4974874371859296,0.152,0.059,0.08,0.21,0.07,0.131,0.7880357166019024,0.043694774581486615,0.04423496415140262,0.029052737914212094,0.0018367971336381687,0.06422792947931982,0.028917080138038277,0.4187342830604087,0.84,0.265,0.1271326854109729,0.2347355660775668,0.1446052283953301,0.9878311344546572
3,Arkansas,5,2012,2949131,441107,30891,40112,0.1982707048764126,0.10871041654426884,0.491353001017294,0.17800000000000002,0.083,0.114,0.27,0.096,0.171,0.7825868026886564,0.15671802981963162,0.0059288651470551824,0.0133761436843599,0.0017703520121690086,0.019960117064993045,0.01965968958313483,0.3942694176242952,0.775,0.16699999999999998,0.1489317606748476,0.22019516689828086,0.15452778707865217,0.9959790846601257
4,California,6,2012,38041430,4599393,42406,58328,0.16956475071110394,0.1039223268366563,0.4972347913524384,0.146,0.067,0.107,0.239,0.106,0.184,0.6211266243145961,0.059506779845026864,0.007500822129977764,0.1345994091179012,0.003856637355640942,0.12914588121424458,0.04426384602261271,0.3251994339253028,0.7809999999999999,0.28,0.15811608560303503,0.24047010895133333,0.09087445862063637,0.9827592142421662
5,Colorado,8,2012,5187582,610939,41985,56765,0.13707482100763632,0.07823772865789673,0.5014955134596211,0.157,0.056,0.077,0.193,0.065,0.127,0.8436826637150024,0.04207972037839595,0.009243034616127514,0.028352708448753195,0.0010232127415046165,0.04232511408976282,0.033293546010453416,0.4128841013587281,0.884,0.32799999999999996,0.19176440182735105,0.19645152323227036,0.09329097715130796,0.9940479688378848
6,Connecticut,9,2012,3590347,532024,41947,67276,0.10688030290071288,0.06864913124098619,0.4874423372629421,0.125,0.052000000000000005,0.075,0.192,0.07200000000000001,0.14300000000000002,0.7812537339705605,0.1020374910837309,0.0032384056471421838,0.04117429318113263,0.0006297441445074807,0.04551732743381071,0.026149004539115582,0.3847476805557644,0.82,0.285,0.18927428519953987,0.2708700131685789,0.12009320878000784,0.9902538090986687
7,Delaware,10,2012,917092,140813,42211,58415,0.1204697677656056,0.07353284160811638,0.4848016486347244,0.12,0.059,0.07,0.207,0.067,0.134,0.697088187444662,0.2147548991813253,0.0031272762165627877,0.03340122910242375,0.0001570180527144496,0.02535296349766436,0.0261184265046473,0.3711234047992728,0.831,0.249,0.17093589819121816,0.22695931494961405,0.14215945555202933,0.9916256085828401
8,District of Columbia,11,2012,632323,71901,46926,66583,0.18178018593967074,0.11891187256474905,0.4728518713758567,0.091,0.07,0.075,0.248,0.077,0.17,0.3964065833442718,0.4953544312005098,0.003570959778467651,0.034567776278895436,8.539939239913779e-05,0.04491533599125763,0.02509951401419844,0.15834272124170734,0.813,0.37799999999999995,0.21757237062071463,0.19023951177313247,0.15362518844079773,0.993883222553289
9,Florida,12,2012,19317568,3508827,36415,45040,0.1712404280792592,0.10229668086085722,0.4887525562372188,0.13699999999999998,0.061,0.09,0.211,0.077,0.142,0.7631662536402097,0.1607758802764406,0.0026644658375215764,0.02526467099792272,0.0006009555654210715,0.023779442629631223,0.023748331052853032,0.400797189488111,0.815,0.243,0.12876077400909194,0.2540971764843351,0.15188367009852677,0.986374971885739
10,Georgia,13,2012,9919945,1139356,35371,47209,0.1915063056611921,0.11182253982754536,0.4890137966274911,0.146,0.075,0.113,0.255,0.102,0.181,0.6041208897831589,0.3088088694040138,0.0024361022162925298,0.03397347465132115,0.00029052580432653607,0.030021638224808706,0.020348499916078164,0.3322297859492556,0.7659999999999999,0.215,0.14458220843178074,0.18823722427406359,0.16494174204366488,0.9900069641333618
11,Hawaii,15,2012,1392313,210423,59378,66259,0.11589066215023044,0.06869456486306336,0.5037220843672456,0.15,0.058,0.105,0.211,0.08,0.175,0.24940656303575415,0.018396007219640985,0.002264577002441261,0.3818559476209731,0.10443628695559116,0.011131836016757726,0.2325087821488415,0.13063210770685715,0.812,0.258,0.18604932414232284,0.194829730043769,0.11300999669456926,0.9907849347793298
12,Idaho,16,2012,1595728,211032,34040,45489,0.1587302804004571,0.09697432748057272,0.5004995004995005,0.179,0.069,0.078,0.201,0.081,0.135,0.91392204686513,0.005489030712001043,0.013012242687976898,0.012917615032135805,0.0010565710446893202,0.028833861409964606,0.024768632248102437,0.4539358959778612,0.856,0.23399999999999999,0.14677715326585541,0.21913357898328215,0.1384911148230339,0.9962813773894206
13,Illinois,17,2012,12875255,1695712,37161,55137,0.1471774841343136,0.08823495187134335,0.4905756495160468,0.129,0.064,0.084,0.231,0.08199999999999999,0.158,0.7268700309236594,0.14395334306000154,0.002082599529096705,0.04799314654350535,0.0003286148507349952,0.056804933183847627,0.021967331909154418,0.35578152422109416,0.8009999999999999,0.215,0.1616361908390104,0.23534739624417353,0.12870084529056888,0.988054343092985
14,Indiana,18,2012,6537334,889426,34636,46974,0.1561430071756488,0.0716914543224024,0.4921279837480955,0.156,0.064,0.084,0.23,0.077,0.141,0.8433105911369987,0.0915007555067555,0.0024926063132157538,0.016480112535171062,0.0004319803760982688,0.024090860280352816,0.02169309385140793,0.3996116596546537,0.812,0.17300000000000001,0.15146267563349844,0.22153079262355718,0.1276710360202526,0.9953963271384699
15,Iowa,19,2012,3074186,469618,34731,50957,0.12691844093839572,0.07832318776518525,0.4957135653050933,0.145,0.048,0.064,0.193,0.065,0.115,0.9166481793879746,0.0298160228431201,0.002652084161465832,0.01838502940290536,0.0007351539562017392,0.012253650234566158,0.019509880013766245,0.4226711923307879,0.861,0.184,0.17083466145249968,0.23746783840483118,0.12438062732672235,0.9980928191274535
