,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Mississippi,28,2019,2976149,486804,36809,45792,0.19604683090773195,0.13213655899217522,0.4821336095287416,0.153,0.087,0.105,0.285,0.101,0.174,0.5802700066428126,0.3798895821412167,0.004917092524601423,0.010467889880513377,5.8800819448219823e-05,0.009725319532053,0.014671308459354687,0.31444071946820484,0.7948661062768588,0.21563503997502076,0.15863273103754283,0.147250228017847,0.1349519054669528,0.9967982766449487
1,Missouri,29,2019,6137428,1057943,43329,57409,0.12937540158154887,0.08923649804861201,0.4900560938296787,0.158,0.062,0.084,0.225,0.07200000000000001,0.141,0.8184110673070217,0.1145525454636698,0.004157441846975639,0.02071779905198073,0.0016642150425226984,0.012430940126711058,0.028065991161118305,0.39984857407251617,0.8764668795955926,0.24029460944493228,0.1674757685432958,0.1864486082898606,0.10186642433482472,0.9949108817322959
2,Montana,30,2019,1068778,207909,45579,57153,0.12648343406714607,0.08609744094488189,0.5024875621890548,0.174,0.055,0.08,0.184,0.059,0.103,0.8799049007371035,0.007285890989522614,0.06325261186139684,0.008352529711502295,0.00020958515238899005,0.006827423468671698,0.034167058079414066,0.4559350485067986,0.9242986114117234,0.30236786286307954,0.1858164822109673,0.20133327561577422,0.08681118059823924,0.9975295275590551
3,Nebraska,31,2019,1934408,312295,47804,63229,0.09893381493362108,0.08094288846805542,0.4997498749374688,0.153,0.054000000000000006,0.059,0.184,0.057,0.116,0.8616398401991721,0.048934350974561724,0.009803516114490842,0.024679385114205483,0.0009563649447272756,0.02638998598020686,0.02759655667263576,0.4272915032261163,0.9153876943274788,0.2536543972846187,0.21730496805904675,0.18707952416785412,0.0763438434935005,0.9984451310674773
4,Nevada,32,2019,3080156,498219,50448,63276,0.12497172559321927,0.09548613923948088,0.5014955134596211,0.14,0.062,0.08199999999999999,0.223,0.078,0.132,0.6457841745677816,0.09615876598458,0.01377397768164989,0.08478758868057333,0.007333070143200539,0.10534401504339393,0.04681840789882071,0.37425308950481617,0.8853275366856743,0.2725488188928965,0.16483349089456642,0.20179278590338787,0.10519720486167283,0.9873381831143371
5,New Hampshire,33,2019,1359711,253147,53807,77933,0.07270137752137304,0.0623393237643972,0.494949494949495,0.125,0.042,0.068,0.191,0.053,0.108,0.925620223709303,0.016179908818859303,0.0012701228422804553,0.026334272503495227,0.0005243761358112129,0.007856816632357905,0.022214279357892962,0.4447810955689777,0.909455770757702,0.34692885951640745,0.21534189226022826,0.19497367142411326,0.06036985866168202,0.9980851263205499
6,New Jersey,34,2019,10488084,1475075,59947,85751,0.09161762677129533,0.08835388061249852,0.4890137966274911,0.102,0.051,0.069,0.196,0.07400000000000001,0.13,0.6812025914361479,0.21486107472060675,0.01208113893824649,0.029548294998400088,0.0006557918491118111,0.033510887212573816,0.02814022084491314,0.3435371082826297,0.8547951799061064,0.32238225174991103,0.21323920953171874,0.12317814348422962,0.07428192013788301,0.9895020542637548
7,New Mexico,35,2019,8882190,377730,43126,51945,0.1817703653378334,0.13450355085086427,0.4944388270980789,0.173,0.08800000000000001,0.1,0.231,0.08199999999999999,0.14300000000000002,0.6714892385774229,0.13553447967224302,0.0020760645741647052,0.09643578892142593,0.000366351091341212,0.06432737872078845,0.029770698442613812,0.3868292166362217,0.8350912027109311,0.3163344187647261,0.16696901755221982,0.18517989039790325,0.16399006831186508,0.9911242127830631
8,New York,36,2019,2096829,3295968,49898,72108,0.1303053548292806,0.12028578677601873,0.4858611825192802,0.107,0.054000000000000006,0.075,0.21600000000000005,0.085,0.14400000000000002,0.7391890325820559,0.023052428214222525,0.09506783814989203,0.01743060592923886,0.0004406654047611894,0.09027011740108516,0.03454931231874416,0.3259898154351013,0.8212628277944446,0.3001382294973738,0.1881013407897164,0.11293586588219304,0.14090888825983522,0.9920694982046151
9,North Carolina,37,2019,19453561,1750935,43986,57341,0.13590445326362094,0.09148692689235707,0.4855967078189301,0.136,0.062,0.084,0.221,0.07200000000000001,0.136,0.6319501092884743,0.15854701357761694,0.0037813128403586366,0.08637076779927336,0.00042547480124590037,0.08554850189124757,0.033376819801783336,0.35288060379168845,0.8600439193916394,0.27151664682012755,0.1712913100714761,0.16947459500209888,0.11573176602704463,0.9929761144664353
10,North Dakota,38,2019,762062,120177,46816,64577,0.10572620443034376,0.08040320241851145,0.5095635115252575,0.157,0.054000000000000006,0.07200000000000001,0.189,0.059,0.107,0.8580797887835898,0.0292049728237335,0.05376202986108742,0.014000173214252908,0.0036637438948537,0.008293288472591469,0.03299600294989122,0.4426887008329381,0.8795110545279047,0.23788245670968655,0.21844109937841683,0.1807001339690623,0.06926022892009434,0.99505224582341
11,Ohio,39,2019,11689100,2043548,44260,58642,0.13068223522770658,0.08341364497289673,0.490316004077472,0.134,0.055,0.075,0.21,0.068,0.132,0.8086721817761846,0.12552985259771926,0.002014184154468693,0.023490687905826795,0.0004511895697701276,0.010469155024766664,0.029372748971263823,0.3935782276706982,0.8741248064640518,0.2361960668406125,0.17660991373826307,0.16767259687563002,0.1202924102707205,0.995185355210528
12,Oklahoma,40,2019,3956971,635222,43501,54449,0.15176079315668353,0.09667555480495356,0.4959677419354839,0.189,0.08199999999999999,0.094,0.267,0.08199999999999999,0.153,0.7242370489953047,0.07263485125364831,0.08009383945447161,0.022732034174624983,0.0012150708205847349,0.02322988973131216,0.07585726557005346,0.3775955492725378,0.8720589022420508,0.24785193208043801,0.18498975633715456,0.19762067434692124,0.11998587433643826,0.9929847694798499
13,Oregon,41,2019,4217737,767496,50449,67058,0.11377691801509572,0.0808372118830926,0.4954591321897074,0.16399999999999998,0.062,0.087,0.21,0.075,0.128,0.835484289323872,0.018473887774415526,0.011953566568991856,0.04601235212152868,0.00336246664976977,0.035557930710236316,0.04915550685118584,0.4234171904478981,0.9211057777499818,0.32541667969605054,0.16688883720566625,0.18470845450660328,0.13415268541827335,0.9936309434949355
14,Pennsylvania,42,2019,12801989,2388218,45476,63463,0.1202318235840318,0.08256964174346892,0.4900560938296787,0.132,0.053,0.078,0.205,0.07200000000000001,0.136,0.7962662676869977,0.11363492032370907,0.0021159212056813983,0.035436837197719825,0.0003240121515492632,0.02623326734619128,0.025988774088151458,0.3953139956235151,0.8784294398585054,0.2518844594588936,0.18648950514567766,0.16648480163871138,0.13546322907910907,0.9953238687547641
15,Rhode Island,44,2019,1059361,187155,49749,71169,0.10823239274837863,0.0891930364847874,0.4882292732855681,0.123,0.05,0.078,0.19,0.079,0.134,0.7869744119332315,0.07376427865477396,0.003153787991062537,0.03502205574870134,0.00023599131929531104,0.05874862299065192,0.04210085136228349,0.3901525473537977,0.844428414950175,0.29350004007373565,0.1957997168122679,0.16230397264299645,0.1447661196441816,0.9952088445283896
16,South Carolina,45,2019,5148714,935538,45115,56227,0.1384592168866743,0.10062362263797064,0.4826694257630626,0.134,0.065,0.084,0.209,0.076,0.134,0.6670533651704096,0.26471017811437964,0.0036846093995510335,0.016814101540695403,0.0014706584984133903,0.02188604766161026,0.02438103961494074,0.3510140689100817,0.8561587022654344,0.28132582535396744,0.16165617110154798,0.18374988509285567,0.09889696672174664,0.9952794852250831
17,South Dakota,46,2019,884659,153799,47985,59533,0.11928419653471373,0.07723927420722401,0.5081160846040335,0.161,0.053,0.057,0.2,0.057,0.105,0.8407352437492864,0.023586489257442698,0.08569290540196844,0.013033270446578852,0.002343275770664177,0.006690713596990479,0.027918101777068903,0.43681038238220016,0.9011762105085208,0.24787547383272973,0.24324777144194698,0.1932652357947711,0.08727271699467777,0.9973410208580634
18,Tennessee,47,2019,6829174,1138965,42853,56071,0.1385400634127984,0.09651782122889946,0.4874423372629421,0.159,0.07400000000000001,0.1,0.244,0.079,0.156,0.7721153392782202,0.16712182176058188,0.0029917234500102057,0.018412475652253117,0.0005079677278686998,0.01597147766333088,0.022879194467735044,0.38704876796038507,0.8291352236460295,0.23070594794396668,0.1689408146870185,0.18017322744772665,0.11416083777790417,0.9949149049705431
19,Texas,48,2019,28995881,3738727,48919,64034,0.13627701261675054,0.10649507133777347,0.4962216624685138,0.149,0.073,0.09,0.236,0.084,0.149,0.7336671715544701,0.12256644314411415,0.005000468859697693,0.049871669703707225,0.0009320634196284637,0.0591330196175105,0.028829163700871862,0.36889401125035337,0.805404085401261,0.27368138941409736,0.19725720492563376,0.15949653451562523,0.10825051181126807,0.9822386407556516
20,Vermont,50,2019,623989,125201,51569,63001,0.10165934928133816,0.06130453691319225,0.4954591321897074,0.147,0.05,0.063,0.174,0.051,0.105,0.9377040300389909,0.015120458854242624,0.004692390410728393,0.01378710201622144,0.0006186006484088662,0.003450381336850489,0.024627036694557115,0.4481593597495228,0.9168297377816471,0.35931821630817645,0.2509014704355397,0.1572671144799163,0.10005442083671084,0.9984983629694667
21,Utah,49,2019,3205958,365198,58099,75780,0.08906882719294135,0.06219805928338942,0.5024875621890548,0.145,0.052000000000000005,0.071,0.182,0.057,0.112,0.8732263491910999,0.011515434700017904,0.01103195986971757,0.023852464692301026,0.00958371881353405,0.03848334881492521,0.03230672391840442,0.4413030739489263,0.9302652259869988,0.32130241677117616,0.19705029874205227,0.1609565222153462,0.05530079942960673,0.9905618897237147
22,Virginia,51,2019,8535519,1358336,56069,76456,0.09937667864787084,0.07053527777715196,0.4923857868020304,0.13,0.059,0.076,0.206,0.071,0.135,0.6695135937252322,0.19447065843330674,0.002740079425750209,0.06626931531638558,0.0005903566028029461,0.028898418479298093,0.03751757801722426,0.3462957618733509,0.8555438418771203,0.33157775395778366,0.20057519273581792,0.1884276055408971,0.07780134824758204,0.9910144947127079
23,Washington,53,2019,7614893,1207685,55889,78687,0.09775436965673524,0.07480763270311426,0.5,0.149,0.052000000000000005,0.08900000000000001,0.205,0.07400000000000001,0.136,0.7421103618921501,0.040174431866606665,0.013641951370820313,0.08995096845090272,0.006584334146257866,0.0479842592666765,0.05955369300658591,0.4006740168172992,0.9150126067641811,0.34429590497522117,0.1733046431809619,0.20218268836658565,0.10642334108673317,0.9926868422116512
24,West Virginia,54,2019,1792147,367400,39680,48850,0.1602794629251603,0.09312917025961304,0.4941831057157309,0.189,0.087,0.109,0.271,0.09,0.16899999999999998,0.93072945467085,0.036785486904813064,0.0020093217799655944,0.00798539405528676,0.00022263798672765122,0.0042725289833925465,0.01799517561896429,0.4367964071856287,0.8076265650517147,0.17385138813282525,0.14352132825258573,0.17562874251497007,0.16936588045456105,0.9955266073377035
25,Wisconsin,55,2019,5822434,1019896,45861,64168,0.10421637911486044,0.07407135235257405,0.4967287367891294,0.132,0.045,0.064,0.179,0.063,0.111,0.852453458467713,0.06436260161987238,0.009373571259030156,0.02875429760131244,0.0007247827970226885,0.0207957702912562,0.02353551796379315,0.4309606077482411,0.9088318808976602,0.2527218461490191,0.16735895228533107,0.17208421250794198,0.09377182738957933,0.9968743079184199
26,Wyoming,56,2019,578759,98789,50260,65003,0.10105087945940576,0.0737248133746439,0.5114802149487054,0.171,0.075,0.06,0.16899999999999998,0.035,0.086,0.9085992615233628,0.012295273162058818,0.023799197939038532,0.00800505910059282,0.001302787516047267,0.01865888910582816,0.027339531653071486,0.4572877547095324,0.9395884157143002,0.3121703833422749,0.194307939143022,0.20350443875330249,0.047214405819978725,0.9988563348651515
27,Puerto Rico,72,2019,3193694,679665,16953,20474,0.4347099479349201,0.3994738223661087,0.4747899159663866,0.138,0.156,0.177,0.329,0.146,0.274,0.6433816138928776,0.12381868770145167,0.0009650267057520227,0.0020581182793342127,5.730041763550295e-05,0.15861350523876114,0.07110574776418781,0.29253529312234705,0.5940514812444366,0.1771034259524913,0.07052028425768576,0.0694239073661289,0.432074959307658,0.9899094909216561
