,county,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Cheshire , New Hampshire,33005,2013,762550.0,12664,34051,51945,0.12180005014067245,0.09038429820221013,0.4842702423929861,0.209,0.097,0.08800000000000001,0.248,0.067,0.126,0.8017454593141433,0.043138154875090165,0.0005114418726640877,0.03434135466526785,0.0005901252376893317,0.09873450921251066,0.02093895482263458,0.4441724573594441,0.8640000000000001,0.263,1.8120798878711306,2.417230511686671,0.11701467176420613,1.0
1,Grafton , New Hampshire,33009,2013,,15481,41907,56370,0.11179922165861417,0.053469170328938616,0.4962216624685138,0.17800000000000002,0.043,0.064,0.179,0.056,0.096,,,,,,,,0.45733479749370204,0.865,0.29600000000000004,,,0.06664240931482311,0.9992675456119323
2,Hillsborough , New Hampshire,33011,2013,169541.0,54171,42590,67574,0.0963323614276402,0.05690379810578916,0.4959677419354839,0.159,0.049,0.079,0.212,0.062,0.126,0.9278168702555724,0.016444399879675126,0.0058805834576887,0.025669307129248968,0.0005426416029161088,0.0067299355318182616,0.016916262143080434,0.4229938527994683,0.845,0.26899999999999996,0.08256872980007754,0.09988869609200494,0.08799891638071157,0.9961457264046794
3,Merrimack , New Hampshire,33013,2013,88389.0,22420,44821,65662,0.08994313612457387,0.06124852767962309,0.4939271255060729,0.151,0.068,0.084,0.209,0.08,0.135,0.9587731505051532,0.007071015624116123,0.006686352374164206,0.0037674371245290704,0.0,0.0073651698740793544,0.01633687449795789,0.4375111507582516,0.852,0.315,0.13528405597680643,0.16000301360392505,0.10024507579195788,1.0
4,Rockingham , New Hampshire,33015,2013,75455.0,44042,46276,74782,0.056202885628596905,0.045315185580898414,0.4929006085192698,0.14,0.047,0.048,0.192,0.043,0.109,0.8847922602875886,0.038672056192432566,0.00463852627393811,0.0033529918494466897,0.0,0.03162149625604665,0.036922669140547336,0.4376731301939058,0.909,0.312,0.0547692075745879,0.0653176939058172,0.048842140978878616,1.0
5,Strafford , New Hampshire,33017,2013,94720.0,16780,40913,60692,0.08201113069929829,0.06388206388206387,0.4863893168977915,0.205,0.051,0.091,0.168,0.041,0.132,0.9513935810810812,0.0009290540540540539,0.017704814189189188,0.011792652027027029,0.0006440033783783784,0.002027027027027027,0.015508868243243244,0.4322407628128725,0.878,0.252,0.13820201191895112,0.1914269749702026,0.11252314425180945,1.0
6,Atlantic , New Jersey,34001,2013,73959.0,42376,39980,52127,0.1803387923120206,0.11616369400546935,0.4863893168977915,0.131,0.075,0.08800000000000001,0.25,0.09,0.162,0.9451723252072094,0.005327275923146608,0.008004434889600995,0.020538406414364715,0.0,0.007801619816384753,0.013155937749293528,0.35756088351897297,0.7879999999999999,0.20600000000000002,0.04704292255050029,0.07188557891259204,0.14939884586270288,0.9823818397425038
7,Bergen , New Jersey,34003,2013,95809.0,146132,50094,81670,0.08151622787394013,0.0717107987283229,0.4840041279669762,0.111,0.05,0.066,0.179,0.075,0.133,0.8800947718899059,0.03386946946529032,0.003809662975294597,0.017785385506580802,0.00021918608898955207,0.028567253598304962,0.03565427047563381,0.3500328470150275,0.828,0.327,0.02086815113048477,0.035874940889059216,0.052155959096381446,0.9778860122535775
8,Burlington , New Jersey,34005,2013,80973.0,68422,50619,77398,0.0570310736588669,0.04466856617369937,0.4921279837480955,0.129,0.041,0.068,0.205,0.056,0.119,0.9156508959776716,0.00444592641991775,0.012794388252874414,0.009200597730107566,0.0,0.0207723562175046,0.0371358354019241,0.35411125076729705,0.865,0.247,0.03706400553915407,0.04300248313407969,0.046978335233751424,0.993004989974824
9,Camden , New Jersey,34007,2013,93396.0,71200,40172,58006,0.14958919166838006,0.09728823843853387,0.4840041279669762,0.152,0.085,0.124,0.285,0.101,0.211,0.8528951989378559,0.05147972075891901,0.004004454152212086,0.0073878966979313895,0.0,0.05341770525504305,0.030815024198038464,0.3313623595505618,0.79,0.209,0.03245379825842697,0.048569855224719106,0.1385231517865794,0.9843391074447029
