,county,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Stark , Ohio,39151,2010,559276.0,60649,33270,42664,0.1431907762654364,0.06719197213697024,0.486652977412731,0.133,0.046,0.078,0.199,0.064,0.122,0.7309736158891138,0.19759832354687126,0.00022707929537473448,0.04555711312482567,0.0,0.005675194358420529,0.01996867378539397,0.3979785322099293,0.802,0.138,0.21774776481063168,0.3285351127306304,0.1320864795268304,0.9972757681299356
1,Summit , Ohio,39153,2010,678697.0,79490,31242,45593,0.1532461242129214,0.08852212079107638,0.4837377387712959,0.13699999999999998,0.067,0.083,0.247,0.092,0.168,0.7688349882200747,0.10919453010695494,0.0021585479234474294,0.045308878630670235,0.0011168459562956666,0.04828369655383772,0.02510251260871936,0.36917851302050575,0.787,0.19399999999999998,0.14981879807522958,0.27964980300666753,0.1340109183307045,0.9951174538041008
2,Trumbull , Ohio,39155,2010,,36389,31497,40153,0.1844220399501955,0.0912898296451412,0.483204134366925,0.14400000000000002,0.067,0.108,0.213,0.081,0.175,,,,,,,,0.4024842672236115,0.768,0.114,,,0.13716091464280641,0.9986416888335503
3,Tuscarawas , Ohio,39157,2010,234568.0,15106,25423,38882,0.14868718005174214,0.06846311620340903,0.4890137966274911,0.131,0.051,0.067,0.185,0.048,0.123,0.8335365437740868,0.10926895399201936,0.005452576651546672,0.011885679206029807,0.007046997032843355,0.0193334129122472,0.013475836431226766,0.4207599629286377,0.772,0.087,0.2888698864027539,0.6971200709651795,0.1449431652579423,0.979489355682863
4,Warren , Ohio,39165,2010,1506008.0,22877,38968,66499,0.05114263084495887,0.04536054046601407,0.5042141794744671,0.138,0.07,0.086,0.177,0.04,0.135,0.8086583869408396,0.0460641643337884,0.0013306702222033347,0.09260043771347827,0.0002051781929445262,0.0238398468002826,0.027301315796463232,0.4343226821698649,0.758,0.23399999999999999,1.2099675237137737,1.1245193275342047,0.05609074996993707,0.9919113929868101
5,Wayne , Ohio,39169,2010,131642.0,16839,35077,46288,0.11768058635460915,0.06648233486943164,0.4910941475826972,0.2,0.056,0.066,0.255,0.091,0.21,0.8878093617538475,0.06441713131067593,0.0004102034305160967,0.0049300375260175324,0.0004557815894623296,0.007520396226128439,0.03445708816335212,0.42805392244195023,0.821,0.16,0.20868528701229289,0.31620191068353226,0.11020948711774621,0.9636251920122888
6,Wood , Ohio,39173,2010,926197.0,15539,33776,47485,0.14086073417590564,0.0428580995111498,0.4897959183673469,0.136,0.058,0.046,0.151,0.068,0.105,0.4511416037840762,0.4406200840641893,0.0017048208966343016,0.05779655947924685,0.0002537257192584299,0.02909640173742735,0.01938680431916752,0.41115901924190745,0.828,0.177,1.375198995044726,1.6105182405560206,0.0932644680580839,0.9923659010245764
7,Canadian , Oklahoma,40017,2010,280686.0,12651,43619,56072,0.09377395226726104,0.05708022085092562,0.4969818913480885,0.16399999999999998,0.043,0.117,0.276,0.103,0.152,0.8875398131720142,0.07248669331566235,0.002664899567488225,0.012611957846134114,0.0,0.007374788910027575,0.017321847188673464,0.4068453086712513,0.867,0.23600000000000002,0.3367965757647617,0.40118285131610154,0.07778760850331189,1.0
8,Cleveland , Oklahoma,40027,2010,136446.0,26347,41086,50967,0.1440635581755721,0.08013085806629616,0.5027349577324713,0.192,0.065,0.116,0.274,0.111,0.188,0.9320390484147576,0.04207525321372558,0.0010700203743605528,0.0,0.0,0.002521143895753632,0.022294534101402752,0.4058906137321137,0.8590000000000001,0.268,0.09527967161346641,0.07904929380954188,0.11216517273478438,1.0
9,Comanche , Oklahoma,40031,2010,149834.0,13168,34833,43817,0.17647885221575393,0.08077797819778841,0.5083579154375615,0.229,0.096,0.091,0.32299999999999995,0.115,0.154,0.934948009130104,0.03014002162393048,0.0002736361573474645,0.006907644459868922,0.0,0.00902999319246633,0.01870069543628282,0.3417375455650061,0.731,0.188,0.17801890416160387,0.1357472372417983,0.13749160182917577,1.0
10,Creek , Oklahoma,40037,2010,161746.0,10540,27459,40640,0.1547668834633633,0.11241561491047844,0.5007488766849725,0.241,0.114,0.117,0.33,0.09,0.163,0.733804854524996,0.19947943071235147,0.004253582777935775,0.013923064558010708,0.00021020612565380287,0.01055976654754986,0.0377690947535024,0.3943074003795066,0.741,0.138,0.42437608007590133,0.4777031531309297,0.14653399911881335,0.9946189218276098
11,Muskogee , Oklahoma,40101,2010,799553.0,10246,28996,39910,0.2127244582043344,0.08297320656871217,0.4799791991679666,0.13,0.106,0.085,0.258,0.081,0.132,0.8732892003406904,0.039290703680681584,0.0019235747974180575,0.038956767093613565,0.00037646034721900866,0.021258127979008272,0.02490516576136917,0.3295920359164552,0.81,0.192,1.465274905426508,2.0304088919578374,0.21568406840684068,0.9985183355969873
