,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Alaska,2,2018,737438,88000,59339,74346,0.10906281168977998,0.06746683951017385,0.5192307692307693,0.202,0.092,0.095,0.217,0.077,0.131,0.6435185059625351,0.034168296182187516,0.15102422169728166,0.06289477895090842,0.010791415685115224,0.013262131867356985,0.08434064965461502,0.3853295454545455,0.8920568181818181,0.3260568181818182,0.21910181818181818,0.2585681818181818,0.1092708337425506,0.9926387184888539
1,Maine,23,2018,1338404,276069,40435,55602,0.11639621150267178,0.09066143497757848,0.4900560938296787,0.16899999999999998,0.051,0.08,0.192,0.056,0.113,0.94250540195636,0.01416164327064175,0.006400160190794409,0.011717687633928171,0.00034742872854534205,0.002438725526821498,0.022428952692908868,0.44453741637054506,0.8964280668963194,0.3026199971746194,0.18477682753224733,0.20176115391441996,0.1292759864423898,0.9986136023916293
2,North Carolina,37,2018,10383620,1688574,41169,53855,0.14037747498101813,0.0867004842196544,0.486652977412731,0.14400000000000002,0.062,0.087,0.212,0.071,0.136,0.6836314310423532,0.2140422126387522,0.011638041453751195,0.029535171741646937,0.0009840498785587302,0.031456274401412986,0.028712818843524706,0.35271299925262384,0.8473155455431625,0.26876938766083097,0.1658822059323429,0.1758685139058164,0.1159290552920606,0.9945477533966629
3,Missouri,29,2018,6126452,1035074,41038,54478,0.13229731589536275,0.0821918906138544,0.490316004077472,0.158,0.065,0.085,0.231,0.07400000000000001,0.138,0.8218781441526025,0.11496490954307648,0.004522193269448614,0.019818485479034198,0.0012054285253520311,0.009231607462198348,0.028379231568287814,0.3986429955732634,0.8699455304644885,0.23365769017480875,0.16487107298608603,0.1939812998877375,0.10686066980285082,0.9947573115116736
4,Pennsylvania,42,2018,12807060,2332369,41762,60905,0.12246812974019687,0.08303250378763513,0.4897959183673469,0.13699999999999998,0.055,0.078,0.208,0.07,0.139,0.8008148630520978,0.11153270149433203,0.0016723588395775456,0.03552938769709832,0.0003910343201328017,0.02401581627633509,0.02604383832042639,0.3952826503867956,0.8727902831841788,0.24428381615430492,0.1764370016065211,0.18258774662156801,0.13402982608124622,0.9963248293623241
5,Michigan,26,2018,9995915,1720453,42816,56697,0.1405086532562918,0.08987584066526128,0.4929006085192698,0.147,0.054000000000000006,0.081,0.211,0.076,0.139,0.7828482935279062,0.13773136326189248,0.005303366425184688,0.032596115513187134,0.0003908596661736319,0.011851541354643372,0.029278460251012536,0.3904826228905992,0.8851750091400347,0.2474447136887785,0.14898723359487298,0.17193436844830984,0.12603848017898323,0.9968815878019567
6,Nebraska,31,2018,1929268,303998,42851,59566,0.11002846414147392,0.07563732399184445,0.4982438534872052,0.158,0.058,0.066,0.2,0.061,0.116,0.8640531020055275,0.04728269996703413,0.00961763736297912,0.0237286888083978,0.0006681290520549763,0.024088410734019332,0.030561332069987162,0.4281146586490701,0.902292120342897,0.2554753649695064,0.22558118474463648,0.18960322107382285,0.08371369972174686,0.9968253533846932
7,Oregon,41,2018,4190713,739611,47314,63426,0.12559012064256472,0.07905896371790877,0.4962216624685138,0.161,0.057,0.081,0.2,0.068,0.129,0.8387553621543637,0.01957805270845319,0.011704690824687829,0.04550061051663524,0.004476087959256575,0.03292351444730288,0.04706168138930058,0.4273814207738933,0.9169482335984727,0.3189595611747256,0.15638181557602582,0.20502399234192029,0.14698988396129198,0.9942506565481151
8,Wyoming,56,2018,577737,96557,44870,61584,0.11058550802841452,0.07272669370077069,0.506416584402764,0.188,0.062,0.066,0.174,0.038,0.086,0.9146947486486066,0.006347178733576004,0.028014477175600662,0.010051286311937784,0.0019230203362429613,0.015228382464685487,0.023740906329350556,0.4559586565448388,0.9057655063848297,0.2482575059291403,0.21063204117774992,0.22594943919135846,0.050140715390094334,0.9980361351139042
9,California,6,2018,39557045,5667337,54272,75277,0.12801452628690468,0.10525782135517277,0.4972347913524384,0.134,0.061,0.094,0.217,0.097,0.161,0.5949733606238787,0.057735606893790974,0.007654565703782979,0.14716936009755027,0.0039370736615942864,0.13785733995044372,0.05067269306895902,0.3125497919040283,0.8064110180848607,0.32202831770900514,0.18191975578653607,0.13981416668886992,0.08525509477344229,0.9894471016318552
