,county,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Jefferson , Kentucky,21111,2019,891720.0,127864,46406,59049,0.13956980222093435,0.09798904281004596,0.4826694257630626,0.125,0.05,0.079,0.232,0.08,0.136,0.6831796976629435,0.13479006863140894,0.0035324989907145744,0.05788588346117615,0.0005965998295429059,0.07217848652043242,0.047836764903781456,0.3585528373897266,0.890837139460677,0.28206531940186447,0.19641737314646815,0.1674669961834449,0.09082024454888764,0.9988048160299037
1,Hennepin , Minnesota,27053,2019,403253.0,183735,58701,82369,0.09582316098059604,0.07290520424293542,0.4952044422009086,0.123,0.041,0.073,0.149,0.056,0.118,0.8530401509722184,0.08976994591484751,0.0014110248404847574,0.02130176340907569,0.0,0.017408425975752196,0.01706868888762142,0.39222249435328055,0.9349661196832394,0.42644025362614635,0.22232961058045553,0.15079326203499605,0.0797712588306507,0.9961123182536712
2,Olmsted , Minnesota,27109,2019,1147532.0,25630,55695,80096,0.0626704221014609,0.036925701750822604,0.4941831057157309,0.151,0.058,0.05,0.162,0.059,0.097,0.5977794083302252,0.10157625233980404,0.003192939281867521,0.1988571996249342,0.0006919197024570993,0.056045495899025036,0.041856784821686886,0.4039016777214202,0.9225516972298088,0.3575107296137339,0.17436714787358565,0.17748731954740538,0.06516340367182144,0.9955721655766341
3,Scott , Minnesota,27139,2019,207641.0,16735,60359,108761,0.03691671990322274,0.04391617141069753,0.4977398292315419,0.108,0.056,0.062,0.17800000000000002,0.059,0.098,0.9504384972139414,0.011433194792935884,0.006626822255720209,0.011144234520157387,0.0002696962545932643,0.004040627814352657,0.01604692714829923,0.4256348969226173,0.8894532417089931,0.27063041529728116,0.24702557514191814,0.14484613086345982,0.02987916229552784,0.9939318110728809
4,Faulkner , Arkansas,5045,2019,134083.0,16110,42717,57642,0.1628895301247654,0.15285239191609107,0.483204134366925,0.172,0.062,0.061,0.183,0.076,0.094,0.8673657361485051,0.08968325589373746,0.001096335851673963,0.0065332667079346365,0.0,0.0061081568878977935,0.02921324851025112,0.4068901303538175,0.8771570453134699,0.2777777777777778,0.11741899441340782,0.21247672253258845,0.08160121547194496,1.0
5,Benton , Arkansas,5007,2019,636235.0,38185,50361,69130,0.0911033192231528,0.10133960801090937,0.4969818913480885,0.132,0.043,0.073,0.247,0.046,0.136,0.9140380519776498,0.004760819508514935,0.004785967449134361,0.013799932414909585,0.00969924634765456,0.014170864539046106,0.03874511776309068,0.4253240801361791,0.8734581642006023,0.2944349875605604,0.1444013094146916,0.18821526777530445,0.04076467260220945,0.9857750207224792
6,Sedgwick , Kansas,20173,2019,168424.0,76878,48282,59716,0.12368732937492995,0.06299348206242382,0.4931576279776989,0.141,0.059,0.078,0.229,0.066,0.132,0.8180247470669263,0.025691112905524158,0.03820120647888662,0.00852016339714055,0.0013121645371206006,0.06265140360043699,0.045599202013964765,0.3990738572803663,0.9030671973776633,0.28978381331460235,0.19398668019459403,0.19530945133848435,0.10357012184425388,0.9886068570822956
7,Douglas , Kansas,20045,2019,65204.0,16116,49444,64233,0.15658235062031475,0.050711966025480885,0.4882292732855681,0.174,0.053,0.08,0.26,0.059,0.129,0.7761180295687381,0.19311698668793328,0.01318937488497638,0.011287651064351879,0.0,0.002990614072756273,0.003297343721244096,0.4010300322660711,0.9297592454703401,0.4162323157110946,0.25464743112434846,0.137813353189377,0.052548033314092524,1.0
8,Cumberland , Pennsylvania,42041,2019,868707.0,47750,53726,75391,0.06675405784516733,0.04612546125461255,0.4952044422009086,0.122,0.043,0.078,0.17600000000000002,0.052000000000000005,0.118,0.8494521167666428,0.00578906351623735,0.001117753166487665,0.00989056148966222,0.0,0.11340302311366204,0.020347481947307896,0.4178848167539267,0.8966282722513089,0.30726701570680626,0.20364129842931938,0.17597905759162305,0.06752894729088713,0.9950579862941487
9,Allegheny , Pennsylvania,42003,2019,104897.0,235484,45941,64871,0.10829333135153213,0.07801312714565695,0.4837377387712959,0.13,0.05,0.087,0.21,0.067,0.141,0.8142940217546736,0.07478764883647769,0.001315576231922743,0.01866592943554153,0.0,0.053261771070669324,0.03767505267071508,0.3782847242275484,0.9294134633350886,0.3045217509469858,0.20559289803128875,0.16625333355981722,0.11869468347482567,0.9984566615660501
