,county,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Penobscot , Maine,23019,2014,715597.0,25127,31124,42242,0.19023023843683812,0.082294676021461,0.4921279837480955,0.218,0.055,0.07200000000000001,0.218,0.08,0.13699999999999998,0.551916791154798,0.07287621384662038,0.0067454167639048246,0.1536115998250412,0.005915340617694036,0.12678784287804448,0.08214679491389706,0.4425120388426792,0.79,0.163,0.7493448586779161,1.1606985048752338,0.20869678852625045,1.0
1,York , Maine,23031,2014,,35962,39815,55509,0.11515123772321995,0.07630556507827678,0.486125385405961,0.139,0.059,0.052000000000000005,0.238,0.053,0.115,,,,,,,,0.4448584617095823,0.8340000000000001,0.255,,,0.1261735964744204,0.9972860244543481
2,Allegany , Maryland,24001,2014,209152.0,13871,33228,39653,0.18151199308178964,0.07318022576878162,0.5208433157642549,0.162,0.047,0.109,0.21,0.064,0.16,0.7353408047735618,0.10855263157894736,0.0015634562423500614,0.05615533200734394,0.0,0.06857692013463892,0.029810855263157895,0.42433854804988813,0.8320000000000001,0.147,0.29855162569389376,0.7470726690216999,0.21132615510426606,0.9978980147917478
3,Anne Arundel , Maryland,24003,2014,396962.0,75050,66313,87217,0.061390052889835185,0.040032579922622685,0.4946942900454776,0.111,0.05,0.054000000000000006,0.17800000000000002,0.052000000000000005,0.121,0.9127322010671046,0.04690121472584278,0.002614859860641573,0.015923438515525416,0.0001738201641466941,0.005987978698212927,0.015666486968525954,0.3818520986009327,0.8690000000000001,0.331,0.16474055232511658,0.1316295314057295,0.06932155563734511,0.9968913323830856
4,Baltimore , Maryland,24005,2014,442516.0,130772,46370,68257,0.09749686316706567,0.07360762152351212,0.4736842105263158,0.13,0.061,0.08800000000000001,0.222,0.087,0.161,0.7881477731878621,0.11844769454663788,0.0010259516040097983,0.041236927026367415,0.00026665702483074055,0.021554022905386477,0.029320973704905582,0.3294436117823387,0.847,0.295,0.10624688288012722,0.1415339232863304,0.11299297008347825,0.9890226600829046
5,Calvert , Maryland,24009,2014,104193.0,11616,60838,95110,0.07655571635311144,0.12173073547481132,0.4959677419354839,0.125,0.06,0.062,0.217,0.081,0.12,0.6963135719290163,0.27525841467277073,0.0021210637950726053,0.005499409749215397,0.0,0.005739349092549403,0.015068190761375526,0.4022038567493113,0.866,0.284,0.1592226190599173,0.22959953693181817,0.11317307692307692,1.0
6,Carroll , Maryland,24013,2014,87809.0,25952,47568,85274,0.05302192123916401,0.04128421980840916,0.4941831057157309,0.13,0.031,0.063,0.166,0.039,0.106,0.8493434613763965,0.05304695418465077,0.0005010875878326824,0.02498604926602057,0.0,0.0403717158833377,0.03175073170176178,0.4198905672009864,0.8440000000000001,0.21100000000000002,0.09504295661220716,0.13004542674938346,0.06712098266868585,1.0
7,Cecil , Maryland,24015,2014,157456.0,14187,42361,61940,0.10526054294685798,0.08661475168968558,0.5022399203583873,0.147,0.048,0.076,0.223,0.084,0.189,0.9008548419876028,0.0253023066761508,0.006268417843715068,0.010656945432374759,0.0005144294279036684,0.02159333401077126,0.034809724621481554,0.42947769084373016,0.7829999999999999,0.131,0.1937595579051244,0.34856298977937544,0.10272132837724177,0.9897149573905377
8,Charles , Maryland,24017,2014,114350.0,17429,58097,88803,0.0603376550206039,0.06970304030167335,0.4850669412976314,0.117,0.048,0.063,0.225,0.066,0.16699999999999998,0.8833231307389593,0.09047660690861392,0.0025623087013554877,0.002807170966331439,0.0,0.01014429383471797,0.010686488850021865,0.2964025474783407,0.847,0.243,0.11367422686327386,0.10099855987147859,0.11395604395604396,0.9952274334197502
9,Frederick , Maryland,24021,2014,507531.0,31824,52373,84203,0.060941770287067924,0.062178359715979424,0.4910941475826972,0.15,0.079,0.055,0.198,0.064,0.132,0.8389398874157441,0.1047167562178468,0.00474059712608688,0.017640301774669926,0.0003152516792077725,0.016308363430017084,0.017338842356427492,0.3958333333333333,0.858,0.281,0.3963092430241327,0.3980475813536954,0.07176372861568857,0.9949188977916749
10,Harford , Maryland,24025,2014,73240.0,36565,49455,79649,0.0813378055704317,0.0677127034737372,0.4892747701736465,0.117,0.035,0.077,0.166,0.078,0.133,0.804614964500273,0.12202348443473512,0.0,0.03791643910431458,0.0,0.021245221190606227,0.014199890770071001,0.3910023246273759,0.875,0.23399999999999999,0.05543726186243676,0.0611338175851224,0.07122118218062055,0.9984337416792527
11,Howard , Maryland,24027,2014,101736.0,37630,73804,107490,0.06135318120386735,0.06085274441847344,0.4892747701736465,0.112,0.04,0.071,0.165,0.081,0.14800000000000002,0.8390441928127703,0.12412518675788314,0.0,0.011657623653377368,0.0,0.02098568844853346,0.0041873083274357155,0.3362742492692001,0.924,0.469,0.07554634727610948,0.06426697996279565,0.04523442558663396,0.9799575508449531
12,Montgomery , Maryland,24031,2014,153905.0,140966,77934,97765,0.07006923292114411,0.06486404043925396,0.4815966822187662,0.103,0.047,0.081,0.172,0.064,0.13699999999999998,0.4302849160196225,0.5307949709236217,0.0,0.019882394983918653,0.00024040804392319937,0.0017998115720736817,0.01699749845684026,0.2947164564504916,0.893,0.546,0.03729220581558673,0.03445464856773974,0.06531927839629002,0.9691185869502063
13,Prince George's , Maryland,24033,2014,72087.0,102118,61023,72290,0.10162261644919207,0.059929424430311615,0.4818652849740933,0.08900000000000001,0.047,0.079,0.217,0.078,0.141,0.6673602730034541,0.2872501283171723,0.0020114583766837287,0.01654944719574958,0.001276235659688987,0.0040784052603104574,0.021474052186940783,0.12441489257525608,0.831,0.264,0.01882614429385613,0.01393342217826436,0.1236751763717258,0.9834127474630674
14,St. Mary's , Maryland,24037,2014,126653.0,13166,46791,86417,0.07480135681427443,0.06653870761356366,0.4964753272910373,0.16,0.08199999999999999,0.156,0.27,0.079,0.153,0.9356667429906912,0.016714961351093145,0.01028005653241534,0.021381254293226376,0.0,0.006869162199079374,0.009087822633494669,0.3999696187148716,0.84,0.183,0.15907139662767733,0.1728756693756646,0.07966002195053473,0.9982405630198337
15,Washington , Maryland,24043,2014,1945360.0,23264,32725,55471,0.1418677247548549,0.07582116788321168,0.5017438963627305,0.158,0.052000000000000005,0.076,0.249,0.067,0.158,0.7036512522103878,0.15663938808241148,0.004511247275568532,0.04947053501665501,0.0019898630587654727,0.05326417732450549,0.030473537031706213,0.4185866574965612,0.826,0.171,1.889752004814305,2.7499616987620357,0.15871130441138848,0.9859032846715329
16,Wicomico , Maryland,24045,2014,116508.0,14520,42407,53432,0.1665592552810598,0.0739685028147937,0.4761655316919853,0.174,0.087,0.078,0.222,0.056,0.15,0.9101263432553988,0.044717959281766057,0.0018968654512994813,0.0072527208432039,0.0,0.015707075908950457,0.020299035259381332,0.3422176308539945,0.892,0.29600000000000004,0.21176051157024792,0.32250730330578503,0.1779619829355222,0.9957956245991592
17,Baltimore city, Maryland,24510,2014,114093.0,76707,33205,42665,0.2359596931708629,0.16712806039081174,0.4722955145118734,0.103,0.086,0.119,0.306,0.106,0.196,0.7444979096000631,0.18847782072519784,0.0005083572173577697,0.005530575933668147,0.0,0.03515553101417265,0.025829805509540463,0.15323242989557667,0.7440000000000001,0.212,0.031132498768039422,0.03557086178575619,0.25894004529148545,0.9917354255850698
18,Barnstable , Massachusetts,25001,2014,75562.0,59991,48516,65384,0.07704124668372515,0.055905713553676656,0.4756161510225486,0.133,0.046,0.055,0.14300000000000002,0.057,0.081,0.7087292554458591,0.15404568433868876,0.0060347793864640965,0.024152351711177574,0.002554193906990286,0.02912839787194622,0.07535533733887402,0.4230967978530113,0.965,0.469,0.06995193935757031,0.12490005240786119,0.0754046626331024,0.9988726620548296
19,Berkshire , Massachusetts,25003,2014,70482.0,26665,41554,50211,0.1242836383822881,0.0711592649918641,0.4850669412976314,0.122,0.053,0.057,0.179,0.077,0.139,0.9391759598195284,0.010385630373712438,0.005079311029766465,0.031993984279674245,0.00039726454981413696,0.00824323940864334,0.004724610538860986,0.4327020438777424,0.8740000000000001,0.34299999999999997,0.10787591914494654,0.16126144151509472,0.1422878660475999,0.9997618764138588
