,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Minnesota: Summary level: 040, state:27",4596566,331308,63229,258899,1452,111852,156646,5519952,213389,100359,41568,228598,127426,76099,5249.0,1093.0,678.0,6283.0,2134.0,1332.0,1268.0,270.0,32.0,1645.0,799.0,239.0,4089.0,1611.0,461.0,5148.0,2432.0,578.0,,,,,,,1651.0,142.0,119.0,1044.0,352.0,127.0,1368,513,47,1379,680,38,3319,1435,241,2745,1847,618
"Mississippi: Summary level: 040, state:28",1748734,1134958,13260,26708,631,30583,33852,2988726,90455,42161,11545,98533,54966,27209,34828.0,11215.0,2911.0,42609.0,18477.0,8975.0,37.0,0.0,0.0,227.0,204.0,7.0,521.0,61.0,0.0,802.0,570.0,28.0,,,,,,,778.0,130.0,94.0,422.0,44.0,0.0,309,211,0,588,494,214,1245,164,47,705,367,158
"Missouri: Summary level: 040, state:29",5011507,702946,30888,117335,9193,71031,150100,6093000,236113,111590,42447,262341,151123,73762,20259.0,7171.0,2518.0,26531.0,13485.0,5895.0,1329.0,446.0,206.0,705.0,487.0,86.0,2036.0,987.0,283.0,3866.0,1303.0,239.0,,,,,,,1020.0,253.0,82.0,840.0,414.0,86.0,2061,1182,213,3564,1047,583,4207,1517,480,3216,2532,1159
"Montana: Summary level: 040, state:30",927374,3949,66231,8432,578,3738,32218,1042520,52750,23384,8404,51677,27121,12786,,,,,,,1583.0,307.0,144.0,1748.0,706.0,345.0,0.0,0.0,15.0,288.0,39.0,41.0,,,,,,,,,,,,,680,336,32,455,332,155,681,140,41,658,333,0
"Nebraska: Summary level: 040, state:31",1674863,89879,15865,41548,1227,38348,45386,1907116,72163,35000,14889,77800,46305,25575,1898.0,700.0,259.0,2266.0,1391.0,210.0,378.0,93.0,19.0,408.0,177.0,22.0,683.0,242.0,182.0,1272.0,176.0,133.0,,,,,,,560.0,101.0,21.0,592.0,281.0,276.0,367,88,0,395,310,0,1897,1303,413,1870,1050,397
"Nevada: Summary level: 040, state:32",1966690,260993,34267,244373,20240,274293,139202,2940058,108479,48701,12995,108996,50440,20644,8018.0,3658.0,704.0,9455.0,4182.0,1331.0,1333.0,354.0,85.0,1302.0,760.0,151.0,10334.0,4354.0,849.0,15435.0,7354.0,1719.0,613.0,129.0,4.0,297.0,247.0,123.0,3235.0,1151.0,157.0,3892.0,2841.0,335.0,2101,749,135,2438,1319,362,14579,5635,924,15402,7805,2078
"New Hampshire: Summary level: 040, state:33",1247155,16671,1450,32679,66,8057,28717,1334795,64025,27148,9752,67681,32970,19156,420.0,187.0,28.0,433.0,76.0,31.0,,,,,,,402.0,570.0,79.0,384.0,801.0,46.0,,,,,,,,,,,,,387,49,165,1210,155,318,634,422,0,556,182,384
"New Jersey: Summary level: 040, state:34",6090908,1194585,20185,854181,3754,543530,237326,8944469,280228,132566,58283,324307,182644,115408,33624.0,15055.0,4581.0,49101.0,26204.0,10966.0,678.0,264.0,32.0,887.0,244.0,60.0,28205.0,11679.0,2017.0,33342.0,12709.0,4050.0,,,,,,,9542.0,2652.0,958.0,11158.0,4640.0,1535.0,4606,1505,391,5150,2074,492,36576,15570,4296,45481,22563,8913
"New Mexico: Summary level: 040, state:35",1539634,41043,194133,32346,1428,206526,65905,2081015,79206,38803,12483,88827,45449,19933,1787.0,613.0,79.0,1327.0,292.0,200.0,5127.0,2040.0,850.0,6225.0,3959.0,1443.0,1086.0,160.0,55.0,1822.0,386.0,64.0,,,,,,,6848.0,2930.0,1346.0,7665.0,4229.0,1408.0,1248,1205,229,1612,481,644,29278,15909,4680,35292,18213,7839
"New York: Summary level: 040, state:36",12530463,3080534,73052,1668036,9236,1767107,616861,19745289,590280,280204,121670,672631,379659,235957,90895.0,39708.0,12713.0,135442.0,69307.0,35133.0,2237.0,725.0,158.0,3429.0,1885.0,740.0,56944.0,26616.0,5964.0,62704.0,29295.0,12989.0,167.0,0.0,66.0,236.0,139.0,191.0,33003.0,14188.0,3775.0,45577.0,21370.0,8477.0,9195,3944,1328,12297,7158,2385,84548,35356,12157,113093,59292,25064
"North Carolina: Summary level: 040, state:37",6989065,2182212,120843,275428,6081,304293,268866,10146788,347988,160642,49205,393983,215667,88343,71992.0,24926.0,6355.0,95360.0,42687.0,18107.0,4546.0,1771.0,149.0,4721.0,2532.0,784.0,6473.0,1714.0,847.0,7549.0,2053.0,1093.0,,,,,,,2851.0,762.0,123.0,2601.0,1248.0,483.0,3173,1023,448,3589,2120,643,9670,4272,890,9761,5195,1464
"North Dakota: Summary level: 040, state:38",660919,19250,41649,9200,233,5114,21588,757953,28216,13660,6363,28450,18048,11402,91.0,0.0,0.0,185.0,0.0,0.0,697.0,225.0,97.0,924.0,774.0,11.0,,,,,,,,,,,,,,,,,,,22,25,57,80,86,0,139,194,0,458,74,47
"Ohio: Summary level: 040, state:39",9476221,1443510,18081,239025,4031,109073,324432,11614373,450295,210194,77201,505585,281528,151823,42417.0,19130.0,5804.0,56341.0,30600.0,13935.0,291.0,377.0,250.0,712.0,86.0,166.0,5216.0,2479.0,464.0,7446.0,3148.0,809.0,,,,,,,1902.0,486.0,74.0,1579.0,534.0,163.0,3652,1187,449,4838,2610,589,6741,2193,969,7286,3189,1446
"Oklahoma: Summary level: 040, state:40",2841467,287373,297948,79246,6143,107778,303606,3923561,135342,67330,21251,150831,87938,38326,7890.0,2587.0,866.0,10154.0,4881.0,1207.0,8219.0,3074.0,663.0,10826.0,3460.0,1578.0,1685.0,835.0,173.0,2359.0,1210.0,53.0,,,,,,,1573.0,271.0,193.0,1106.0,558.0,84.0,6339,2082,590,6871,3878,1804,4765,1179,284,5068,2415,361
"Oregon: Summary level: 040, state:41",3455810,79575,45426,169459,14823,120779,207593,4093465,185273,79339,29968,201394,92268,54408,2578.0,489.0,0.0,1971.0,978.0,468.0,2143.0,496.0,290.0,1014.0,558.0,329.0,4601.0,1758.0,1122.0,6991.0,3228.0,908.0,280.0,195.0,0.0,499.0,160.0,0.0,1377.0,433.0,48.0,1752.0,645.0,65.0,2907,788,657,3867,2037,606,6938,2566,651,7847,2044,1456
"Pennsylvania: Summary level: 040, state:42",10340877,1407047,23556,423180,3417,262396,323754,12784227,521579,250962,104002,580207,338084,204830,38930.0,15922.0,5387.0,56595.0,27482.0,13885.0,642.0,132.0,292.0,782.0,103.0,29.0,11582.0,4452.0,1280.0,13684.0,5520.0,2149.0,,,,,,,3017.0,1277.0,171.0,4622.0,1171.0,412.0,3148,1364,645,4440,2184,387,14620,5606,1211,16136,6353,2462
"Rhode Island: Summary level: 040, state:44",850105,67526,5304,36875,1437,62292,32887,1056426,41389,19640,7260,47776,25529,18966,1580.0,848.0,0.0,1911.0,924.0,603.0,,,,,,,622.0,456.0,82.0,645.0,590.0,59.0,,,,,,,1275.0,393.0,229.0,756.0,520.0,420.0,412,95,0,382,145,0,2472,847,161,3022,1317,583
"South Carolina: Summary level: 040, state:45",3342552,1337644,16010,76870,2561,77386,108096,4961119,187359,82079,24029,207328,98598,46150,47167.0,16866.0,3699.0,59994.0,27217.0,11677.0,879.0,189.0,0.0,784.0,270.0,0.0,2148.0,589.0,55.0,3942.0,1280.0,397.0,,,,,,,377.0,64.0,114.0,1141.0,173.0,193.0,1144,188,110,2294,866,468,3140,1280,379,4630,1776,894
"South Dakota: Summary level: 040, state:46",732939,14524,77378,12953,218,5894,21548,865454,36386,17201,6563,36554,20923,13674,43.0,6.0,0.0,42.0,11.0,46.0,1186.0,316.0,59.0,1966.0,1108.0,70.0,120.0,0.0,42.0,448.0,100.0,50.0,,,,,,,,,,,,,74,94,0,186,11,47,93,16,42,730,148,16
"Tennessee: Summary level: 040, state:47",5177478,1114434,19053,116375,4798,79206,139850,6651194,255376,118652,31957,285490,154652,64695,31330.0,11589.0,3125.0,41419.0,17733.0,8122.0,613.0,56.0,0.0,647.0,217.0,10.0,3262.0,467.0,256.0,3445.0,1908.0,357.0,,,,,,,405.0,122.0,0.0,896.0,389.0,124.0,1911,1012,103,3190,1026,180,2885,1437,301,4193,1499,869
"Texas: Summary level: 040, state:48",20702709,3362283,135275,1300300,25228,1622087,714714,27862596,775633,354406,115539,865323,459090,207827,84411.0,31045.0,8047.0,112012.0,49429.0,20485.0,4967.0,1384.0,808.0,4138.0,1737.0,572.0,35764.0,14413.0,2919.0,44105.0,17081.0,5106.0,335.0,40.0,0.0,308.0,173.0,214.0,28419.0,11598.0,2849.0,31411.0,17179.0,7623.0,10216,4496,1017,14665,3567,2492,214113,89556,25145,251528,123227,49758
"Utah: Summary level: 040, state:49",2633283,32800,31702,70150,29463,164775,89044,3051217,85754,39056,15089,92955,49799,19168,463.0,48.0,82.0,312.0,0.0,112.0,802.0,339.0,149.0,625.0,401.0,47.0,1661.0,438.0,222.0,2534.0,1163.0,67.0,151.0,33.0,0.0,653.0,0.0,483.0,1273.0,579.0,171.0,1455.0,574.0,122.0,894,301,74,759,660,22,4672,1666,718,5795,3067,519
"Vermont: Summary level: 040, state:50",589379,7893,2177,9406,252,3163,12324,624594,32133,13584,4677,34336,16531,9486,,,,,,,,,,,,,348.0,0.0,0.0,707.0,12.0,0.0,,,,,,,,,,,,,457,22,19,334,160,0,215,32,23,636,86,24
"Virginia: Summary level: 040, state:51",5707035,1601868,23156,532320,8379,228627,310423,8411808,269473,120823,40603,300946,156005,73983,50925.0,21141.0,5267.0,66537.0,31571.0,14157.0,1177.0,472.0,54.0,1290.0,421.0,52.0,15017.0,7481.0,1355.0,20960.0,8366.0,1954.0,,,,,,,1405.0,380.0,100.0,1614.0,885.0,722.0,3959,1149,676,3801,1976,719,8069,1751,1465,12247,4526,2022
"Washington: Summary level: 040, state:53",5516602,266977,94637,597215,48182,350251,414136,7288000,275871,117506,42677,297596,141826,73812,6426.0,2313.0,833.0,6801.0,2755.0,1303.0,2739.0,1041.0,154.0,3321.0,1147.0,422.0,17428.0,7745.0,3065.0,25224.0,12689.0,5018.0,530.0,698.0,17.0,728.0,473.0,69.0,3529.0,672.0,366.0,3265.0,909.0,1197.0,5083,1918,841,6043,2041,722,11349,3965,761,12200,4715,2372
"West Virginia: Summary level: 040, state:54",1704195,69721,3851,14133,404,7494,31304,1831102,93785,41583,14103,101603,52417,26704,2908.0,903.0,0.0,3038.0,1649.0,489.0,,,,,,,411.0,159.0,0.0,521.0,185.0,166.0,,,,,,,93.0,0.0,0.0,70.0,0.0,259.0,609,158,0,903,445,24,586,131,45,1242,196,113
"Wisconsin: Summary level: 040, state:55",4941688,361653,52608,155252,1534,125644,140330,5778709,241771,113371,42379,256763,143627,80421,8093.0,2841.0,800.0,9876.0,4297.0,2058.0,1250.0,814.0,76.0,1710.0,295.0,136.0,2589.0,1292.0,336.0,2671.0,1435.0,767.0,,,,,,,1264.0,256.0,226.0,558.0,597.0,161.0,1242,343,178,1343,791,364,5146,1602,470,4955,2538,713
"Wyoming: Summary level: 040, state:56",538819,5970,13194,6012,420,5782,15304,585501,26023,10089,3703,25635,13151,6001,,,,,,,585.0,34.0,0.0,424.0,228.0,17.0,,,,,,,,,,,,,,,,,,,123,97,48,357,91,0,882,633,200,1532,955,466
"Puerto Rico: Summary level: 040, state:72",2278731,395069,8082,5691,193,575686,147855,3411307,115310,63038,19392,141750,83173,37786,19886.0,9965.0,2757.0,22785.0,11819.0,5478.0,,,,,,,,,,,,,,,,,,,22672.0,12973.0,2994.0,28048.0,15559.0,5292.0,6398,3263,840,6801,3583,1922,162912,88564,25763,198556,113864,50235
"Alabama: Summary level: 040, state:01",3316384,1301102,24509,65611,1503,70333,83858,4863300,170282,78387,24889,192209,108545,45541,39354.0,15624.0,3627.0,52507.0,25257.0,11341.0,650.0,445.0,0.0,966.0,440.0,233.0,1511.0,510.0,126.0,2672.0,787.0,129.0,,,,,,,135.0,384.0,0.0,953.0,133.0,32.0,1949,680,217,2408,660,254,2132,888,176,3053,1669,550
"Alaska: Summary level: 040, state:02",477895,23753,108056,45580,9937,12712,63961,741894,21587,6683,1649,18526,6013,3589,382.0,176.0,64.0,752.0,175.0,267.0,2648.0,954.0,242.0,3140.0,1465.0,381.0,1746.0,360.0,41.0,1142.0,765.0,351.0,64.0,42.0,0.0,191.0,44.0,0.0,30.0,0.0,89.0,0.0,0.0,20.0,756,146,78,1133,140,1,283,84,89,313,81,20
"Arizona: Summary level: 040, state:04",5254944,299674,306247,220438,14140,585948,249680,6931071,287112,153116,46838,318797,172119,72216,8689.0,2976.0,802.0,8991.0,3863.0,1133.0,6768.0,3084.0,800.0,9359.0,3964.0,1562.0,6174.0,2574.0,819.0,9221.0,4195.0,1205.0,463.0,103.0,37.0,642.0,0.0,0.0,9028.0,3596.0,713.0,10812.0,5039.0,1127.0,3857,1326,361,4463,1373,509,41049,16430,5879,47839,23104,8246
"Arkansas: Summary level: 040, state:05",2290066,464516,18859,41781,8808,86797,77421,2988248,115491,58628,16259,130187,70502,34319,13861.0,4568.0,1209.0,16804.0,8049.0,3035.0,493.0,190.0,44.0,646.0,124.0,139.0,757.0,559.0,19.0,1456.0,537.0,120.0,,,,,,,1149.0,62.0,0.0,744.0,417.0,0.0,923,1077,318,1777,727,440,2744,734,126,3151,955,138
"California: Summary level: 040, state:06",23420234,2265280,290133,5602074,150521,5642125,1879650,39250017,1020765,485094,190852,1131585,600407,343691,74971.0,33591.0,9647.0,90866.0,47508.0,21168.0,9585.0,3347.0,1087.0,10944.0,5506.0,2885.0,208013.0,105603.0,36946.0,260861.0,138984.0,66679.0,4063.0,1514.0,925.0,4324.0,1983.0,809.0,94456.0,35800.0,11593.0,115087.0,52673.0,19756.0,28101,11633,4268,38418,15217,7234,288034,121991,43345,346181,171610,77817
"Colorado: Summary level: 040, state:08",4654921,234142,54743,175951,8325,228102,184361,5540545,199883,84987,25783,216569,102184,49290,6505.0,2605.0,688.0,7491.0,2449.0,1633.0,2406.0,712.0,110.0,1552.0,375.0,68.0,4935.0,1376.0,545.0,6586.0,2189.0,1113.0,177.0,102.0,0.0,43.0,0.0,0.0,4019.0,1397.0,40.0,4809.0,1813.0,537.0,2763,668,93,2481,1749,331,22025,9287,2676,24963,12517,3483
"Connecticut: Summary level: 040, state:09",2741892,378932,9887,161950,1259,171008,111524,3576452,133164,63264,26342,150032,82309,56687,10066.0,4177.0,1211.0,13679.0,7591.0,2656.0,51.0,226.0,114.0,129.0,27.0,42.0,4390.0,1130.0,293.0,4568.0,2218.0,435.0,,,,,,,2112.0,644.0,471.0,3219.0,1807.0,301.0,980,159,50,1158,758,93,9511,3057,1384,11249,5477,2546
"Delaware: Summary level: 040, state:10",659091,209911,4055,35646,2053,15595,25714,952065,37867,17161,6135,42664,22198,9902,6643.0,2944.0,434.0,8485.0,4276.0,1224.0,,,,,,,895.0,448.0,210.0,1878.0,643.0,0.0,,,,,,,458.0,15.0,30.0,472.0,0.0,6.0,230,82,145,520,30,70,1381,201,128,1569,327,251
"District of Columbia: Summary level: 040, state:11",277268,320554,2004,26436,41,37132,17735,681170,8665,3913,781,8607,4213,1925,10474.0,4815.0,1937.0,15169.0,8891.0,4891.0,,,,,,,559.0,154.0,0.0,674.0,305.0,207.0,,,,,,,248.0,101.0,0.0,998.0,122.0,0.0,176,74,95,219,0,184,1372,256,0,1545,601,401
