,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Florida: Summary level: 040, state:12",15574165,3310428,52738,559393,12540,570424,532751,20612439,918295,517491,188947,1041070,607770,304888,96923.0,40910.0,11888.0,121729.0,59026.0,26454.0,2287.0,801.0,287.0,1673.0,1540.0,105.0,20287.0,8021.0,1413.0,28409.0,11122.0,3852.0,430.0,131.0,0.0,847.0,209.0,0.0,10185.0,5810.0,1580.0,15839.0,6096.0,2082.0,9314,3896,910,10952,6203,1092,143842,76634,26466,187068,109972,50403
"Georgia: Summary level: 040, state:13",6054861,3254495,37939,398897,6503,299220,258456,10310371,285109,122690,35166,318633,161215,68293,86422.0,29611.0,6075.0,121718.0,50771.0,17854.0,544.0,74.0,0.0,1790.0,12.0,408.0,9400.0,4967.0,978.0,12220.0,4493.0,1429.0,,,,,,,2430.0,306.0,340.0,2044.0,1263.0,44.0,2340,1960,429,5163,1210,895,10588,3823,900,11867,5468,1861
"Hawaii: Summary level: 040, state:15",357994,25898,2649,543448,144568,12321,341679,1428557,23384,7934,2932,20908,7705,4664,680.0,33.0,37.0,26.0,113.0,0.0,,,,,,,30594.0,17134.0,8005.0,36222.0,23198.0,18816.0,4908.0,1769.0,683.0,5175.0,1784.0,1240.0,149.0,123.0,41.0,206.0,58.0,104.0,7624,3177,664,8752,3162,1244,2219,767,326,2450,928,730
"Idaho: Summary level: 040, state:16",1510119,11437,26596,24406,2375,66137,42070,1683140,71569,32180,11644,75843,37736,16373,0.0,81.0,0.0,17.0,29.0,0.0,1139.0,238.0,11.0,780.0,198.0,120.0,1019.0,124.0,51.0,1372.0,204.0,66.0,,,,,,,431.0,487.0,244.0,507.0,172.0,49.0,1170,148,131,994,459,199,2520,1432,720,3604,1516,208
"Illinois: Summary level: 040, state:17",9123763,1813477,30470,684783,4851,822784,321411,12801539,402188,190489,71328,452898,249355,150443,53479.0,23768.0,7137.0,76058.0,39379.0,16859.0,1407.0,529.0,182.0,994.0,297.0,231.0,23247.0,9879.0,2348.0,26800.0,13338.0,4080.0,,,,,,,13509.0,4369.0,1071.0,12964.0,6905.0,1900.0,4061,1441,797,6098,1965,626,36490,14819,3480,40500,19820,6578
"Indiana: Summary level: 040, state:18",5536418,617745,17515,141451,3526,157755,158643,6633053,246370,114267,38111,277051,153182,76738,16006.0,7061.0,2233.0,21242.0,10285.0,4691.0,780.0,361.0,23.0,1097.0,192.0,44.0,2525.0,721.0,131.0,4132.0,1269.0,334.0,,,,,,,2916.0,432.0,289.0,2710.0,968.0,337.0,1603,772,71,2619,889,701,7035,1774,723,6740,2756,862
"Iowa: Summary level: 040, state:19",2834162,111867,10488,74805,3949,42129,57293,3134693,130948,64531,25811,141219,85498,51342,1704.0,765.0,217.0,1898.0,920.0,386.0,470.0,122.0,0.0,519.0,115.0,24.0,899.0,492.0,150.0,1459.0,678.0,151.0,,,,,,,404.0,0.0,56.0,208.0,87.0,240.0,694,415,269,550,301,40,1956,288,85,1705,793,715
"Kansas: Summary level: 040, state:20",2458966,166551,21620,79741,2922,74123,103366,2907289,108687,51889,20541,117152,67532,38861,5367.0,1918.0,588.0,5585.0,1648.0,2182.0,793.0,376.0,25.0,946.0,345.0,87.0,1634.0,469.0,39.0,2358.0,818.0,238.0,,,,,,,1139.0,278.0,40.0,1373.0,272.0,136.0,870,967,103,1430,699,271,5252,1853,365,5256,1309,1010
"Kentucky: Summary level: 040, state:21",3866333,366157,11140,61311,2307,37591,92135,4436974,179733,78011,25813,201828,109157,46079,10341.0,4392.0,824.0,12490.0,6047.0,2334.0,,,,,,,998.0,271.0,59.0,1690.0,590.0,234.0,,,,,,,391.0,332.0,0.0,212.0,45.0,56.0,1045,457,13,1384,596,271,1407,240,115,1502,400,400
"Louisiana: Summary level: 040, state:22",2901495,1514755,25508,77921,1030,68208,92749,4681666,135991,63195,19944,151934,81634,39599,45020.0,17200.0,4238.0,59737.0,26687.0,10979.0,705.0,307.0,212.0,1101.0,394.0,290.0,2500.0,803.0,322.0,2554.0,794.0,568.0,,,,,,,788.0,212.0,57.0,88.0,584.0,168.0,1473,1209,160,1674,415,273,4711,2006,514,4816,3205,563
"Maine: Summary level: 040, state:23",1257120,19963,7893,17499,214,2450,26340,1331479,71619,28843,13904,77088,39879,20804,225.0,0.0,0.0,33.0,4.0,0.0,342.0,152.0,0.0,345.0,119.0,28.0,432.0,57.0,0.0,544.0,157.0,238.0,,,,,,,,,,,,,468,55,181,552,285,17,294,192,0,323,379,84
"Maryland: Summary level: 040, state:24",3397255,1793593,15234,376518,2480,230326,201041,6016447,161539,73476,30335,180857,96817,57282,56053.0,22315.0,5552.0,77712.0,36682.0,11882.0,782.0,87.0,126.0,764.0,61.0,267.0,13413.0,6185.0,1372.0,15302.0,7263.0,2343.0,,,,,,,3014.0,884.0,0.0,3272.0,1160.0,690.0,2283,741,155,3376,1922,450,7416,2891,906,9907,4157,2410
"Massachusetts: Summary level: 040, state:25",5350175,506677,12547,440845,3758,285412,212365,6811779,252310,115274,46835,290575,157737,96878,13058.0,5190.0,1671.0,16692.0,9389.0,2899.0,410.0,76.0,38.0,97.0,154.0,285.0,10640.0,5842.0,1099.0,12749.0,6280.0,1942.0,,,,,,,5293.0,1430.0,482.0,5777.0,2291.0,1164.0,2172,1266,222,3095,2000,577,12474,4856,1128,16320,7330,2265
"Michigan: Summary level: 040, state:26",7793481,1363336,51161,292514,2967,118621,306220,9928300,386364,175109,65353,419161,227433,120440,43669.0,15603.0,6485.0,56367.0,27100.0,14258.0,2133.0,558.0,158.0,2118.0,619.0,416.0,7465.0,2927.0,942.0,9254.0,3350.0,1295.0,,,,,,,1699.0,471.0,173.0,2078.0,753.0,328.0,4589,1270,163,5306,2864,560,8663,2913,1109,8216,3781,1752
