,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E
"Worcester County, Massachusetts: Summary level: 050, state:25> county:027",126050,108399,37636,40725,70402,28.1,7.3,42688,31384,19853,13102,19023,798786,83428,121539,9927,97.6,55681,70369,13.2,5.5,8.7,19.9,8.0,14.2,10468,11315,36233,308533,121539,201
"Allegan County, Michigan: Summary level: 050, state:26> county:005",18497,16177,4439,43142,62853,17.6,6.7,5937,5526,3615,1431,1988,115361,10710,17868,1462,100.1,8605,9892,14.7,4.4,4.0,15.4,6.0,8.7,1434,1309,3112,44766,17868,24
"Bay County, Michigan: Summary level: 050, state:26> county:017",20729,17334,4173,36557,44770,14.3,4.4,6257,5515,3887,2401,2669,102743,15473,20107,1874,98.9,9010,11719,16.9,6.2,12.2,23.2,6.3,16.1,2112,2063,7621,44907,20107,15
"Berrien County, Michigan: Summary level: 050, state:26> county:021",29701,26618,7322,40020,48629,25.9,9.0,9567,7530,5151,3709,3744,150427,26670,29273,3038,95.9,13140,16561,17.4,8.6,8.3,24.1,8.1,17.4,3248,2499,10063,64166,29273,262
"Calhoun County, Michigan: Summary level: 050, state:26> county:025",22907,20710,4938,40594,45386,20.9,6.1,7675,5765,3281,3056,3130,130776,27087,22056,1985,97.6,10121,12786,15.6,7.2,12.4,25.5,8.5,16.2,2714,1912,10013,54556,22056,80
"Clinton County, Michigan: Summary level: 050, state:26> county:037",12878,11825,2935,46172,62175,20.7,5.3,4998,2774,2403,1287,1416,77735,6031,12692,722,96.1,5887,6991,12.8,3.2,6.3,18.1,5.8,11.3,1158,1376,2380,29959,12692,0
"Eaton County, Michigan: Summary level: 050, state:26> county:045",19328,17615,4105,55530,64522,17.2,4.5,6788,5218,3145,2149,2028,107332,9038,18953,869,96.4,8719,10609,17.8,6.2,7.4,20.9,7.2,12.7,2238,1486,3791,44329,18953,27
"Genesee County, Michigan: Summary level: 050, state:26> county:049",68945,59905,11481,41160,46298,15.5,3.8,23519,16561,10763,9244,8858,402439,73711,67786,7404,93.4,29926,39019,14.1,5.1,10.8,27.3,9.6,16.6,7703,4872,29036,165719,67786,0
"Grand Traverse County, Michigan: Summary level: 050, state:26> county:055",17627,16594,7181,49841,60601,23.6,4.1,5929,4741,2159,2193,2605,90560,9473,17200,1070,97.1,7982,9645,14.3,2.1,6.4,18.2,5.6,12.2,1914,1627,3168,38211,17200,274
"Ingham County, Michigan: Summary level: 050, state:26> county:065",38695,34915,14310,42080,50896,21.9,8.1,12806,11531,5675,4792,3891,271508,54807,38071,3680,94.2,16837,21858,15.1,7.8,8.4,23.5,6.6,14.3,4437,2470,15580,111915,38071,185
"Isabella County, Michigan: Summary level: 050, state:26> county:073",8830,7698,2223,51524,44100,21.5,7.4,2965,2120,1232,1009,1504,64523,15953,8676,567,95.6,3810,5020,20.0,4.5,9.9,23.1,3.5,9.1,841,962,2686,25000,8676,34
"Jackson County, Michigan: Summary level: 050, state:26> county:075",27270,24527,6509,41300,50258,23.0,8.7,8170,7713,4363,4056,2968,148125,19533,26543,1234,101.7,12303,14967,11.9,5.7,7.8,19.2,5.9,11.9,2778,2519,6874,62220,26543,119
"Kalamazoo County, Michigan: Summary level: 050, state:26> county:077",38175,35208,13540,44657,56025,22.8,6.4,12898,9283,6940,4256,4798,254899,35726,37438,1837,96.4,16620,21555,15.9,5.6,8.4,22.4,7.0,14.4,3700,2988,11246,104075,37438,139
"Kent County, Michigan: Summary level: 050, state:26> county:081",85927,75919,24296,42829,61125,24.4,6.3,29638,19897,14732,10294,11366,636894,65013,83469,4913,97.4,38143,47784,12.1,4.4,7.7,19.4,6.0,13.6,6575,7699,22922,240678,83469,801
"Lapeer County, Michigan: Summary level: 050, state:26> county:087",15586,14085,1899,46300,55866,15.0,6.9,5777,3728,3090,1645,1346,86395,6985,15267,1204,102.3,7285,8301,15.2,3.8,7.8,18.4,3.9,9.6,1471,1195,3846,34271,15267,31
"Lenawee County, Michigan: Summary level: 050, state:26> county:091",17787,15338,3113,42931,56515,21.6,6.8,6695,3944,2414,2512,2222,93207,8963,17043,1021,102.2,7942,9845,13.9,6.1,12.8,20.3,6.5,14.9,2352,1797,3391,38559,17043,38
"Livingston County, Michigan: Summary level: 050, state:26> county:093",30986,29372,9090,48365,80733,22.1,9.3,10320,9194,5662,2769,3041,188160,9857,30553,1150,101.1,14547,16439,14.9,4.0,5.3,15.2,4.8,9.7,3196,2683,3506,72726,30553,0
"Macomb County, Michigan: Summary level: 050, state:26> county:099",145146,122350,27130,42468,60380,18.8,8.3,45232,37999,24184,18934,18797,860170,97195,141837,12988,94.8,62588,82558,12.8,5.3,8.2,22.3,8.0,15.5,14725,11907,37285,346457,141837,917
"Marquette County, Michigan: Summary level: 050, state:26> county:103",12119,11255,3626,41654,49008,18.5,4.4,4634,2521,2178,1534,1252,62911,12235,11528,719,102.3,5907,6212,15.2,3.7,6.1,22.0,8.1,10.7,1464,1457,2646,25725,11528,0
"Midland County, Michigan: Summary level: 050, state:26> county:111",15022,13810,4123,43098,61624,13.3,1.6,4469,3785,3044,1282,2442,82132,8886,14612,1105,97.3,6619,8403,18.9,6.1,9.5,18.0,6.8,13.5,1242,1583,3697,34096,14612,49
"Monroe County, Michigan: Summary level: 050, state:26> county:115",26316,22700,3898,42416,59290,14.3,6.1,7200,8358,5031,2622,3105,147874,19321,25886,2678,99.5,11971,14345,15.1,5.3,5.9,17.6,3.6,10.1,3301,1537,7950,59528,25886,135
"Muskegon County, Michigan: Summary level: 050, state:26> county:121",28259,24689,5597,36271,49229,15.6,3.8,10002,7062,4622,3308,3265,166573,25030,27268,2557,98.8,12477,15782,11.2,3.7,10.8,22.7,6.6,10.4,3507,2592,10585,64581,27268,149
"Oakland County, Michigan: Summary level: 050, state:26> county:125",205125,186380,74675,52639,77475,27.1,8.9,67575,54486,34566,22697,25801,1239128,94872,201731,13916,95.8,89692,115433,13.1,4.6,7.1,20.4,7.1,13.1,17524,16239,35991,504944,201731,644
"Ottawa County, Michigan: Summary level: 050, state:26> county:139",41749,36814,11628,43961,68543,28.0,4.9,13798,9584,7332,5144,5891,276163,24308,40885,2324,97.5,18983,22766,14.5,2.8,7.3,16.9,3.9,11.1,3869,3506,4879,104281,40885,105
"Saginaw County, Michigan: Summary level: 050, state:26> county:145",36047,30699,6830,41179,45331,17.8,2.1,11307,8887,6616,4366,4871,184951,32164,35096,2186,94.3,15765,20282,17.7,8.2,9.1,23.2,7.8,13.1,3770,3217,15005,80958,35096,62
"St. Clair County, Michigan: Summary level: 050, state:26> county:147",29445,26042,5539,42591,57362,14.3,4.2,9239,8218,4100,3293,4595,157183,19310,28762,1549,99.2,13308,16137,18.1,5.0,9.1,19.9,5.8,13.0,3975,2513,7888,65117,28762,46
"Shiawassee County, Michigan: Summary level: 050, state:26> county:155",12190,10599,1742,38019,53361,19.0,11.3,4128,3094,2214,1351,1403,67430,6567,11944,672,98.8,5608,6582,11.3,7.8,4.1,20.1,5.1,10.3,1439,1220,3799,27277,11944,0
"Van Buren County, Michigan: Summary level: 050, state:26> county:159",12737,11175,2809,42401,52971,27.8,2.7,4726,3108,2286,1368,1249,74264,8668,12394,698,98.2,6083,6654,15.2,4.1,9.8,29.0,8.8,12.0,1475,969,4199,29037,12394,45
"Washtenaw County, Michigan: Summary level: 050, state:26> county:161",49191,45435,24061,57808,70286,29.0,9.4,17517,12474,8429,4515,6256,347382,45279,48509,2703,98.9,22027,27164,10.9,3.7,6.3,16.6,6.3,11.5,3108,2971,10176,140729,48509,150
"Wayne County, Michigan: Summary level: 050, state:26> county:163",264476,216682,50703,37628,45135,19.2,3.9,91564,63208,44293,30446,34965,1730239,392115,258000,34567,92.9,111755,152721,12.9,6.7,10.5,25.3,10.3,17.7,22781,21006,154527,683986,258000,2040
"Anoka County, Minnesota: Summary level: 050, state:27> county:003",47169,43518,9501,49772,79169,25.4,9.3,17889,11335,8839,4811,4295,347889,16603,46445,2236,99.8,21346,25823,15.6,4.7,6.1,17.6,5.0,9.5,6423,3693,7483,127305,46445,292
"Blue Earth County, Minnesota: Summary level: 050, state:27> county:013",8872,8217,3218,55469,56716,44.6,8.4,2845,2084,1711,1042,1190,63556,11648,8377,603,103.2,3971,4901,15.1,4.1,3.1,9.5,2.3,7.9,1466,951,1879,26098,8377,0
"Carver County, Minnesota: Summary level: 050, state:27> county:019",11410,10925,4082,54341,101271,35.6,3.8,4027,2803,1885,857,1838,101152,3605,11242,615,97.5,5190,6220,16.0,2.8,7.0,19.2,8.5,14.9,1029,1013,677,35721,11242,0
"Dakota County, Minnesota: Summary level: 050, state:27> county:037",57174,52918,18884,50149,80832,28.5,6.6,19638,14643,9614,7291,5988,419457,24307,56288,2626,97.4,25095,32079,12.9,3.7,6.0,15.7,5.8,10.8,6184,5693,9117,160590,56288,208
"Hennepin County, Minnesota: Summary level: 050, state:27> county:053",171145,158375,69328,50368,74592,30.2,7.9,57598,42611,28847,18361,23728,1229487,128608,165550,12657,98.0,74856,96289,13.1,5.3,7.4,17.6,7.1,12.9,15702,13864,42585,507728,165550,1027
"Olmsted County, Minnesota: Summary level: 050, state:27> county:109",23131,21177,8701,55038,77270,26.2,6.2,7273,5219,3858,2590,4191,153075,13837,22342,1331,93.5,10023,13108,17.1,6.4,7.5,18.6,7.2,12.8,2120,2454,5012,61873,22342,0
"Ramsey County, Minnesota: Summary level: 050, state:27> county:123",77084,69846,29356,46309,61962,30.9,7.5,28886,16368,12656,9685,9489,534438,74228,74621,5137,94.7,33143,43941,14.9,6.0,8.9,15.7,6.8,11.4,6635,6327,25368,211123,74621,185
"Rice County, Minnesota: Summary level: 050, state:27> county:131",10357,9032,2888,45000,64014,23.7,7.6,3114,2880,1649,1433,1281,57416,7440,9982,728,102.0,4816,5541,12.7,7.2,6.7,13.2,5.7,10.2,1215,808,1751,23130,9982,0
"St. Louis County, Minnesota: Summary level: 050, state:27> county:137",37307,34203,10315,41432,52890,19.4,3.2,13127,8338,6770,3790,5282,191844,28618,35887,2525,99.7,17079,20228,17.4,4.1,7.9,16.8,4.6,9.7,4635,3320,10119,85213,35887,68
"Scott County, Minnesota: Summary level: 050, state:27> county:139",14759,13318,4298,54154,98538,23.8,8.7,5286,3842,2558,1169,1904,144094,3985,13994,988,103.0,6630,8129,13.9,2.5,10.1,13.5,6.1,13.1,1617,1324,1735,50018,13994,0
"Sherburne County, Minnesota: Summary level: 050, state:27> county:141",10501,9390,2196,43660,87756,28.2,2.0,4466,2241,1741,1181,872,92665,1432,10128,449,107.0,4843,5658,21.6,4.4,8.1,15.5,7.0,10.0,1477,733,616,31869,10128,0
"Stearns County, Minnesota: Summary level: 050, state:27> county:145",23049,19569,5241,43220,63271,27.3,5.5,8533,4375,3962,2893,3286,150136,16929,22309,1698,101.4,10748,12301,20.1,4.9,6.3,16.2,4.6,10.1,3217,2749,5297,59708,22309,0
"Washington County, Minnesota: Summary level: 050, state:27> county:163",37266,35644,12794,59569,91866,26.4,4.6,13867,8401,7212,3811,3975,252527,9631,36576,1587,98.7,17342,19924,13.4,4.9,4.8,15.4,5.9,12.0,3995,3410,3519,92337,36576,53
"Wright County, Minnesota: Summary level: 050, state:27> county:171",16644,14928,2588,43206,79931,19.0,8.0,5105,4730,3306,1876,1627,133170,7284,16203,1337,101.4,7609,9035,14.0,3.1,3.5,19.8,4.7,9.6,1883,1886,1687,47868,16203,0
"DeSoto County, Mississippi: Summary level: 050, state:28> county:033",23116,19867,3543,43909,66440,24.7,9.0,8660,6502,3738,2676,1540,177174,14025,22865,1245,93.8,10121,12995,12.0,4.3,9.6,20.6,8.8,15.9,2873,1988,3936,61764,22865,311
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",10234,8601,3069,30992,42389,17.1,6.7,2517,2411,2054,1726,1526,72029,16422,9996,1924,91.0,4341,5893,9.0,18.7,21.6,41.0,18.3,26.6,881,1379,4186,28066,9996,71
"Harrison County, Mississippi: Summary level: 050, state:28> county:047",29891,25330,7652,39648,47365,19.0,2.8,9695,9405,4441,3668,2682,200322,39641,29286,2647,94.1,13429,16462,15.8,7.8,12.0,26.8,9.8,16.7,4892,3478,13137,78449,29286,183
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",33705,26046,9846,39234,45658,28.5,7.8,13301,6405,5493,3309,5197,229688,44157,32832,4014,86.8,14030,19675,13.8,7.0,11.9,25.0,11.9,20.6,1984,2401,15810,89570,32832,0
"Jackson County, Mississippi: Summary level: 050, state:28> county:059",22140,18781,3580,36808,48284,26.3,9.7,7737,5648,4147,2697,1911,140921,19406,21808,2401,97.5,9938,12202,21.6,7.1,12.9,28.0,6.8,17.2,2469,2050,6190,52318,21808,43
"Jones County, Mississippi: Summary level: 050, state:28> county:067",11421,9247,1992,32347,39310,35.5,8.8,4280,2499,1690,1846,1106,66516,14558,10965,1656,97.6,5120,6301,29.2,15.2,20.5,38.9,7.0,21.8,1170,859,4548,23950,10965,0
"Lauderdale County, Mississippi: Summary level: 050, state:28> county:075",12746,10165,3542,31497,46983,23.3,11.1,3670,3491,2409,1471,1705,72692,13259,12554,1742,91.9,5416,7330,15.9,10.9,12.2,25.5,5.1,16.3,800,1336,4264,30019,12554,0
"Lee County, Mississippi: Summary level: 050, state:28> county:081",12378,9797,2750,39130,55886,19.7,11.2,4138,3322,2059,1199,1660,83891,10062,11798,1163,90.6,5223,7155,16.4,8.7,10.8,33.9,14.8,16.7,1321,572,3438,30844,11798,252
"Madison County, Mississippi: Summary level: 050, state:28> county:089",13796,11368,5780,44857,68336,30.2,6.9,5404,3883,1997,960,1552,102510,10381,13414,1152,96.5,6047,7749,11.0,5.0,8.7,18.1,7.9,12.8,1215,625,2321,40539,13414,330
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",22459,19507,5737,46455,66054,26.6,7.2,8049,5105,4330,2689,2286,146803,12040,21570,1852,90.2,9615,12844,18.7,7.3,9.5,22.8,12.6,18.6,1805,1803,3010,54699,21570,0
"Boone County, Missouri: Summary level: 050, state:29> county:019",21525,20039,8323,43509,51340,23.6,12.6,8600,4344,3589,2922,2070,169268,26883,20800,1293,95.8,9567,11958,13.9,6.3,10.1,25.1,6.5,12.8,2882,2061,6040,70355,20800,64
"Buchanan County, Missouri: Summary level: 050, state:29> county:021",14694,12434,1819,37104,46052,19.9,6.8,4894,3342,2748,2055,1655,84687,13070,13976,930,96.2,6179,8515,19.8,10.1,9.3,21.2,5.8,14.3,1277,1261,3775,33716,13976,0
"Cape Girardeau County, Missouri: Summary level: 050, state:29> county:031",12786,11421,3693,38619,51140,31.1,11.5,3878,3365,2551,972,2020,74845,12136,12205,818,90.2,5440,7346,13.9,8.5,13.2,26.2,6.6,13.8,1352,874,2870,29245,12205,9
"Cass County, Missouri: Summary level: 050, state:29> county:037",17038,15457,4480,47824,64595,23.5,1.8,5517,4008,3032,2444,2037,102209,11257,16465,1105,97.5,7422,9616,17.3,7.7,5.9,23.0,4.8,12.6,2011,2249,3310,40545,16465,0
"Christian County, Missouri: Summary level: 050, state:29> county:043",13148,12102,2892,50626,59161,24.8,11.2,4015,3883,2174,1821,1255,84557,9070,12937,1065,93.3,5849,7299,20.4,9.2,8.1,22.8,7.8,11.9,2086,1708,2151,32009,12937,0
"Clay County, Missouri: Summary level: 050, state:29> county:047",34012,29080,8101,47091,66938,23.7,16.6,11830,8860,5241,4551,3530,239668,17755,33236,1375,96.4,15386,18626,17.8,4.5,7.8,21.0,3.4,10.0,3915,3609,5589,92020,33236,40
"Cole County, Missouri: Summary level: 050, state:29> county:051",12379,11220,3233,48898,52609,27.0,8.9,3897,3501,2605,1375,1001,71952,9572,11707,500,102.9,5273,7106,13.8,4.4,3.5,20.5,4.6,7.8,1575,767,2905,29726,11707,133
"Franklin County, Missouri: Summary level: 050, state:29> county:071",17664,14406,2549,42291,55290,18.0,6.0,5431,4906,3484,2733,1110,102164,10951,17108,1817,99.4,7871,9793,15.0,1.5,5.8,20.0,7.3,12.8,1803,1413,3425,40256,17108,0
"Greene County, Missouri: Summary level: 050, state:29> county:077",47085,42650,12365,38598,45117,27.9,7.2,16519,10060,8097,5864,6545,278305,46359,45144,3411,95.5,20107,26978,18.4,7.9,9.0,23.9,7.6,12.1,4888,4248,14832,120498,45144,394
"Jackson County, Missouri: Summary level: 050, state:29> county:095",101594,89424,25498,41674,52552,25.6,7.1,33085,25930,19114,12202,11263,688120,94000,98391,8689,93.8,43358,58236,13.7,6.6,8.2,25.3,8.0,14.2,10941,8698,29124,285887,98391,749
"Jasper County, Missouri: Summary level: 050, state:29> county:097",18103,16089,3721,33250,47981,25.2,3.8,5955,4404,3564,1734,2446,117647,20564,17867,1915,96.4,7724,10379,18.7,7.8,9.3,31.8,10.3,22.1,1671,1498,5953,46784,17867,53
"Jefferson County, Missouri: Summary level: 050, state:29> county:099",33053,28195,5529,46517,62228,19.8,3.1,12236,8454,5648,3771,2944,220863,25235,32088,2543,100.7,15196,17857,14.8,5.2,8.2,19.4,5.4,12.8,4640,2596,8944,84301,32088,0
"Platte County, Missouri: Summary level: 050, state:29> county:165",14196,13010,4891,52434,74646,28.3,11.2,5785,3007,3177,849,1378,98791,6509,13948,837,95.2,6280,7916,14.8,5.4,3.9,16.4,3.8,9.0,1199,1024,1748,39407,13948,84
"St. Charles County, Missouri: Summary level: 050, state:29> county:183",58289,53077,15351,52903,81594,24.5,3.1,21368,13467,10441,6460,6553,386269,19834,57105,2307,96.9,25860,32429,14.6,5.0,4.2,18.6,5.1,9.5,7544,5606,4648,145332,57105,43
"St. Francois County, Missouri: Summary level: 050, state:29> county:187",10827,8516,957,37785,39288,31.0,10.8,4016,2209,2293,873,1436,59607,9773,10424,801,121.5,4926,5901,20.7,8.5,9.5,27.1,11.1,14.3,1195,675,3977,22504,10424,0
"St. Louis County, Missouri: Summary level: 050, state:29> county:189",176344,159724,60993,51064,64784,28.2,5.5,56805,41942,27957,19319,30321,973403,97260,168823,10229,90.4,73493,102851,12.5,5.3,8.6,20.4,7.6,14.4,18199,16811,35914,406823,168823,873
"St. Louis city, Missouri: Summary level: 050, state:29> county:510",39823,32435,10297,30899,41441,22.5,8.3,14736,9123,7191,4144,4629,300850,61212,38333,5853,94.0,16696,23127,13.0,11.3,10.0,25.8,10.0,18.6,3787,2342,28923,138513,38333,504
"Cascade County, Montana: Summary level: 050, state:30> county:013",15100,13754,3963,35785,47713,28.2,5.4,4476,3661,2809,2380,1774,79473,8199,14774,1186,101.7,7176,7924,16.4,2.9,7.9,19.2,5.1,14.9,1903,1916,3195,33346,14774,174
"Flathead County, Montana: Summary level: 050, state:30> county:029",18505,16635,5052,43150,59735,28.3,11.0,6702,4894,3090,1529,2290,98795,10093,18125,1512,96.3,8955,9550,19.4,3.7,8.1,19.8,3.7,11.7,2499,2132,3218,37236,18125,35
"Gallatin County, Montana: Summary level: 050, state:30> county:031",12978,12428,5876,53914,60901,31.1,8.2,4856,3428,2265,1055,1374,104113,11129,12798,394,107.4,6206,6772,12.9,1.3,3.7,11.5,3.8,4.3,1498,1188,1693,44315,12798,254
"Lewis and Clark County, Montana: Summary level: 050, state:30> county:049",12157,11579,4395,45763,60404,26.5,6.1,4426,3191,2464,870,1206,66123,4326,11892,606,96.1,5708,6449,14.8,7.9,5.8,12.7,4.3,9.7,1783,975,2174,28250,11892,96
"Missoula County, Montana: Summary level: 050, state:30> county:063",17823,16969,9073,44392,54311,17.5,7.7,7160,4068,2747,1981,1867,114893,17637,17481,493,98.8,8706,9117,17.7,2.2,8.3,14.6,1.3,8.3,2292,1279,4915,48806,17481,0
"Yellowstone County, Montana: Summary level: 050, state:30> county:111",26501,23924,8681,38318,58156,26.7,10.6,10705,4882,4737,3633,2544,154036,15527,25748,1481,98.9,11884,14617,11.5,4.8,7.2,14.9,4.8,8.5,3130,2418,5451,65962,25748,0
"Douglas County, Nebraska: Summary level: 050, state:31> county:055",70893,64340,23972,45329,61531,31.4,7.5,26220,16271,10889,8574,8939,548421,62690,68484,4990,97.4,30947,39946,13.7,6.8,8.2,23.9,6.7,12.9,7925,5839,22140,218390,68484,729
"Lancaster County, Nebraska: Summary level: 050, state:31> county:109",42294,39242,13845,46087,59306,26.6,11.9,14791,10518,7499,4712,4774,301041,34526,41411,2142,100.8,18523,23771,15.5,5.7,5.4,16.1,5.0,10.5,4400,3252,8432,122954,41411,35
"Sarpy County, Nebraska: Summary level: 050, state:31> county:153",20873,18771,6537,60192,80694,32.8,6.4,7503,5730,3685,1677,2278,179428,8695,20282,1161,100.2,9454,11419,17.0,5.5,8.5,19.2,6.0,12.9,3994,1827,3320,65715,20282,431
"Clark County, Nevada: Summary level: 050, state:32> county:003",317116,274366,79611,45304,57189,22.8,6.1,109293,88386,57996,33087,28354,2174635,301071,314547,26712,99.6,147972,169144,14.1,6.9,9.0,21.1,7.2,12.9,36439,28350,102385,781796,314547,4768
"Washoe County, Nevada: Summary level: 050, state:32> county:031",73354,65466,24025,49177,61498,24.4,11.1,25944,21462,12236,6507,7205,455076,49135,72696,6213,101.4,35264,38090,14.5,6.5,5.5,17.4,4.9,10.4,9651,6531,17955,180851,72696,628
"Cheshire County, New Hampshire: Summary level: 050, state:33> county:005",14639,13554,4903,45088,61257,28.8,14.6,5093,3660,2075,1506,2305,71613,6509,14159,927,94.5,6656,7983,16.1,9.6,5.7,17.1,5.6,8.8,1576,1100,2006,29385,14159,0
"Grafton County, New Hampshire: Summary level: 050, state:33> county:009",17868,16269,6003,48010,64420,35.0,8.3,5891,4586,2386,2767,2238,82719,7736,17076,912,97.3,8302,9566,18.1,7.1,6.3,17.2,6.1,9.8,1921,1806,2312,33672,17076,0
"Hillsborough County, New Hampshire: Summary level: 050, state:33> county:011",62610,55026,20020,50641,78769,31.8,6.7,21741,16065,9733,7478,7593,401265,32790,59696,2800,98.8,28172,34438,14.4,4.0,7.3,18.7,6.1,11.3,7611,6172,12095,161414,59696,111
"Merrimack County, New Hampshire: Summary level: 050, state:33> county:013",26740,24613,9560,51662,70764,24.4,8.7,10132,5729,3780,2480,4619,141681,9394,25360,1602,96.2,11954,14786,16.5,5.1,6.4,19.4,5.5,11.1,2492,2890,5546,58220,25360,17
"Rockingham County, New Hampshire: Summary level: 050, state:33> county:015",52657,48395,17362,53814,89451,33.0,10.9,19632,13096,8793,5765,5371,303942,15502,51562,3482,98.7,24049,28608,15.7,3.9,5.8,18.3,5.9,6.9,6597,5530,4910,120096,51562,295
"Strafford County, New Hampshire: Summary level: 050, state:33> county:017",19081,16099,5372,51053,71057,28.0,2.2,7486,4074,2671,2100,2750,119036,11292,18552,1154,97.7,8695,10386,11.2,4.8,8.4,22.3,7.7,12.2,1839,2227,3757,48988,18552,149
"Atlantic County, New Jersey: Summary level: 050, state:34> county:001",46608,37913,11490,45378,61777,23.5,8.6,14572,12325,7591,6539,5581,263996,39172,45458,4729,93.0,20640,25968,12.2,7.6,8.4,25.0,6.6,16.6,3632,3897,14712,97618,45458,300
"Bergen County, New Jersey: Summary level: 050, state:34> county:003",159578,137623,58607,58601,94107,34.3,8.7,47158,39822,25218,22312,25068,937588,61596,155346,12160,94.2,68954,90624,10.7,4.7,6.6,19.2,8.5,13.3,7922,11258,16312,338516,155346,1904
"Burlington County, New Jersey: Summary level: 050, state:34> county:005",74738,65892,21882,62908,87673,33.6,9.0,24105,18226,14048,8619,9740,436598,27642,72445,2908,96.8,32192,42546,11.0,5.0,7.6,20.6,6.9,13.2,7431,6769,9848,164248,72445,570
"Camden County, New Jersey: Summary level: 050, state:34> county:007",77910,63746,21207,45655,66196,30.7,8.5,24321,20607,13790,10134,9058,504302,57950,75921,7323,93.5,32971,44939,11.8,4.6,6.1,22.5,7.9,14.1,6258,6192,21923,190616,75921,481
"Cape May County, New Jersey: Summary level: 050, state:34> county:009",24027,22255,8468,57284,66953,26.7,9.6,7957,6087,3785,3089,3109,91274,8842,23146,1404,96.8,10890,13137,12.0,3.9,6.1,15.5,3.1,9.6,2420,2250,2814,39526,23146,139
