,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E
"Berkshire County, Massachusetts: Summary level: 050, state:25> county:003",28605,25557,10554,46297,57054,37.7,9.1,9642,6522,5065,3643,3733,119910,10806,27517,1160,93.5,12846,15759,17.9,4.6,8.6,15.9,7.0,12.9,2719,2443,8671,54193,27517,121
"Bristol County, Massachusetts: Summary level: 050, state:25> county:005",93816,67780,20006,40017,67842,25.7,5.0,27983,25485,16656,10222,13470,545156,60344,89963,6888,93.3,39892,53924,15.5,5.3,8.3,21.3,9.1,15.1,7945,8072,31198,218570,89963,275
"Essex County, Massachusetts: Summary level: 050, state:25> county:009",130835,111388,43709,45127,75480,32.7,6.7,43904,31171,19468,16224,20068,768545,78752,126620,12740,93.5,56099,74736,13.7,4.1,8.3,19.5,9.2,14.0,7633,10661,40120,294092,126620,409
"Franklin County, Massachusetts: Summary level: 050, state:25> county:011",15027,14090,6632,45474,58824,35.1,8.4,5972,3522,2810,1377,1346,69675,6859,14634,841,95.4,6803,8224,12.3,3.9,6.4,15.8,6.6,12.1,1751,988,3542,29239,14634,24
"Hampden County, Massachusetts: Summary level: 050, state:25> county:013",77797,61669,18243,37716,51726,24.1,4.6,22905,21286,12313,9950,11343,455207,78889,75132,10264,94.1,33388,44409,14.7,7.7,8.5,26.1,11.2,17.0,7762,5828,43799,180933,75132,163
"Hampshire County, Massachusetts: Summary level: 050, state:25> county:015",26686,24283,11108,49600,67989,35.7,8.4,9598,6635,4210,2702,3541,139218,13340,26114,1036,86.3,11779,14907,11.9,4.7,3.7,15.5,4.8,10.9,2012,2325,4219,57848,26114,118
"Middlesex County, Massachusetts: Summary level: 050, state:25> county:017",240112,213006,101833,53736,98555,36.4,8.1,79879,56347,40906,28225,34755,1545950,125955,232651,18452,95.8,103807,136305,14.4,5.0,7.6,18.0,7.5,13.3,16047,19166,40923,599499,232651,1223
"Norfolk County, Massachusetts: Summary level: 050, state:25> county:021",116068,102982,46351,60153,100829,38.3,10.6,37531,26709,17950,16180,17698,682292,46310,112280,6910,93.0,49448,66620,12.7,4.5,5.7,17.1,5.9,12.6,7339,10382,17620,263862,112280,1094
"Plymouth County, Massachusetts: Summary level: 050, state:25> county:023",90045,81633,29649,55776,86910,31.5,9.6,32580,21302,15865,9322,10976,502976,35108,86769,5920,95.1,39561,50484,12.8,4.8,4.7,16.0,5.4,9.6,8274,8637,18703,187608,86769,0
"Suffolk County, Massachusetts: Summary level: 050, state:25> county:025",93554,71692,25572,32057,66459,29.1,5.9,27976,25516,16657,11847,11558,755810,135888,90521,17798,94.0,39311,54243,14.1,9.9,14.3,30.7,11.6,20.0,3985,5356,54829,308889,90521,394
