,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Jefferson County, Alabama: Summary level: 050, state:01> county:073",187759.0,20554.0,1276.0,2338.0,45.0,2586.0,3464.0,218022.0,16788.0,8163.0,3099.0,12985.0,6776.0,2376.0,9879.0,3655.0,784.0,1106.0,185.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,65.0,75.0,237.0,60.0,139.0
"Madison County, Alabama: Summary level: 050, state:01> county:089",85046.0,24737.0,107.0,426.0,0.0,1182.0,2779.0,114277.0,11296.0,6290.0,1685.0,5421.0,3214.0,1052.0,2512.0,1080.0,112.0,1172.0,287.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,231.0,73.0,0.0,638.0,226.0,0.0
"Anchorage Municipality, Alaska: Summary level: 050, state:02> county:020",78643.0,906.0,301.0,166.0,0.0,1367.0,2059.0,83442.0,8058.0,2788.0,932.0,4569.0,3028.0,558.0,580.0,141.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,425.0,308.0,0.0,511.0,217.0,0.0
"Matanuska-Susitna Borough, Alaska: Summary level: 050, state:02> county:170",60157.0,1335.0,868.0,173.0,0.0,7583.0,1269.0,71385.0,4111.0,1305.0,532.0,3643.0,1575.0,1217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.0,28.0,0.0,83.0,0.0,0.0
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",60622.0,17113.0,345.0,522.0,0.0,1339.0,1946.0,81887.0,158426.0,86651.0,27254.0,3385.0,1992.0,423.0,6565.0,2595.0,277.0,461.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,22920.0,9139.0,1971.0,27035.0,11617.0,4026.0
"Pima County, Arizona: Summary level: 050, state:04> county:019",81129.0,17474.0,209.0,862.0,0.0,1094.0,1733.0,102501.0,47777.0,28209.0,7063.0,5420.0,2961.0,1222.0,1477.0,514.0,70.0,794.0,144.0,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,9664.0,4028.0,1491.0,11842.0,6107.0,2282.0
"Pinal County, Arizona: Summary level: 050, state:04> county:021",72687.0,29214.0,66.0,700.0,0.0,113.0,1942.0,104722.0,23851.0,14350.0,2556.0,4678.0,2985.0,873.0,800.0,190.0,0.0,1196.0,535.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3272.0,1398.0,199.0,3505.0,1558.0,507.0
"Benton County, Arkansas: Summary level: 050, state:05> county:007",341227.0,282596.0,1786.0,9564.0,724.0,10729.0,12674.0,659300.0,9205.0,4751.0,1853.0,19636.0,12702.0,5459.0,,,,13653.0,6441.0,2062.0,,,,,,,415.0,0.0,0.0,361.0,21.0,93.0,,,,,,,,,,,,,467.0,0.0,27.0,434.0,148.0,88.0,279.0,150.0,295.0,201.0,426.0,184.0
"Pulaski County, Arkansas: Summary level: 050, state:05> county:119",80452.0,9614.0,89.0,667.0,133.0,283.0,1149.0,92387.0,12077.0,5622.0,1932.0,5165.0,3156.0,1267.0,4449.0,1334.0,283.0,284.0,134.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,914.0,0.0,0.0,413.0,0.0,133.0
"Alameda County, California: Summary level: 050, state:06> county:001",115009.0,38323.0,453.0,6950.0,0.0,582.0,2624.0,163941.0,31804.0,14823.0,4822.0,5179.0,2325.0,972.0,6921.0,3189.0,887.0,1798.0,113.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.0,7017.0,3409.0,611.0,8346.0,4443.0,1749.0
