,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Illinois: Summary level: 040, state:17",9044059,1790212,32600,717992,4511,730514,351933,12671821,448063,217789,72675,494406,282596,142969,61335.0,25773.0,7448.0,84869.0,45448.0,16351.0,1087.0,152.0,22.0,1035.0,243.0,105.0,26819.0,10622.0,4331.0,32659.0,13342.0,6934.0,,,,,,,10010.0,3118.0,404.0,12448.0,6449.0,1341.0,3593,1988,751,5691,1711,689,45780,18651,3931,48530,23163,8079
"Georgia: Summary level: 040, state:13",6131699,3390968,42316,439416,6947,321656,284421,10617423,300632,141903,41393,339648,188001,68860,101487.0,39289.0,7511.0,143640.0,58686.0,21916.0,1056.0,712.0,91.0,902.0,242.0,105.0,12179.0,4576.0,1722.0,17885.0,6326.0,1434.0,,,,,,,2855.0,746.0,596.0,4281.0,905.0,418.0,3907,1322,192,4645,2038,342,14154,5086,952,15513,7003,3114
"Idaho: Summary level: 040, state:16",1596918,12708,22867,25969,2475,67428,58700,1787065,81251,38869,11239,84860,44406,16306,,,,,,,460.0,469.0,0.0,1131.0,512.0,45.0,376.0,569.0,54.0,861.0,173.0,0.0,,,,,,,1207.0,203.0,36.0,1685.0,120.0,131.0,1015,204,264,720,721,75,3222,1759,169,3580,1585,870
"Hawaii: Summary level: 040, state:15",341211,26923,6129,547843,152601,24697,316468,1415872,25434,10006,3029,22857,11591,2881,889.0,50.0,24.0,453.0,12.0,0.0,,,,,,,31809.0,18763.0,8508.0,39950.0,24481.0,19636.0,5458.0,2448.0,754.0,6511.0,3802.0,641.0,502.0,82.0,0.0,813.0,28.0,39.0,9377,3721,724,8795,3580,1432,2720,806,237,3239,1803,417
"Indiana: Summary level: 040, state:18",5571899,643105,18416,170566,3254,150696,174283,6732219,270769,126181,41615,303885,168176,76874,18906.0,7085.0,2482.0,25051.0,12077.0,3881.0,418.0,99.0,0.0,1096.0,315.0,0.0,4331.0,732.0,317.0,3984.0,1684.0,1149.0,,,,,,,2161.0,311.0,625.0,2236.0,1284.0,443.0,1699,511,326,2552,654,189,5932,2633,1286,7825,3127,1741
"Iowa: Summary level: 040, state:19",2835536,129335,11837,76134,2029,31951,68248,3155070,145160,68600,27249,154836,91513,48149,2105.0,559.0,181.0,2929.0,1654.0,541.0,323.0,188.0,0.0,412.0,31.0,15.0,1312.0,825.0,335.0,1703.0,686.0,106.0,,,,,,,506.0,19.0,0.0,805.0,127.0,12.0,538,226,0,957,737,154,2788,419,335,2778,1307,309
"Kansas: Summary level: 040, state:20",2436902,167237,23860,87018,2453,87073,108771,2913314,120236,54989,23043,130304,74877,36424,5109.0,1840.0,687.0,7082.0,3344.0,1418.0,805.0,289.0,115.0,797.0,495.0,221.0,1593.0,865.0,47.0,2564.0,992.0,421.0,,,,,,,1500.0,267.0,169.0,1387.0,484.0,504.0,1997,641,38,1267,992,114,6968,1751,810,6678,2628,1068
"Kentucky: Summary level: 040, state:21",3873691,363167,8326,73087,4212,41032,104158,4467673,194128,92064,23364,219367,118089,48296,14611.0,4076.0,799.0,17496.0,5857.0,2956.0,,,,,,,1626.0,320.0,51.0,2334.0,520.0,434.0,,,,,,,236.0,68.0,0.0,321.0,171.0,0.0,1598,461,134,2057,863,489,2338,602,182,2606,1191,552
"Louisiana: Summary level: 040, state:22",2874784,1504017,28561,81506,971,65888,93067,4648794,147764,70731,20785,163231,93192,37801,52701.0,19940.0,4697.0,68454.0,31308.0,10869.0,1072.0,219.0,0.0,1139.0,683.0,0.0,2627.0,345.0,58.0,3344.0,880.0,410.0,,,,,,,1307.0,329.0,0.0,945.0,509.0,107.0,2173,1049,369,1964,869,264,5397,2801,1128,6095,3569,1758
"Maine: Summary level: 040, state:23",1263287,21983,9419,15323,222,5442,28536,1344212,78905,37659,10670,86187,42609,23377,263.0,41.0,0.0,451.0,111.0,0.0,536.0,122.0,136.0,184.0,137.0,0.0,516.0,247.0,0.0,914.0,179.0,171.0,,,,,,,,,,,,,368,142,249,1015,467,50,305,427,188,607,364,199
