,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Cleveland County, North Carolina: Summary level: 050, state:37> county:045",93666.0,3521.0,175.0,157.0,0.0,591.0,2279.0,100389.0,3709,1330,840,4533,2632,1717,688.0,201.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeKalb County, Alabama: Summary level: 050, state:01> county:049",65267.0,2320.0,214.0,167.0,0.0,229.0,1474.0,69671.0,2883,1442,269,3380,2527,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oswego County, New York: Summary level: 050, state:36> county:075",318910.0,28323.0,713.0,9101.0,0.0,5070.0,8472.0,370589.0,4494,2004,788,12589,8086,3303,,,,651.0,272.0,277.0,,,,,,,58.0,0.0,0.0,98.0,43.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
"Monroe County, Michigan: Summary level: 050, state:26> county:115",118198.0,11502.0,480.0,1091.0,53.0,1398.0,4484.0,137206.0,5734,2746,806,6172,3812,2059,,,,366.0,390.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boone County, Kentucky: Summary level: 050, state:21> county:015",190461.0,2368.0,506.0,1996.0,72.0,505.0,3177.0,199085.0,3626,1625,297,8038,4412,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frederick County, Virginia: Summary level: 050, state:51> county:069",101650.0,2548.0,201.0,209.0,0.0,404.0,1495.0,106507.0,3019,1403,475,5255,3163,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butler County, Pennsylvania: Summary level: 050, state:42> county:019",807422.0,380906.0,2669.0,33357.0,216.0,14626.0,25915.0,1265111.0,7360,3927,1416,40145,28591,19726,,,,14255.0,9504.0,4300.0,,,,,,,1240.0,394.0,38.0,1130.0,527.0,129.0,,,,,,,94.0,69.0,0.0,170.0,131.0,0.0,332.0,0.0,0.0,575.0,329.0,,,,,,,
"Williamson County, Tennessee: Summary level: 050, state:47> county:187",161590.0,6682.0,117.0,7828.0,0.0,1270.0,3574.0,181061.0,5532,2444,551,5717,3077,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilson County, North Carolina: Summary level: 050, state:37> county:195",66552.0,5576.0,631.0,428.0,511.0,357.0,2343.0,76398.0,2191,962,482,3675,2163,1296,869.0,137.0,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrison County, West Virginia: Summary level: 050, state:54> county:033",132620.0,8244.0,187.0,1295.0,0.0,543.0,4585.0,147474.0,2872,1744,280,5945,3295,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augusta County, Virginia: Summary level: 050, state:51> county:015",827783.0,255128.0,2597.0,50042.0,571.0,20857.0,38559.0,1195537.0,3821,1694,550,30460,17868,9851,,,,6467.0,3784.0,1480.0,,,,,,,894.0,321.0,88.0,987.0,445.0,95.0,,,,,,,0.0,123.0,0.0,154.0,55.0,0.0,274.0,317.0,49.0,515.0,211.0,,,,,,,
"Belmont County, Ohio: Summary level: 050, state:39> county:013",141093.0,12382.0,238.0,4240.0,0.0,501.0,5133.0,163587.0,3029,1285,890,6270,4232,1797,,,,275.0,339.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
