,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Olmsted County, Minnesota: Summary level: 050, state:27> county:109",91593.0,3890.0,233.0,496.0,0.0,794.0,3049.0,100055.0,4291,2453,1025,4359,2701,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Ramsey County, Minnesota: Summary level: 050, state:27> county:123",389807.0,175681.0,1947.0,18144.0,310.0,35390.0,14196.0,635475.0,12695,7005,3612,14824,9977,6009,847.0,217.0,26.0,4437.0,2285.0,1261.0,,,,,,,420.0,67.0,0.0,335.0,266.0,0.0,,,,,,,43.0,0.0,0.0,0.0,0.0,0.0,140.0,34.0,0.0,61.0,35.0,0.0,419.0,89.0,50.0,479.0,84.0,122.0
"Scott County, Minnesota: Summary level: 050, state:27> county:139",254099.0,68277.0,1260.0,6326.0,86.0,5353.0,5454.0,340855.0,2882,1260,415,12053,8242,4365,,,,2097.0,1398.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,61.0,0.0,0.0
"Washington County, Minnesota: Summary level: 050, state:27> county:163",375275.0,41458.0,696.0,8973.0,41.0,4440.0,6046.0,436929.0,7031,3254,1246,15643,9723,5293,22.0,7.0,0.0,1167.0,687.0,191.0,,,,,,,105.0,220.0,0.0,238.0,222.0,0.0,,,,,,,,,,,,,,,,,,,17.0,82.0,0.0,121.0,0.0,39.0
"Harrison County, Mississippi: Summary level: 050, state:28> county:047",59266.0,35420.0,307.0,1182.0,76.0,72.0,1932.0,98255.0,5022,2534,964,2899,2129,742,916.0,275.0,200.0,943.0,376.0,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,77.0,0.0,60.0,0.0,111.0
"Jackson County, Mississippi: Summary level: 050, state:28> county:059",68622.0,10213.0,336.0,353.0,0.0,460.0,1525.0,81509.0,4187,2202,422,2831,1559,1104,487.0,368.0,22.0,245.0,0.0,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,44.0,77.0,22.0,0.0,46.0
"Clay County, Missouri: Summary level: 050, state:29> county:047",127713.0,32748.0,2000.0,3049.0,667.0,2488.0,7954.0,176619.0,6430,3256,1058,3633,1995,863,,,,888.0,47.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,91.0,63.0,49.0,200.0,0.0
"Greene County, Missouri: Summary level: 050, state:29> county:077",58245.0,5186.0,201.0,81.0,0.0,2296.0,1097.0,67106.0,8841,4996,2094,2317,1218,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,65.0,102.0,0.0,222.0,104.0,40.0
"Jackson County, Missouri: Summary level: 050, state:29> county:095",216701.0,35803.0,373.0,8402.0,0.0,2320.0,5322.0,268921.0,15694,8775,3798,6409,3485,1589,3734.0,1814.0,631.0,554.0,314.0,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,673.0,354.0,115.0,994.0,259.0,104.0
"Jasper County, Missouri: Summary level: 050, state:29> county:097",380902.0,485623.0,1180.0,22731.0,0.0,29183.0,15469.0,935088.0,3760,2031,707,16141,12420,5107,,,,13534.0,7510.0,2700.0,,,,,,,232.0,336.0,75.0,431.0,466.0,0.0,,,,,,,312.0,0.0,0.0,0.0,0.0,0.0,82.0,32.0,33.0,58.0,54.0,,44.0,0.0,0.0,85.0,0.0,69.0
