,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E
"Alabama: Summary level: 040, state:01",700359,75.5,18.4,32287,41574,20.4,5.5,4.8,3.6,2.6,1.8,1.7,4706978,892564,681363,75733,94.0,12.8,16.1,17.1,8.6,12.0,29.6,11.1,19.5,21.8,19.1,309540,1845169,681363,1798
"Alaska: Summary level: 040, state:02",62119,84.3,26.9,46666,67712,28.7,7.0,3.1,2.4,1.3,0.9,0.8,715608,72400,60928,2699,108.8,7.8,9.2,19.8,10.1,11.4,23.7,10.1,16.0,15.7,8.7,28724,251651,60928,513
"Arizona: Summary level: 040, state:04",971086,84.0,26.5,39083,47826,19.1,4.2,4.8,3.7,2.6,1.9,1.7,6401273,1194506,959580,79750,99.0,13.6,16.0,15.2,5.9,8.0,21.0,7.0,13.1,24.0,23.2,345920,2392168,959580,11677
"Arkansas: Summary level: 040, state:05",441107,77.5,16.7,30891,40112,21.8,5.6,4.8,3.8,2.7,1.9,1.7,2865098,568065,425525,46259,96.6,13.4,16.5,17.8,8.3,11.4,27.0,9.6,17.1,22.4,21.7,176758,1143859,425525,1711
"California: Summary level: 040, state:06",4599393,78.1,28.0,42406,58328,24.1,5.4,3.9,2.8,2.1,1.7,1.7,37303266,6325319,4502353,467895,98.9,10.7,13.5,14.6,6.7,10.7,23.9,10.6,18.4,23.2,24.6,1140716,12552658,4502405,77625
"Colorado: Summary level: 040, state:08",610939,88.4,32.8,41985,56765,28.0,6.8,4.2,2.7,2.0,1.4,1.4,5069071,694842,595595,46598,100.6,10.5,13.0,15.7,5.6,7.7,19.3,6.5,12.7,20.8,18.3,186217,1996088,595595,3545
"Connecticut: Summary level: 040, state:09",532024,82.0,28.5,41947,67276,29.3,7.0,4.7,3.2,2.5,2.1,2.4,3484178,372390,509635,34986,95.1,12.9,16.6,12.5,5.2,7.5,19.2,7.2,14.3,25.2,28.9,163064,1357812,509635,4967
"Delaware: Summary level: 040, state:10",140813,83.1,24.9,42211,58415,25.7,5.5,5.0,3.8,2.8,1.9,1.9,890738,107307,137204,10089,94.1,14.0,16.6,12.0,5.9,7.0,20.7,6.7,13.4,22.2,23.2,48378,340308,137204,1149
"District of Columbia: Summary level: 040, state:11",71901,81.3,37.8,46926,66583,33.0,7.9,3.5,2.8,2.1,1.4,1.5,598151,108732,69808,8301,89.7,9.7,12.9,9.1,7.0,7.5,24.8,7.7,17.0,16.4,22.6,40966,266662,69808,427
"Florida: Summary level: 040, state:12",3508827,81.5,24.3,36415,45040,19.6,4.8,5.5,4.4,3.3,2.5,2.5,18912479,3238581,3441314,352035,95.6,16.6,19.6,13.7,6.1,9.0,21.1,7.7,14.2,23.9,27.1,1093250,7197943,3441314,46888
"Georgia: Summary level: 040, state:13",1139356,76.6,21.5,35371,47209,20.8,4.9,4.1,2.8,2.0,1.4,1.2,9652596,1848533,1109973,124120,95.7,10.1,12.8,14.6,7.5,11.3,25.5,10.2,18.1,20.6,16.1,582724,3532908,1109973,11092
"Hawaii: Summary level: 040, state:15",210423,81.2,25.8,59378,66259,30.0,5.8,4.8,3.2,2.4,2.0,2.7,1356822,157243,205533,14119,101.5,13.3,16.9,15.0,5.8,10.5,21.1,8.0,17.5,19.5,19.5,50600,447748,205533,1894
"Idaho: Summary level: 040, state:16",211032,85.6,23.4,34040,45489,21.5,5.1,4.6,3.1,2.4,1.5,1.7,1565511,248494,206797,20054,100.2,12.3,14.2,17.9,6.9,7.8,20.1,8.1,13.5,22.8,20.4,80755,583106,206797,769
"Illinois: Summary level: 040, state:17",1695712,80.1,21.5,37161,55137,24.9,5.6,4.2,3.0,2.3,1.8,1.9,12573676,1850562,1632811,144071,96.3,11.4,14.8,12.9,6.4,8.4,23.1,8.2,15.8,22.8,24.3,613928,4770194,1632811,19505
