,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E
"Ouachita Parish, Louisiana: Summary level: 050, state:22> county:073",20133,76.7,24.8,32294,36338,24.2,6.1,4.3,2.8,2.7,1.6,1.6,146095,35443,19008,2615,92.2,11.5,14.3,13.6,4.3,9.4,24.3,10.7,14.9,23.4,19.8,9218,58133,19008,207
"Rapides Parish, Louisiana: Summary level: 050, state:22> county:079",18515,82.9,22.1,34816,41321,25.6,5.8,4.6,3.3,2.7,1.6,1.7,128128,28867,17708,1941,92.4,12.4,15.5,15.1,16.0,14.4,35.9,13.3,16.5,19.7,23.8,10309,49299,17708,20
"St. Landry Parish, Louisiana: Summary level: 050, state:22> county:097",11749,67.6,14.9,22572,35765,20.7,8.4,4.5,3.4,2.6,1.7,1.8,82325,21149,11111,1841,91.2,12.4,15.5,12.7,6.9,12.5,26.6,13.4,19.8,22.5,19.6,6011,30937,11111,102
"St. Tammany Parish, Louisiana: Summary level: 050, state:22> county:103",33106,81.9,24.6,40396,56650,26.0,4.9,4.6,3.7,2.1,1.9,1.5,237342,32212,32317,2883,93.7,12.7,14.9,16.8,8.2,9.0,24.0,10.0,14.8,22.5,20.5,12386,89333,32317,341
"Tangipahoa Parish, Louisiana: Summary level: 050, state:22> county:105",15347,72.1,15.6,24730,34904,17.9,8.8,4.7,2.5,2.8,1.6,0.9,119480,29110,14933,3397,93.5,10.8,13.9,13.0,12.6,14.1,37.0,9.4,18.5,19.6,18.3,9558,43653,14933,0
"Terrebonne Parish, Louisiana: Summary level: 050, state:22> county:109",14136,69.7,8.8,31094,48911,24.9,9.3,4.4,3.4,2.0,1.6,1.2,110088,20330,13729,1510,93.9,11.0,14.2,10.1,8.9,12.5,24.3,8.3,13.8,23.2,25.0,6159,39043,13729,236
"Androscoggin County, Maine: Summary level: 050, state:23> county:001",16082,71.8,14.6,28713,44297,22.6,10.1,4.8,3.3,2.6,2.4,1.8,104067,16593,15757,1434,97.7,13.2,16.6,12.9,6.8,11.0,22.8,7.0,14.5,20.9,19.7,7953,44641,15757,0
"Aroostook County, Maine: Summary level: 050, state:23> county:003",14343,71.1,12.8,24606,38453,15.7,2.8,6.0,5.0,3.7,2.8,2.7,68715,11358,13768,1696,95.0,18.7,21.7,21.1,6.0,9.1,29.9,9.9,15.5,25.5,23.9,6988,30811,13768,24
"Cumberland County, Maine: Summary level: 050, state:23> county:005",43402,89.4,35.7,41447,55503,30.3,7.1,4.8,3.5,2.7,2.3,2.1,275849,32297,41872,2356,94.9,13.3,17.1,16.7,8.1,6.5,17.9,5.4,14.1,25.6,25.0,15873,118269,41872,164
"Kennebec County, Maine: Summary level: 050, state:23> county:011",20227,83.7,23.5,33258,46014,24.2,3.1,5.2,3.8,2.9,2.4,2.3,118408,17804,19401,1123,93.1,15.4,17.7,19.1,3.9,7.3,19.8,3.1,13.6,23.5,22.1,11538,51547,19401,0
"Penobscot County, Maine: Summary level: 050, state:23> county:019",23697,83.7,17.9,28728,41653,25.1,4.0,4.6,3.8,2.8,2.4,1.8,146973,26664,22941,2471,96.3,14.1,16.6,18.6,6.5,8.0,21.7,7.8,12.4,21.8,20.3,13627,63171,22941,43
"York County, Maine: Summary level: 050, state:23> county:031",33050,84.5,24.5,35391,52408,28.7,6.3,5.5,3.8,2.9,2.4,2.0,195998,22771,32277,2722,95.2,15.1,18.1,16.9,4.8,8.4,14.7,4.7,12.2,24.0,28.6,12220,80221,32277,38
"Allegany County, Maryland: Summary level: 050, state:24> county:001",13839,79.7,10.5,29519,38509,16.6,4.1,5.4,4.7,3.3,2.4,2.9,66749,11401,13030,1114,108.4,15.0,22.7,18.5,6.0,8.5,30.2,14.2,18.0,20.6,26.9,5239,28565,13030,90
"Anne Arundel County, Maryland: Summary level: 050, state:24> county:003",69851,83.2,27.8,53880,89179,30.1,6.2,4.7,2.8,2.1,1.7,1.4,534476,30494,68603,4804,97.7,11.4,13.9,11.8,5.5,7.1,19.1,6.0,13.8,17.7,15.9,14049,201934,68603,376
"Baltimore County, Maryland: Summary level: 050, state:24> county:005",123562,82.1,26.0,41494,62444,31.3,6.7,4.6,3.1,2.4,2.2,2.8,796529,76903,118390,6480,89.8,13.2,16.8,13.2,4.8,8.0,19.9,6.9,14.1,20.5,27.7,33800,312306,118390,755
"Calvert County, Maryland: Summary level: 050, state:24> county:009",10651,81.3,22.8,52724,87449,36.1,4.6,4.0,2.7,1.6,1.3,2.2,89011,6451,10330,445,102.3,10.5,13.3,16.4,3.9,17.1,29.0,14.1,24.1,17.6,17.0,3988,31054,10330,0
"Carroll County, Maryland: Summary level: 050, state:24> county:013",23888,85.9,19.4,45306,80028,33.7,6.1,4.7,3.4,2.4,2.0,1.8,163721,10179,22968,1092,97.9,12.9,15.7,12.5,5.1,7.5,17.1,7.1,13.0,25.7,21.5,4054,60030,22968,41
"Cecil County, Maryland: Summary level: 050, state:24> county:015",12864,74.1,17.3,41073,63036,28.6,10.6,4.0,3.7,2.0,1.4,1.6,100191,14438,12586,763,98.4,11.8,13.4,14.7,4.9,6.8,19.5,7.9,9.6,12.1,17.1,4202,35497,12586,0
