,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E
"Anchorage Municipality, Alaska: Summary level: 050, state:02> county:020",29085,26217,10772,68626,85634,32.2,6.8,3.7,2.7,1.4,0.8,1.1,290571,18302,28172,1185,105.2,8.9,10.7,16.7,8.7,12.7,25.9,13.1,18.8,4382,2900,9258,105249,28172,240
"Fairbanks North Star Borough, Alaska: Summary level: 050, state:02> county:090",8606,8420,2677,73800,77328,50.8,21.0,4.1,2.0,1.1,0.9,0.4,96375,9580,8554,149,123.8,7.9,9.4,14.3,6.5,7.7,17.7,2.2,7.2,1857,270,2024,33770,8554,22
"Matanuska-Susitna Borough, Alaska: Summary level: 050, state:02> county:170",10663,9820,2444,47236,69332,20.7,11.9,4.5,2.6,1.7,0.7,0.8,102535,9893,10596,700,108.3,9.8,10.6,16.3,7.5,8.2,22.8,6.2,14.2,1845,1172,2781,30305,10596,63
"Apache County, Arizona: Summary level: 050, state:04> county:001",10633,7381,1430,40231,34685,18.7,16.1,5.5,3.4,3.4,0.9,1.4,72147,24122,10633,2577,94.5,14.0,15.0,26.8,12.8,9.3,26.1,9.8,19.6,804,656,5099,20018,10633,450
"Cochise County, Arizona: Summary level: 050, state:04> county:003",26552,22456,7118,42040,45508,17.9,3.1,7.3,5.0,3.7,3.1,2.1,117620,26604,26333,2592,101.4,19.9,22.3,18.5,6.7,7.2,20.5,5.9,10.8,5099,3535,9130,50147,26333,26
"Coconino County, Arizona: Summary level: 050, state:04> county:005",16647,14032,6720,52963,55091,29.6,10.4,4.6,2.9,2.1,0.9,1.3,127592,22902,16510,1502,100.1,11.2,12.4,15.2,11.6,6.8,20.2,8.5,13.9,2125,1253,4659,47408,16510,162
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",619929,549143,194072,45996,58737,22.9,5.6,5.0,3.6,2.6,1.8,1.7,4186451,626082,613917,53889,97.8,13.3,15.9,14.8,7.1,7.8,20.5,7.1,12.4,66724,62109,167005,1521131,613917,4932
"Mohave County, Arizona: Summary level: 050, state:04> county:015",58941,49871,6832,38714,42423,15.1,3.1,10.3,6.7,5.4,3.1,3.2,200525,35646,58633,5512,101.3,28.4,29.0,21.2,7.8,10.4,24.0,7.7,12.1,9094,6422,13678,84876,58633,21
"Navajo County, Arizona: Summary level: 050, state:04> county:017",18330,13472,2826,38516,36998,16.2,3.6,4.8,5.3,3.1,2.0,1.4,107257,30844,18096,2513,100.3,15.6,17.7,21.9,13.7,13.2,33.0,8.3,20.5,2504,1877,8706,33587,18096,53
"Pima County, Arizona: Summary level: 050, state:04> county:019",193734,172954,68449,42716,47560,20.6,5.5,6.1,4.8,3.5,2.4,2.2,987885,181277,191532,16407,96.8,17.6,20.5,16.1,5.9,8.0,21.5,7.0,12.6,22783,22134,55021,400835,191532,515
"Pinal County, Arizona: Summary level: 050, state:04> county:021",83410,73498,19873,44533,52555,14.5,4.0,7.1,5.3,4.0,2.1,1.4,390971,61143,83082,5257,108.1,18.6,21.3,15.9,4.7,6.0,18.6,4.4,9.9,11508,8331,15474,132352,83082,484
"Yavapai County, Arizona: Summary level: 050, state:04> county:025",67380,62469,20657,44729,50420,16.8,6.0,9.5,8.3,6.0,3.0,3.1,218023,28082,66915,5500,96.7,29.4,30.3,16.3,6.2,7.5,19.3,6.5,9.0,9756,7675,9198,94962,66915,82
"Yuma County, Arizona: Summary level: 050, state:04> county:027",37996,27260,4781,37419,43518,12.7,4.1,5.2,4.3,4.2,3.1,1.6,200375,36136,37779,4752,106.8,17.1,19.9,12.3,5.8,6.4,20.3,6.3,9.9,3715,5389,12816,73072,37779,636
"Benton County, Arkansas: Summary level: 050, state:05> county:007",33590,28772,7182,45007,63631,22.4,7.0,4.6,3.1,2.3,1.4,1.6,254895,22874,32676,3212,98.5,11.9,14.1,14.9,6.6,5.6,20.1,5.7,12.4,4401,3215,5181,94494,32676,596
"Craighead County, Arkansas: Summary level: 050, state:05> county:031",14458,10745,3632,33533,43678,27.3,8.4,5.9,2.1,1.5,2.3,1.8,101106,16602,13914,1258,98.5,11.4,15.9,21.5,8.3,17.0,39.5,21.7,31.8,2197,1379,6434,39813,13914,70
"Faulkner County, Arkansas: Summary level: 050, state:05> county:045",14665,12278,3770,34728,48506,13.9,9.0,4.6,2.7,1.9,1.4,1.4,116948,22285,14343,2282,94.2,10.8,13.1,13.5,9.6,12.1,28.3,13.9,18.3,1784,1370,4360,43964,14343,19
"Garland County, Arkansas: Summary level: 050, state:05> county:051",21487,19230,4233,36352,42826,17.2,6.7,7.7,4.8,3.9,2.8,2.9,95579,17824,20919,1975,93.2,20.9,23.1,15.6,8.8,8.2,24.8,7.5,16.5,2619,2114,4196,39309,20919,333
"Jefferson County, Arkansas: Summary level: 050, state:05> county:069",11387,8295,2517,32465,37712,21.0,6.6,5.1,4.4,3.0,1.7,2.1,64361,14565,10867,1771,98.9,14.3,18.2,19.4,11.0,17.3,33.3,11.2,21.0,1419,836,5532,26750,10867,0
"Lonoke County, Arkansas: Summary level: 050, state:05> county:085",9977,7554,2169,46333,55837,18.7,9.0,4.8,3.6,2.6,1.7,1.1,71386,10548,9622,1270,98.9,12.1,15.5,13.8,5.3,11.4,25.3,8.1,12.3,1004,1203,2595,26327,9622,0
"Pulaski County, Arkansas: Summary level: 050, state:05> county:119",56551,49973,16425,41928,47387,24.2,9.8,5.0,3.6,2.4,1.7,1.7,386119,68881,55082,5371,92.1,12.6,16.0,11.9,7.7,11.2,22.9,7.4,13.6,6458,4711,18312,161291,55082,304
"Saline County, Arkansas: Summary level: 050, state:05> county:125",20866,18651,5147,51140,64932,25.0,6.2,5.7,4.7,3.7,2.6,1.0,117274,8802,20310,1076,99.6,16.0,19.2,13.9,8.4,6.9,24.2,8.3,14.4,2787,1450,2517,43371,20310,0
"Sebastian County, Arkansas: Summary level: 050, state:05> county:131",19494,16786,4086,37666,42053,22.4,10.2,5.5,3.8,2.5,1.5,1.8,126075,21913,19113,1489,94.1,13.7,16.7,20.4,7.3,11.2,25.0,8.0,17.3,2571,1548,7973,51055,19113,0
"Washington County, Arkansas: Summary level: 050, state:05> county:143",26489,22034,7459,37905,45679,28.0,2.7,4.2,2.7,2.0,1.3,1.3,220793,36641,25920,1475,98.5,10.4,12.8,15.8,5.2,9.5,24.1,8.5,13.9,3224,2541,7142,88690,25920,197
"White County, Arkansas: Summary level: 050, state:05> county:145",12381,10457,1660,30440,42844,19.9,5.8,5.8,3.2,2.8,1.9,1.9,75055,10941,12166,1306,92.6,14.2,17.0,15.0,8.0,9.1,23.5,7.7,15.4,1470,1529,2905,28221,12166,187
"Alameda County, California: Summary level: 050, state:06> county:001",215418,179148,77735,55978,89979,26.5,5.5,4.4,3.3,2.0,1.6,1.8,1621485,172923,211331,24136,96.5,11.6,14.5,13.4,6.1,10.4,22.1,9.9,18.3,12273,14740,37007,572012,211331,1416
"Butte County, California: Summary level: 050, state:06> county:007",41056,35677,11859,34873,45177,16.2,3.5,6.1,4.4,2.6,2.5,2.5,220414,43838,39914,3764,97.0,16.3,19.8,19.7,7.8,12.8,27.0,10.3,18.3,5362,4285,10961,85531,39914,127
"Contra Costa County, California: Summary level: 050, state:06> county:013",169840,151669,68807,63044,91045,25.6,6.2,5.3,3.5,2.4,1.9,2.0,1125444,97049,167153,11328,95.5,13.4,16.4,15.0,6.4,11.4,21.0,9.1,16.0,12138,14822,26916,391288,167153,1956
"El Dorado County, California: Summary level: 050, state:06> county:017",35629,32367,11296,50257,75772,19.2,2.2,7.2,4.7,2.5,2.0,2.8,184097,15373,35354,1402,101.4,18.4,20.0,14.7,6.5,8.3,21.2,7.9,13.2,4837,3771,4543,69653,35354,219
"Fresno County, California: Summary level: 050, state:06> county:019",116094,82521,25048,40844,48715,25.6,5.8,4.3,2.6,2.0,1.3,1.7,966379,247507,114036,15833,99.7,10.6,13.1,15.9,7.3,12.9,25.9,11.0,17.6,10081,8650,65215,303216,114036,1525
"Humboldt County, California: Summary level: 050, state:06> county:023",22951,20917,6537,36619,43130,18.0,7.8,5.7,5.1,2.5,1.4,2.0,133208,26945,22770,2101,97.7,15.7,17.9,17.6,6.8,12.4,23.4,12.5,14.7,2949,2203,7307,54230,22770,0
"Imperial County, California: Summary level: 050, state:06> county:025",23133,11465,2125,27260,49095,16.0,3.0,3.7,3.3,2.6,1.4,1.8,171694,42303,22914,4202,104.9,11.0,14.6,17.9,9.3,16.4,35.7,14.6,22.0,1828,1354,9354,44855,22914,294
"Kern County, California: Summary level: 050, state:06> county:029",91573,67430,16659,36429,49903,20.7,4.1,3.8,2.5,1.6,1.2,1.2,852204,193133,89560,10813,105.4,9.2,11.6,15.4,7.7,8.6,25.7,9.6,15.9,9507,7048,50237,270359,89560,1170
"Kings County, California: Summary level: 050, state:06> county:031",14375,9085,1958,46285,53234,24.5,4.5,3.5,1.9,1.8,1.3,1.1,134875,21565,14116,1464,122.2,7.8,11.8,18.7,10.7,11.1,29.0,13.3,21.3,1596,1266,7625,43090,14116,30
"Lake County, California: Summary level: 050, state:06> county:033",15133,12954,2735,39585,42029,-999999999.0,-999999999.0,8.4,6.1,4.2,1.9,3.0,63496,12973,14906,1232,95.1,23.4,23.8,23.3,4.7,16.9,31.7,12.3,21.5,1759,2100,3451,24593,14906,0
"Los Angeles County, California: Summary level: 050, state:06> county:037",1308573,940923,363650,44784,61338,25.9,6.3,4.3,3.1,2.2,1.6,1.8,9989112,1628305,1281504,168174,97.1,11.3,14.5,12.6,7.3,11.5,24.6,12.4,19.6,68585,67538,300325,3305589,1281708,17624
"Madera County, California: Summary level: 050, state:06> county:039",20459,14393,2814,46820,51657,17.8,6.7,4.5,3.7,2.5,1.1,1.3,146347,29736,19872,2125,92.7,13.4,13.1,12.7,8.2,7.9,28.2,5.7,17.1,2061,1610,7560,44369,19872,271
"Marin County, California: Summary level: 050, state:06> county:041",53846,51831,31307,66387,103845,42.8,13.0,7.1,5.2,3.3,2.2,2.9,254073,19762,52950,2843,94.3,18.8,22.4,8.7,4.8,5.2,12.3,5.2,8.8,3107,5418,2593,106333,52950,231
"Mendocino County, California: Summary level: 050, state:06> county:045",17481,15804,6001,46784,43809,25.7,4.6,8.4,4.2,3.4,1.7,2.3,86359,16881,17218,1357,96.1,18.5,21.3,16.9,3.2,8.0,16.9,8.3,17.3,2541,1469,4978,35439,17218,136
"Merced County, California: Summary level: 050, state:06> county:047",28983,17424,3676,39859,47739,18.9,7.2,3.7,2.5,1.7,1.4,1.5,263035,53314,28471,3252,101.8,9.8,11.8,22.3,14.3,10.9,30.5,13.1,23.9,2333,2748,17534,77713,28471,280
"Monterey County, California: Summary level: 050, state:06> county:053",55241,41340,17828,51601,63876,28.6,6.8,4.4,2.9,1.9,1.6,1.8,417791,52257,54132,4498,104.4,11.2,14.2,13.1,4.4,6.8,19.1,6.9,13.4,4478,3876,8866,125740,54132,452
"Napa County, California: Summary level: 050, state:06> county:055",25787,22877,9786,51863,75077,31.0,10.9,6.3,3.8,3.3,2.2,2.5,138247,10032,24749,2364,98.5,16.9,19.4,15.7,5.8,8.8,19.4,7.9,14.7,2246,2875,2304,49561,24749,101
"Nevada County, California: Summary level: 050, state:06> county:057",25668,24200,10271,54338,59022,22.6,6.1,9.6,6.3,4.0,2.5,3.5,98059,10505,25298,1815,103.3,24.5,27.3,15.9,6.5,8.0,17.4,7.1,15.3,2215,2690,2250,38708,25298,139
"Orange County, California: Summary level: 050, state:06> county:059",443198,373618,168576,58607,81837,29.1,8.1,4.6,3.3,2.4,1.7,2.0,3136217,346002,437015,39294,97.4,12.5,15.4,12.8,5.4,9.0,18.7,9.1,14.9,30350,36538,67644,1032218,437015,4444
"Placer County, California: Summary level: 050, state:06> county:061",72151,66901,24137,57895,85426,21.2,5.5,6.0,4.9,3.0,2.4,2.7,377789,28064,71105,6676,94.7,17.2,20.7,13.7,6.0,8.8,17.7,7.1,11.1,7864,7011,5036,139104,71105,143
"Riverside County, California: Summary level: 050, state:06> county:065",331558,266721,78000,43323,60134,20.2,5.7,4.7,3.2,2.5,1.7,1.7,2353864,360386,328380,35145,99.0,12.7,15.0,16.2,7.4,10.1,25.8,9.6,16.4,30211,31743,74603,715040,328380,4105
"Sacramento County, California: Summary level: 050, state:06> county:067",206242,169226,57035,47887,59780,20.0,4.5,4.7,3.2,2.3,1.5,1.8,1494002,245111,203127,22569,95.4,12.1,15.1,15.5,6.4,11.1,25.7,11.1,20.0,19464,18548,60353,535090,203127,1485
"San Bernardino County, California: Summary level: 050, state:06> county:071",237086,180034,48050,43075,56337,20.8,5.5,4.1,2.6,1.8,1.2,1.3,2081216,368528,231519,23001,98.9,10.0,12.1,15.2,7.3,11.3,27.4,10.6,18.2,25235,18006,108101,633173,231519,2612
"San Diego County, California: Summary level: 050, state:06> county:073",445823,371441,156845,54562,70824,27.3,4.6,4.6,3.2,2.2,1.6,1.9,3233771,398475,438328,37200,101.1,11.8,15.1,13.7,6.5,9.4,22.1,8.9,16.3,45921,43626,83088,1110568,438328,5875
"San Francisco County, California: Summary level: 050, state:06> county:075",129337,95972,47077,48629,103801,27.1,5.2,4.8,3.3,2.5,1.8,2.5,857255,86900,126801,15275,103.9,13.0,16.7,12.1,5.5,10.5,24.0,11.0,20.8,5550,7187,16875,358703,126801,863
"Santa Barbara County, California: Summary level: 050, state:06> county:083",65230,56376,25750,58274,67436,31.8,9.2,4.8,3.2,2.4,2.1,2.1,428197,59709,63949,5070,100.0,13.0,16.2,15.7,4.0,8.6,18.3,7.5,14.3,5296,6681,11092,142449,63949,454
"San Joaquin County, California: Summary level: 050, state:06> county:077",90853,66258,15519,41198,59518,19.4,4.2,4.0,3.3,2.0,1.5,1.5,720252,103399,88421,8988,99.3,10.9,13.8,13.7,6.7,12.2,31.5,10.5,21.4,9207,6017,35884,227186,88421,1136
"San Luis Obispo County, California: Summary level: 050, state:06> county:079",54154,51378,21139,58408,70564,24.2,7.0,7.6,3.9,3.3,1.9,2.4,266721,28364,53285,3600,102.1,17.6,20.7,14.9,3.8,5.5,15.8,4.6,10.6,5118,6049,4596,106312,53285,0
"San Mateo County, California: Summary level: 050, state:06> county:081",116236,97033,45752,69312,108627,33.4,7.4,5.1,3.5,2.5,1.8,2.3,758012,49373,114096,7864,97.6,13.4,16.9,12.8,4.1,8.5,17.7,7.5,14.8,6984,8746,9946,263445,114096,712
"LaSalle County, Illinois: Summary level: 050, state:17> county:099",20179,17355,2778,36456,57476,18.4,6.2,5.0,4.8,3.2,2.4,2.9,107025,14332,19075,1012,101.7,16.1,20.5,12.6,7.0,9.0,20.7,5.8,10.0,2028,1633,6892,44753,19075,29
"McHenry County, Illinois: Summary level: 050, state:17> county:111",39726,35038,9571,48399,81063,25.6,5.4,5.0,3.2,2.0,0.9,1.8,304326,23974,38973,2644,98.9,11.9,14.0,14.2,5.7,6.9,19.6,7.0,13.7,4823,3107,8881,110717,38973,151
"McLean County, Illinois: Summary level: 050, state:17> county:113",20778,19415,6892,46942,62156,26.3,11.5,4.3,2.6,2.0,1.5,1.7,165270,22022,20075,1782,96.2,10.9,13.2,13.2,6.1,5.7,17.0,6.0,11.3,2487,1774,7374,65644,20075,121
"Macon County, Illinois: Summary level: 050, state:17> county:115",20076,17219,4320,40487,46198,20.6,5.4,5.9,4.7,3.5,2.0,2.8,102860,17702,19403,1655,92.0,17.0,20.5,14.1,7.1,7.1,19.3,5.7,13.8,2124,1685,9055,44002,19403,0
"Madison County, Illinois: Summary level: 050, state:17> county:119",43380,38079,7751,40784,56035,18.5,5.7,4.8,4.2,2.5,2.0,2.7,260035,34795,41866,2489,94.2,14.2,18.3,15.6,5.8,9.1,25.0,10.2,16.3,5751,4443,11072,105465,41866,272
"Peoria County, Illinois: Summary level: 050, state:17> county:143",29042,25899,6370,42792,51975,22.7,3.5,5.8,3.5,2.4,2.0,1.9,179735,26789,27917,2097,94.4,14.1,17.2,15.6,7.2,7.2,20.1,7.1,15.7,2805,2778,10978,73209,27917,56
"Rock Island County, Illinois: Summary level: 050, state:17> county:161",26555,23300,5590,45243,50948,21.4,4.6,6.5,3.3,3.7,2.2,2.6,140156,22647,25543,2221,94.5,16.5,20.1,13.4,5.7,7.6,23.1,5.2,12.2,2485,2461,7721,60206,25543,109
"St. Clair County, Illinois: Summary level: 050, state:17> county:163",38522,32974,7900,41912,50267,18.4,3.5,4.8,3.6,2.0,2.0,2.3,258219,37795,36944,2891,93.3,13.0,16.2,15.6,6.2,10.7,27.1,10.4,14.1,5648,4416,18363,104782,36944,34
"Sangamon County, Illinois: Summary level: 050, state:17> county:167",32915,29923,9943,46960,53782,18.3,6.1,5.5,4.2,2.5,2.0,2.4,193978,27436,31742,2369,92.8,14.6,18.6,12.4,6.5,9.0,22.2,8.3,16.9,3034,2915,9605,82959,31742,43
"Tazewell County, Illinois: Summary level: 050, state:17> county:179",24152,20490,3796,44785,60152,21.4,5.2,5.8,4.2,2.4,2.4,3.2,131213,10643,23226,1344,97.4,16.0,19.9,16.4,8.6,10.6,21.9,8.4,15.9,2600,2055,6265,56051,23226,40
"Vermilion County, Illinois: Summary level: 050, state:17> county:183",14380,12482,2028,40615,45481,19.8,7.9,5.9,4.4,3.2,2.4,2.4,75100,15680,13806,693,100.1,16.7,20.1,12.0,5.3,5.7,20.6,5.6,8.8,1505,1441,5308,31928,13806,0
"Will County, Illinois: Summary level: 050, state:17> county:197",83368,70509,19310,48550,81438,22.0,6.0,4.3,3.2,2.0,1.5,1.2,678930,47321,82024,4752,98.5,10.8,13.4,11.2,5.0,6.0,20.2,7.3,13.8,8963,6841,22632,228068,82024,1025
"Williamson County, Illinois: Summary level: 050, state:17> county:199",12292,10034,2268,37028,48409,12.0,1.6,5.5,5.2,3.2,2.0,2.3,65207,10078,11821,1200,104.6,15.6,20.9,13.8,6.1,13.0,36.4,9.6,17.2,1918,1337,3814,26761,11821,0
"Winnebago County, Illinois: Summary level: 050, state:17> county:201",47476,39834,10521,41879,49749,24.1,9.8,5.2,4.5,2.9,2.0,2.1,281748,43941,45869,3204,95.6,14.9,18.2,13.4,4.9,10.5,22.6,8.4,14.5,4380,4034,22952,114996,45869,199
"Allen County, Indiana: Summary level: 050, state:18> county:003",50823,43574,12198,39755,51173,23.3,7.9,4.8,3.3,1.9,1.8,1.8,364233,54437,48706,3272,95.5,12.3,15.1,12.9,4.9,7.8,20.2,6.4,12.6,5519,4577,16296,142762,48706,627
"Bartholomew County, Indiana: Summary level: 050, state:18> county:005",12526,10475,3035,38911,59102,23.9,7.9,5.2,3.7,2.7,2.0,1.8,80491,10961,12094,981,103.4,13.2,17.7,14.5,7.7,4.8,22.8,8.2,9.6,1031,970,3251,31626,12094,0
"Clark County, Indiana: Summary level: 050, state:18> county:019",17317,15071,3313,42094,51401,28.9,2.8,5.6,3.7,2.1,1.7,1.9,114188,11165,16881,946,93.9,13.4,16.4,21.5,7.0,10.2,27.6,10.8,15.9,1484,1625,4212,42498,16881,0
"Delaware County, Indiana: Summary level: 050, state:18> county:035",19088,16210,3781,34254,41041,18.9,4.2,5.4,4.1,3.3,1.7,2.1,108670,23511,18115,1552,95.3,14.8,18.1,20.8,5.9,9.6,22.1,5.6,12.6,1678,1103,6953,46720,18115,0
"Elkhart County, Indiana: Summary level: 050, state:18> county:039",28410,22446,5329,44703,54216,33.1,9.6,4.9,3.0,2.3,1.3,2.4,200273,28611,27243,1946,97.6,12.3,15.6,17.2,6.9,11.5,26.1,9.7,17.4,2830,2026,6683,72487,27243,608
"Floyd County, Indiana: Summary level: 050, state:18> county:043",12065,10208,3104,41754,58586,27.0,11.5,4.7,4.7,3.1,1.1,2.0,75625,6640,11360,810,96.4,14.2,17.1,16.2,4.1,8.5,17.2,6.6,9.8,1008,900,2011,29199,11360,21
"Grant County, Indiana: Summary level: 050, state:18> county:053",12517,10459,2215,34394,37117,20.6,2.6,6.1,4.6,3.0,2.8,2.1,62016,13141,12212,990,93.5,16.7,20.6,16.5,9.8,13.1,24.7,7.8,15.8,980,808,4401,26528,12212,0
"Hamilton County, Indiana: Summary level: 050, state:18> county:057",36714,34453,15804,54099,89823,28.9,7.4,4.6,2.4,1.6,1.4,1.5,314679,17542,35904,1187,93.8,10.9,12.3,14.3,7.0,10.1,21.0,7.0,14.3,3351,3891,4099,118521,35904,0
"Hancock County, Indiana: Summary level: 050, state:18> county:059",11454,10238,1609,41592,67799,-999999999.0,-999999999.0,5.2,4.2,2.7,1.8,1.6,73005,7287,11117,169,98.5,14.1,16.9,23.1,7.8,10.4,26.3,10.6,16.6,1966,1105,1700,27968,11117,0
"Hendricks County, Indiana: Summary level: 050, state:18> county:063",20640,18510,5197,48923,78307,26.1,4.8,4.5,3.2,2.0,1.5,1.6,156168,9431,20106,916,98.5,11.6,14.1,19.1,7.0,10.3,27.6,6.5,16.1,2286,1985,1581,58677,20106,196
