,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Alabama: Summary level: 040, state:01",3330478,1284102,22459,58624,1521,54784,81754,4833722,155370,76636,21952,176843,104457,43778,34418.0,11807.0,4252.0,44097.0,22606.0,11787.0,779.0,159.0,232.0,1134.0,169.0,137.0,824.0,701.0,0.0,3014.0,671.0,361.0,,,,,,,94.0,0.0,0.0,559.0,98.0,6.0,1173,426,182,1406,1078,332,1690,810,126,2329,992,290
"Alaska: Summary level: 040, state:02",487762,25077,105310,41775,8794,9508,56906,735132,18058,5826,2010,15619,6302,2704,345.0,301.0,2.0,315.0,184.0,13.0,2202.0,1240.0,166.0,2948.0,1707.0,243.0,1134.0,212.0,262.0,996.0,783.0,98.0,55.0,17.0,0.0,66.0,0.0,0.0,126.0,0.0,0.0,242.0,21.0,0.0,534,154,19,516,109,55,560,369,84,728,353,12
"Arizona: Summary level: 040, state:04",5233466,277973,288294,191718,12609,410756,211808,6626624,250636,134235,42246,278740,151466,66678,6834.0,1762.0,676.0,6755.0,2388.0,1406.0,6244.0,2634.0,760.0,6919.0,3579.0,1468.0,4520.0,2143.0,694.0,7002.0,3558.0,1055.0,154.0,0.0,32.0,335.0,112.0,0.0,7341.0,2090.0,905.0,7756.0,3426.0,1128.0,2447,2021,101,3723,1892,863,32820,13897,5553,39003,19325,6265
"Arkansas: Summary level: 040, state:05",2305726,463928,17704,39210,628,66953,65224,2959373,108573,54830,15969,121121,71476,29974,10784.0,4567.0,1580.0,13483.0,7046.0,4082.0,438.0,102.0,224.0,437.0,247.0,53.0,562.0,187.0,136.0,694.0,90.0,70.0,,,,,,,516.0,104.0,0.0,393.0,281.0,126.0,1203,527,78,2643,512,385,2228,436,234,1521,1109,199
"California: Summary level: 040, state:06",23741019,2269021,278377,5210236,142782,4961376,1729710,38332521,914625,456690,185925,1016782,585608,332180,65671.0,29604.0,10177.0,79929.0,43381.0,18705.0,6908.0,4068.0,1110.0,8431.0,3973.0,1442.0,172088.0,87779.0,30259.0,215111.0,119820.0,55552.0,3827.0,1441.0,297.0,4728.0,1847.0,624.0,69641.0,25737.0,11198.0,87506.0,41925.0,15506.0,21038,11637,3440,26621,14087,7190,235950,107041,37315,289241,154452,62434
"Colorado: Summary level: 040, state:08",4415852,209555,43613,150852,8315,251148,189032,5268367,170051,77086,22369,181635,95343,46918,4714.0,1741.0,837.0,5588.0,2870.0,1049.0,829.0,175.0,56.0,1365.0,553.0,103.0,3098.0,1525.0,468.0,4301.0,3363.0,729.0,68.0,0.0,0.0,0.0,56.0,0.0,2833.0,1185.0,96.0,3782.0,1720.0,1214.0,2136,605,461,2312,1276,433,17900,7954,2011,19980,10963,4352
"Connecticut: Summary level: 040, state:09",2778681,370998,8018,147570,545,185341,104927,3596080,120915,60641,27997,136748,82685,58228,8439.0,4139.0,742.0,12389.0,5898.0,2472.0,,,,,,,2852.0,1287.0,288.0,4078.0,1047.0,739.0,,,,,,,2289.0,949.0,329.0,2869.0,1028.0,603.0,1621,392,215,924,1075,312,7513,3034,1059,9499,4300,1939
"Delaware: Summary level: 040, state:10",637606,200249,3955,33639,841,23029,26430,925749,33014,16235,5354,37442,20401,9740,5322.0,1774.0,1028.0,6836.0,3368.0,1258.0,,,,,,,766.0,679.0,0.0,1202.0,199.0,51.0,,,,,,,214.0,54.0,0.0,158.0,26.0,0.0,311,131,0,441,149,204,826,356,157,1019,290,29
"District of Columbia: Summary level: 040, state:11",264080,315504,1272,22963,104,21681,20845,646449,7331,3477,1102,8039,3480,2259,9720.0,4732.0,1970.0,13886.0,9466.0,4430.0,,,,,,,351.0,280.0,103.0,519.0,318.0,91.0,,,,,,,371.0,173.0,0.0,162.0,139.0,133.0,60,208,212,319,156,93,823,520,0,1238,468,337
"Florida: Summary level: 040, state:12",14897782,3141552,50379,509588,8241,486005,459313,19552860,815413,475950,168698,918580,565591,285516,79860.0,32764.0,9619.0,98192.0,54291.0,21502.0,1869.0,624.0,176.0,2054.0,489.0,300.0,15329.0,6419.0,1325.0,20195.0,8456.0,3299.0,179.0,85.0,72.0,265.0,17.0,30.0,8318.0,3405.0,1142.0,10033.0,5737.0,1573.0,6222,4249,1061,8412,5190,1782,122361,65944,22138,154285,95389,42609
