,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Georgia: Summary level: 040, state:13",6035159,3095976,21692,355900,3639,268958,210843,9992167,254449,111131,31072,284835,151470,63809,68213.0,25011.0,6006.0,94849.0,43750.0,17985.0,1483.0,302.0,0.0,709.0,251.0,339.0,7399.0,3657.0,313.0,7298.0,4047.0,1628.0,,,,,,,1934.0,108.0,58.0,1586.0,412.0,96.0,1426,720,195,2442,798,425,7561,2249,898,8430,4654,934
"Hawaii: Summary level: 040, state:15",358977,30306,2272,531218,137256,14008,330017,1404054,19803,7407,2418,17489,7506,4162,996.0,0.0,0.0,363.0,174.0,0.0,,,,,,,27392.0,15582.0,9111.0,32280.0,23215.0,16616.0,3697.0,1537.0,199.0,4651.0,2196.0,465.0,355.0,351.0,12.0,342.0,167.0,145.0,6234,1858,979,7291,3728,1222,1991,936,203,2469,971,617
"Idaho: Summary level: 040, state:16",1475631,9097,19800,24845,1818,42199,38746,1612136,61953,29259,9346,64038,35207,14799,,,,,,,501.0,150.0,59.0,575.0,233.0,148.0,279.0,575.0,0.0,910.0,732.0,383.0,,,,,,,924.0,140.0,29.0,688.0,134.0,65.0,311,279,74,624,212,92,2697,613,71,2487,756,252
"Illinois: Summary level: 040, state:17",9362416,1833560,25575,635385,3660,732177,289362,12882135,364451,185519,71073,412460,252565,149533,47342.0,22597.0,6711.0,66423.0,37683.0,15080.0,600.0,302.0,27.0,986.0,271.0,255.0,20736.0,7953.0,1228.0,22480.0,9828.0,3704.0,,,,,,,9246.0,2430.0,1015.0,10830.0,3750.0,1216.0,3140,1372,474,3539,1773,1193,30194,11844,3302,33609,15246,5876
"Indiana: Summary level: 040, state:18",5529595,603521,14146,116856,2703,161230,142851,6570902,221479,106593,38955,250365,143537,81763,14401.0,5883.0,1886.0,17932.0,8258.0,5832.0,763.0,122.0,86.0,515.0,284.0,0.0,1901.0,560.0,153.0,2215.0,1584.0,257.0,,,,,,,1016.0,335.0,103.0,1515.0,863.0,245.0,1631,454,280,2739,867,461,4243,2210,393,5972,2267,841
"Iowa: Summary level: 040, state:19",2823908,102430,7630,63431,1640,38541,52836,3090416,115830,63017,25975,126766,83800,53763,1181.0,570.0,22.0,1008.0,1190.0,349.0,174.0,14.0,20.0,115.0,221.0,0.0,640.0,368.0,78.0,1082.0,516.0,241.0,,,,,,,268.0,66.0,77.0,50.0,92.0,15.0,472,180,140,843,81,264,1642,675,344,1229,930,156
"Kansas: Summary level: 040, state:20",2476030,168246,24238,73219,1416,55240,95568,2893957,94479,50155,20499,104492,66914,40378,3123.0,1772.0,459.0,4465.0,2554.0,1376.0,437.0,456.0,3.0,1228.0,713.0,39.0,1647.0,207.0,80.0,2201.0,594.0,439.0,,,,,,,901.0,489.0,9.0,786.0,319.0,87.0,1146,677,156,2002,698,111,3130,1794,627,4232,2065,1221
"Kentucky: Summary level: 040, state:21",3854574,350164,7434,53187,2130,40077,87729,4395295,162294,72858,24638,182159,103620,46808,8983.0,3271.0,1191.0,10166.0,5942.0,3056.0,584.0,124.0,0.0,482.0,0.0,16.0,1040.0,353.0,0.0,1448.0,1262.0,289.0,,,,,,,141.0,23.0,32.0,420.0,0.0,0.0,1381,727,144,1470,765,285,998,667,199,755,960,342
"Louisiana: Summary level: 040, state:22",2907296,1492915,27412,74227,673,45026,77921,4625470,122993,58584,19888,136797,80967,36276,36221.0,15270.0,3287.0,46811.0,26649.0,9235.0,634.0,412.0,0.0,456.0,315.0,6.0,2070.0,802.0,0.0,1629.0,1240.0,213.0,,,,,,,450.0,213.0,0.0,553.0,238.0,98.0,1780,569,53,971,684,486,4230,1514,368,3836,2701,693
"Maine: Summary level: 040, state:23",1260470,13617,8242,14059,269,3811,27834,1328302,62977,30937,9935,67463,40858,18640,111.0,130.0,0.0,173.0,0.0,0.0,84.0,202.0,41.0,488.0,116.0,26.0,189.0,0.0,166.0,279.0,423.0,237.0,,,,,,,,,,,,,705,508,57,594,266,24,286,455,88,261,305,64
"Maryland: Summary level: 040, state:24",3416335,1754964,17230,354430,3053,213342,169460,5928814,146529,71130,28192,164407,94001,57575,45899.0,20415.0,4505.0,63295.0,30660.0,13960.0,464.0,342.0,81.0,870.0,175.0,85.0,11015.0,4138.0,1566.0,12462.0,5987.0,1649.0,,,,,,,2639.0,204.0,0.0,1992.0,868.0,190.0,1902,1074,283,3661,818,835,5512,2008,468,7298,3053,1747
"Massachusetts: Summary level: 040, state:25",5330381,474427,13958,388317,1557,285569,198615,6692824,223038,111739,46925,257180,157105,99297,10130.0,5145.0,801.0,14243.0,7750.0,2651.0,422.0,41.0,43.0,190.0,196.0,0.0,8607.0,4169.0,1219.0,9518.0,4573.0,1977.0,,,,,,,4638.0,1652.0,461.0,4935.0,1977.0,909.0,2182,877,120,3353,1455,492,9994,3852,1117,12592,6192,2045
"Michigan: Summary level: 040, state:26",7829056,1378237,53720,266406,2267,100087,265849,9895622,343897,168376,62651,376585,222922,121880,37637.0,16441.0,4911.0,49690.0,25814.0,12285.0,1813.0,578.0,0.0,1383.0,972.0,246.0,6358.0,2570.0,885.0,7352.0,3144.0,638.0,,,,,,,1749.0,509.0,62.0,1367.0,1013.0,283.0,3926,1655,544,3845,2277,502,6706,3244,918,7263,3356,1745
"Minnesota: Summary level: 040, state:27",4596087,294527,59184,234013,1753,88055,146761,5420380,186594,97366,35614,202196,127064,70343,3722.0,1259.0,374.0,4486.0,2227.0,346.0,1231.0,593.0,71.0,1809.0,550.0,99.0,3300.0,1228.0,272.0,4377.0,2299.0,537.0,,,,,,,351.0,258.0,0.0,895.0,276.0,17.0,1542,575,177,1702,391,546,2064,722,0,2264,1100,594
"Mississippi: Summary level: 040, state:28",1764640,1128280,13314,28159,268,24277,32269,2991207,83589,39712,12096,93095,55342,24297,24750.0,10950.0,2858.0,35591.0,19376.0,7005.0,158.0,0.0,0.0,265.0,43.0,0.0,799.0,250.0,84.0,799.0,282.0,0.0,,,,,,,105.0,0.0,0.0,329.0,100.0,0.0,510,236,206,513,656,340,768,596,313,1464,677,159
"Missouri: Summary level: 040, state:29",5003971,692288,22797,102626,5491,65011,151987,6044171,214755,108361,38004,240804,144676,73580,17024.0,8333.0,1945.0,22765.0,12539.0,5609.0,787.0,325.0,134.0,806.0,273.0,19.0,2086.0,1053.0,310.0,2859.0,1725.0,355.0,,,,,,,410.0,80.0,59.0,497.0,337.0,94.0,1661,1042,240,3137,1035,421,2687,972,479,3575,1641,594
"Montana: Summary level: 040, state:30",904740,3221,69216,6548,491,5053,25896,1015165,45555,22022,7108,44315,24845,13577,,,,,,,1444.0,526.0,100.0,2142.0,1153.0,176.0,247.0,0.0,0.0,248.0,0.0,115.0,,,,,,,,,,,,,274,242,0,338,392,115,270,261,12,284,486,256
"Nebraska: Summary level: 040, state:31",1650358,86010,14405,37356,1654,35871,42862,1868516,62513,35985,12286,68666,45548,27108,1810.0,913.0,50.0,2314.0,1031.0,366.0,183.0,180.0,0.0,263.0,119.0,20.0,720.0,228.0,30.0,739.0,353.0,127.0,,,,,,,398.0,328.0,7.0,517.0,306.0,11.0,142,406,0,431,233,236,1202,820,394,2052,1324,272
"Nevada: Summary level: 040, state:32",1906864,234179,30016,215121,18302,268246,117408,2790136,94313,41227,11994,94653,42818,21762,6258.0,2917.0,740.0,8075.0,3310.0,1754.0,1402.0,137.0,13.0,774.0,307.0,499.0,7822.0,3189.0,845.0,11659.0,4486.0,1698.0,411.0,75.0,25.0,599.0,123.0,0.0,3231.0,1723.0,323.0,4223.0,1893.0,528.0,1561,625,97,1907,735,101,10630,4386,969,12813,5786,2183
"New Hampshire: Summary level: 040, state:33",1236757,16100,3082,31156,106,10869,25389,1323459,55204,25527,8473,58828,32986,16838,206.0,35.0,0.0,546.0,307.0,32.0,,,,,,,204.0,353.0,52.0,891.0,244.0,0.0,,,,,,,276.0,0.0,0.0,108.0,137.0,117.0,209,317,35,373,179,388,777,64,200,779,62,304
"New Jersey: Summary level: 040, state:34",6068475,1215836,16422,801879,1633,577756,217338,8899339,255808,132337,56571,295937,184838,116539,32189.0,13638.0,3219.0,46416.0,24451.0,10061.0,379.0,94.0,0.0,582.0,228.0,107.0,24535.0,8673.0,1688.0,25549.0,10260.0,4099.0,,,,,,,6124.0,2706.0,825.0,9415.0,4762.0,1286.0,2769,1775,271,3259,2338,581,30133,13523,3674,38638,20044,7046
"New Mexico: Summary level: 040, state:35",1569585,41733,189392,28274,1622,185279,69402,2085287,72690,37718,10293,79751,42145,19759,1473.0,522.0,88.0,667.0,636.0,94.0,4294.0,2051.0,431.0,5363.0,2980.0,1063.0,1009.0,74.0,166.0,1077.0,410.0,374.0,,,,,,,4920.0,2236.0,599.0,5404.0,2549.0,1556.0,1614,410,204,1420,755,175,26941,12778,4297,30757,15632,7084
"New York: Summary level: 040, state:36",12695280,3079582,73231,1554980,9962,1673398,564694,19651127,533825,282800,115893,616074,390201,237658,80369.0,36015.0,12777.0,123118.0,66981.0,28185.0,1987.0,1068.0,397.0,3666.0,1256.0,518.0,44553.0,22559.0,5492.0,49385.0,25995.0,10204.0,34.0,143.0,0.0,197.0,424.0,0.0,29048.0,10250.0,3679.0,38807.0,17726.0,6867.0,9407,2911,564,11129,4811,2870,72293,31948,9392,99436,54140,21355
"North Carolina: Summary level: 040, state:37",6811501,2121712,112630,238502,6661,320910,236144,9848060,312269,147953,42536,351340,193682,94289,60480.0,22137.0,6830.0,77589.0,39739.0,16856.0,3352.0,1007.0,262.0,4018.0,1899.0,821.0,5056.0,1010.0,457.0,5418.0,2887.0,733.0,,,,,,,1010.0,855.0,60.0,1236.0,782.0,233.0,1914,684,405,2127,1881,546,6198,3666,531,6836,3087,1354
"North Dakota: Summary level: 040, state:38",643478,10827,40214,9096,371,4620,14787,723393,24501,14352,5390,25210,18289,11652,,,,,,,381.0,423.0,38.0,614.0,390.0,263.0,193.0,44.0,0.0,32.0,43.0,24.0,,,,,,,,,,,,,71,24,5,98,150,34,82,42,37,74,28,85
"Ohio: Summary level: 040, state:39",9541274,1405148,18273,212547,3118,94489,295959,11570808,403064,199423,77570,456038,277487,153421,36094.0,18377.0,4936.0,50282.0,27935.0,13994.0,711.0,135.0,87.0,565.0,308.0,191.0,6300.0,1772.0,109.0,6319.0,2360.0,621.0,,,,,,,967.0,478.0,44.0,1264.0,308.0,422.0,2775,1167,496,3652,1655,431,4351,2017,878,6380,3128,899
"Oklahoma: Summary level: 040, state:40",2815708,277016,289909,71433,5486,103571,287445,3850568,124798,65101,19602,140045,83371,38525,6624.0,3059.0,733.0,8140.0,3794.0,1882.0,7391.0,3153.0,872.0,8744.0,3832.0,1071.0,1427.0,538.0,105.0,2521.0,518.0,136.0,,,,,,,834.0,377.0,67.0,814.0,519.0,167.0,5027,2226,854,7147,2288,1466,3506,1241,427,3734,1579,529
"Oregon: Summary level: 040, state:41",3370391,72655,43202,152271,14038,111728,165780,3930065,157696,72157,27352,170316,89269,50664,1350.0,931.0,361.0,1729.0,593.0,610.0,1857.0,309.0,16.0,1567.0,488.0,149.0,3624.0,1745.0,675.0,5426.0,2181.0,741.0,165.0,0.0,121.0,365.0,0.0,10.0,875.0,533.0,81.0,1115.0,282.0,40.0,2738,1158,224,2935,1615,533,4372,1519,332,5440,1760,873
"Pennsylvania: Summary level: 040, state:42",10427694,1409021,22855,384783,2241,264099,263108,12773801,466230,252327,97110,526813,350436,200350,33668.0,15956.0,5135.0,48366.0,27269.0,13102.0,625.0,316.0,32.0,986.0,270.0,135.0,9719.0,3664.0,1195.0,10628.0,4994.0,754.0,,,,,,,3487.0,1625.0,31.0,2364.0,1513.0,580.0,2835,953,770,3549,1468,362,11180,5950,735,12066,5731,2770
"Rhode Island: Summary level: 040, state:44",846102,67541,4136,33240,531,73059,26902,1051511,36422,18229,8664,41876,24102,20882,1475.0,179.0,210.0,1357.0,817.0,258.0,,,,,,,504.0,330.0,29.0,494.0,534.0,293.0,,,,,,,1066.0,167.0,253.0,1570.0,592.0,350.0,610,172,33,418,234,12,1857,757,253,2285,782,556
"South Carolina: Summary level: 040, state:45",3209900,1320131,14297,65048,3137,71578,90748,4774839,163699,72329,20388,178818,93086,41108,38045.0,15690.0,4081.0,50727.0,25485.0,10242.0,585.0,217.0,0.0,702.0,92.0,159.0,1128.0,465.0,81.0,2234.0,1206.0,291.0,,,,,,,775.0,122.0,0.0,266.0,0.0,94.0,1011,332,52,1062,196,298,2527,905,188,2709,942,276
"South Dakota: Summary level: 040, state:46",719112,13001,71981,9105,420,6721,24537,844877,30147,16635,6453,30872,22339,12356,230.0,0.0,0.0,0.0,19.0,5.0,1073.0,461.0,50.0,1447.0,681.0,102.0,0.0,163.0,0.0,206.0,0.0,0.0,,,,,,,,,,,,,187,306,54,371,135,71,103,7,27,232,17,129
"Tennessee: Summary level: 040, state:47",5060129,1102455,16101,98746,2990,92334,123223,6495978,233172,107125,29069,256543,146244,63105,25943.0,8486.0,3740.0,34621.0,17040.0,7589.0,874.0,463.0,0.0,449.0,140.0,0.0,1852.0,873.0,131.0,2449.0,1749.0,211.0,,,,,,,622.0,68.0,20.0,838.0,90.0,0.0,1793,1188,156,2325,804,397,1946,638,152,2349,1574,461
"Texas: Summary level: 040, state:48",19840367,3142866,118862,1089907,19892,1589415,646884,26448193,684851,326308,99507,757982,429515,196249,70350.0,28116.0,6318.0,90414.0,44044.0,18405.0,3088.0,1309.0,319.0,3410.0,1686.0,230.0,26493.0,10282.0,1701.0,32158.0,12274.0,4248.0,90.0,36.0,0.0,264.0,319.0,0.0,25227.0,11252.0,1742.0,28673.0,11624.0,5405.0,9666,3805,1089,12074,4423,1581,178252,76952,19584,208178,112190,38828
"Utah: Summary level: 040, state:49",2534534,32754,33325,62671,27513,139605,70470,2900872,74115,36840,13048,80283,45288,19981,374.0,425.0,82.0,322.0,193.0,61.0,527.0,75.0,0.0,549.0,230.0,40.0,1215.0,545.0,93.0,1469.0,735.0,331.0,406.0,51.0,0.0,605.0,66.0,65.0,1105.0,232.0,182.0,1292.0,95.0,213.0,463,113,0,511,426,34,4241,1454,490,4549,1990,948
"Vermont: Summary level: 040, state:50",595148,7184,1579,7640,222,1633,13224,626630,28132,11871,5402,29658,17724,7454,196.0,0.0,28.0,110.0,0.0,15.0,,,,,,,304.0,87.0,27.0,367.0,43.0,0.0,,,,,,,,,,,,,476,27,0,390,100,0,59,17,98,58,47,0
"Virginia: Summary level: 040, state:51",5726886,1592426,19615,484497,5808,162662,268511,8260405,243644,112186,36422,267722,144326,75164,44853.0,18313.0,4416.0,56215.0,28654.0,14325.0,745.0,129.0,0.0,660.0,278.0,196.0,12516.0,4828.0,1136.0,14010.0,7461.0,1494.0,94.0,135.0,0.0,234.0,0.0,37.0,1494.0,154.0,27.0,2513.0,236.0,253.0,2502,1195,253,3978,1342,669,7773,2077,908,9792,3164,1458
"Washington: Summary level: 040, state:53",5439705,259337,95193,536093,42335,255584,343159,6971406,237976,110251,38077,254806,131759,74635,5390.0,2684.0,294.0,5580.0,2522.0,1177.0,2528.0,794.0,201.0,2882.0,1164.0,126.0,14140.0,6174.0,2213.0,19657.0,9048.0,5494.0,797.0,114.0,0.0,709.0,124.0,73.0,2066.0,711.0,206.0,1900.0,1473.0,493.0,3365,1682,410,5028,1859,184,8927,3767,979,9674,4481,1793
"West Virginia: Summary level: 040, state:54",1737683,62788,1842,10455,1547,6070,33919,1854304,86074,40288,11655,91693,53059,25922,1488.0,1063.0,242.0,1550.0,2023.0,678.0,,,,,,,270.0,221.0,0.0,324.0,118.0,79.0,,,,,,,,,,,,,817,374,98,846,617,170,220,242,99,622,188,128
"Wisconsin: Summary level: 040, state:55",4972949,357899,49653,142590,1512,96937,121173,5742713,209772,107009,41868,224864,141269,81253,6626.0,2560.0,623.0,8499.0,4503.0,987.0,1185.0,506.0,53.0,1374.0,670.0,229.0,2370.0,674.0,361.0,2457.0,1040.0,369.0,,,,,,,1551.0,436.0,54.0,1274.0,129.0,197.0,891,296,206,1299,883,235,3841,1296,428,3321,1603,900
"Wyoming: Summary level: 040, state:56",528303,7435,13675,5729,185,11349,15982,582658,22653,9709,3259,21799,10532,6904,,,,,,,283.0,46.0,16.0,244.0,64.0,0.0,,,,,,,,,,,,,190.0,39.0,63.0,435.0,25.0,0.0,122,0,0,285,278,0,1246,526,259,1219,413,130
"Puerto Rico: Summary level: 040, state:72",2596735,280579,15942,10998,86,386903,323843,3615086,117160,61905,21120,146078,81875,34489,13207.0,6457.0,2002.0,15483.0,8582.0,3278.0,420.0,105.0,87.0,251.0,0.0,300.0,,,,,,,,,,,,,13462.0,4119.0,1976.0,14899.0,7035.0,3628.0,11439,4922,1143,12582,6708,3428,154333,77002,25815,188796,103751,45329
