,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E
"Alabama: Summary level: 040, state:01",761847,611459,161150,35709,44765,20.4,5.6,5.4,3.9,2.8,1.9,1.7,4736333,876016,743274,73580,93.9,14.0,17.3,16.6,7.6,10.9,27.8,9.6,17.4,87266,68480,285429,1846390,743274,2185
"Alaska: Summary level: 040, state:02",71008,62370,21391,56421,73355,29.0,5.8,4.0,2.5,1.3,1.0,0.8,720765,74532,70086,3138,111.1,9.0,10.3,20.6,7.7,10.6,24.7,9.9,14.6,13630,5962,26915,250185,70086,734
"Arizona: Summary level: 040, state:04",1120004,967546,311836,42295,51492,19.3,5.0,5.3,4.2,3.0,1.9,1.9,6671705,1159043,1107887,99216,98.5,15.2,17.6,16.6,6.8,8.4,21.2,7.1,13.5,132964,125656,321127,2463008,1107887,12037
"Arkansas: Summary level: 040, state:05",478114,382438,89150,33276,41995,22.0,6.0,5.3,4.1,2.7,2.0,2.0,2887337,550508,461223,47283,96.6,14.5,17.5,18.5,8.6,11.2,28.3,9.6,17.5,54757,45702,156749,1144663,461223,3109
"California: Summary level: 040, state:06",5189558,4122791,1562921,47779,64500,24.7,6.2,4.5,3.1,2.2,1.6,1.8,38398057,5891678,5094631,505959,98.7,11.8,14.7,14.0,6.5,10.0,22.8,9.7,17.0,428588,417335,1257012,12896357,5094631,61995
"Colorado: Summary level: 040, state:08",711572,636794,258028,46946,63909,26.7,6.5,4.8,3.2,2.1,1.5,1.5,5339618,613549,696097,48978,100.9,11.8,14.3,15.8,6.1,7.6,18.9,6.3,12.2,91865,71847,173729,2074735,696097,5031
"Connecticut: Summary level: 040, state:09",565283,476598,176984,49209,71346,30.0,7.9,5.0,3.8,2.6,1.9,2.5,3480932,366909,543412,39372,95.3,13.9,17.5,12.3,4.6,8.1,19.3,8.0,13.7,48793,55578,169838,1343703,543412,3610
"Delaware: Summary level: 040, state:10",160824,138905,42148,47173,61255,22.8,7.1,5.9,4.3,2.9,1.9,2.1,920355,114360,156750,9766,93.9,15.7,18.2,12.8,4.8,6.1,20.6,6.1,12.1,20782,15481,45905,352595,156750,2056
"District of Columbia: Summary level: 040, state:11",76591,61918,30958,48571,75628,32.2,8.2,3.7,2.8,1.8,1.3,1.7,638027,110500,73677,11167,90.7,9.6,13.0,9.2,7.5,7.6,23.5,9.6,16.3,4739,6157,43203,281787,73677,560
"Florida: Summary level: 040, state:12",3945233,3326242,1056556,39896,49426,21.0,5.5,6.0,4.8,3.5,2.5,2.6,19850054,3116886,3878581,399156,95.3,17.9,20.9,13.7,6.1,8.7,21.3,7.5,13.6,387568,405305,1112925,7463184,3878581,52502
"Georgia: Summary level: 040, state:13",1302759,1048795,325446,39534,51244,22.2,6.7,4.6,3.3,2.1,1.4,1.3,9943145,1694988,1270304,123068,95.0,11.3,14.1,14.1,7.9,9.9,23.7,8.7,15.1,153923,103349,535864,3656407,1270304,11169
"Hawaii: Summary level: 040, state:15",237153,198185,68211,62885,73486,30.3,6.5,5.6,3.8,2.5,1.9,2.8,1394121,147984,232866,18243,102.5,14.7,18.4,15.4,4.7,10.3,20.4,8.5,15.7,27872,21770,51246,445936,232866,1415
"Idaho: Summary level: 040, state:16",243264,214353,59518,37321,48275,23.4,5.8,5.1,3.7,2.6,1.7,1.6,1622116,245551,239003,20678,99.8,13.8,15.6,18.1,6.0,8.6,22.4,6.7,12.4,30293,25503,68443,597421,239003,369
"Illinois: Summary level: 040, state:17",1828225,1527819,444655,40865,59588,24.8,6.4,4.7,3.4,2.4,1.8,1.9,12559422,1703258,1765021,149211,96.3,12.5,15.8,12.6,5.7,7.5,22.1,7.7,14.9,171446,152213,648931,4794523,1765021,14830
"Indiana: Summary level: 040, state:18",965324,805678,181628,37840,50532,22.8,6.3,4.8,3.6,2.6,1.7,1.9,6417418,933181,929091,66751,96.6,13.0,16.2,16.6,6.6,8.7,23.7,7.4,14.2,103095,84270,290205,2515143,929091,4103
