,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E
"Jefferson County, Kentucky: Summary level: 050, state:21> county:111",127864,113906,36066,46406,59049,27.9,7.4,42065,34290,21643,14391,15475,750585,104759,124667,12216,93.3,54418,73446,12.5,5.0,7.9,23.2,8.0,13.6,12209,9204,28715,316174,124667,149
"Hennepin County, Minnesota: Summary level: 050, state:27> county:053",183735,171786,78352,58701,82369,31.3,9.1,64045,44648,30415,22533,22094,1244386,119241,179027,13052,98.1,81114,102621,12.3,4.1,7.3,14.9,5.6,11.8,12977,14729,41249,517091,179027,696
"Olmsted County, Minnesota: Summary level: 050, state:27> county:109",25630,23645,9163,55695,80096,25.5,6.4,8577,6233,4252,3416,3152,155863,9768,24617,909,97.7,11258,14372,15.1,5.8,5.0,16.2,5.9,9.7,2347,2202,4277,65635,24617,109
"Scott County, Minnesota: Summary level: 050, state:27> county:139",16735,14885,4529,60359,108761,36.0,6.9,5779,4459,2018,1819,2660,147142,5432,15985,702,99.1,7595,9140,10.8,5.6,6.2,17.8,5.9,9.8,1596,828,1538,51474,15985,97
"Faulkner County, Arkansas: Summary level: 050, state:05> county:045",16110,14131,4475,42717,57642,17.7,1.5,5752,4433,3474,1420,1031,120947,19701,15636,2390,93.5,6825,9285,17.2,6.2,6.1,18.3,7.6,9.4,2167,1256,3867,47389,15636,0
"Benton County, Arkansas: Summary level: 050, state:05> county:007",38185,33353,11243,50361,69130,20.4,6.0,13283,9098,7322,4441,4041,275215,25073,37399,3790,98.8,16906,21279,13.2,4.3,7.3,24.7,4.6,13.6,3670,3517,4107,100749,37399,532
"Sedgwick County, Kansas: Summary level: 050, state:20> county:173",76878,69426,22278,48282,59716,28.6,6.0,27111,18467,12549,10069,8682,508791,62931,75484,4755,97.3,34763,42115,14.1,5.9,7.8,22.9,6.6,13.2,8282,6733,20664,199517,75484,860
"Douglas County, Kansas: Summary level: 050, state:20> county:045",16116,14984,6708,49444,64233,34.9,8.8,5631,4659,2464,1936,1426,114055,17859,16012,812,95.4,7018,9098,17.4,5.3,8.0,26.0,5.9,12.9,1530,691,2549,48508,16012,0
"Cumberland County, Pennsylvania: Summary level: 050, state:42> county:041",47750,42814,14672,53726,75391,29.2,8.8,14943,12125,8826,5160,6696,239536,15990,45528,2100,98.1,20824,26926,12.2,4.3,7.8,17.6,5.2,11.8,4258,4145,6876,101823,45528,225
"Allegheny County, Pennsylvania: Summary level: 050, state:42> county:003",235484,218862,71710,45941,64871,29.7,8.8,76168,56326,38365,26460,38165,1184108,128231,228077,17793,93.7,99978,135506,13.0,5.0,8.7,21.0,6.7,14.1,17289,21861,65740,553858,228077,352
