,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E
"Cheshire County, New Hampshire: Summary level: 050, state:33> county:005",12664,86.4,26.3,34051,51945,30.1,2.5,5.3,4.1,2.5,2.0,2.7,71798,8745,12126,1096,93.9,15.3,17.7,20.9,9.7,8.8,24.8,6.7,12.6,24.4,23.9,3581,30603,12126,0
"Grafton County, New Hampshire: Summary level: 050, state:33> county:009",15481,86.5,29.6,41907,56370,34.0,3.8,5.7,4.2,2.8,2.6,2.0,82997,9279,15018,803,98.5,16.1,18.4,17.8,4.3,6.4,17.9,5.6,9.6,29.3,23.1,2381,35728,15018,11
"Hillsborough County, New Hampshire: Summary level: 050, state:33> county:011",54171,84.5,26.9,42590,67574,31.0,5.4,4.5,3.0,2.5,1.8,1.5,395786,38127,51631,2938,98.4,11.8,15.0,15.9,4.9,7.9,21.2,6.2,12.6,25.0,22.7,13643,155036,51631,199
"Merrimack County, New Hampshire: Summary level: 050, state:33> county:013",22420,85.2,31.5,44821,65662,32.5,9.5,4.5,4.1,2.6,1.7,2.4,140511,12638,21225,1300,97.6,13.6,16.9,15.1,6.8,8.4,20.9,8.0,13.5,25.3,28.1,5522,55085,21225,0
"Rockingham County, New Hampshire: Summary level: 050, state:33> county:015",44042,90.9,31.2,46276,74782,31.5,7.2,5.0,3.8,2.5,1.5,1.9,296088,16641,43054,1951,97.2,13.5,15.9,14.0,4.7,4.8,19.2,4.3,10.9,27.3,23.9,5758,117890,43054,0
"Strafford County, New Hampshire: Summary level: 050, state:33> county:017",16780,87.8,25.2,40913,60692,22.4,12.3,5.2,2.6,2.0,1.8,1.9,115716,9490,16280,1040,94.7,12.2,14.7,20.5,5.1,9.1,16.8,4.1,13.2,29.3,19.4,5348,47528,16280,0
"Atlantic County, New Jersey: Summary level: 050, state:34> county:001",42376,78.8,20.6,39980,52127,28.1,4.1,5.0,3.6,2.1,2.4,2.3,270136,48716,41321,4800,94.7,13.9,16.7,13.1,7.5,8.8,25.0,9.0,16.2,21.8,33.0,15197,101721,41321,728
"Bergen County, New Jersey: Summary level: 050, state:34> county:003",146132,82.8,32.7,50094,81670,31.3,7.8,4.8,3.5,2.6,2.2,2.7,914137,74517,142489,10218,93.8,13.9,17.6,11.1,5.0,6.6,17.9,7.5,13.3,29.6,40.2,17632,338063,142489,3151
"Burlington County, New Jersey: Summary level: 050, state:34> county:005",68422,86.5,24.7,50619,77398,31.0,8.1,4.9,3.4,2.6,2.2,2.1,438603,25014,66333,2963,96.9,13.2,17.1,12.9,4.1,6.8,20.5,5.6,11.9,21.5,26.8,7622,162245,66333,464
"Camden County, New Jersey: Summary level: 050, state:34> county:007",71200,79.0,20.9,40172,58006,27.3,6.0,4.1,3.6,2.2,1.8,2.2,505832,75667,69217,6734,93.8,12.0,15.6,15.2,8.5,12.4,28.5,10.1,21.1,25.3,28.3,25734,185774,69217,1084
"Cape May County, New Jersey: Summary level: 050, state:34> county:009",22735,84.1,25.9,41655,60560,30.1,12.6,7.5,5.4,5.2,3.6,2.1,94252,8835,22447,1777,93.2,21.4,25.8,15.4,8.0,6.9,21.0,4.9,11.2,32.2,32.4,2122,38210,22447,0
"Cumberland County, New Jersey: Summary level: 050, state:34> county:011",20856,70.1,12.1,32724,45978,14.6,2.7,4.2,3.2,2.0,1.9,2.0,145220,29978,19867,2035,104.4,11.0,15.7,16.3,9.6,10.6,30.2,10.4,19.9,23.5,22.1,10964,50066,19867,307
"Essex County, New Jersey: Summary level: 050, state:34> county:013",96739,74.2,25.5,37325,53610,30.0,7.3,3.9,2.9,2.1,1.6,1.7,770876,137499,93131,12122,92.5,10.2,14.1,12.7,10.9,11.5,27.7,11.3,19.0,19.6,27.9,45685,277102,93131,1303
"Gloucester County, New Jersey: Summary level: 050, state:34> county:015",39747,80.6,16.8,44625,71355,25.9,7.6,4.1,3.9,1.9,2.1,1.8,285923,28139,38697,1928,94.7,12.2,15.1,15.4,6.5,9.4,26.3,10.2,17.4,32.0,24.3,10023,103864,38697,402
"Hudson County, New Jersey: Summary level: 050, state:34> county:017",70404,61.6,16.4,29532,56079,27.1,4.7,3.7,2.3,1.7,1.4,1.4,653812,128632,68144,11866,99.0,8.8,12.5,8.6,7.4,10.1,27.3,11.0,19.7,21.2,27.4,38822,247490,68144,2824
"Hunterdon County, New Jersey: Summary level: 050, state:34> county:019",19167,91.5,38.7,65348,110457,31.8,5.7,5.0,4.0,2.5,1.8,2.0,119868,3929,18590,499,102.0,13.6,16.8,12.5,2.8,5.1,14.7,3.5,11.5,32.4,37.3,1281,45792,18590,93
"Mercer County, New Jersey: Summary level: 050, state:34> county:021",49964,81.0,31.2,47276,70857,29.2,7.8,4.7,2.5,2.4,2.0,1.9,352368,41667,48260,3600,96.0,11.5,15.4,11.7,6.0,7.4,18.8,6.1,13.2,26.3,31.3,14042,131623,48260,213
"Middlesex County, New Jersey: Summary level: 050, state:34> county:023",109072,80.3,26.7,45870,76848,26.3,4.4,4.1,3.1,2.3,1.8,1.9,802417,76062,105444,7809,96.9,11.4,14.9,11.6,4.6,7.8,22.4,8.4,15.0,32.2,33.6,17304,283211,105444,3208
"Monmouth County, New Jersey: Summary level: 050, state:34> county:025",95489,87.5,35.3,54847,83749,31.6,7.4,4.8,3.6,2.2,2.0,2.5,623342,47963,92990,5264,94.9,13.3,16.9,12.1,5.4,7.3,20.3,7.7,13.6,28.2,36.5,12939,232158,92990,684
"Morris County, New Jersey: Summary level: 050, state:34> county:027",75996,88.8,36.7,62060,100176,34.6,7.1,5.0,3.3,2.6,2.0,2.4,490753,21181,73749,4081,96.0,13.5,16.9,13.1,4.9,6.7,16.3,7.1,14.4,30.5,39.6,6106,178951,73749,224
"Ocean County, New Jersey: Summary level: 050, state:34> county:029",126946,82.3,18.2,39743,60227,21.5,3.2,5.9,5.2,3.8,3.0,3.7,574587,58632,123478,8258,91.8,19.0,24.3,14.3,5.6,7.5,23.7,8.0,13.8,28.5,37.4,17810,217698,123478,194
"Passaic County, New Jersey: Summary level: 050, state:34> county:031",65242,72.5,18.8,43276,58898,25.6,5.4,4.2,3.1,2.2,1.5,1.9,497853,82857,63303,7212,95.0,11.1,14.6,10.5,6.7,7.1,20.0,7.4,16.0,26.4,33.1,32116,161331,63303,2140
"Salem County, New Jersey: Summary level: 050, state:34> county:033",10517,76.6,14.1,40841,61943,27.5,3.9,5.0,3.8,3.1,1.8,2.5,63542,11715,9946,676,93.6,14.2,17.9,18.1,6.8,13.8,26.2,8.4,15.3,21.2,22.3,3130,24280,9946,4
"Somerset County, New Jersey: Summary level: 050, state:34> county:035",45165,87.5,36.9,57545,97219,32.2,9.0,4.0,3.5,2.3,1.8,2.1,326655,17216,43368,2178,96.0,11.9,15.3,12.6,5.0,6.1,20.0,8.4,16.0,21.7,39.9,2605,112974,43368,612
"Sussex County, New Jersey: Summary level: 050, state:34> county:037",20625,88.4,27.3,47973,88407,29.6,9.7,5.5,3.4,2.2,1.5,1.5,144404,8397,19945,746,99.6,12.9,15.3,14.1,7.4,8.2,22.8,9.4,11.4,31.9,23.6,2589,54765,19945,10
"Union County, New Jersey: Summary level: 050, state:34> county:039",70890,75.4,21.6,41791,64593,30.7,6.3,4.1,2.8,1.8,1.9,2.2,540926,62096,68370,6056,95.5,11.0,14.8,10.8,6.1,8.0,20.7,9.0,15.5,30.5,33.2,17398,186951,68370,1604
"Warren County, New Jersey: Summary level: 050, state:34> county:041",16723,85.4,20.2,45574,67208,29.2,10.1,5.8,2.9,2.9,1.8,2.3,105504,9837,16014,710,92.9,13.6,17.5,14.9,4.7,5.9,20.5,7.4,13.8,28.8,25.3,3558,41870,16014,235
"Bernalillo County, New Mexico: Summary level: 050, state:35> county:001",91920,84.8,33.6,38439,48257,22.9,6.1,4.5,3.3,2.2,1.6,1.9,666172,126827,90273,8986,96.4,12.1,15.1,17.8,8.8,12.2,25.8,10.3,17.2,23.5,21.0,41155,258707,90273,1115
