,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E
"Shelby County, Alabama: Summary level: 050, state:01> county:117",33295,30361,11449,49880,71230,26.8,5.6,11940,8412,6232,3686,3025,211940,17492,32879,2161,94.9,14806,18489,16.0,6.6,8.6,22.5,9.2,14.5,3616,3168,3732,80944,32879,117
"Talladega County, Alabama: Summary level: 050, state:01> county:121",14422,11091,2243,33795,40315,11.5,7.9,4531,4226,2482,1910,1273,76270,14903,14126,1737,93.1,6558,7864,10.7,5.6,11.7,27.5,8.4,22.0,1329,710,5198,31219,14126,53
"Tuscaloosa County, Alabama: Summary level: 050, state:01> county:125",27472,24764,8017,45869,54459,23.8,8.2,9310,7501,5411,2713,2537,198260,32904,26913,2352,91.1,11969,15503,10.2,5.6,8.5,21.6,7.6,15.2,2463,2015,6688,74053,26913,0
"Pinal County, Arizona: Summary level: 050, state:04> county:021",90825,78653,22668,46508,59058,15.0,2.2,27844,27162,18482,11173,6164,418346,52134,89732,7690,109.1,43946,46879,18.9,6.2,8.2,19.7,5.1,12.0,12365,9157,16612,147936,89732,372
"Mendocino County, California: Summary level: 050, state:06> county:045",19072,16996,6191,48551,51830,32.0,11.4,6576,5744,2860,2417,1475,85879,16317,18763,2066,96.5,8725,10347,14.9,6.2,4.4,12.8,2.5,10.5,2011,1482,3139,33794,18763,25
"Orange County, California: Summary level: 050, state:06> county:059",471226,399654,178361,63253,89759,28.0,7.3,142280,124254,80776,58499,65417,3148187,329078,464567,48801,97.5,208991,262235,11.1,5.2,8.4,18.0,8.8,14.0,28824,33914,61341,1040394,464567,5747
"Sacramento County, California: Summary level: 050, state:06> county:067",217444,186800,66653,52515,69767,22.3,5.1,70410,57822,36056,25650,27506,1522720,217412,214448,22795,95.5,93987,123457,12.7,5.3,10.4,22.5,10.3,17.7,20502,18583,57716,543560,214448,1111
"Citrus County, Florida: Summary level: 050, state:12> county:017",53832,48592,9994,38779,39964,11.5,4.2,16405,13054,10321,7242,6810,145414,22031,53286,5240,95.1,26184,27648,16.7,7.8,5.0,21.8,4.3,9.6,7392,7289,7412,62293,53286,391
"Peoria County, Illinois: Summary level: 050, state:17> county:143",30201,27590,7806,45497,56138,20.3,5.3,9622,7828,4479,3712,4560,175616,29927,28925,2800,94.6,13125,17076,13.7,3.3,6.0,20.6,8.0,11.2,2664,2568,7807,71506,28925,75
"Hancock County, Indiana: Summary level: 050, state:18> county:059",12948,12107,3379,37546,71653,19.2,8.2,3932,4173,2182,1487,1174,75021,4377,12591,1455,96.0,6304,6644,14.0,9.3,7.1,23.4,6.9,14.1,1490,684,979,29605,12591,0
