,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Alabama: Summary level: 040, state:01",3329913,1303298,20503,59393,4448,54105,87319,4858979,165653,78915,22516,187422,107301,43862,38529.0,14579.0,3447.0,49313.0,25429.0,11086.0,865.0,92.0,0.0,1107.0,211.0,35.0,1754.0,507.0,208.0,1462.0,991.0,299.0,,,,,,,462.0,0.0,0.0,159.0,202.0,83.0,1279,289,115,2019,1294,267,1619,508,42,1842,1449,54
"Alaska: Summary level: 040, state:02",481314,26176,101133,47295,6762,12467,63285,738432,20373,6003,1993,18129,6599,2666,501.0,0.0,0.0,208.0,246.0,0.0,2331.0,975.0,179.0,3008.0,1070.0,300.0,914.0,467.0,32.0,909.0,990.0,123.0,,,,,,,55.0,85.0,0.0,220.0,0.0,0.0,631,389,0,510,473,294,430,85,11,1232,138,0
"Arizona: Summary level: 040, state:04",5285994,300685,308469,217556,11284,481631,222446,6828065,275732,143619,46628,305449,163527,72607,7302.0,2708.0,1222.0,8849.0,3500.0,1062.0,6628.0,3098.0,976.0,9098.0,4149.0,2203.0,5482.0,2457.0,963.0,8882.0,4111.0,1352.0,166.0,65.0,30.0,284.0,123.0,165.0,8243.0,3331.0,1431.0,10050.0,2876.0,1337.0,3415,1156,420,3278,1181,849,38637,14700,6600,45076,20859,8942
"Arkansas: Summary level: 040, state:05",2308047,469555,20797,42404,7639,65542,64220,2978204,113580,54178,19482,127722,70050,33687,13000.0,3950.0,1763.0,15123.0,7585.0,3691.0,776.0,233.0,36.0,652.0,266.0,270.0,1493.0,360.0,0.0,1037.0,370.0,145.0,,,,,,,1084.0,147.0,0.0,1277.0,253.0,145.0,1376,696,135,2004,994,264,2747,504,21,2801,809,477
"California: Summary level: 040, state:06",23824254,2277229,282777,5548936,157554,5300297,1753771,39144818,996141,477746,187420,1107061,604190,334102,71369.0,34794.0,9262.0,89105.0,47637.0,19265.0,8536.0,3548.0,763.0,10769.0,3737.0,2028.0,201327.0,100549.0,34324.0,253514.0,138704.0,60075.0,3752.0,2007.0,325.0,4798.0,1683.0,524.0,80453.0,32066.0,13070.0,98394.0,47738.0,17590.0,26016,11256,3830,30664,12472,6954,271000,115946,44799,329493,167339,74128
"Colorado: Summary level: 040, state:08",4607390,224809,49138,162880,9136,209890,193331,5456574,191418,76235,29979,206937,100853,47013,5590.0,2667.0,410.0,6275.0,2365.0,1430.0,1568.0,641.0,101.0,1940.0,631.0,297.0,3960.0,1614.0,452.0,5549.0,2123.0,1041.0,107.0,188.0,0.0,396.0,68.0,0.0,3754.0,1422.0,434.0,4829.0,1743.0,870.0,2149,693,238,2300,729,563,21898,8505,2708,24286,10658,4832
"Connecticut: Summary level: 040, state:09",2747943,380571,8893,156249,519,180107,116604,3590886,128407,61566,27446,145484,84159,54709,9549.0,3873.0,1478.0,14081.0,6056.0,3370.0,355.0,105.0,13.0,157.0,288.0,42.0,4010.0,1347.0,243.0,4346.0,1671.0,545.0,,,,,,,2983.0,994.0,281.0,2906.0,895.0,464.0,568,297,274,1414,586,278,8571,3202,1238,10916,5130,1409
"Delaware: Summary level: 040, state:10",654904,203863,3121,36114,334,19157,28441,945934,36643,16668,6291,41316,20531,10797,6244.0,2145.0,808.0,7925.0,4081.0,1153.0,,,,,,,973.0,576.0,193.0,1321.0,727.0,121.0,,,,,,,416.0,81.0,113.0,113.0,112.0,21.0,303,283,0,423,54,10,1507,316,379,1345,375,179
"District of Columbia: Summary level: 040, state:11",269143,318831,1661,25944,475,34797,21377,672228,7536,2965,1585,9086,4051,2006,10236.0,4487.0,2303.0,14506.0,8424.0,5244.0,,,,,,,330.0,292.0,0.0,843.0,142.0,94.0,,,,,,,724.0,0.0,14.0,166.0,118.0,217.0,93,89,117,502,251,72,881,140,107,1289,454,600
"Florida: Summary level: 040, state:12",15357374,3280778,47032,544068,11898,528266,501856,20271272,884979,502525,182127,1002937,586017,303079,89629.0,39158.0,11150.0,115791.0,60628.0,23414.0,2080.0,915.0,52.0,2687.0,541.0,380.0,17712.0,7607.0,2191.0,24871.0,11118.0,3617.0,153.0,0.0,36.0,509.0,722.0,0.0,10746.0,3571.0,1250.0,13204.0,5880.0,1896.0,10124,4218,1128,9700,5781,1110,138496,72473,25744,178245,110147,45108
"Georgia: Summary level: 040, state:13",6077438,3197929,28491,388457,4337,284084,234124,10214860,274194,120588,33443,310482,158450,66109,81514.0,26188.0,6547.0,109235.0,45380.0,21724.0,1078.0,212.0,122.0,785.0,305.0,0.0,9498.0,3473.0,611.0,11489.0,4432.0,710.0,,,,,,,2116.0,953.0,12.0,2207.0,771.0,492.0,2307,542,260,4304,1603,517,8665,3223,1146,13186,3790,1897
"Hawaii: Summary level: 040, state:15",372252,29644,3899,531268,134232,10135,350173,1431603,22528,6171,4270,19391,8599,3706,817.0,93.0,207.0,129.0,0.0,0.0,,,,,,,28782.0,16243.0,8968.0,35506.0,22443.0,18555.0,4239.0,1220.0,670.0,5065.0,2048.0,589.0,517.0,237.0,12.0,514.0,155.0,10.0,7719,3394,516,8332,3018,2102,2098,772,390,2322,886,414
"Idaho: Summary level: 040, state:16",1514404,8828,23516,21145,1931,37682,47424,1654930,68707,32261,8958,70852,35945,16883,,,,,,,312.0,428.0,214.0,964.0,650.0,0.0,692.0,100.0,121.0,484.0,524.0,102.0,,,,,,,428.0,158.0,211.0,1163.0,51.0,0.0,632,529,0,1155,170,36,2574,534,369,3177,1301,244
"Illinois: Summary level: 040, state:17",9238679,1844624,28792,674236,4514,773685,295465,12859995,393713,186942,72210,439785,254929,144771,51610.0,24259.0,5691.0,73419.0,39829.0,15406.0,918.0,93.0,15.0,1154.0,351.0,18.0,22405.0,9512.0,1695.0,26476.0,11277.0,3359.0,,,,,,,11250.0,4339.0,1169.0,11918.0,5041.0,2245.0,2909,1927,414,4511,1723,694,36480,14049,3511,38347,17428,6595
"Indiana: Summary level: 040, state:18",5559694,605660,15704,138664,2602,140617,156739,6619680,238789,112125,38119,268009,151110,78479,14258.0,6040.0,2115.0,19243.0,10262.0,4283.0,632.0,166.0,0.0,272.0,184.0,17.0,2867.0,916.0,133.0,3090.0,924.0,482.0,,,,,,,1869.0,340.0,180.0,1734.0,848.0,36.0,2109,867,25,2751,1425,537,5754,1685,1182,5463,3624,1142
"Iowa: Summary level: 040, state:19",2826672,106610,11554,68505,3282,47404,59872,3123899,125598,65203,24962,135397,84416,52613,1089.0,1081.0,312.0,1579.0,752.0,696.0,344.0,80.0,153.0,247.0,106.0,39.0,476.0,385.0,126.0,1352.0,411.0,91.0,,,,,,,395.0,96.0,22.0,263.0,339.0,273.0,678,347,37,495,450,96,1840,636,214,975,940,404
