,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"South Dakota: Summary level: 040, state:46",736581,16987,76078,10775,944,5647,22654,869666,38211,16618,7378,37921,22447,11549,499.0,0.0,0.0,0.0,0.0,284.0,1380.0,585.0,28.0,1871.0,773.0,241.0,0.0,35.0,0.0,456.0,30.0,0.0,,,,,,,,,,,,,383,139,0,738,79,0,346,64,0,73,65,47
"Tennessee: Summary level: 040, state:47",5221591,1122675,14637,119115,6380,89260,142326,6715984,261550,119741,35609,292185,159159,64858,31776.0,11455.0,2779.0,43306.0,18733.0,8496.0,562.0,749.0,0.0,1157.0,499.0,116.0,3064.0,464.0,245.0,3409.0,1009.0,384.0,,,,,,,799.0,50.0,79.0,699.0,159.0,0.0,1360,1046,214,2705,1653,253,3633,639,235,3721,1844,444
"Texas: Summary level: 040, state:48",20929140,3423231,135098,1360248,23905,1683894,749080,28304596,802252,366718,115202,892595,476388,206354,89532.0,32673.0,8228.0,118262.0,49972.0,20267.0,4689.0,1759.0,115.0,4447.0,1520.0,895.0,38185.0,14511.0,4737.0,45866.0,20105.0,5873.0,773.0,0.0,0.0,800.0,487.0,0.0,32852.0,12213.0,2606.0,34775.0,15485.0,6288.0,12529,3923,1564,12791,4975,2286,229586,92286,25455,262936,131903,48000
"Utah: Summary level: 040, state:49",2657013,37669,32694,75691,26547,179943,92276,3101833,90049,41590,14628,99329,49991,20523,874.0,255.0,123.0,298.0,126.0,44.0,403.0,425.0,30.0,580.0,435.0,128.0,1366.0,540.0,617.0,2829.0,996.0,367.0,515.0,103.0,0.0,852.0,415.0,65.0,2185.0,768.0,63.0,1801.0,187.0,274.0,330,198,189,456,171,77,5854,1978,436,7372,2211,770
"Vermont: Summary level: 040, state:50",587265,8260,2355,11270,166,1392,12949,623657,33329,15226,3831,35747,17118,9141,,,,,,,,,,,,,0.0,88.0,0.0,520.0,24.0,0.0,,,,,,,,,,,,,179,124,224,251,97,58,21,204,0,549,22,81
"Virginia: Summary level: 040, state:51",5714699,1627641,26792,545776,4225,219501,331386,8470020,277618,124321,44102,306654,163695,73499,55046.0,21715.0,5427.0,68565.0,32765.0,15297.0,1263.0,713.0,444.0,885.0,493.0,123.0,15766.0,7330.0,1789.0,22054.0,8094.0,3521.0,,,,,,,2187.0,407.0,111.0,3120.0,597.0,622.0,5014,1007,883,3706,1814,529,10733,3913,1731,11715,6056,2065
"Washington: Summary level: 040, state:53",5582361,271584,93038,632156,48533,339986,438085,7405743,283788,120054,42772,307588,147140,72457,7590.0,2261.0,606.0,7590.0,2492.0,1424.0,2939.0,756.0,194.0,3010.0,1420.0,355.0,19119.0,8730.0,1725.0,27162.0,12948.0,4888.0,1502.0,411.0,217.0,1188.0,975.0,164.0,5363.0,1552.0,104.0,4493.0,2638.0,425.0,6107,2038,824,6499,2777,1474,12718,4107,787,12220,7053,2051
"West Virginia: Summary level: 040, state:54",1684321,71991,2438,13733,344,12506,30524,1815857,95887,44336,12832,103698,56306,24711,2478.0,1406.0,105.0,3048.0,1630.0,547.0,,,,,,,222.0,27.0,0.0,300.0,582.0,45.0,,,,,,,47.0,0.0,0.0,426.0,0.0,0.0,612,80,29,570,289,63,193,124,0,689,499,224
"Wisconsin: Summary level: 040, state:55",4942176,370335,49261,159530,4177,126767,143237,5795483,251549,116271,41961,265761,145728,80051,8041.0,3135.0,761.0,11361.0,4527.0,2079.0,1455.0,500.0,253.0,2180.0,1240.0,203.0,2624.0,911.0,116.0,3536.0,1759.0,294.0,,,,,,,1829.0,752.0,123.0,1324.0,262.0,251.0,1914,332,85,2109,628,179,5238,1898,615,5124,2878,1123
"Wyoming: Summary level: 040, state:56",528414,5766,13944,4832,8,10001,16350,579315,26989,10840,4176,26519,12549,5963,,,,,,,150.0,401.0,11.0,254.0,293.0,90.0,,,,,,,,,,,,,280.0,81.0,0.0,318.0,112.0,109.0,166,105,0,50,57,8,1097,697,83,968,403,120
"Puerto Rico: Summary level: 040, state:72",2210728,403659,7934,5424,0,533614,175818,3337177,112677,64130,19439,145457,88410,34903,20139.0,10264.0,2909.0,23830.0,13100.0,6422.0,,,,,,,,,,,,,,,,,,,25112.0,12125.0,4052.0,24323.0,16484.0,4974.0,7586,4513,794,8561,5570,970,164748,90241,27232,201287,123079,46906
