,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E
"Mississippi: Summary level: 040, state:28",486804,386944,104972,36809,45792,22.2,6.6,162197,126867,90225,53094,54421,2877843,564192,473495,62566,93.1,211345,275459,15.3,8.7,10.5,28.5,10.1,17.4,39451,32231,148478,1100229,473495,1516
"Missouri: Summary level: 040, state:29",1057943,927252,254218,43329,57409,24.0,6.9,338605,270645,199143,127889,121661,5953025,770175,1022093,91208,96.1,466798,591145,15.8,6.2,8.4,22.5,7.2,14.1,105711,91541,250422,2458337,1022181,5202
"Montana: Summary level: 040, state:30",207909,192170,62865,45579,57153,25.2,8.3,70563,55925,39674,20787,20960,1042682,131882,203200,17495,101.0,99184,108725,17.4,5.5,8.0,18.4,5.9,10.3,23164,18695,37993,437651,203200,502
"Nebraska: Summary level: 040, state:31",312295,285871,79215,47804,63229,31.5,8.6,99565,79500,52457,39385,41388,1877629,185761,300990,24363,99.9,140423,171872,15.3,5.4,5.9,18.4,5.7,11.6,29629,28795,58895,771444,300990,468
"Nevada: Summary level: 040, state:32",498219,441087,135789,50448,63276,22.7,6.6,166724,139119,95971,53613,42792,3037199,379564,493768,47148,100.6,234224,263995,14.0,6.2,8.2,22.3,7.8,13.2,53094,47443,120299,1143557,493768,6252
"New Hampshire: Summary level: 040, state:33",253147,230226,87824,53807,77933,30.4,8.2,83687,68363,43087,29143,28867,1316495,95711,245447,15301,98.0,115047,138100,12.5,4.2,6.8,19.1,5.3,10.8,25576,23781,32684,541396,245447,470
"New Jersey: Summary level: 040, state:34",1475075,1260887,475538,59947,85751,31.1,8.5,464475,372527,264771,179292,194010,8712974,798262,1436281,126901,95.7,637714,837361,10.2,5.1,6.9,19.6,7.4,13.0,79733,101964,244110,3286264,1436281,15078
"New Mexico: Summary level: 040, state:35",377730,315439,119489,43126,51945,23.9,6.2,124818,99193,70327,42894,40498,2053305,373230,373150,50190,97.8,172506,205224,17.3,8.8,10.0,23.1,8.2,14.3,36573,33375,130113,793420,373150,3312
"New York: Summary level: 040, state:36",3295968,2706856,989246,49898,72108,27.5,7.5,1018302,845590,583528,408916,439632,18932499,2467006,3200428,384966,94.5,1421801,1874167,10.7,5.4,7.5,21.6,8.5,14.4,172240,199993,1049322,7446812,3200428,25381
"North Carolina: Summary level: 040, state:37",1750935,1505881,475408,43986,57341,24.2,6.6,562108,485382,319614,199537,184294,10199239,1386122,1711873,156614,94.4,765681,985254,13.6,6.2,8.4,22.1,7.2,13.6,162625,134114,468291,4046348,1711873,12024
"North Dakota: Summary level: 040, state:38",120177,105697,28588,46816,64577,33.2,7.4,40657,26624,20997,13824,18075,738814,78112,113789,9149,103.9,55172,65005,15.7,5.4,7.2,18.9,5.9,10.7,12675,9041,22407,323519,113789,563
"Ohio: Summary level: 040, state:39",2043548,1786316,482678,44260,58642,25.2,7.2,664701,522940,369145,243790,242972,11362386,1484862,1973562,164622,96.2,899913,1143635,13.4,5.5,7.5,21.0,6.8,13.2,183997,158650,569024,4730340,1973562,9502
"Oklahoma: Summary level: 040, state:40",635222,553951,157441,43501,54449,26.1,8.0,203397,165066,114531,77955,74273,3841763,583029,615802,59533,98.4,283968,351254,18.9,8.2,9.4,26.7,8.2,15.3,67555,57978,179397,1495151,615803,4320
"Oregon: Summary level: 040, state:41",767496,706945,249756,50449,67058,23.3,6.4,255064,212195,132444,82106,85687,4136542,470643,756941,61189,98.2,349745,417751,16.4,6.2,8.7,21.0,7.5,12.8,75899,65864,221265,1649352,756941,4821
"Pennsylvania: Summary level: 040, state:42",2388218,2097881,601555,45476,63463,27.1,7.6,752966,600229,428104,282090,324829,12387178,1489333,2308960,190650,96.1,1047452,1340766,13.2,5.3,7.8,20.5,7.2,13.6,190856,206746,693470,5119249,2308960,10797
"Rhode Island: Summary level: 040, state:44",187155,158039,54930,49749,71169,29.0,6.9,61210,46171,34110,18909,26755,1018586,110244,180541,16103,95.4,81108,106047,12.3,5.0,7.8,19.0,7.9,13.4,14314,16062,58945,407174,180541,865
"South Carolina: Summary level: 040, state:45",935538,800969,263191,45115,56227,22.2,6.7,303213,268106,176483,100864,86872,5003235,692744,917061,92278,93.3,415399,520139,13.4,6.5,8.4,20.9,7.6,13.4,97980,73925,195412,1975915,917061,4329
"South Dakota: Summary level: 040, state:46",153799,138600,38123,47985,59533,35.2,8.8,51836,38607,25147,18910,19299,854648,101946,147425,11387,103.3,71292,82507,16.1,5.3,5.7,20.0,5.7,10.5,16611,13113,30877,353799,147425,392
"Tennessee: Summary level: 040, state:47",1138965,944356,262766,42853,56071,23.5,7.1,364907,315283,208553,132857,117365,6656385,922176,1111287,107259,95.1,501274,637691,15.9,7.4,10.0,24.4,7.9,15.6,117789,87422,303067,2654737,1111287,5651
"Texas: Summary level: 040, state:48",3738727,3011186,1023220,48919,64034,27.6,7.7,1271478,987863,663496,417629,398261,28361423,3865010,3653324,389061,98.5,1667064,2071663,14.9,7.3,9.0,23.6,8.4,14.9,330388,265926,1080895,9985126,3653324,64888
"Vermont: Summary level: 040, state:50",125201,114788,44987,51569,63001,35.8,8.9,41387,33967,22689,12864,14294,599030,60897,121867,7471,98.2,57785,67416,14.7,5.0,6.3,17.4,5.1,10.5,10061,9629,26291,262767,121867,183
"Utah: Summary level: 040, state:49",365198,339731,117339,58099,75780,27.5,8.0,122365,96848,65072,44340,36573,3157996,281279,361619,22492,101.0,170806,194392,14.5,5.2,7.1,18.2,5.7,11.2,31200,27581,56620,1023855,361619,3413
"Virginia: Summary level: 040, state:51",1358336,1162116,450394,56069,76456,28.5,7.6,432999,376642,237432,159276,151987,8279357,822775,1331589,93924,97.0,600500,757836,13.0,5.9,7.6,20.6,7.1,13.5,139251,116697,248330,3191847,1331589,11965
"Washington: Summary level: 040, state:53",1207685,1105047,415801,55889,78687,24.2,6.6,405889,330419,210881,129859,130637,7470152,730240,1187312,88820,100.0,550840,656845,14.9,5.2,8.9,20.5,7.4,13.6,132756,111417,312084,2932477,1187312,8683
"West Virginia: Summary level: 040, state:54",367400,296722,63873,39680,48850,19.9,6.3,118588,98938,66461,41303,42110,1739050,278734,358341,33372,97.7,167237,200163,18.9,8.7,10.9,27.1,9.0,16.9,36782,27744,123328,728175,358341,1603
"Wisconsin: Summary level: 040, state:55",1019896,926914,257750,45861,64168,24.1,6.3,337445,260506,175294,120538,126113,5675557,591486,993380,73581,98.7,465462,554434,13.2,4.5,6.4,17.9,6.3,11.1,88620,86888,223798,2386623,993380,3105
"Wyoming: Summary level: 040, state:56",98789,92821,30839,50260,65003,26.8,7.7,34425,26249,17685,10804,9626,563528,56945,96182,7091,104.7,47284,51505,17.1,7.5,6.0,16.9,3.5,8.6,10758,9346,11007,233128,96182,110
