,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Houston County, Alabama: Summary level: 050, state:01> county:069",174923.0,23049.0,1917.0,303.0,0.0,1383.0,2134.0,203709.0,3680,1877,468,11359,5025,2955,774.0,337.0,56.0,1439.0,392.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.0,0.0,0.0,97.0,30.0,0.0
"Madison County, Alabama: Summary level: 050, state:01> county:089",86053.0,22709.0,176.0,1229.0,0.0,1787.0,3666.0,115620.0,10087,5667,1788,5095,2951,1127,2082.0,660.0,389.0,800.0,562.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,56.0,0.0,445.0,92.0,0.0
"Mobile County, Alabama: Summary level: 050, state:01> county:097",80309.0,475.0,99.0,218.0,0.0,598.0,306.0,82005.0,11743,5496,1581,4623,2739,724,4145.0,2101.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,
"Anchorage Municipality, Alaska: Summary level: 050, state:02> county:020",60748.0,1274.0,541.0,146.0,2319.0,4605.0,1497.0,71130.0,7339,2034,1023,3449,1897,695,482.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,244.0,63.0,11.0,546.0,90.0,0.0
"Fairbanks North Star Borough, Alaska: Summary level: 050, state:02> county:090",61760.0,17971.0,7.0,207.0,0.0,166.0,1357.0,81468.0,2733,876,102,3227,1484,745,,,,519.0,201.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Matanuska-Susitna Borough, Alaska: Summary level: 050, state:02> county:170",72292.0,27689.0,309.0,880.0,140.0,579.0,2284.0,104173.0,3296,1102,250,4363,2572,1012,,,,945.0,447.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,0.0,21.0,61.0,46.0,9.0,22.0,0.0,216.0,35.0,0.0
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",345005.0,282511.0,1260.0,10861.0,711.0,11996.0,8023.0,660367.0,143952,72543,26233,18475,11167,7128,5330.0,1684.0,883.0,11182.0,5590.0,2656.0,,,,,,,439.0,0.0,84.0,289.0,84.0,85.0,,,,,,,,,,,,,,,,,,184.0,18902.0,6499.0,2538.0,22131.0,9693.0,3501.0
"Pima County, Arizona: Summary level: 050, state:04> county:019",80447.0,9741.0,462.0,492.0,0.0,0.0,1454.0,92596.0,43970,22646,8910,4804,3240,870,1106.0,424.0,239.0,499.0,66.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,8212.0,2825.0,2066.0,10114.0,4820.0,2599.0
"Pinal County, Arizona: Summary level: 050, state:04> county:021",110378.0,36539.0,231.0,5714.0,0.0,1476.0,2655.0,156993.0,21554,11366,2021,4142,2116,700,567.0,264.0,0.0,1124.0,487.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2586.0,968.0,368.0,2756.0,850.0,826.0
"Benton County, Arkansas: Summary level: 050, state:05> county:007",73933.0,12229.0,839.0,1155.0,0.0,1557.0,1950.0,91663.0,8585,3837,1697,3664,2008,647,,,,317.0,100.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,479.0,0.0,0.0,587.0,217.0,0.0
