,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E
"Alabama: Summary level: 040, state:01",673790,73.5,17.3,31324,41415,19.8,5.2,4.6,3.3,2.6,1.8,1.7,4687363,892483,653918,67474,93.8,12.3,15.7,17.0,8.5,12.0,28.9,10.9,19.6,19.9,18.9,313871,1844546,653918,2221
"Alaska: Summary level: 040, state:02",58367,81.4,25.2,47761,67825,28.6,9.1,3.1,2.1,1.3,0.9,0.7,706860,73905,56984,3562,106.6,7.6,8.6,22.4,8.9,10.9,26.3,9.8,14.9,16.3,9.1,26807,257330,56984,1063
"Arizona: Summary level: 040, state:04",923153,84.5,25.8,37581,46709,18.4,4.7,4.5,3.5,2.6,1.9,1.7,6336449,1203501,911016,77859,99.2,13.1,15.4,15.0,6.1,8.1,20.9,7.4,13.3,22.0,22.9,325811,2356055,911016,9689
"Arkansas: Summary level: 040, state:05",428625,75.0,15.9,30259,38758,21.1,5.2,4.5,3.6,2.8,2.0,1.7,2856663,555876,412596,43151,97.2,12.9,16.2,18.8,8.6,11.0,28.5,9.5,17.0,20.4,20.8,172475,1127621,412596,909
"California: Summary level: 040, state:06",4398053,76.9,27.2,40815,57287,23.1,5.1,3.6,2.7,2.0,1.6,1.7,36941931,6118803,4301855,432312,99.0,10.2,13.1,14.4,7.0,10.7,24.0,10.7,18.4,20.9,24.4,1040799,12468743,4301855,74392
"Colorado: Summary level: 040, state:08",575497,86.4,30.5,38480,55387,26.0,5.2,3.7,2.7,1.9,1.4,1.5,5002128,674195,559232,43577,100.8,10.0,12.5,16.2,7.2,7.7,19.5,6.4,13.3,19.2,17.8,164571,1975388,559232,3557
"Connecticut: Summary level: 040, state:09",515314,80.7,27.9,41843,65753,30.1,6.4,4.4,3.0,2.5,2.1,2.5,3471802,377856,493061,33752,94.9,12.5,16.2,13.3,5.1,7.7,20.6,7.5,14.9,22.4,29.1,152131,1351643,493061,4266
"Delaware: Summary level: 040, state:10",133912,80.0,24.4,43687,58814,25.0,5.9,4.8,3.5,2.7,1.9,1.8,882353,104831,130060,7436,94.2,13.3,16.1,12.4,6.0,7.2,21.5,7.5,14.3,23.7,20.9,39761,333192,130060,674
"District of Columbia: Summary level: 040, state:11",69738,76.8,38.5,42396,63124,33.0,5.7,3.6,2.5,2.0,1.5,1.7,584583,109363,67695,8439,89.7,9.5,12.9,11.4,7.7,10.4,25.3,9.2,18.7,18.0,23.3,38777,268670,67695,500
"Florida: Summary level: 040, state:12",3359395,80.6,23.0,34892,44299,19.9,4.7,5.2,4.1,3.2,2.7,2.4,18652057,3173456,3296861,328563,95.7,16.0,19.2,14.2,6.5,9.1,22.3,8.3,14.7,22.2,26.8,1009671,7106283,3296861,47963
"Georgia: Summary level: 040, state:13",1075895,75.1,19.9,33761,46007,20.5,4.6,3.8,2.7,1.9,1.3,1.2,9550271,1827743,1046087,114043,96.1,9.5,12.3,14.8,8.2,11.2,25.7,9.4,17.8,19.3,15.2,528925,3494542,1046087,11390
"Hawaii: Summary level: 040, state:15",203469,80.9,25.3,51361,61821,28.5,7.5,4.5,3.3,2.5,2.2,2.4,1338543,161290,198280,16354,100.3,13.1,16.5,15.1,5.4,10.1,21.0,6.5,15.8,18.5,19.8,48347,448563,198280,2440
"Idaho: Summary level: 040, state:16",204286,83.2,20.3,33100,43341,18.4,6.8,4.2,3.2,2.3,1.7,1.5,1550082,255027,200050,13551,100.6,11.9,13.9,18.9,7.9,9.3,24.3,9.5,14.5,22.4,21.5,78411,580193,200050,682
"Illinois: Summary level: 040, state:17",1642595,79.3,20.5,35370,53234,23.9,5.9,3.9,2.9,2.3,1.8,1.9,12566914,1879965,1582024,130083,96.2,11.0,14.4,13.0,6.0,8.5,23.4,8.4,16.3,20.9,25.3,574248,4737208,1582024,19551
"Indiana: Summary level: 040, state:18",856492,80.2,15.9,32714,46438,22.1,5.2,4.1,3.0,2.3,1.9,1.8,6318942,1011017,819338,58675,96.9,11.4,14.8,15.8,6.7,8.3,24.3,7.7,15.3,20.0,21.7,309162,2467111,819338,4432
"Iowa: Summary level: 040, state:19",458190,83.6,16.0,32757,49427,27.0,6.7,4.0,3.4,2.7,2.3,2.5,2963602,378864,434493,29777,97.6,12.9,16.9,15.0,4.8,7.1,19.8,6.9,12.6,20.0,26.4,131640,1216765,434493,2062
"Kansas: Summary level: 040, state:20",381959,85.9,22.0,34831,48964,29.5,7.9,3.8,2.9,2.5,2.0,2.1,2786855,383467,363870,26149,98.3,11.6,15.0,16.5,6.1,8.5,23.1,8.2,14.6,18.9,23.6,107137,1101701,363870,3234
"Kentucky: Summary level: 040, state:21",593961,68.4,14.5,29181,41141,19.2,5.4,4.4,3.3,2.4,1.8,1.7,4238283,811277,571379,67694,96.3,11.9,15.2,17.6,8.4,12.2,28.7,10.0,19.2,20.0,19.7,290470,1672134,571379,2042
"Louisiana: Summary level: 040, state:22",571296,72.9,17.4,29716,41734,23.0,6.2,3.9,3.1,2.3,1.6,1.5,4445400,908375,550695,69921,95.6,10.9,14.0,17.1,8.7,12.1,28.7,11.1,19.0,18.9,19.5,279937,1702030,550695,3238
"Maine: Summary level: 040, state:23",217308,82.1,22.9,30691,46033,26.0,4.5,5.0,3.9,3.0,2.3,2.2,1291650,182448,210199,16906,96.2,14.7,17.9,18.1,6.0,9.9,22.6,7.5,13.8,21.2,22.6,96409,552051,210199,375
"Maryland: Summary level: 040, state:24",731759,80.2,29.5,46683,70004,29.6,6.5,4.1,2.8,2.2,1.7,1.8,5685412,571887,707552,52792,93.8,11.0,14.0,11.9,6.0,8.4,21.3,8.0,15.9,18.1,19.8,212016,2134517,707552,8750
"Massachusetts: Summary level: 040, state:25",921909,81.0,26.4,35483,62859,29.1,5.8,4.1,3.1,2.5,2.1,2.3,6367148,738514,882584,82476,93.8,12.1,15.7,13.8,5.9,8.1,20.7,8.0,15.3,21.9,29.7,307473,2532067,882584,3559
"Michigan: Summary level: 040, state:26",1387870,80.8,19.1,33688,45981,17.5,4.3,4.3,3.2,2.5,2.0,2.0,9656260,1693294,1350022,111041,96.4,12.4,15.7,15.7,6.2,9.6,23.5,8.6,16.2,21.3,24.5,683932,3772433,1350022,5881
"Minnesota: Summary level: 040, state:27",701083,85.1,22.6,35823,56954,25.3,5.5,3.9,3.0,2.4,1.9,2.0,5222556,621970,670360,53605,98.8,11.6,14.6,15.0,4.9,6.4,18.4,6.8,12.7,22.0,25.4,179303,2096477,670360,1967
"Mississippi: Summary level: 040, state:28",387023,72.1,16.0,27203,36919,19.3,5.3,4.0,3.3,2.3,1.9,1.5,2884215,650524,374027,50381,94.4,11.3,14.6,17.4,10.4,13.7,33.4,12.3,21.2,19.6,20.2,186626,1080991,374027,1501
"Missouri: Summary level: 040, state:29",854604,79.7,18.2,32977,45247,21.6,5.7,4.3,3.3,2.5,2.0,2.0,5831530,920118,818638,67266,96.1,12.6,15.8,15.9,6.9,8.8,24.2,8.1,16.0,20.8,21.8,328652,2341074,818638,3547
"Montana: Summary level: 040, state:30",150976,86.4,23.5,33247,44222,26.3,6.2,4.8,3.6,2.5,2.2,2.0,974025,144054,146306,11834,100.5,14.1,16.1,19.9,7.1,7.7,20.6,7.3,12.7,22.2,20.7,43998,404250,146306,1092
"Nebraska: Summary level: 040, state:31",249797,87.0,18.5,35006,50296,34.0,8.0,3.7,3.1,2.6,1.9,2.1,1789275,234710,237897,18630,98.1,11.9,15.2,16.4,5.5,6.1,19.1,5.3,11.5,19.0,23.3,66679,723800,237897,420
"Nevada: Summary level: 040, state:32",339640,83.0,22.9,39181,48927,22.6,4.9,4.3,3.3,2.2,1.4,1.3,2684536,426741,336164,31616,101.6,11.7,13.3,14.5,5.4,8.0,21.9,6.7,13.6,23.4,18.4,105596,982352,336164,7815
"New Hampshire: Summary level: 040, state:33",184590,83.4,25.6,38296,62647,27.6,5.8,4.3,3.4,2.4,2.0,1.9,1279118,112715,176924,10899,97.6,12.7,15.3,16.7,5.8,8.1,19.5,6.5,12.2,22.3,20.6,42705,516454,176924,783
