,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E
"New Jersey: Summary level: 040, state:34",1206778,79.1,23.5,40850,67458,27.5,6.1,4.1,3.0,2.4,2.1,2.1,8646606,897376,1167877,90594,95.0,11.8,15.5,12.5,6.5,8.6,22.0,8.7,16.2,23.2,31.2,252112,3167629,1167877,18723
"New Mexico: Summary level: 040, state:35",283057,76.8,25.4,34657,41963,23.0,5.4,4.4,3.4,2.4,1.8,1.6,2042530,439914,278206,32870,99.1,12.3,14.9,18.8,8.8,11.0,25.4,9.3,16.9,19.3,19.9,117904,767285,278206,4646
"New York: Summary level: 040, state:36",2664920,76.1,23.3,34946,55246,24.1,5.5,4.1,3.1,2.4,2.0,2.1,18954044,3027342,2563735,300522,94.1,11.7,15.5,11.8,6.2,8.8,23.2,8.9,16.2,21.5,28.2,1090747,7187938,2563735,31529
"North Carolina: Summary level: 040, state:37",1275956,75.4,20.5,32936,43916,21.0,5.6,4.3,3.3,2.4,1.7,1.5,9406091,1680963,1234658,119192,94.4,11.6,14.7,15.1,7.5,9.8,24.7,9.2,16.6,19.7,18.2,543033,3683364,1234658,5121
"North Dakota: Summary level: 040, state:38",98456,75.8,15.0,31743,51704,32.6,6.8,3.7,3.3,2.3,2.5,2.5,660473,80882,92407,9710,101.2,12.5,16.3,15.9,7.0,6.4,19.9,5.1,12.6,18.2,20.8,24881,283440,92407,130
"Ohio: Summary level: 040, state:39",1647834,79.5,17.4,32683,45749,21.8,4.9,4.2,3.3,2.6,2.1,2.0,11234071,1845800,1579676,122135,95.6,12.4,16.0,15.0,6.4,8.6,23.2,8.4,15.9,20.0,23.0,687866,4538555,1579676,7951
"Oklahoma: Summary level: 040, state:40",517390,80.3,18.9,31537,43225,23.6,6.5,4.2,3.4,2.5,1.9,1.6,3678924,633298,498739,47304,98.1,12.1,15.2,19.0,8.2,9.7,27.8,9.0,16.3,20.2,19.6,205876,1442731,498739,2898
"Oregon: Summary level: 040, state:41",553121,87.0,26.4,36160,46816,20.7,4.4,4.5,3.4,2.4,1.9,2.0,3794213,662283,543201,40101,97.8,12.9,15.6,18.0,6.1,9.1,22.9,7.9,14.1,23.2,22.6,286711,1516979,543201,2471
"Pennsylvania: Summary level: 040, state:42",1982418,79.3,17.3,32124,50228,23.4,5.1,4.4,3.4,2.8,2.4,2.5,12328566,1695996,1901650,151307,95.3,13.4,17.6,15.1,6.2,8.3,22.2,7.9,15.9,21.7,27.1,627156,4937333,1901650,10865
"Rhode Island: Summary level: 040, state:44",153677,73.3,21.4,32871,53636,25.7,5.8,4.2,3.0,2.6,2.3,2.5,1009941,148819,146059,14892,93.6,12.5,16.6,14.4,5.2,8.5,21.8,8.4,15.6,21.4,28.5,60367,412259,146059,472
"South Carolina: Summary level: 040, state:45",654887,75.0,21.6,33171,42367,20.1,5.2,4.8,3.4,2.5,1.8,1.5,4538298,856938,637179,64657,94.6,12.5,15.4,14.1,7.3,10.8,24.5,8.9,17.0,20.5,18.1,273282,1768834,637179,2121
"South Dakota: Summary level: 040, state:46",120025,82.6,20.9,32823,48321,33.1,7.9,4.1,3.2,2.6,2.1,2.5,794872,110681,113287,12521,99.3,12.8,16.3,16.9,6.2,7.7,22.1,7.4,13.0,19.8,22.9,34242,323215,113287,474
"Tennessee: Summary level: 040, state:47",879033,71.7,17.1,30186,41693,19.3,5.1,4.4,3.4,2.5,1.7,1.7,6246380,1142299,851717,91385,95.0,12.1,15.3,16.6,8.0,11.8,27.7,10.6,18.8,20.9,18.3,435209,2467428,851717,4151
"Texas: Summary level: 040, state:48",2707825,73.8,21.7,34963,49392,24.5,5.9,3.5,2.5,1.9,1.4,1.3,25071125,4628758,2626581,299922,98.5,9.3,11.8,16.7,8.6,11.1,27.1,10.6,18.0,19.3,18.2,1205123,8850370,2626581,49044
"Utah: Summary level: 040, state:49",258324,88.9,26.4,39886,55869,24.7,5.1,2.9,2.2,1.7,1.2,1.2,2771344,374859,254092,13351,101.3,8.3,10.0,16.7,5.7,7.7,19.5,6.9,13.3,21.4,22.9,87628,884253,254092,1956
"Vermont: Summary level: 040, state:50",93641,84.5,29.0,36600,52776,27.2,7.7,4.8,3.4,2.7,2.1,1.9,601236,69075,90397,6327,97.0,13.6,16.3,16.3,6.1,8.7,19.7,7.6,13.9,23.5,24.1,35258,257358,90397,219
"Virginia: Summary level: 040, state:51",1010335,77.7,26.0,41965,61882,26.6,5.9,4.1,3.0,2.2,1.6,1.6,7854282,905914,982121,73702,96.6,11.0,13.9,14.0,6.3,9.4,22.4,8.9,15.9,17.1,16.0,287378,2990650,982121,8516
"Washington: Summary level: 040, state:53",861243,86.6,28.6,39829,56835,21.6,4.1,4.2,2.9,2.1,1.6,1.8,6687073,929258,840744,71149,99.6,11.3,13.9,17.3,6.5,9.6,22.6,8.8,15.5,19.6,18.2,382422,2632621,840744,6092
"West Virginia: Summary level: 040, state:54",301317,72.8,12.2,28375,38482,18.4,4.2,5.2,3.8,3.0,2.3,2.0,1802655,334885,292629,27494,97.2,14.4,18.0,19.4,8.7,12.0,29.5,10.9,19.2,20.7,22.4,117950,735408,292629,744
"Wisconsin: Summary level: 040, state:55",792214,82.8,18.8,32739,50395,23.0,5.4,4.1,3.1,2.5,2.1,2.1,5554349,725797,761491,57206,98.6,12.2,15.5,14.5,5.3,7.1,20.3,7.1,13.3,21.0,23.6,289996,2275352,761491,3529
"Wyoming: Summary level: 040, state:56",72029,87.9,21.6,34487,56322,27.6,7.7,4.4,2.9,2.5,1.6,1.3,554314,62629,69640,4297,103.8,11.5,13.9,19.1,5.8,5.7,18.5,5.0,10.3,21.7,17.8,13161,222539,69640,294
"Puerto Rico: Summary level: 040, state:72",565072,46.3,12.6,15221,18660,8.6,2.5,5.0,3.8,2.7,2.0,1.7,3672090,1673610,558438,217816,91.4,13.9,16.5,16.1,19.2,20.4,35.4,14.0,31.7,21.2,31.4,471272,1256151,558438,3929
