,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Houston County, Alabama: Summary level: 050, state:01> county:069",183893.0,20030.0,2172.0,2485.0,0.0,1899.0,2149.0,212628.0,3882,1811,650,12408,6712,1712,876.0,322.0,106.0,550.0,320.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,20.0,0.0,78.0,34.0,0.0
"Jefferson County, Alabama: Summary level: 050, state:01> county:073",85146.0,24183.0,254.0,1176.0,0.0,2108.0,1861.0,114728.0,16724,7392,3495,5482,2556,1574,9526.0,3307.0,991.0,973.0,513.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,231.0,54.0,0.0,139.0,205.0,102.0
"Madison County, Alabama: Summary level: 050, state:01> county:089",78414.0,1076.0,0.0,414.0,0.0,543.0,2308.0,82755.0,10832,5749,1695,4587,2656,856,2375.0,1060.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,409.0,0.0,0.0,565.0,90.0,51.0
"Anchorage Municipality, Alaska: Summary level: 050, state:02> county:020",61603.0,1109.0,762.0,0.0,0.0,5879.0,2264.0,71617.0,7954,2774,576,3604,2337,399,710.0,159.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,654.0,0.0,0.0,553.0,162.0,80.0
"Matanuska-Susitna Borough, Alaska: Summary level: 050, state:02> county:170",60736.0,18092.0,304.0,400.0,0.0,1407.0,738.0,81677.0,3895,1288,373,3075,1679,736,,,,440.0,411.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,47.0,28.0,0.0,156.0,84.0,91.0
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",82298.0,16066.0,1018.0,727.0,0.0,1199.0,1447.0,102755.0,154140,80656,24378,5407,3303,785,5766.0,2416.0,373.0,474.0,603.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,21464.0,8114.0,2158.0,24967.0,10246.0,4300.0
"Pima County, Arizona: Summary level: 050, state:04> county:019",72703.0,27957.0,125.0,851.0,0.0,176.0,2534.0,104346.0,46855,24598,9512,4560,2423,1293,1393.0,446.0,112.0,1070.0,522.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,0.0,56.0,53.0,466.0,9172.0,3725.0,1560.0,11150.0,5035.0,2979.0
"Pinal County, Arizona: Summary level: 050, state:04> county:021",340995.0,283700.0,1203.0,12201.0,321.0,11510.0,9267.0,659197.0,23168,13373,1955,19109,11989,6196,,,,12884.0,5611.0,2498.0,,,,,,,0.0,66.0,0.0,344.0,186.0,0.0,,,,,,,,,,,,,177.0,0.0,0.0,187.0,139.0,0.0,3028.0,1241.0,252.0,3294.0,1509.0,382.0
"Benton County, Arkansas: Summary level: 050, state:05> county:007",113361.0,35563.0,212.0,6452.0,0.0,502.0,5514.0,161604.0,8904,4939,995,4662,2303,863,,,,1863.0,148.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,232.0,55.0,56.0,620.0,48.0,62.0
"Pulaski County, Arkansas: Summary level: 050, state:05> county:119",76611.0,12971.0,901.0,1677.0,149.0,1167.0,926.0,94402.0,11202,5263,1937,3896,2575,579,4236.0,1041.0,502.0,701.0,230.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,527.0,0.0,135.0,372.0,0.0,0.0
