,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
0,"Alabama: Summary level: 040, state:01",3320273,1291826,22553,58456,1446,69859,84964,4849377,160819,79368,21029,182657,103280,46817,35499.0,15107.0,3753.0,46268.0,26181.0,10608.0,1062.0,280.0,43.0,692.0,213.0,284.0,897.0,662.0,41.0,1631.0,1681.0,222.0,,,,,,,392.0,216.0,0.0,402.0,55.0,126.0,1882,790,276,2043,886,315,1710,1377,39,2185,1297,735,Alabama,01
1,"Alaska: Summary level: 040, state:02",483584,24790,103273,43915,8395,9967,62808,736732,19819,6393,1321,16484,6159,3379,259.0,416.0,0.0,542.0,851.0,229.0,2303.0,1232.0,278.0,3077.0,1162.0,351.0,948.0,169.0,161.0,1202.0,564.0,464.0,27.0,0.0,0.0,13.0,117.0,0.0,11.0,0.0,0.0,249.0,0.0,0.0,779,210,16,514,162,38,565,424,0,619,511,42,Alaska,02
2,"Arizona: Summary level: 040, state:04",5273335,280518,294757,212116,12721,433934,224103,6731484,265302,142338,41907,293823,157718,70231,6922.0,2929.0,682.0,7456.0,4104.0,1424.0,6051.0,2929.0,677.0,7652.0,4056.0,1453.0,5378.0,2672.0,644.0,8446.0,3768.0,925.0,255.0,151.0,0.0,97.0,0.0,0.0,6425.0,2058.0,271.0,7987.0,3149.0,736.0,3233,1161,463,3489,1614,181,36468,17384,2279,42182,21529,6762,Arizona,04
3,"Arkansas: Summary level: 040, state:05",2322472,468231,17091,36555,7148,50385,64487,2966369,111586,57169,15598,125140,68012,34342,11552.0,4569.0,1791.0,13671.0,8610.0,3205.0,433.0,65.0,130.0,564.0,154.0,66.0,199.0,303.0,0.0,1145.0,467.0,90.0,,,,,,,405.0,137.0,6.0,328.0,224.0,0.0,1531,525,258,1993,518,10,2195,1160,129,2361,905,8,Arkansas,05
4,"California: Summary level: 040, state:06",23814044,2259681,286631,5398090,150072,5114193,1779789,38802500,951045,472941,181905,1065033,593966,331423,67824.0,33222.0,8176.0,84496.0,45962.0,18673.0,8205.0,2203.0,861.0,7391.0,4838.0,1752.0,186646.0,99166.0,31256.0,231387.0,127944.0,57869.0,3498.0,1809.0,118.0,4216.0,1968.0,98.0,77178.0,32122.0,7209.0,93153.0,44470.0,18080.0,25757,9868,2379,30769,16196,7020,253934,118223,33538,310972,159234,69739,California,06
5,"Colorado: Summary level: 040, state:08",4520381,215446,55784,157958,6679,215290,184328,5355866,180755,78329,25414,193926,95818,50199,4907.0,2403.0,851.0,5763.0,2743.0,838.0,819.0,356.0,22.0,858.0,460.0,101.0,3712.0,1637.0,297.0,5295.0,2671.0,991.0,185.0,48.0,0.0,68.0,0.0,0.0,3874.0,1337.0,166.0,4822.0,1547.0,275.0,2399,1134,339,2512,1170,531,19991,8721,2079,22476,11172,3864,Colorado,08
6,"Connecticut: Summary level: 040, state:09",2763949,371857,7085,151402,1019,197532,103833,3596677,125541,63095,25729,140986,84389,54736,8941.0,3839.0,1398.0,12845.0,5899.0,3386.0,263.0,112.0,0.0,492.0,64.0,0.0,3197.0,1417.0,115.0,4163.0,1921.0,224.0,,,,,,,2577.0,761.0,159.0,2685.0,1865.0,550.0,1625,582,0,1338,545,31,8747,3550,410,10104,5201,1230,Connecticut,09
7,"Delaware: Summary level: 040, state:10",647533,203326,3284,36172,216,20966,24117,935614,34851,17120,5103,38907,21122,9600,5932.0,2428.0,465.0,7542.0,3360.0,1584.0,,,,,,,821.0,348.0,105.0,1751.0,217.0,161.0,,,,,,,201.0,114.0,0.0,241.0,104.0,0.0,523,54,41,261,26,0,1380,311,31,956,226,329,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",265077,321346,1859,24910,172,28798,16731,658893,7599,3188,1317,8691,3685,1898,9914.0,5016.0,1953.0,14265.0,9380.0,4662.0,,,,,,,430.0,85.0,36.0,534.0,267.0,255.0,,,,,,,0.0,432.0,0.0,0.0,192.0,0.0,123,0,0,283,130,23,602,837,0,1318,634,207,District of Columbia,11
9,"Florida: Summary level: 040, state:12",15113860,3221160,53014,524583,15149,489726,475805,19893297,849730,485533,178299,958129,572704,297366,83820.0,36567.0,11753.0,107617.0,55035.0,24728.0,2471.0,927.0,395.0,1983.0,1072.0,173.0,18482.0,7157.0,1712.0,24001.0,10140.0,3037.0,761.0,0.0,0.0,378.0,0.0,51.0,8500.0,2931.0,1295.0,11720.0,3701.0,3110.0,8502,3152,731,7796,3889,1606,128922,69411,23275,163800,100010,46240,Florida,12
10,"Georgia: Summary level: 040, state:13",6043917,3163620,25301,371688,6638,282876,203303,10097343,265234,113273,34210,295290,154274,66406,75570.0,25239.0,6276.0,102031.0,47061.0,19819.0,985.0,280.0,0.0,433.0,561.0,94.0,9237.0,2709.0,646.0,11653.0,4119.0,916.0,,,,,,,1406.0,176.0,51.0,1772.0,594.0,62.0,2533,902,188,2801,1517,447,7702,2596,520,8716,4804,1582,Georgia,13
11,"Hawaii: Summary level: 040, state:15",360711,30729,2191,534189,147612,13830,330299,1419561,21030,6585,3576,18359,8369,3447,295.0,391.0,79.0,429.0,258.0,0.0,,,,,,,27315.0,15546.0,8987.0,34369.0,21067.0,18565.0,3712.0,1715.0,458.0,4391.0,2443.0,686.0,141.0,63.0,0.0,315.0,117.0,0.0,8462,2136,948,7977,3425,2200,2159,564,224,2203,1186,231,Hawaii,15
12,"Idaho: Summary level: 040, state:16",1498107,11354,21550,24009,1984,36664,40796,1634464,66599,29565,10122,68004,35809,15549,70.0,235.0,0.0,237.0,68.0,54.0,510.0,261.0,88.0,878.0,222.0,124.0,566.0,113.0,103.0,932.0,494.0,97.0,,,,,,,272.0,138.0,61.0,647.0,185.0,0.0,1365,171,76,762,309,167,3420,495,296,2942,1075,306,Idaho,16
13,"Illinois: Summary level: 040, state:17",9290445,1837715,27995,663454,5825,763579,291567,12880580,379643,187269,70958,426644,259885,143239,50123.0,22412.0,6627.0,70118.0,37877.0,15840.0,854.0,615.0,0.0,1328.0,261.0,79.0,21406.0,8092.0,1646.0,24505.0,10861.0,3605.0,,,,,,,9219.0,3996.0,735.0,11464.0,4370.0,1326.0,3112,1790,628,4155,2244,532,32722,12438,4334,36873,17254,6255,Illinois,17
14,"Indiana: Summary level: 040, state:18",5547390,612890,13063,130250,3216,143931,146115,6596855,229815,113038,35803,259378,146060,81957,14201.0,5902.0,1828.0,19463.0,9181.0,5516.0,370.0,226.0,152.0,636.0,239.0,87.0,2418.0,929.0,104.0,2677.0,820.0,226.0,,,,,,,1056.0,446.0,367.0,1864.0,719.0,134.0,1717,625,151,1727,1159,370,3935,2555,866,5177,2417,1639,Indiana,18
15,"Iowa: Summary level: 040, state:19",2837758,97874,9617,68419,2576,30497,60385,3107126,119952,64656,24807,131675,88407,48917,1704.0,426.0,116.0,1684.0,1133.0,427.0,111.0,191.0,10.0,269.0,136.0,136.0,1218.0,294.0,37.0,938.0,666.0,236.0,,,,,,,427.0,189.0,0.0,317.0,106.0,0.0,434,56,108,275,324,154,1388,804,73,1695,876,535,Iowa,19
16,"Kansas: Summary level: 040, state:20",2466138,171976,24500,76245,2471,63129,99562,2904021,98622,50479,20671,107825,68762,38362,3715.0,2149.0,451.0,4766.0,3456.0,1164.0,946.0,239.0,0.0,1126.0,151.0,358.0,1612.0,423.0,192.0,1660.0,1387.0,80.0,,,,,,,1591.0,133.0,34.0,1303.0,410.0,300.0,1444,718,215,2145,353,281,3918,1508,271,5259,2133,902,Kansas,20
17,"Kentucky: Summary level: 040, state:21",3858261,350141,10526,54542,2650,43094,94243,4413457,168658,76057,23911,190638,102044,49436,8521.0,3726.0,1060.0,11318.0,5238.0,2960.0,526.0,9.0,74.0,202.0,230.0,37.0,924.0,334.0,341.0,1444.0,414.0,118.0,,,,,,,155.0,61.0,0.0,185.0,42.0,0.0,1416,554,81,1391,671,246,1283,416,32,2026,560,237,Kentucky,21
18,"Louisiana: Summary level: 040, state:22",2919142,1502184,26009,78675,2816,42238,78612,4649676,127240,60305,19776,141203,80982,37730,39627.0,15217.0,4196.0,52545.0,26502.0,9397.0,1045.0,346.0,52.0,899.0,441.0,0.0,2245.0,508.0,140.0,3243.0,418.0,300.0,,,,,,,559.0,246.0,32.0,639.0,160.0,95.0,1607,423,301,1357,1051,183,3574,2083,509,3900,2277,1230,Louisiana,22
19,"Maine: Summary level: 040, state:23",1260278,16557,8322,14447,36,2947,27502,1330089,66508,30363,10991,70767,39575,20239,110.0,45.0,0.0,240.0,0.0,0.0,429.0,121.0,0.0,265.0,177.0,0.0,304.0,0.0,0.0,491.0,82.0,0.0,,,,,,,,,,,,,700,83,40,282,493,90,442,51,0,93,321,46,Maine,23
20,"Maryland: Summary level: 040, state:24",3432582,1774618,14657,369996,2086,209461,173007,5976407,152585,71266,29541,169838,95646,56793,48722.0,18775.0,6070.0,67777.0,32618.0,12436.0,389.0,153.0,0.0,761.0,96.0,0.0,11806.0,4414.0,1746.0,14427.0,5813.0,1818.0,,,,,,,2811.0,1016.0,36.0,3423.0,883.0,145.0,2624,1205,302,3751,1309,1008,6316,2794,851,8606,4172,1523,Maryland,24
21,"Massachusetts: Summary level: 040, state:25",5347420,477527,15599,413079,1329,279928,210526,6745408,233668,112507,46645,268337,158914,94959,12355.0,4287.0,1224.0,14410.0,7810.0,3245.0,229.0,29.0,0.0,1034.0,324.0,83.0,9571.0,4546.0,1304.0,10690.0,5586.0,1984.0,,,,,,,2922.0,1533.0,223.0,5338.0,2822.0,706.0,2068,605,382,2784,1598,725,10620,3551,1239,14150,6619,1491,Massachusetts,25
22,"Michigan: Summary level: 040, state:26",7816586,1375194,55729,281404,2260,121859,256845,9909877,358754,171652,62179,392573,225963,120406,39667.0,16921.0,5246.0,52538.0,27021.0,12835.0,1533.0,655.0,117.0,2374.0,857.0,103.0,6926.0,2460.0,352.0,8656.0,3419.0,939.0,,,,,,,1374.0,537.0,404.0,1537.0,599.0,155.0,3407,1218,401,4194,2398,585,7307,2866,978,8471,3969,1208,Michigan,26
23,"Minnesota: Summary level: 040, state:27",4606959,312432,56934,250352,2392,85069,143035,5457173,194815,97663,38462,210948,126346,72443,4226.0,1063.0,475.0,5319.0,1928.0,856.0,1190.0,362.0,24.0,1597.0,449.0,143.0,3721.0,1265.0,258.0,4264.0,2558.0,1135.0,,,,,,,783.0,73.0,31.0,808.0,669.0,42.0,1430,518,53,1005,433,409,2147,776,364,2282,1701,385,Minnesota,27
24,"Mississippi: Summary level: 040, state:28",1761195,1132556,12252,24009,458,25266,38343,2994079,85158,41299,11925,94028,55415,25936,27060.0,11935.0,3021.0,36915.0,19687.0,8212.0,254.0,100.0,0.0,357.0,171.0,18.0,521.0,365.0,0.0,1408.0,692.0,280.0,,,,,,,306.0,171.0,0.0,121.0,0.0,0.0,626,33,0,877,276,125,1093,214,129,628,629,159,Mississippi,28
25,"Missouri: Summary level: 040, state:29",4990271,711601,26387,107426,3763,73680,150461,6063589,221716,111041,37528,247106,147382,73769,19206.0,7998.0,1525.0,25388.0,13196.0,5206.0,2217.0,245.0,55.0,892.0,230.0,103.0,1688.0,1220.0,121.0,3200.0,1138.0,170.0,,,,,,,783.0,130.0,0.0,800.0,273.0,36.0,1510,876,251,2643,1526,682,2821,1224,178,2918,2362,880,Missouri,29
26,"Montana: Summary level: 040, state:30",914571,5812,70035,8176,276,2856,21853,1023579,47902,22657,7190,46656,25439,13266,,,,,,,1704.0,519.0,118.0,1770.0,804.0,130.0,45.0,45.0,14.0,335.0,40.0,58.0,,,,,,,,,,,,,286,150,18,623,80,7,421,114,138,355,226,206,Montana,30
27,"Nebraska: Summary level: 040, state:31",1660976,88620,17959,38892,1056,30095,43905,1881503,66154,35966,12606,71303,47051,25853,1574.0,551.0,307.0,2270.0,756.0,423.0,185.0,49.0,0.0,633.0,106.0,384.0,698.0,88.0,235.0,957.0,121.0,332.0,,,,,,,323.0,19.0,39.0,233.0,64.0,83.0,474,46,14,429,181,100,1900,693,227,1814,1293,643,Nebraska,31
28,"Nevada: Summary level: 040, state:32",1931264,242994,30503,221841,18553,268796,125148,2839099,100814,44719,12483,100955,48691,18626,6764.0,3121.0,986.0,8261.0,4159.0,904.0,782.0,475.0,54.0,946.0,398.0,226.0,8500.0,4003.0,269.0,12342.0,5027.0,1410.0,223.0,182.0,0.0,502.0,248.0,0.0,2461.0,658.0,0.0,3873.0,808.0,897.0,1834,652,101,1931,753,476,12170,4715,1275,13890,6122,2678,Nevada,32
29,"New Hampshire: Summary level: 040, state:33",1239410,17009,2339,33974,437,6252,27392,1326813,58070,24817,9776,62263,32809,17690,392.0,138.0,0.0,199.0,58.0,0.0,,,,,,,547.0,283.0,35.0,730.0,534.0,0.0,,,,,,,,,,,,,240,259,4,213,177,0,235,88,0,728,240,149,New Hampshire,33
30,"New Jersey: Summary level: 040, state:34",6053656,1212054,15270,827493,2595,621199,205908,8938175,262059,132484,56094,304980,185606,113251,32984.0,13318.0,4309.0,46441.0,24441.0,10504.0,484.0,256.0,12.0,667.0,416.0,18.0,25021.0,9659.0,2222.0,28949.0,11207.0,3867.0,,,,,,,10031.0,2679.0,883.0,11266.0,5590.0,1379.0,3243,1439,308,3374,1522,1141,32753,13326,4195,40968,21318,7359,New Jersey,34
31,"New Mexico: Summary level: 040, state:35",1525459,41277,198450,31566,592,224820,63408,2085572,74759,37584,10558,80733,46261,18457,1478.0,1141.0,84.0,920.0,909.0,432.0,4653.0,2327.0,596.0,6233.0,2667.0,1104.0,778.0,345.0,0.0,1555.0,637.0,93.0,,,,,,,5530.0,1978.0,827.0,6498.0,3820.0,707.0,1300,474,137,1373,883,85,28422,13276,3811,31584,20102,5038,New Mexico,35
32,"New York: Summary level: 040, state:36",12634312,3093476,81512,1613255,4574,1746680,572418,19746227,552725,283386,113571,633543,383943,233637,86195.0,37448.0,11351.0,127773.0,66942.0,33638.0,2327.0,730.0,80.0,2629.0,1952.0,315.0,49528.0,23050.0,5249.0,55667.0,27564.0,11351.0,,,,,,,29075.0,12726.0,3848.0,42266.0,20175.0,8979.0,8873,3618,1025,13028,5457,1694,76963,33586,9422,104742,54825,23295,New York,36
33,"North Carolina: Summary level: 040, state:37",6869207,2154387,111276,246721,5768,322251,234354,9943964,325332,149642,45913,367065,201091,91985,64111.0,24729.0,5285.0,83198.0,40922.0,18516.0,4261.0,1269.0,373.0,4601.0,2078.0,528.0,4302.0,1888.0,150.0,5162.0,2502.0,531.0,,,,,,,2572.0,145.0,0.0,3076.0,860.0,348.0,2657,985,274,2868,1309,213,8484,1932,292,9589,3467,1549,North Carolina,37
34,"North Dakota: Summary level: 040, state:38",654375,14910,39669,8899,173,4680,16776,739482,26111,13879,5570,26038,18132,11646,20.0,71.0,0.0,21.0,0.0,0.0,830.0,486.0,41.0,555.0,411.0,36.0,79.0,0.0,0.0,247.0,0.0,0.0,,,,,,,,,,,,,164,10,0,140,90,0,346,0,57,43,16,0,North Dakota,38
