,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips
0,"Alabama: Summary level: 040, state:01",746512,77.5,19.0,33375,42830,20.6,5.2,5.1,3.8,2.8,1.9,1.7,4727549,910175,725169,81193,93.9,13.7,17.0,16.7,8.0,11.4,28.2,10.3,18.5,24.7,20.3,291541,1841217,725169,3847,Alabama,01
1,"Alaska: Summary level: 040, state:02",69899,85.8,30.4,58311,71583,32.8,7.1,3.9,2.4,1.5,0.9,0.8,717723,80627,69018,2983,109.8,8.9,10.1,21.6,8.8,9.9,23.4,11.3,14.5,20.2,10.1,25706,249659,69018,1738,Alaska,02
2,"Arizona: Summary level: 040, state:04",1070757,85.7,27.3,40195,50068,19.2,5.2,5.2,4.1,2.9,2.0,1.8,6573369,1199061,1058006,99949,98.7,14.7,17.1,16.7,7.1,8.7,21.7,7.4,13.5,27.2,24.9,319186,2428743,1058006,13088,Arizona,04
3,"Arkansas: Summary level: 040, state:05",465012,78.0,17.7,32897,41262,21.6,6.4,5.2,3.9,2.8,2.0,1.9,2882856,543882,448330,47413,96.5,14.2,17.1,19.2,8.4,10.6,28.1,9.4,17.4,25.6,21.7,162566,1131288,448330,1516,Arkansas,05
4,"California: Summary level: 040, state:06",4990092,78.9,29.5,45732,61933,24.6,5.7,4.3,3.0,2.2,1.6,1.7,38060228,6259098,4897815,519132,98.6,11.4,14.3,14.3,6.7,10.2,23.2,10.1,17.6,25.3,25.0,1215985,12758648,4897815,76189,California,06
5,"Colorado: Summary level: 040, state:08",679572,88.8,34.0,45093,61303,27.1,6.4,4.6,3.1,2.1,1.4,1.5,5237149,630786,664280,47013,101.1,11.5,13.9,16.3,5.9,7.8,19.3,6.3,12.3,23.7,19.0,180821,2039592,664280,6602,Colorado,08
6,"Connecticut: Summary level: 040, state:09",555528,84.3,30.4,46216,70048,31.2,7.3,5.0,3.5,2.6,2.0,2.4,3485629,374772,533525,41374,95.2,13.6,17.2,12.8,4.9,7.6,20.0,8.5,14.3,27.5,30.4,173126,1355817,533525,4300,Connecticut,09
7,"Delaware: Summary level: 040, state:10",153759,86.2,25.7,45510,59716,24.5,6.5,5.6,4.2,2.9,1.9,1.8,909611,113508,149726,11183,94.3,15.1,17.7,12.5,4.9,7.6,19.5,6.9,11.8,26.9,19.7,45168,349743,149726,467,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",74465,83.5,39.2,47906,71648,32.1,9.6,3.4,3.0,2.1,1.3,1.5,624327,110666,71980,10470,90.3,9.6,12.8,8.9,8.6,11.2,26.2,11.7,19.3,21.8,24.4,39035,277378,71980,849,District of Columbia,11
9,"Florida: Summary level: 040, state:12",3790954,83.3,25.6,38425,47463,21.4,5.1,5.8,4.7,3.5,2.5,2.6,19470210,3211615,3723499,389806,95.6,17.5,20.5,13.9,6.0,8.8,21.5,7.8,13.8,25.7,28.0,1085932,7328046,3723499,54282,Florida,12
10,"Georgia: Summary level: 040, state:13",1248870,79.3,23.2,36859,49321,21.4,5.6,4.4,3.2,2.1,1.4,1.3,9823859,1797969,1217850,126710,95.1,10.9,13.7,14.6,7.7,10.3,24.7,8.8,15.8,23.3,16.8,561503,3587521,1217986,11168,Georgia,13
11,"Hawaii: Summary level: 040, state:15",228061,84.2,27.8,58150,69592,29.5,6.1,5.5,3.4,2.4,2.0,2.7,1379804,156729,223683,18340,102.1,14.2,18.0,16.4,5.3,12.2,22.9,9.3,17.5,21.0,19.8,52767,450769,223683,2474,Hawaii,15
12,"Idaho: Summary level: 040, state:16",234979,88.8,23.1,36048,47861,19.6,6.0,4.9,3.7,2.5,1.6,1.6,1603083,237981,231333,21902,100.0,13.5,15.2,19.9,7.0,9.8,21.1,6.7,13.4,29.0,21.6,69813,591587,231333,1485,Idaho,16
13,"Illinois: Summary level: 040, state:17",1787854,82.2,24.2,39898,57444,24.7,5.9,4.5,3.3,2.4,1.8,1.9,12571848,1804535,1723122,152223,96.4,12.2,15.5,13.4,6.4,8.1,23.4,8.2,15.4,26.4,26.1,652676,4772421,1723122,19378,Illinois,17
14,"Indiana: Summary level: 040, state:18",941494,83.8,18.9,37521,49446,24.7,6.4,4.8,3.4,2.4,1.9,1.9,6391460,974218,905540,63169,96.8,12.6,15.9,16.2,6.9,9.2,24.0,7.8,14.9,26.0,23.0,319564,2502739,905540,3512,Indiana,18
15,"Iowa: Summary level: 040, state:19",490628,88.0,20.1,37099,53712,28.0,7.1,4.8,3.5,2.9,2.2,2.4,3004857,367816,467408,34445,98.9,13.9,17.7,14.7,4.6,6.3,18.7,5.8,11.1,26.3,25.9,148202,1241471,467408,1191,Iowa,19
16,"Kansas: Summary level: 040, state:20",417533,87.6,26.0,39009,52504,28.6,7.5,4.5,3.3,2.5,1.9,2.1,2821431,382712,399342,31571,99.0,12.7,16.0,15.7,6.2,7.7,22.3,7.8,13.3,24.3,24.9,105827,1109280,399342,2097,Kansas,20
17,"Kentucky: Summary level: 040, state:21",653022,74.4,17.1,33041,42958,20.8,4.9,5.0,3.7,2.6,1.7,1.8,4275359,817542,631083,71071,97.1,13.2,16.4,18.3,8.8,11.1,28.6,9.6,18.2,24.3,21.1,299485,1712094,631083,1952,Kentucky,21
