,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
23,23,"Puerto Rico: Summary level: 040, state:72",661216,379196,116432,17387,20296,9.2,2.6,187615,174204,128683,89096,81618,3165711,1363666,653327,249581,90.8,287877,373339,14.1,15.8,17.2,32.1,14.7,26.8,19143,26656,492527,1179637,653327,4486,Puerto Rico,72,"Puerto Rico: Summary level: 040, state:72",2079304,400936,4013,5144,767,551773,153216,3195153,106263,63274,22262,135866,85797,35861,22041.0,11289.0,3239.0,22134.0,14838.0,4862.0,,,,,,,,,,,,,,,,,,,26876.0,14070.0,4958.0,30409.0,18017.0,7012.0,7847,3687,1539,9591,5989,1824,161392,91095,31886,197112,124485,49114,2018,3195153,661216,17387,20296,0.4307613676674845,0.3820154379047552,0.47589098532494756,0.141,0.158,0.172,0.321,0.147,0.268,0.6507682104738021,0.12548256687551426,0.0012559648943258742,0.0016099385538032138,0.0002400511024041728,0.17269063484596825,0.04795263325418219,0.2900701132458985
24,24,"Kansas: Summary level: 040, state:20",462191,418562,133729,42989,58218,28.4,7.0,157273,106777,78558,55797,63786,2825680,338175,443575,35287,99.2,207120,255071,17.3,6.1,8.2,22.1,6.9,13.2,45622,40684,82465,1133408,443575,2049,Kansas,20,"Kansas: Summary level: 040, state:20",2446823,171141,26829,82444,2929,73293,108051,2911510,115923,53600,22344,125060,72214,37870,5189.0,1471.0,945.0,5599.0,3299.0,1492.0,544.0,123.0,72.0,897.0,340.0,220.0,1801.0,710.0,164.0,3255.0,673.0,240.0,,,,,,,1692.0,372.0,13.0,1400.0,185.0,158.0,1468,442,20,889,879,248,5727,2221,339,5510,2783,1028,2018,2911510,462191,42989,58218,0.11967915687551316,0.07955137237220312,0.497991967871486,0.17300000000000001,0.061,0.08199999999999999,0.221,0.069,0.132,0.8403965639822635,0.058780838808728114,0.009214806062833375,0.028316577995610524,0.0010060071921442824,0.02517353538198392,0.03711167057643628,0.4151249158897512
25,25,"Virginia: Summary level: 040, state:51",1318225,1116002,434616,51401,72577,27.3,7.7,445145,334357,235977,154560,148186,8264095,884647,1292388,108340,96.9,584381,733844,13.7,6.3,8.3,20.9,7.9,14.0,142473,113214,251693,3175524,1292388,13976,Virginia,51,"Virginia: Summary level: 040, state:51",5737580,1631512,22265,555422,5659,215743,349504,8517685,282383,135257,43130,314794,171849,75945,56626.0,21955.0,7182.0,71520.0,35366.0,14397.0,641.0,284.0,0.0,1271.0,493.0,189.0,16624.0,8496.0,1776.0,22298.0,10464.0,3392.0,,,,,,,1751.0,1020.0,348.0,2443.0,949.0,177.0,4014,2235,456,4782,2139,1194,11247,4354,1247,13828,6941,2426,2018,8517685,1318225,51401,72577,0.1070470511290105,0.08382931441641364,0.4921279837480955,0.13699999999999998,0.063,0.083,0.209,0.079,0.14,0.6736079110697332,0.19154406390938383,0.002613973162895787,0.06520809351367185,0.0006643823996778467,0.02532883054491919,0.04103274539971835,0.3495382047829468
26,26,"North Dakota: Summary level: 040, state:38",116433,100845,26133,44824,63837,29.6,8.2,37728,26319,18784,15163,18439,736671,78676,110254,11338,106.1,53766,62667,17.3,7.3,6.3,20.8,4.9,11.2,12216,10169,22273,319355,110254,446,North Dakota,38,"North Dakota: Summary level: 040, state:38",651687,25896,41270,13749,339,9569,17567,760077,30792,13915,7022,30584,18791,11090,11.0,291.0,0.0,0.0,0.0,0.0,774.0,271.0,79.0,821.0,414.0,151.0,242.0,24.0,0.0,150.0,133.0,0.0,,,,,,,,,,,,,56,10,90,304,68,7,191,167,72,380,40,48,2018,760077,116433,44824,63837,0.10679937176840136,0.10283527128267456,0.514798641436196,0.17300000000000001,0.073,0.063,0.20800000000000002,0.049,0.11199999999999999,0.8573960269814769,0.03407023235803741,0.054297130422312476,0.018088956776747617,0.00044600744398264915,0.012589513957138553,0.023112132060304418,0.44428126046739325
27,27,"New Jersey: Summary level: 040, state:34",1438289,1221109,451081,53637,81740,30.7,8.1,450093,362260,259900,170278,195758,8739304,832133,1400772,111863,95.4,620523,817766,11.0,5.2,7.2,20.2,7.6,13.5,84652,101690,265127,3249567,1400772,13937,New Jersey,34,"New Jersey: Summary level: 040, state:34",5956539,1207995,21131,868213,2909,604334,247399,8908520,291558,144107,57876,331818,195606,110871,35289.0,17780.0,4011.0,52658.0,28431.0,10766.0,306.0,361.0,215.0,543.0,171.0,195.0,28643.0,13789.0,3607.0,34096.0,16438.0,4166.0,,,,,,,11991.0,3376.0,939.0,16248.0,5516.0,2136.0,4398,1769,508,4723,2762,468,40407,16650,6098,50651,24001,10555,2018,8908520,1438289,53637,81740,0.09521730792291926,0.07985810681538466,0.4882292732855681,0.11,0.052000000000000005,0.07200000000000001,0.20199999999999999,0.076,0.135,0.6686339594006636,0.13559996497734753,0.0023719989403402585,0.097458724906045,0.00032654133346504243,0.06783775531738157,0.027771055124756975,0.34314452797733974
28,28,"Ohio: Summary level: 040, state:39",1996163,1731636,461558,41406,56111,24.6,6.3,657980,494381,363833,231684,248285,11362304,1578673,1928764,166335,96.2,874877,1121286,13.8,6.1,7.9,21.2,7.2,13.8,187810,164378,574291,4685447,1928764,9094,Ohio,39,"Ohio: Summary level: 040, state:39",9470940,1446306,25672,271762,4228,112136,358398,11689442,478279,228468,76491,536062,301204,148292,46798.0,19554.0,5686.0,61743.0,32731.0,13739.0,490.0,474.0,55.0,956.0,453.0,41.0,6420.0,3304.0,929.0,9403.0,3477.0,1901.0,,,,,,,1732.0,452.0,29.0,2441.0,752.0,311.0,3446,2030,215,4387,2575,596,7624,2844,848,10537,3692,1645,2018,11689442,1996163,41406,56111,0.13893951438018204,0.08623916663728688,0.490316004077472,0.138,0.061,0.079,0.212,0.07200000000000001,0.138,0.8102131821176751,0.12372754832950965,0.002196169842837665,0.02324850065554883,0.0003616939114801203,0.009592930098801978,0.030659975044146675,0.39237176523159684
29,29,"South Carolina: Summary level: 040, state:45",899754,761542,237261,42161,52306,21.4,6.7,302807,250255,163462,98458,84772,4944754,755215,881656,83540,94.4,399256,500498,13.6,6.4,8.9,21.4,7.8,13.7,103229,74090,220112,1927991,881656,2341,South Carolina,45,"South Carolina: Summary level: 040, state:45",3407706,1353599,23672,80969,4004,92980,121197,5084127,196716,94858,24029,222866,113341,44767,52619.0,19261.0,4176.0,68024.0,29631.0,10981.0,742.0,217.0,0.0,536.0,189.0,71.0,1894.0,944.0,0.0,3057.0,1091.0,431.0,,,,,,,1015.0,718.0,0.0,1587.0,410.0,41.0,1308,477,250,2451,783,26,3564,2116,138,6462,1684,853,2018,5084127,899754,42161,52306,0.1527305503974515,0.09475350930521655,0.48559670781893005,0.136,0.064,0.08900000000000001,0.214,0.078,0.13699999999999998,0.6702637443950554,0.26624020210352733,0.004656059929266126,0.015925841348967087,0.000787549170191854,0.018288292168940706,0.02383831088405148,0.3507658760061083
30,30,"Georgia: Summary level: 040, state:13",1456428,1213972,387689,42781,58756,23.0,7.2,497054,399894,259680,157000,142800,10238658,1468642,1425799,145725,94.8,633675,822753,13.8,6.5,8.3,21.7,6.9,13.5,152389,104965,453168,3803012,1425799,12413,Georgia,13,"Georgia: Summary level: 040, state:13",6127645,3319691,34485,436051,14049,301148,286406,10519475,291253,139481,37645,333002,176317,70295,95588.0,32521.0,7952.0,133276.0,52036.0,20987.0,679.0,429.0,0.0,1901.0,120.0,99.0,11007.0,4574.0,1200.0,13523.0,6337.0,2863.0,,,,,,,4782.0,491.0,215.0,2980.0,1081.0,593.0,3749,1259,780,5105,1715,171,12006,5422,1173,13233,6496,2053,2018,10519475,1456428,42781,58756,0.14344086891074984,0.1022058508948316,0.48665297741273095,0.138,0.065,0.083,0.217,0.069,0.135,0.5825048303266085,0.31557572977738907,0.0032782054237497594,0.04145178347778763,0.0013355229229595584,0.02862766440340416,0.027226263668101307,0.3215943390267147
31,31,"Colorado: Summary level: 040, state:08",807855,737750,315996,51537,71953,28.8,7.6,284168,218250,132153,85878,87406,5577020,537492,793630,58878,101.2,369328,438527,15.0,5.4,6.5,17.7,5.3,11.1,90124,72267,156794,2176757,793630,6570,Colorado,8,"Colorado: Summary level: 040, state:08",4790677,237578,55146,180277,7585,196831,227470,5695564,217892,91372,30171,236091,110516,51622,6366.0,2169.0,558.0,7219.0,3580.0,1240.0,1765.0,456.0,37.0,2218.0,813.0,519.0,5417.0,1748.0,389.0,7998.0,2233.0,1185.0,611.0,0.0,116.0,221.0,330.0,0.0,4618.0,1416.0,334.0,5360.0,1209.0,955.0,3254,504,135,3388,1685,145,24404,11310,2622,28175,13544,5065,2018,5695564,807855,51537,71953,0.0963762009101635,0.07418822373146176,0.5029821073558649,0.15,0.054000000000000006,0.065,0.177,0.053,0.111,0.8411242503815249,0.04171281369149745,0.009682272027844828,0.03165217702759551,0.0013317381737787512,0.034558649503367886,0.039938099194390585,0.4201682232578866
32,32,"Hawaii: Summary level: 040, state:15",261467,224990,82230,65078,80212,31.9,8.0,84573,64799,41413,30609,40073,1382448,122143,257264,16792,100.1,118699,142768,14.1,5.2,9.7,18.6,7.1,14.9,25460,22342,45590,455309,257264,1041,Hawaii,15,"Hawaii: Summary level: 040, state:15",345652,28325,3237,534479,144971,18052,345775,1420491,24692,9368,2988,22107,8409,4842,697.0,98.0,0.0,470.0,186.0,0.0,,,,,,,32818.0,17264.0,9074.0,38812.0,23945.0,18617.0,4772.0,2609.0,453.0,5566.0,3014.0,1080.0,435.0,217.0,0.0,495.0,71.0,55.0,8316,2866,1453,9720,3930,1366,2536,963,117,3069,1068,407,2018,1420491,261467,65078,80212,0.08835269030010533,0.06527147210647428,0.5002498750624688,0.141,0.052000000000000005,0.09699999999999999,0.18600000000000003,0.071,0.149,0.2433327631079676,0.01994028825244229,0.002278789517145832,0.37626355957200713,0.10205696481005512,0.012708281854654483,0.24341935288572755,0.14169283312999345
