,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips
0,"Alabama: Summary level: 040, state:01",803216,651290,177476,38450,48123,20.3,5.7,268718,212195,141230,98405,82668,4752560,802656,782916,77877,93.8,348847,454369,15.5,7.6,10.7,28.1,9.5,17.1,86540,64260,258110,1841665,782916,3085,Alabama,01
1,"Alaska: Summary level: 040, state:02",83041,72765,25373,59877,73181,27.7,7.7,34504,22334,12092,8071,6040,720472,80012,81512,6043,109.0,41539,41502,21.2,7.4,7.7,21.2,6.4,11.9,15400,6045,27090,250741,81512,982,Alaska,02
2,"Arizona: Summary level: 040, state:04",1200850,1054590,353025,46064,56581,21.0,5.8,394533,306632,230010,138737,130938,6856067,1018935,1189022,107523,98.8,553556,647294,15.8,6.4,8.0,20.6,6.8,12.6,130823,121225,276388,2552972,1189022,9571,Arizona,04
3,"Arkansas: Summary level: 040, state:05",497024,408796,101151,35966,45869,20.7,6.6,162714,128881,96547,55188,53694,2916321,478365,480319,48812,97.1,221324,275700,18.4,8.0,10.5,27.5,9.2,16.2,54604,45212,136635,1153082,480319,1247,Arkansas,05
4,"California: Summary level: 040, state:06",5504817,4404013,1724489,51665,71805,25.8,6.5,1835876,1362679,927803,657869,720590,38793027,5160208,5410078,550874,98.8,2443427,3061390,13.9,6.4,9.8,22.2,9.5,16.6,403183,401467,1155077,13005097,5410078,57574,California,06
5,"Colorado: Summary level: 040, state:08",773699,703937,297795,50161,69117,27.5,8.0,278796,202548,127314,80877,84164,5483104,564312,758771,58928,101.2,353208,420491,15.8,5.4,7.5,18.7,5.8,11.4,90814,71675,162490,2139207,758771,5691,Colorado,08
6,"Connecticut: Summary level: 040, state:09",601094,517928,196076,52604,74168,30.7,8.2,189220,149858,97385,72294,92337,3482584,334128,579486,41043,95.3,261185,339909,11.6,4.6,7.2,18.8,6.7,13.4,45989,54331,163472,1356762,579486,4043,Connecticut,09
7,"Delaware: Summary level: 040, state:10",173217,153541,50111,52177,62852,24.2,7.1,58619,45739,31501,18454,18904,934947,126986,169131,14358,93.8,77014,96203,11.0,4.6,6.9,17.7,6.1,11.1,18646,14510,37164,357937,169131,1602,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",83992,69155,36661,59086,82372,34.8,16.2,27253,20936,15965,8847,10991,660642,109920,81484,11559,90.2,34201,49791,9.2,9.6,11.1,27.8,10.3,17.7,5035,7271,37115,281475,81484,490,District of Columbia,11
9,"Florida: Summary level: 040, state:12",4215232,3613018,1202642,42686,52594,21.5,5.7,1272449,1072420,796315,528536,545512,20569920,2889506,4146743,423523,95.6,1898142,2317090,13.6,6.1,8.5,20.8,7.3,12.9,382268,395278,1042265,7689964,4146743,49328,Florida,12
10,"Georgia: Summary level: 040, state:13",1401850,1152251,360979,41436,56183,23.0,6.2,499779,370690,248365,147304,135712,10154747,1517702,1372136,138820,94.6,606699,795151,13.9,7.1,9.2,23.8,8.1,14.8,152030,107985,470762,3745074,1372136,10268,Georgia,13
11,"Hawaii: Summary level: 040, state:15",253750,221572,80685,62572,77765,30.2,7.0,84228,60633,41100,31262,36527,1388550,132549,249427,23076,100.7,114132,139618,13.7,4.8,9.1,20.1,6.8,13.4,25389,23268,48954,458078,249427,1286,Hawaii,15
12,"Idaho: Summary level: 040, state:16",262594,235236,67573,41741,52225,23.0,5.7,93035,67331,42089,30420,29719,1686491,216309,258538,20899,101.0,123970,138624,18.0,6.3,7.6,20.5,6.6,11.5,31972,24903,60914,625135,258538,637,Idaho,16
13,"Illinois: Summary level: 040, state:17",1947595,1661596,528266,44498,62992,25.9,6.5,639510,484114,332000,243066,248905,12503720,1569753,1881474,162244,96.7,848158,1099437,12.8,5.8,7.6,21.6,7.2,13.6,164988,148589,618363,4808672,1881474,18106,Illinois,17
14,"Indiana: Summary level: 040, state:18",1023886,874996,221118,40010,54181,24.8,6.3,352941,246821,178790,115591,129743,6463636,871247,987663,75802,97.2,449807,574079,16.0,6.6,8.3,22.2,6.7,13.1,104689,85649,237307,2557299,987663,5680,Indiana,18
15,"Iowa: Summary level: 040, state:19",524624,470736,118457,40740,58570,28.4,7.7,170256,120848,88688,68663,76169,3044685,326636,500483,33003,98.7,233636,290988,13.8,4.3,5.7,17.4,6.0,10.7,52659,48424,120558,1257505,500483,1898,Iowa,19
16,"Kansas: Summary level: 040, state:20",447451,402338,131836,42434,56422,29.8,7.3,145748,109892,73708,54149,63954,2827376,336487,428192,31405,99.5,199849,247602,16.0,6.2,8.2,21.9,7.1,13.2,47305,38965,86591,1128983,428192,1289,Kansas,20
17,"Kentucky: Summary level: 040, state:21",709048,559560,136865,36161,48375,21.4,6.2,243026,181163,128011,81324,75524,4316917,744239,684934,70858,97.1,312920,396128,18.5,8.2,10.1,26.3,8.9,16.6,74844,53603,242950,1725034,684934,1650,Kentucky,21
18,"Louisiana: Summary level: 040, state:22",696111,564534,146347,34880,46145,23.3,7.4,245624,175195,120561,79230,75501,4553037,899039,675097,80819,95.6,303744,392367,15.8,8.3,10.4,24.7,9.3,15.9,63324,50834,285732,1737123,675097,3209,Louisiana,22
19,"Maine: Summary level: 040, state:23",266741,234752,82731,40094,56277,28.7,7.3,90691,68470,42992,29842,34746,1301216,144012,259892,20985,96.1,121945,144796,17.0,4.9,8.2,20.5,7.0,12.1,29842,27185,69380,540959,259892,515,Maine,23
20,"Maryland: Summary level: 040, state:24",902586,780718,311241,56296,80776,30.1,9.1,302132,230763,157139,103474,109078,5915309,549171,878454,69808,94.2,389803,512783,11.1,5.1,7.3,20.2,7.3,13.5,84166,74799,226673,2207343,878454,7676,Maryland,24
21,"Massachusetts: Summary level: 040, state:25",1107824,948471,386733,47254,77385,32.0,7.7,360704,275332,183647,130200,157941,6622444,692201,1071418,96193,94.5,479522,628302,14.1,5.4,7.8,19.7,7.9,13.8,81005,92979,305393,2604954,1071418,4059,Massachusetts,25
22,"Michigan: Summary level: 040, state:26",1665113,1456859,406698,42097,54909,20.5,6.0,554206,424033,284503,194388,207983,9730205,1377766,1626604,138006,97.1,742956,922157,14.5,5.4,8.4,21.5,7.3,13.9,164664,139806,514289,3930017,1626604,7215,Michigan,26
23,"Minnesota: Summary level: 040, state:27",858904,778438,248260,46203,68388,27.7,6.6,288543,204268,149137,100234,116722,5450582,517476,829146,57724,99.5,388576,470328,15.1,5.1,6.8,17.4,6.1,11.3,92289,79470,168078,2162211,829146,2318,Minnesota,27
24,"Mississippi: Summary level: 040, state:28",465719,362816,92539,34224,43529,21.9,6.7,159420,120287,83652,53475,48885,2889851,571219,451487,61910,94.1,201149,264570,16.3,9.3,12.1,28.9,10.6,18.8,42738,32170,167167,1091980,451487,1777,Mississippi,28
25,"Missouri: Summary level: 040, state:29",1010269,869235,231248,40783,53578,24.0,6.8,332513,251174,186143,117341,123098,5928516,795732,974035,84328,96.5,445846,564423,16.2,6.8,8.4,23.6,7.5,13.6,117717,90740,263150,2385135,974035,4493,Missouri,29
26,"Montana: Summary level: 040, state:30",190216,174344,59750,40452,53386,26.1,8.4,66401,47867,33895,21226,20827,1024513,127777,184979,13281,100.4,91640,98576,17.6,5.8,7.8,18.6,5.5,10.7,25180,19078,39709,423091,184979,1072,Montana,30
27,"Nebraska: Summary level: 040, state:31",294905,266264,74600,42488,59970,32.6,9.6,97906,69940,51449,34765,40845,1865038,200909,282297,20191,99.8,132471,162434,16.1,6.6,7.0,19.9,6.0,11.2,32852,27717,62887,754490,282297,1860,Nebraska,31
28,"Nevada: Summary level: 040, state:32",458679,399267,118951,45830,58003,22.8,6.9,158629,127966,83265,47576,41243,2954279,384120,454484,38589,101.0,217276,241403,14.7,7.1,8.2,20.8,6.9,12.4,56805,41017,133137,1094613,454484,5921,Nevada,32
29,"New Hampshire: Summary level: 040, state:33",236321,212323,76301,49874,73381,29.8,8.2,84188,58916,35856,26836,30525,1298898,99966,227379,13126,98.3,108049,128272,15.8,5.2,7.0,19.6,5.8,10.3,26889,23996,36772,528700,227379,1003,New Hampshire,33
30,"New Jersey: Summary level: 040, state:34",1416472,1191439,432667,52620,80088,29.3,7.8,446574,354995,249178,173539,192186,8831200,882673,1377401,115486,95.4,607864,808608,10.7,5.2,7.2,20.3,7.6,13.4,97728,105502,286528,3218798,1377401,14432,New Jersey,34
31,"New Mexico: Summary level: 040, state:35",349929,293000,106460,39573,46744,22.0,6.3,118751,93420,59705,40499,37554,2044187,401755,344841,42073,98.1,158842,191087,18.6,8.5,9.7,23.3,8.1,14.2,40366,31936,133515,767705,344841,3584,New Mexico,35
32,"New York: Summary level: 040, state:36",3161049,2553137,900924,44994,64894,26.5,7.6,1011370,775030,548271,381396,444982,19337685,2722257,3066532,349858,94.4,1353360,1807689,11.4,5.6,8.1,22.0,8.9,15.2,191163,210652,1083022,7304332,3066532,21863,New York,36
33,"North Carolina: Summary level: 040, state:37",1629998,1360355,424087,40070,52752,22.9,6.6,556975,430972,280661,182832,178558,10009042,1471339,1589261,144655,94.8,711245,918753,15.0,6.9,9.1,22.3,7.5,13.9,168211,130553,488137,3955069,1589261,7343,North Carolina,37
34,"North Dakota: Summary level: 040, state:38",112669,96587,24178,41237,61843,33.2,8.5,35023,26426,18662,15778,16780,729355,75279,106596,10515,105.8,51182,61487,15.3,5.6,6.7,16.5,4.2,9.3,10409,10198,19847,316306,106596,291,North Dakota,38
35,"Ohio: Summary level: 040, state:39",1939616,1674389,437042,40297,54021,24.6,5.9,652136,466276,340194,232130,248880,11330762,1582931,1870188,144024,96.0,847873,1091743,14.2,5.8,8.0,21.5,7.2,13.5,203010,166725,617649,4667192,1870188,8848,Ohio,39
36,"Oklahoma: Summary level: 040, state:40",601132,515851,143238,38364,50051,25.0,7.4,197015,154480,110174,71053,68410,3814990,603864,584281,53065,98.3,267149,333983,18.7,8.3,9.9,27.7,8.7,15.4,71284,56825,193761,1470364,584281,4057,Oklahoma,40
37,"Oregon: Summary level: 040, state:41",708868,648085,221582,46222,60212,22.4,5.9,248892,183646,121484,75801,79045,4064467,537974,697648,60907,98.3,325729,383139,16.7,5.6,8.8,21.3,7.6,12.7,84149,66733,246836,1603635,697648,2581,Oregon,41
