,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_015E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips
0,"Alabama: Summary level: 040, state:01",657974,72.3,16.7,30763,40474,19.8,4.3,4.3,3.4,2.6,1.8,1.6,4666970,888290,637595,68206,94.3,12.0,15.4,17.3,9.2,13.0,30.1,11.3,20.9,19.3,19.2,260140,1815152,637595,1919,Alabama,01
1,"Alaska: Summary level: 040, state:02",53339,82.9,24.4,43987,64576,30.2,10.1,2.9,1.9,1.2,0.9,0.6,696822,69279,51830,2931,109.0,6.9,8.1,20.1,8.2,8.7,22.8,8.3,13.0,14.4,8.3,26973,254610,51830,1174,Alaska,02
2,"Arizona: Summary level: 040, state:04",886795,83.7,24.5,37134,46789,18.4,4.8,4.4,3.4,2.5,1.9,1.6,6272686,1094249,875560,67609,99.0,12.7,15.0,14.5,6.5,7.8,20.7,6.6,12.5,21.0,22.1,308610,2334050,875560,9738,Arizona,04
3,"Arkansas: Summary level: 040, state:05",420075,72.5,15.2,29452,38307,20.7,5.4,4.6,3.5,2.6,2.0,1.8,2839798,534898,404804,41376,96.0,12.8,15.9,18.1,8.9,11.1,28.5,9.1,16.9,18.8,20.1,153012,1114902,404804,986,Arkansas,05
4,"California: Summary level: 040, state:06",4269495,76.6,26.5,40255,57708,23.1,5.2,3.5,2.6,2.1,1.6,1.6,36593372,5783043,4176971,407243,98.9,10.0,12.8,14.7,7.0,10.6,24.1,10.7,18.4,20.3,23.9,918290,12406475,4176971,71593,California,06
5,"Colorado: Summary level: 040, state:08",551638,85.7,30.2,37684,54046,26.0,4.8,3.6,2.6,1.9,1.5,1.4,4934178,659786,536135,43159,100.5,9.7,12.2,17.1,6.3,7.9,20.7,7.1,14.5,19.0,18.5,153681,1960585,536135,3022,Colorado,08
6,"Connecticut: Summary level: 040, state:09",508153,80.0,25.7,39235,64032,29.1,6.0,4.2,3.0,2.5,2.1,2.4,3466977,350145,484825,31933,94.6,12.3,16.0,14.0,5.4,8.1,19.8,7.5,14.4,21.3,28.6,138205,1358809,484825,4590,Connecticut,09
7,"Delaware: Summary level: 040, state:10",129470,80.5,21.9,40301,55847,22.6,6.1,4.8,3.3,2.4,2.1,1.8,874321,103427,125417,9688,94.3,13.0,15.7,12.1,5.1,8.0,19.8,5.8,13.5,20.0,22.1,37096,328765,125417,195,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",69427,76.7,35.0,41128,60903,30.0,9.3,3.8,2.4,1.9,1.6,1.8,570953,109423,66972,8768,89.6,9.7,13.1,9.0,6.4,9.8,24.1,8.7,16.4,16.9,23.2,28656,252388,67117,919,District of Columbia,11
9,"Florida: Summary level: 040, state:12",3273199,80.3,23.0,35024,44409,20.4,4.9,5.1,4.1,3.2,2.5,2.4,18436788,3047343,3208555,318622,95.7,15.8,18.9,13.9,6.2,9.1,22.2,8.0,14.8,21.5,26.4,871694,7035068,3208555,45912,Florida,12
