,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
0,"Alabama: Summary level: 040, state:01",3318110,1281095,24408,54259,1919,58499,64450,4802740,141172,71762,21055,162743,102650,41927,29022.0,12977.0,4688.0,40017.0,23188.0,11683.0,545.0,72.0,55.0,470.0,503.0,151.0,1053.0,314.0,44.0,1769.0,661.0,7.0,,,,,,,670.0,13.0,0.0,313.0,0.0,259.0,1328,392,73,1080,592,467,1803,458,361,2342,1300,487,Alabama,01
1,"Alaska: Summary level: 040, state:02",482698,23143,102293,37971,7785,8599,60229,722718,15467,5802,1109,13076,5977,2672,0.0,243.0,136.0,351.0,273.0,70.0,2659.0,1023.0,338.0,2808.0,1002.0,322.0,639.0,330.0,32.0,1786.0,752.0,25.0,175.0,27.0,0.0,172.0,0.0,0.0,22.0,0.0,0.0,37.0,0.0,40.0,215,166,32,420,147,22,425,129,0,383,250,112,Alaska,02
2,"Arizona: Summary level: 040, state:04",5141027,265940,289812,177297,11941,402195,194293,6482505,222980,125097,36004,246182,140847,67182,5541.0,1947.0,523.0,6210.0,2666.0,1302.0,5844.0,3059.0,555.0,7624.0,3448.0,1083.0,3857.0,1953.0,320.0,6578.0,3130.0,552.0,84.0,51.0,0.0,89.0,50.0,0.0,6254.0,2973.0,546.0,7650.0,2631.0,951.0,3256,960,243,1945,820,166,28947,13197,3916,35333,16380,7008,Arizona,04
3,"Arkansas: Summary level: 040, state:05",2296248,463364,16772,34342,7279,62745,57229,2937979,100350,51799,16232,111334,72144,28797,9668.0,3810.0,1495.0,12329.0,7069.0,4156.0,815.0,521.0,102.0,544.0,185.0,13.0,154.0,21.0,0.0,912.0,573.0,0.0,,,,,,,238.0,131.0,0.0,138.0,250.0,0.0,1085,565,76,1223,1273,281,1028,818,378,714,869,9,Arkansas,05
4,"California: Summary level: 040, state:06",23698393,2253905,289597,4970627,146894,4738489,1594007,37691912,804834,446604,176347,907522,585108,322583,60047.0,28886.0,8428.0,75326.0,37274.0,21650.0,7242.0,2715.0,650.0,8895.0,4392.0,1859.0,147915.0,82528.0,24658.0,185077.0,113691.0,45512.0,3803.0,613.0,0.0,3551.0,1491.0,710.0,58191.0,26528.0,7653.0,68968.0,38358.0,12847.0,21423,9706,2952,24197,12195,5124,206454,101571,30171,257987,143278,56056,California,06
5,"Colorado: Summary level: 040, state:08",4318187,203243,51677,143760,5949,221207,172773,5116796,142709,69838,22121,156149,87729,47656,4844.0,1632.0,480.0,5168.0,2313.0,1305.0,605.0,682.0,182.0,790.0,420.0,126.0,2727.0,1351.0,733.0,3610.0,2576.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,4470.0,836.0,893.0,3590.0,2016.0,671.0,1519,807,250,2404,1278,429,16841,7032,2020,18692,9741,3248,Colorado,08
6,"Connecticut: Summary level: 040, state:09",2787171,359683,7481,141081,1416,195293,88584,3580709,108174,62060,26784,123809,86978,56486,7434.0,3267.0,1282.0,11019.0,5731.0,2421.0,119.0,0.0,0.0,122.0,260.0,113.0,2417.0,1051.0,45.0,2891.0,1617.0,115.0,,,,,,,1842.0,795.0,252.0,2395.0,918.0,123.0,1885,110,0,1657,778,210,6538,2192,940,8834,4120,1227,Connecticut,09
7,"Delaware: Summary level: 040, state:10",636680,193899,2794,29930,22,19682,24128,907135,28709,14893,5847,32653,21113,8707,5244.0,1424.0,491.0,6050.0,3328.0,1114.0,,,,,,,1078.0,292.0,55.0,1374.0,260.0,0.0,,,,,,,9.0,62.0,0.0,155.0,0.0,39.0,79,333,0,246,151,0,429,651,42,498,580,744,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",246505,309845,1956,22510,0,24420,12760,617996,6806,2644,1304,6940,2836,2388,9148.0,5643.0,1292.0,13078.0,9513.0,4776.0,,,,,,,90.0,165.0,0.0,562.0,203.0,185.0,,,,,,,118.0,241.0,22.0,397.0,394.0,124.0,278,63,0,291,44,108,743,400,22,1153,511,210,District of Columbia,11
9,"Florida: Summary level: 040, state:12",14535897,3046628,63416,463164,12545,512411,423481,19057542,731814,450346,157992,823728,556255,266585,69956.0,33145.0,7412.0,89498.0,48364.0,20607.0,2057.0,511.0,75.0,1561.0,801.0,1356.0,12244.0,6039.0,1268.0,18213.0,7806.0,1925.0,,,,,,,5439.0,3816.0,716.0,8920.0,4481.0,1526.0,6918,3956,557,7215,4418,1401,110006,60390,18850,140819,89095,37286,Florida,12
