,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
0,0,"Alabama: Summary level: 040, state:01",673790,73.5,17.3,31324,41415,19.8,5.2,4.6,3.3,2.6,1.8,1.7,4687363,892483,653918,67474,93.8,12.3,15.7,17.0,8.5,12.0,28.9,10.9,19.6,19.9,18.9,313871,1844546,653918,2221,Alabama,1,"Alabama: Summary level: 040, state:01",3318110,1281095,24408,54259,1919,58499,64450,4802740,141172,71762,21055,162743,102650,41927,29022.0,12977.0,4688.0,40017.0,23188.0,11683.0,545.0,72.0,55.0,470.0,503.0,151.0,1053.0,314.0,44.0,1769.0,661.0,7.0,,,,,,,670.0,13.0,0.0,313.0,0.0,259.0,1328,392,73,1080,592,467,1803,458,361,2342,1300,487,2011,4802740,673790,31324,41415,0.19040193814731224,0.10318419129003942,0.4840041279669762,0.17,0.085,0.12,0.289,0.109,0.196,0.6908785401666548,0.26674252614132765,0.005082098968505478,0.01129750933841932,0.0003995635824550153,0.012180338723312109,0.013419423079325551,0.3472728891791211
1,1,"Alaska: Summary level: 040, state:02",58367,81.4,25.2,47761,67825,28.6,9.1,3.1,2.1,1.3,0.9,0.7,706860,73905,56984,3562,106.6,7.6,8.6,22.4,8.9,10.9,26.3,9.8,14.9,16.3,9.1,26807,257330,56984,1063,Alaska,2,"Alaska: Summary level: 040, state:02",482698,23143,102293,37971,7785,8599,60229,722718,15467,5802,1109,13076,5977,2672,0.0,243.0,136.0,351.0,273.0,70.0,2659.0,1023.0,338.0,2808.0,1002.0,322.0,639.0,330.0,32.0,1786.0,752.0,25.0,175.0,27.0,0.0,172.0,0.0,0.0,22.0,0.0,0.0,37.0,0.0,40.0,215,166,32,420,147,22,425,129,0,383,250,112,2011,722718,58367,47761,67825,0.10455394278923691,0.06250877439281202,0.5159728944820909,0.22399999999999998,0.08900000000000001,0.109,0.263,0.098,0.149,0.6678925943452356,0.03202217185679615,0.14153930025265732,0.052539164653433286,0.010771836317899929,0.011898140076765765,0.08333679249721192,0.38340157965973926
2,2,"Arizona: Summary level: 040, state:04",923153,84.5,25.8,37581,46709,18.4,4.7,4.5,3.5,2.6,1.9,1.7,6336449,1203501,911016,77859,99.2,13.1,15.4,15.0,6.1,8.1,20.9,7.4,13.3,22.0,22.9,325811,2356055,911016,9689,Arizona,4,"Arizona: Summary level: 040, state:04",5141027,265940,289812,177297,11941,402195,194293,6482505,222980,125097,36004,246182,140847,67182,5541.0,1947.0,523.0,6210.0,2666.0,1302.0,5844.0,3059.0,555.0,7624.0,3448.0,1083.0,3857.0,1953.0,320.0,6578.0,3130.0,552.0,84.0,51.0,0.0,89.0,50.0,0.0,6254.0,2973.0,546.0,7650.0,2631.0,951.0,3256,960,243,1945,820,166,28947,13197,3916,35333,16380,7008,2011,6482505,923153,37581,46709,0.18993303662666583,0.08546392159962064,0.497991967871486,0.15,0.061,0.081,0.209,0.07400000000000001,0.133,0.7930617870715102,0.041024264539711114,0.044706791587511306,0.027350075318106196,0.001842034830671168,0.062043145358160155,0.029971901294329893,0.4160534602606502
3,3,"Arkansas: Summary level: 040, state:05",428625,75.0,15.9,30259,38758,21.1,5.2,4.5,3.6,2.8,2.0,1.7,2856663,555876,412596,43151,97.2,12.9,16.2,18.8,8.6,11.0,28.5,9.5,17.0,20.4,20.8,172475,1127621,412596,909,Arkansas,5,"Arkansas: Summary level: 040, state:05",2296248,463364,16772,34342,7279,62745,57229,2937979,100350,51799,16232,111334,72144,28797,9668.0,3810.0,1495.0,12329.0,7069.0,4156.0,815.0,521.0,102.0,544.0,185.0,13.0,154.0,21.0,0.0,912.0,573.0,0.0,,,,,,,238.0,131.0,0.0,138.0,250.0,0.0,1085,565,76,1223,1273,281,1028,818,378,714,869,9,2011,2937979,428625,30259,38758,0.19458928126978925,0.10458414526558668,0.4929006085192698,0.188,0.086,0.11,0.285,0.095,0.17,0.78157400035875,0.15771521852266474,0.0057086861410513825,0.011688987565942438,0.002477553447454866,0.021356517524461542,0.019479036439675027,0.3928398950131234
4,4,"California: Summary level: 040, state:06",4398053,76.9,27.2,40815,57287,23.1,5.1,3.6,2.7,2.0,1.6,1.7,36941931,6118803,4301855,432312,99.0,10.2,13.1,14.4,7.0,10.7,24.0,10.7,18.4,20.9,24.4,1040799,12468743,4301855,74392,California,6,"California: Summary level: 040, state:06",23698393,2253905,289597,4970627,146894,4738489,1594007,37691912,804834,446604,176347,907522,585108,322583,60047.0,28886.0,8428.0,75326.0,37274.0,21650.0,7242.0,2715.0,650.0,8895.0,4392.0,1859.0,147915.0,82528.0,24658.0,185077.0,113691.0,45512.0,3803.0,613.0,0.0,3551.0,1491.0,710.0,58191.0,26528.0,7653.0,68968.0,38358.0,12847.0,21423,9706,2952,24197,12195,5124,206454,101571,30171,257987,143278,56056,2011,37691912,4398053,40815,57287,0.1656330038621966,0.10049432163566648,0.49748743718592964,0.14400000000000002,0.07,0.107,0.24,0.107,0.184,0.6287394759915602,0.05979810734992696,0.007683266372902495,0.13187516197108812,0.0038972286680495276,0.12571633405065788,0.04229042559581483,0.324640244217157
5,5,"Colorado: Summary level: 040, state:08",575497,86.4,30.5,38480,55387,26.0,5.2,3.7,2.7,1.9,1.4,1.5,5002128,674195,559232,43577,100.8,10.0,12.5,16.2,7.2,7.7,19.5,6.4,13.3,19.2,17.8,164571,1975388,559232,3557,Colorado,8,"Colorado: Summary level: 040, state:08",4318187,203243,51677,143760,5949,221207,172773,5116796,142709,69838,22121,156149,87729,47656,4844.0,1632.0,480.0,5168.0,2313.0,1305.0,605.0,682.0,182.0,790.0,420.0,126.0,2727.0,1351.0,733.0,3610.0,2576.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,4470.0,836.0,893.0,3590.0,2016.0,671.0,1519,807,250,2404,1278,429,16841,7032,2020,18692,9741,3248,2011,5116796,575497,38480,55387,0.13478163693532033,0.07792293717097734,0.50199203187251,0.162,0.07200000000000001,0.077,0.195,0.064,0.133,0.8439240102595452,0.039720754941178035,0.010099484130303416,0.028095706766499973,0.0011626416218274093,0.043231545678193935,0.033765856602452,0.4077658093786762
6,6,"Connecticut: Summary level: 040, state:09",515314,80.7,27.9,41843,65753,30.1,6.4,4.4,3.0,2.5,2.1,2.5,3471802,377856,493061,33752,94.9,12.5,16.2,13.3,5.1,7.7,20.6,7.5,14.9,22.4,29.1,152131,1351643,493061,4266,Connecticut,9,"Connecticut: Summary level: 040, state:09",2787171,359683,7481,141081,1416,195293,88584,3580709,108174,62060,26784,123809,86978,56486,7434.0,3267.0,1282.0,11019.0,5731.0,2421.0,119.0,0.0,0.0,122.0,260.0,113.0,2417.0,1051.0,45.0,2891.0,1617.0,115.0,,,,,,,1842.0,795.0,252.0,2395.0,918.0,123.0,1885,110,0,1657,778,210,6538,2192,940,8834,4120,1227,2011,3580709,515314,41843,65753,0.10883569973172433,0.0684540046769061,0.48691636736788096,0.133,0.051,0.077,0.20600000000000002,0.075,0.149,0.7783852304110722,0.1004502180992647,0.0020892510393891264,0.03940029753883938,0.00039545240900614934,0.054540315898331866,0.024739234604096563,0.3823261157274982
7,7,"Delaware: Summary level: 040, state:10",133912,80.0,24.4,43687,58814,25.0,5.9,4.8,3.5,2.7,1.9,1.8,882353,104831,130060,7436,94.2,13.3,16.1,12.4,6.0,7.2,21.5,7.5,14.3,23.7,20.9,39761,333192,130060,674,Delaware,10,"Delaware: Summary level: 040, state:10",636680,193899,2794,29930,22,19682,24128,907135,28709,14893,5847,32653,21113,8707,5244.0,1424.0,491.0,6050.0,3328.0,1114.0,,,,,,,1078.0,292.0,55.0,1374.0,260.0,0.0,,,,,,,9.0,62.0,0.0,155.0,0.0,39.0,79,333,0,246,151,0,429,651,42,498,580,744,2011,907135,133912,43687,58814,0.11880845874610275,0.05717361217899431,0.48506694129763134,0.124,0.06,0.07200000000000001,0.215,0.075,0.14300000000000002,0.7018580475893885,0.21374878050124843,0.0030800266773964185,0.03299398656208833,2.4252178562176524e-05,0.02169688083912538,0.026598025652190688,0.36926489037576915
8,8,"District of Columbia: Summary level: 040, state:11",69738,76.8,38.5,42396,63124,33.0,5.7,3.6,2.5,2.0,1.5,1.7,584583,109363,67695,8439,89.7,9.5,12.9,11.4,7.7,10.4,25.3,9.2,18.7,18.0,23.3,38777,268670,67695,500,District of Columbia,11,"District of Columbia: Summary level: 040, state:11",246505,309845,1956,22510,0,24420,12760,617996,6806,2644,1304,6940,2836,2388,9148.0,5643.0,1292.0,13078.0,9513.0,4776.0,,,,,,,90.0,165.0,0.0,562.0,203.0,185.0,,,,,,,118.0,241.0,22.0,397.0,394.0,124.0,278,63,0,291,44,108,743,400,22,1153,511,210,2011,617996,69738,42396,63124,0.18707865264641632,0.1246620873033459,0.47285187137585666,0.114,0.077,0.10400000000000001,0.253,0.092,0.187,0.39887798626528326,0.5013705590327445,0.0031650690295730068,0.03642418397530081,0.0,0.03951481886614153,0.020647382830956833,0.15420574148957528
9,9,"Florida: Summary level: 040, state:12",3359395,80.6,23.0,34892,44299,19.9,4.7,5.2,4.1,3.2,2.7,2.4,18652057,3173456,3296861,328563,95.7,16.0,19.2,14.2,6.5,9.1,22.3,8.3,14.7,22.2,26.8,1009671,7106283,3296861,47963,Florida,12,"Florida: Summary level: 040, state:12",14535897,3046628,63416,463164,12545,512411,423481,19057542,731814,450346,157992,823728,556255,266585,69956.0,33145.0,7412.0,89498.0,48364.0,20607.0,2057.0,511.0,75.0,1561.0,801.0,1356.0,12244.0,6039.0,1268.0,18213.0,7806.0,1925.0,,,,,,,5439.0,3816.0,716.0,8920.0,4481.0,1526.0,6918,3956,557,7215,4418,1401,110006,60390,18850,140819,89095,37286,2011,19057542,3359395,34892,44299,0.17013973311361852,0.09965934262924643,0.4890137966274911,0.142,0.065,0.091,0.223,0.083,0.147,0.7627372407207603,0.1598646876916236,0.0033276064667731023,0.02430344899672791,0.0006582695711755482,0.02688757028582175,0.022221176267117764,0.39892659243703105
