,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips
10,"Georgia: Summary level: 040, state:13",1190773,78.2,23.0,37008,47829,21.7,5.5,4.3,3.0,2.1,1.4,1.2,9720914,1843768,1161918,124817,95.4,10.5,13.2,14.8,7.9,10.4,25.3,9.2,16.4,22.1,17.0,575317,3546965,1161918,15625,Georgia,13
11,"Hawaii: Summary level: 040, state:15",220108,82.6,26.0,55650,68020,27.8,6.4,5.0,3.6,2.4,2.2,2.5,1367662,148368,215778,15459,102.6,13.8,17.6,15.2,5.8,12.7,22.0,7.8,17.0,22.5,20.3,51033,450120,215778,2159,Hawaii,15
12,"Idaho: Summary level: 040, state:16",223104,86.3,23.7,36226,46783,19.9,4.6,4.6,3.5,2.3,1.8,1.6,1582911,246550,219281,18019,101.2,12.8,14.8,19.5,8.1,9.0,23.0,7.7,14.5,26.1,21.3,76343,588489,219281,1993,Idaho,16
13,"Illinois: Summary level: 040, state:17",1740088,81.8,22.6,38304,56210,25.1,5.8,4.3,3.2,2.3,1.8,2.0,12576680,1845393,1675885,148311,96.5,11.8,15.2,13.7,6.4,8.2,22.9,8.0,15.4,25.1,25.6,645686,4783421,1675885,21963,Illinois,17
14,"Indiana: Summary level: 040, state:18",915833,81.5,17.6,35339,47529,24.0,6.0,4.6,3.2,2.3,1.8,2.0,6367890,1015127,878586,69218,96.6,12.3,15.5,16.6,7.0,9.0,24.5,8.2,14.9,24.1,22.1,326546,2498395,878586,3967,Indiana,18
15,"Iowa: Summary level: 040, state:19",479625,87.1,18.6,36690,52229,27.1,6.0,4.6,3.4,2.7,2.2,2.6,2991670,379127,455168,35728,97.9,13.7,17.3,15.2,5.6,6.3,19.2,6.1,11.1,23.6,27.9,150086,1236209,455168,1491,Iowa,19
16,"Kansas: Summary level: 040, state:20",406225,87.0,24.3,37574,50972,28.7,8.1,4.2,3.3,2.4,2.0,2.2,2811722,393358,387430,30736,99.1,12.3,15.8,16.3,6.2,8.5,22.9,7.7,13.6,21.9,23.8,113599,1113729,387430,1395,Kansas,20
17,"Kentucky: Summary level: 040, state:21",636058,73.1,16.7,32964,43399,20.9,5.6,4.9,3.5,2.4,1.9,1.7,4266556,800635,612801,68780,96.9,12.8,16.1,17.7,8.1,10.5,27.3,9.4,18.1,24.0,20.9,297015,1705623,612801,2414,Kentucky,21
18,"Louisiana: Summary level: 040, state:22",606958,75.7,18.8,31230,44164,24.9,6.4,4.4,3.2,2.3,1.7,1.5,4494989,888019,586832,74586,95.2,11.7,14.5,15.7,8.4,11.8,28.1,10.4,18.2,21.4,22.3,297204,1728149,586832,5662,Louisiana,22
19,"Maine: Summary level: 040, state:23",235984,85.4,26.4,34376,46974,26.4,5.1,5.8,4.2,3.0,2.5,2.2,1293827,180639,228857,20717,95.8,16.3,19.1,17.2,5.2,8.1,19.9,6.1,12.1,25.0,24.1,98315,547686,228857,393,Maine,23
20,"Maryland: Summary level: 040, state:24",793868,83.0,30.2,49494,72483,30.8,7.6,4.5,3.2,2.2,1.7,1.8,5788159,585571,768720,61688,94.2,11.8,14.9,12.4,6.1,8.1,21.4,7.5,14.3,21.8,20.6,239645,2161680,768720,10796,Maryland,24
21,"Massachusetts: Summary level: 040, state:25",990097,82.4,29.2,40020,66768,31.0,6.6,4.7,3.4,2.5,2.0,2.3,6456530,770513,951646,83526,94.2,13.0,16.5,14.7,6.5,8.4,20.8,8.1,15.2,25.6,30.6,328341,2536321,951646,3518,Massachusetts,25
22,"Michigan: Summary level: 040, state:26",1486783,83.7,21.5,36939,48273,18.7,4.4,4.9,3.5,2.5,2.0,2.1,9669513,1648436,1447687,120000,96.4,13.5,16.5,15.6,6.0,9.0,23.0,8.3,15.2,26.0,25.0,646039,3832466,1447687,7572,Michigan,26
23,"Minnesota: Summary level: 040, state:27",754718,87.4,24.3,38531,60702,26.2,6.1,4.4,3.2,2.4,1.9,2.0,5292348,592422,725274,53610,98.6,12.4,15.4,15.0,5.0,6.9,17.7,6.4,11.8,25.0,25.5,195586,2119954,725274,3539,Minnesota,27
24,"Mississippi: Summary level: 040, state:28",414365,72.9,18.2,29511,37963,22.4,5.3,4.7,3.3,2.5,1.7,1.6,2893768,695915,400390,58722,94.2,12.2,15.5,16.6,9.6,13.0,31.9,11.7,19.9,23.3,20.2,211825,1091002,400390,919,Mississippi,28
25,"Missouri: Summary level: 040, state:29",908358,81.8,19.9,34436,46931,24.2,6.7,4.8,3.6,2.7,2.0,2.0,5861009,931066,870070,81564,96.0,13.4,16.6,16.1,6.6,8.9,23.8,8.0,14.8,23.7,22.7,324821,2362853,870070,4457,Missouri,29
26,"Montana: Summary level: 040, state:30",165080,88.4,27.9,35457,46972,26.8,7.2,5.6,3.7,2.8,2.1,2.1,990603,163637,160222,14803,99.8,15.3,17.2,17.8,5.9,7.7,20.2,5.8,11.6,26.3,22.4,43452,406288,160222,651,Montana,30
27,"Nebraska: Summary level: 040, state:31",264628,88.2,19.9,37343,51440,32.7,8.2,4.5,2.9,2.5,2.1,2.2,1815565,239433,252597,21266,98.1,12.6,15.7,16.8,6.2,7.4,21.0,7.0,12.7,22.3,24.9,66301,730579,252597,1819,Nebraska,31
28,"Nevada: Summary level: 040, state:32",380832,83.6,22.5,41491,51230,22.5,6.0,5.0,3.5,2.3,1.4,1.4,2750476,433576,376225,32742,101.2,12.8,14.6,14.7,7.7,8.6,22.7,7.0,13.2,25.3,18.6,118435,1002571,376225,8033,Nevada,32
29,"New Hampshire: Summary level: 040, state:33",202960,86.8,28.6,42406,64230,30.0,6.7,5.2,3.7,2.6,1.9,2.0,1281181,111495,195136,10942,97.3,13.9,16.7,16.4,5.1,7.2,19.8,5.5,11.8,25.8,23.9,44416,519246,195136,220,New Hampshire,33
30,"New Jersey: Summary level: 040, state:34",1284407,80.4,25.8,45092,70165,28.6,6.4,4.5,3.4,2.4,2.0,2.2,8721010,998549,1245103,101532,95.3,12.5,16.3,12.5,6.2,8.1,22.2,8.3,15.3,27.0,32.6,304679,3176139,1245103,19484,New Jersey,34
31,"New Mexico: Summary level: 040, state:35",307157,78.8,27.3,35785,43872,22.6,6.7,4.9,3.7,2.6,1.8,1.7,2045402,448461,301596,35356,98.4,13.6,15.8,20.0,9.6,11.2,26.5,9.6,16.9,23.9,20.8,125837,753507,301596,4775,New Mexico,35
32,"New York: Summary level: 040, state:36",2829843,77.9,25.3,37769,57369,25.3,6.4,4.6,3.3,2.5,1.9,2.2,19133973,3055645,2729119,316246,94.3,12.5,16.2,12.3,6.4,8.6,23.1,8.9,15.7,24.8,29.7,1140999,7219356,2729119,27262,New York,36
33,"North Carolina: Summary level: 040, state:37",1404718,79.3,22.4,34931,45906,21.6,5.6,5.0,3.4,2.5,1.8,1.7,9588277,1715397,1364569,136613,94.9,12.7,15.8,15.2,7.6,10.2,25.1,8.9,16.5,23.9,19.8,552763,3757480,1364569,7985,North Carolina,37
34,"North Dakota: Summary level: 040, state:38",102550,80.2,17.5,35293,55759,33.9,7.5,4.1,3.0,2.7,2.0,2.4,698199,82398,96447,9098,104.2,12.4,16.1,17.1,6.1,6.7,19.8,5.8,11.6,20.5,22.9,22804,298298,96447,186,North Dakota,38
35,"Ohio: Summary level: 040, state:39",1751963,82.4,19.4,35072,48081,23.3,5.6,4.8,3.5,2.6,2.0,2.2,11248753,1796942,1681232,141287,95.7,13.3,16.9,14.8,6.0,8.7,22.3,7.9,15.2,24.2,24.1,703718,4564745,1681232,8524,Ohio,39
36,"Oklahoma: Summary level: 040, state:40",547927,82.9,20.4,35005,45690,25.0,6.8,4.6,3.5,2.6,1.8,1.7,3735207,626906,528342,49982,98.1,12.7,15.7,20.0,9.5,10.1,27.9,9.1,15.7,24.3,20.6,207384,1447277,528387,3707,Oklahoma,40
37,"Oregon: Summary level: 040, state:41",604596,88.7,28.7,38232,50251,20.4,5.0,5.2,3.8,2.5,1.8,2.1,3852871,642138,594081,53244,98.1,14.1,16.7,18.3,6.7,10.4,22.4,8.5,14.8,27.8,22.9,301792,1523799,594081,2515,Oregon,41
38,"Pennsylvania: Summary level: 040, state:42",2089972,82.0,19.6,35009,52007,25.0,6.4,5.0,3.7,2.9,2.3,2.5,12353256,1690405,2011016,171110,95.6,14.3,18.3,14.2,5.9,8.1,21.3,7.1,14.7,25.2,27.7,618259,4938894,2011016,11873,Pennsylvania,42
39,"Rhode Island: Summary level: 040, state:44",162864,74.9,25.1,39577,55902,28.3,4.8,4.8,3.4,2.3,2.0,3.0,1010827,144446,155168,13147,95.3,13.4,17.4,14.7,6.1,8.4,21.3,7.6,15.1,24.1,29.5,64824,406366,155168,527,Rhode Island,44
40,"South Carolina: Summary level: 040, state:45",725107,79.0,22.9,35042,44163,20.7,6.4,5.3,3.9,2.6,1.8,1.6,4631801,860380,707659,71993,94.6,13.7,16.6,15.6,7.0,9.7,23.9,9.1,15.8,24.5,19.0,278940,1794989,707659,3917,South Carolina,45
41,"South Dakota: Summary level: 040, state:46",124503,85.0,20.7,36354,48947,34.1,8.7,4.3,3.4,2.6,2.2,2.3,815049,115454,118006,11913,100.8,13.1,16.3,17.2,6.4,7.6,21.7,7.9,12.8,20.7,23.5,41495,331406,118006,572,South Dakota,46
42,"Tennessee: Summary level: 040, state:47",950190,76.8,19.2,34462,44297,21.8,6.0,5.0,3.6,2.6,1.8,1.6,6335295,1126772,921510,89366,95.6,13.1,16.1,17.3,8.3,10.7,25.9,9.8,17.3,25.1,19.4,427578,2490249,921510,4709,Tennessee,47
43,"Texas: Summary level: 040, state:48",2966527,76.2,23.5,37588,51704,26.4,6.5,3.8,2.8,1.9,1.4,1.3,25834229,4530039,2882201,316824,98.8,10.0,12.4,16.6,8.4,10.0,26.2,9.9,16.7,21.9,18.7,1280310,9110853,2882201,57929,Texas,48
44,"Utah: Summary level: 040, state:49",282680,90.5,30.9,44384,59770,26.1,6.4,3.3,2.3,1.7,1.2,1.2,2851587,361181,278823,20076,101.2,8.9,10.6,17.3,6.4,8.4,20.2,7.0,13.1,23.2,23.6,80598,899475,278823,2101,Utah,49
45,"Vermont: Summary level: 040, state:50",102658,85.1,32.7,35844,52578,32.6,6.5,5.7,3.9,2.8,2.0,2.1,602538,74058,99358,7914,97.1,15.1,17.6,16.8,5.5,9.0,19.9,7.7,13.4,27.6,26.8,37409,253234,99358,258,Vermont,50
46,"Virginia: Summary level: 040, state:51",1104809,79.7,28.0,44440,62666,26.7,6.7,4.6,3.3,2.2,1.7,1.6,8010544,938733,1079610,79499,96.7,11.9,14.8,13.6,6.1,9.3,21.2,8.2,14.9,20.1,15.7,304551,3055863,1079610,11780,Virginia,51
47,"Washington: Summary level: 040, state:53",950766,88.2,29.8,42287,58405,22.9,5.0,4.7,3.3,2.2,1.7,1.8,6836262,967282,930447,75239,99.4,12.4,14.9,17.7,6.6,9.8,22.6,8.5,15.3,24.1,19.0,390879,2644557,930447,7296,Washington,53
48,"West Virginia: Summary level: 040, state:54",320013,75.8,14.2,31542,41253,18.7,4.3,5.7,4.2,3.1,2.1,2.1,1798266,332347,310962,29347,97.8,15.6,18.9,20.3,9.7,10.9,29.5,11.0,19.0,25.9,21.7,119413,738653,310962,652,West Virginia,54
49,"Wisconsin: Summary level: 040, state:55",848607,85.3,21.0,34721,51467,23.1,5.3,4.7,3.4,2.5,2.0,2.2,5593197,755551,820382,73784,98.9,13.2,16.3,14.4,5.6,6.9,20.3,7.0,13.0,25.1,25.7,304542,2289424,820382,2527,Wisconsin,55
50,"Wyoming: Summary level: 040, state:56",77554,88.3,22.6,40934,58752,29.1,8.0,4.9,3.1,2.1,1.5,1.8,569307,62039,75393,5704,104.3,12.3,14.4,18.4,6.4,6.6,19.0,5.6,10.6,21.3,17.8,13168,224003,75393,239,Wyoming,56
51,"Puerto Rico: Summary level: 040, state:72",599663,48.9,13.7,15629,19183,9.0,2.7,5.4,4.2,3.0,2.0,2.0,3581841,1626879,592156,239466,91.7,15.0,18.0,14.8,16.2,19.3,34.4,12.8,29.7,24.9,33.9,472819,1253690,592156,4485,Puerto Rico,72
