,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips
0,"Alabama: Summary level: 040, state:01",721538,77.4,19.6,33469,42849,20.0,5.7,5.0,3.7,2.7,1.8,1.7,4716105,883371,702071,74389,94.0,13.2,16.6,16.4,7.9,10.7,27.4,10.1,17.7,22.1,20.1,283047,1822439,702071,3829,Alabama,01
1,"Alaska: Summary level: 040, state:02",65584,83.3,29.4,53822,72237,31.9,9.7,3.7,2.2,1.4,0.9,0.8,718359,67016,64587,3351,110.8,8.5,9.4,22.3,8.8,10.7,23.6,9.0,13.0,18.0,11.0,24098,246015,64587,699,Alaska,02
2,"Arizona: Summary level: 040, state:04",1018724,85.8,26.7,39097,48510,19.6,4.7,5.0,3.9,2.8,1.9,1.8,6477191,1206460,1006821,89550,99.1,14.2,16.5,15.0,6.6,8.0,21.4,6.8,13.5,25.4,24.5,323485,2400809,1006821,9005,Arizona,04
3,"Arkansas: Summary level: 040, state:05",453542,77.1,16.8,31959,40511,21.6,6.0,5.0,3.8,2.7,2.0,1.8,2873340,565469,437989,46074,97.6,13.7,16.9,17.9,7.9,10.9,28.9,9.7,16.8,23.6,21.4,172725,1125899,437989,1667,Arkansas,05
4,"California: Summary level: 040, state:06",4794108,78.6,28.8,43595,60190,24.6,5.6,4.1,2.9,2.1,1.6,1.8,37593091,6328824,4697080,488193,99.0,11.1,13.9,15.0,7.1,10.5,24.1,10.4,18.0,24.6,25.4,1192254,12650592,4697080,83424,California,06
5,"Colorado: Summary level: 040, state:08",644943,88.7,34.1,43281,58823,27.2,6.1,4.4,2.8,2.1,1.4,1.4,5151461,667446,629141,46344,100.9,11.0,13.5,16.9,6.3,7.6,20.3,6.9,13.1,23.1,18.5,172179,2002800,629141,4112,Colorado,08
6,"Connecticut: Summary level: 040, state:09",544506,82.6,28.3,44240,67098,31.8,6.3,4.7,3.4,2.4,2.0,2.6,3485353,373900,521536,38604,95.0,13.3,16.9,13.4,5.5,7.3,19.6,7.6,14.0,26.3,30.5,165367,1339860,521555,4646,Connecticut,09
7,"Delaware: Summary level: 040, state:10",146945,83.9,23.3,43452,57846,23.9,6.0,5.2,4.1,2.7,1.9,1.9,900322,111327,143025,10333,93.7,14.6,17.1,12.6,5.5,8.4,20.9,6.8,13.3,25.6,22.9,46663,339071,143025,1470,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",73961,80.5,39.2,47632,67572,29.5,9.3,3.6,2.7,2.1,1.4,1.6,611788,115551,71393,12479,90.0,9.9,12.9,7.8,6.0,10.2,23.4,8.0,15.0,17.4,24.8,42612,271651,71393,264,District of Columbia,11
9,"Florida: Summary level: 040, state:12",3644283,82.7,25.3,37031,46036,20.9,5.2,5.7,4.4,3.4,2.5,2.5,19129950,3253333,3578397,381892,95.8,17.1,20.1,13.7,6.4,8.9,21.7,7.4,13.6,25.1,27.8,1089738,7211584,3578397,59141,Florida,12
