,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
0,0,"Alabama: Summary level: 040, state:01",803216,651290,177476,38450,48123,20.3,5.7,268718,212195,141230,98405,82668,4752560,802656,782916,77877,93.8,348847,454369,15.5,7.6,10.7,28.1,9.5,17.1,86540,64260,258110,1841665,782916,3085,Alabama,1,"Alabama: Summary level: 040, state:01",3312718,1307467,25181,66908,1581,67308,93584,4874747,173264,83005,22850,194603,112587,43640,43827.0,14434.0,4760.0,56452.0,25867.0,10505.0,964.0,335.0,162.0,1289.0,300.0,65.0,1418.0,513.0,15.0,2636.0,809.0,134.0,,,,,,,959.0,133.0,151.0,1434.0,153.0,160.0,1737,140,67,2327,1157,159,3177,518,280,2446,1398,359,2017,4874747,803216,38450,48123,0.16888918814281145,0.09947044127339331,0.4840041279669762,0.155,0.076,0.107,0.281,0.095,0.171,0.679567165229293,0.2682122785038895,0.005165601414801629,0.013725430263355206,0.00032432452391888237,0.013807485803878642,0.01919771426086318,0.3475017927929723
1,1,"Alaska: Summary level: 040, state:02",83041,72765,25373,59877,73181,27.7,7.7,34504,22334,12092,8071,6040,720472,80012,81512,6043,109.0,41539,41502,21.2,7.4,7.7,21.2,6.4,11.9,15400,6045,27090,250741,81512,982,Alaska,2,"Alaska: Summary level: 040, state:02",474856,22107,109948,49385,8830,11279,63390,739795,22870,7243,1952,19927,7599,2807,1043.0,196.0,0.0,281.0,189.0,0.0,2647.0,1096.0,363.0,3661.0,1842.0,244.0,1435.0,430.0,182.0,2070.0,794.0,395.0,165.0,0.0,0.0,99.0,0.0,0.0,,,,,,,899,533,6,702,210,19,1004,90,0,1097,257,171,2017,739795,83041,59877,73181,0.11105497507189731,0.07413632348611247,0.5215311004784688,0.212,0.07400000000000001,0.077,0.212,0.064,0.11900000000000001,0.6418751140518657,0.029882602612886004,0.1486195500104759,0.06675497941997445,0.011935738954710427,0.015246115477936455,0.08568589947215106,0.3861345600366084
2,2,"Arizona: Summary level: 040, state:04",1200850,1054590,353025,46064,56581,21.0,5.8,394533,306632,230010,138737,130938,6856067,1018935,1189022,107523,98.8,553556,647294,15.8,6.4,8.0,20.6,6.8,12.6,130823,121225,276388,2552972,1189022,9571,Arizona,4,"Arizona: Summary level: 040, state:04",5442417,307655,317974,232517,16453,432853,266401,7016270,294461,159303,46611,329860,177212,71608,8629.0,3665.0,573.0,9000.0,4113.0,1768.0,7523.0,3311.0,1037.0,10470.0,4495.0,1852.0,5811.0,2891.0,1279.0,10353.0,3737.0,1655.0,301.0,0.0,118.0,369.0,137.0,353.0,7427.0,2737.0,1005.0,7967.0,2642.0,1531.0,4775,1656,443,4219,2848,1105,43521,17541,5413,50564,22642,9419,2017,7016270,1200850,46064,56581,0.14861800504574998,0.09042978178704851,0.4969818913480885,0.158,0.064,0.08,0.20600000000000002,0.068,0.126,0.7756852287611509,0.04384879715290318,0.04531952162616319,0.03313968818189722,0.002344978172162702,0.0616927512766755,0.03796903482904734,0.4166840154890286
3,3,"Arkansas: Summary level: 040, state:05",497024,408796,101151,35966,45869,20.7,6.6,162714,128881,96547,55188,53694,2916321,478365,480319,48812,97.1,221324,275700,18.4,8.0,10.5,27.5,9.2,16.2,54604,45212,136635,1153082,480319,1247,Arkansas,5,"Arkansas: Summary level: 040, state:05",2293307,458367,19110,47885,8551,91890,85169,3004279,116657,61176,15969,132093,76225,31446,15368.0,4197.0,1514.0,16702.0,7507.0,3839.0,614.0,205.0,132.0,796.0,359.0,0.0,1134.0,72.0,38.0,1540.0,501.0,34.0,0.0,0.0,135.0,98.0,0.0,0.0,1454.0,174.0,56.0,853.0,331.0,0.0,1971,356,102,2315,632,429,3319,516,201,3366,919,125,2017,3004279,497024,35966,45869,0.16403029707635064,0.10162412896429249,0.4926433282597666,0.184,0.08,0.105,0.275,0.092,0.162,0.7633468795674436,0.1525713823516391,0.006360927197507289,0.0159389324360354,0.0028462735984241144,0.03058637363573756,0.028349231213212887,0.38992483260365696
4,4,"California: Summary level: 040, state:06",5504817,4404013,1724489,51665,71805,25.8,6.5,1835876,1362679,927803,657869,720590,38793027,5160208,5410078,550874,98.8,2443427,3061390,13.9,6.4,9.8,22.2,9.5,16.6,403183,401467,1155077,13005097,5410078,57574,California,6,"California: Summary level: 040, state:06",23181769,2271917,313859,5765305,153923,5911803,1938077,39536653,1038950,489168,195233,1156368,613069,334626,75586.0,34963.0,9668.0,94665.0,51043.0,20571.0,10522.0,4289.0,1769.0,14048.0,5303.0,2652.0,220077.0,111672.0,38109.0,279361.0,147673.0,70043.0,4675.0,1634.0,415.0,5425.0,1693.0,651.0,106816.0,39677.0,12654.0,126088.0,56538.0,24589.0,30862,12532,4156,35112,16418,5454,303630,126025,46568,364709,177370,82609,2017,39536653,5504817,51665,71805,0.1330189572471362,0.10182367056445397,0.4969818913480885,0.139,0.064,0.098,0.222,0.095,0.166,0.5863361524305054,0.05746356425264425,0.007938431207113055,0.14582177707354235,0.003893172241970002,0.1495271488964936,0.049019753897731305,0.3130623597478354
5,5,"Colorado: Summary level: 040, state:08",773699,703937,297795,50161,69117,27.5,8.0,278796,202548,127314,80877,84164,5483104,564312,758771,58928,101.2,353208,420491,15.8,5.4,7.5,18.7,5.8,11.4,90814,71675,162490,2139207,758771,5691,Colorado,8,"Colorado: Summary level: 040, state:08",4720495,229436,56792,179251,8400,219189,193591,5607154,209447,85201,28072,226727,105621,49618,6158.0,2143.0,1057.0,6597.0,3835.0,627.0,2074.0,668.0,291.0,2502.0,542.0,272.0,4645.0,1590.0,765.0,6801.0,3088.0,1268.0,231.0,0.0,41.0,62.0,125.0,13.0,3864.0,1887.0,671.0,5153.0,1364.0,654.0,3146,1026,231,3937,1101,584,23333,9289,3112,27552,12934,4243,2017,5607154,773699,50161,69117,0.1029183469801047,0.07766243043026157,0.5029821073558649,0.158,0.054000000000000006,0.075,0.187,0.057999999999999996,0.114,0.8418700467295887,0.0409184409773657,0.010128489426186618,0.0319682676808948,0.0014980861948860331,0.03909095416319937,0.03452571482787881,0.4171131150486171
6,6,"Connecticut: Summary level: 040, state:09",601094,517928,196076,52604,74168,30.7,8.2,189220,149858,97385,72294,92337,3482584,334128,579486,41043,95.3,261185,339909,11.6,4.6,7.2,18.8,6.7,13.4,45989,54331,163472,1356762,579486,4043,Connecticut,9,"Connecticut: Summary level: 040, state:09",2723013,380578,11268,163924,525,191373,117503,3588184,137968,62505,31183,156577,88088,54584,10453.0,5038.0,842.0,13819.0,7526.0,3136.0,345.0,0.0,0.0,501.0,378.0,52.0,4425.0,1458.0,201.0,5327.0,1739.0,682.0,,,,,,,3622.0,953.0,325.0,3225.0,1198.0,580.0,1360,211,296,1456,585,456,10375,3283,1699,12687,5871,2013,2017,3588184,601094,52604,74168,0.09594255300087522,0.07082656008945859,0.48796722990271374,0.11599999999999999,0.046,0.07200000000000001,0.188,0.067,0.134,0.758883323709152,0.10606423750844439,0.003140307186030594,0.04568439076702867,0.00014631356697426888,0.05333422143346049,0.032747205828909554,0.3853906377371925
7,7,"Delaware: Summary level: 040, state:10",173217,153541,50111,52177,62852,24.2,7.1,58619,45739,31501,18454,18904,934947,126986,169131,14358,93.8,77014,96203,11.0,4.6,6.9,17.7,6.1,11.1,18646,14510,37164,357937,169131,1602,Delaware,10,"Delaware: Summary level: 040, state:10",662084,210356,2729,38930,244,18372,29224,961939,39591,18501,6061,44748,22812,9966,6730.0,3207.0,473.0,9099.0,3706.0,1848.0,,,,,,,759.0,682.0,82.0,1585.0,438.0,279.0,,,,,,,471.0,0.0,0.0,477.0,85.0,170.0,281,103,0,398,386,0,1665,131,230,1535,561,215,2017,961939,173217,52177,62852,0.13582160272186553,0.08489277542260142,0.4840041279669762,0.11,0.046,0.069,0.177,0.061,0.111,0.6882806498125141,0.21867914701451963,0.002836978228349199,0.04047034167447208,0.00025365433774906723,0.019098924152155177,0.030380304780240744,0.3703620314403321
8,8,"District of Columbia: Summary level: 040, state:11",83992,69155,36661,59086,82372,34.8,16.2,27253,20936,15965,8847,10991,660642,109920,81484,11559,90.2,34201,49791,9.2,9.6,11.1,27.8,10.3,17.7,5035,7271,37115,281475,81484,490,District of Columbia,11,"District of Columbia: Summary level: 040, state:11",284536,318220,1690,28499,302,40116,20609,693972,8703,4397,1293,9395,5031,1664,10819.0,4773.0,2214.0,15980.0,8962.0,5168.0,,,,,,,561.0,175.0,38.0,664.0,546.0,97.0,,,,,,,613.0,93.0,15.0,962.0,0.0,225.0,163,274,0,279,304,132,1144,454,128,1639,321,750,2017,693972,83992,59086,82372,0.16638360867156493,0.14185606990329389,0.4742376445846478,0.092,0.096,0.111,0.278,0.10300000000000001,0.177,0.41001077853285145,0.45854875989232996,0.002435256753874796,0.041066498360164384,0.0004351760589764429,0.05780636682748007,0.029697163574322883,0.17136155824364224
9,9,"Florida: Summary level: 040, state:12",4215232,3613018,1202642,42686,52594,21.5,5.7,1272449,1072420,796315,528536,545512,20569920,2889506,4146743,423523,95.6,1898142,2317090,13.6,6.1,8.5,20.8,7.3,12.9,382268,395278,1042265,7689964,4146743,49328,Florida,12,"Florida: Summary level: 040, state:12",15768315,3394508,63635,588087,13937,602032,553886,20984400,938240,535392,196785,1066782,635954,299376,98835.0,43478.0,11294.0,130290.0,59529.0,23987.0,2861.0,1352.0,283.0,2570.0,1298.0,549.0,21140.0,8905.0,2735.0,30875.0,13313.0,3326.0,388.0,184.0,0.0,432.0,0.0,26.0,12107.0,7066.0,1680.0,15941.0,7189.0,2363.0,9592,4268,1557,14816,6923,1551,153633,84606,26378,198334,120819,55848,2017,20984400,4215232,42686,52594,0.14047239853144786,0.1021338915867224,0.4887525562372188,0.136,0.061,0.085,0.20800000000000002,0.073,0.129,0.7514303482587065,0.16176340519624102,0.003032490802691523,0.028024961399897068,0.0006641600426983854,0.02868950267817998,0.02639513162158556,0.39628115368264427
10,10,"Georgia: Summary level: 040, state:13",1401850,1152251,360979,41436,56183,23.0,6.2,499779,370690,248365,147304,135712,10154747,1517702,1372136,138820,94.6,606699,795151,13.9,7.1,9.2,23.8,8.1,14.8,152030,107985,470762,3745074,1372136,10268,Georgia,13,"Georgia: Summary level: 040, state:13",6122956,3292061,36855,410915,8594,271833,286165,10429379,289487,128126,37364,325887,168084,67900,88899.0,30580.0,7027.0,125431.0,52005.0,20330.0,1364.0,275.0,0.0,1040.0,316.0,48.0,9655.0,4288.0,1336.0,13948.0,6552.0,721.0,,,,,,,2302.0,1041.0,0.0,3605.0,1035.0,507.0,3319,1474,99,5443,1893,374,10779,4167,1224,12892,5465,1626,2017,10429379,1401850,41436,56183,0.14945739170064995,0.10117072943206795,0.48612538540596095,0.139,0.071,0.092,0.23800000000000002,0.081,0.14800000000000002,0.5870873040475373,0.315652638570331,0.0035337674467482674,0.039399757166749816,0.0008240183811519362,0.02606415971650853,0.02743835467097322,0.3245546955808396
11,11,"Hawaii: Summary level: 040, state:15",253750,221572,80685,62572,77765,30.2,7.0,84228,60633,41100,31262,36527,1388550,132549,249427,23076,100.7,114132,139618,13.7,4.8,9.1,20.1,6.8,13.4,25389,23268,48954,458078,249427,1286,Hawaii,15,"Hawaii: Summary level: 040, state:15",357113,23386,2661,545639,145271,21476,331992,1427538,24887,9300,2274,21232,9356,3541,418.0,101.0,38.0,420.0,108.0,352.0,,,,,,,32291.0,17104.0,9384.0,37413.0,24872.0,17402.0,5351.0,2295.0,642.0,5134.0,1980.0,1380.0,196.0,83.0,0.0,156.0,61.0,17.0,6483,2730,446,10740,4270,1007,2182,988,260,2849,893,512,2017,1427538,253750,62572,77765,0.09545857189154154,0.09251604677921797,0.5017438963627305,0.13699999999999998,0.048,0.091,0.201,0.068,0.134,0.25016006579159367,0.01638205077553102,0.0018640484526506475,0.3822238006974245,0.10176331558249238,0.01504408288956231,0.2325626358107455,0.14368866995073892
12,12,"Idaho: Summary level: 040, state:16",262594,235236,67573,41741,52225,23.0,5.7,93035,67331,42089,30420,29719,1686491,216309,258538,20899,101.0,123970,138624,18.0,6.3,7.6,20.5,6.6,11.5,31972,24903,60914,625135,258538,637,Idaho,16,"Idaho: Summary level: 040, state:16",1546011,11347,21589,23113,3079,59093,52711,1716943,74988,33383,10797,78275,36425,18598,196.0,163.0,0.0,593.0,348.0,0.0,769.0,435.0,64.0,602.0,368.0,45.0,240.0,137.0,0.0,922.0,344.0,42.0,,,,,,,921.0,410.0,53.0,605.0,107.0,72.0,1072,312,30,936,77,0,3250,602,284,3350,463,542,2017,1716943,262594,41741,52225,0.128259800971366,0.08083531241055474,0.5024875621890548,0.18,0.063,0.076,0.205,0.066,0.115,0.9004439867834867,0.0066088390820196125,0.012574092442206876,0.013461716550869772,0.001793303563368149,0.034417566570352075,0.03070049500769682,0.4538108258376048
13,13,"Illinois: Summary level: 040, state:17",1947595,1661596,528266,44498,62992,25.9,6.5,639510,484114,332000,243066,248905,12503720,1569753,1881474,162244,96.7,848158,1099437,12.8,5.8,7.6,21.6,7.2,13.6,164988,148589,618363,4808672,1881474,18106,Illinois,17,"Illinois: Summary level: 040, state:17",9119912,1818986,29910,694968,4860,797916,335471,12802023,421216,198654,73775,469138,268685,142700,57200.0,25138.0,6003.0,80046.0,42340.0,16142.0,1251.0,160.0,206.0,1496.0,381.0,77.0,25191.0,10697.0,2139.0,28850.0,14042.0,4178.0,,,,,,,14014.0,4908.0,1044.0,15126.0,6315.0,1272.0,4632,1404,447,5139,2293,897,41505,15618,4099,45361,22108,6003,2017,12802023,1947595,44498,62992,0.12554287843937645,0.08623239013666945,0.4916115912557194,0.128,0.057999999999999996,0.076,0.21600000000000003,0.07200000000000001,0.136,0.7123805354825562,0.1420858250293723,0.00233634949726305,0.054285795299695995,0.00037962750105979343,0.06232733685918233,0.026204530330870363,0.3561546420071935
