,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
0,"California: Summary level: 040, state:06",23322954,2246353,281908,4900963,142932,4885973,1568280,37349363,774009,445348,167791,877602,575131,322267,59292.0,26713.0,6800.0,72470.0,38722.0,19377.0,6633.0,3474.0,363.0,6751.0,3910.0,975.0,142366.0,74931.0,25300.0,175626.0,110174.0,42108.0,2699.0,1060.0,179.0,3406.0,1234.0,225.0,55509.0,23467.0,6875.0,68288.0,35424.0,14595.0,19753,11008,2860,26641,13761,4378,194926,95401,29503,247695,135870,54335,California,06
1,"Alabama: Summary level: 040, state:01",3324276,1262980,27768,52789,606,51693,65186,4785298,139539,71760,18807,158930,100406,42480,27364.0,13256.0,3864.0,37519.0,24020.0,9703.0,564.0,89.0,0.0,537.0,500.0,97.0,937.0,179.0,51.0,1405.0,691.0,79.0,,,,,,,54.0,310.0,59.0,92.0,396.0,0.0,1309,612,119,1324,684,185,1184,716,9,815,1299,205,Alabama,01
2,"Alaska: Summary level: 040, state:02",481446,24711,104539,39118,7638,6496,50037,713985,14112,5308,1224,12432,6009,2016,273.0,138.0,0.0,314.0,454.0,0.0,1694.0,822.0,112.0,2504.0,1127.0,259.0,706.0,183.0,101.0,1050.0,640.0,275.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,47.0,482,252,17,211,137,21,283,0,114,372,169,61,Alaska,02
3,"Arizona: Summary level: 040, state:04",5095378,264009,285768,174039,12180,412806,169557,6413737,215146,118687,36142,235932,140572,61401,5599.0,1723.0,585.0,5249.0,2734.0,1216.0,4653.0,2442.0,1026.0,7139.0,3134.0,1488.0,4254.0,1472.0,210.0,5577.0,2669.0,630.0,,,,,,,6758.0,2119.0,454.0,6925.0,2402.0,1094.0,1250,805,209,2797,1121,376,27619,12577,2657,33030,16586,5361,Arizona,04
4,"Arkansas: Summary level: 040, state:05",2289695,464411,18625,33240,5090,61388,49157,2921606,98742,51129,14948,109641,67713,32665,10527.0,4101.0,1424.0,11555.0,7784.0,3486.0,115.0,47.0,25.0,420.0,86.0,36.0,495.0,0.0,10.0,553.0,253.0,0.0,,,,,,,340.0,0.0,60.0,637.0,263.0,54.0,1223,146,14,907,514,47,772,408,121,1277,745,164,Arkansas,05
5,"Colorado: Summary level: 040, state:08",4208365,198117,49608,133796,4922,282026,172237,5049071,135279,66813,23497,148268,88569,44437,3790.0,2090.0,360.0,4509.0,2651.0,1188.0,1052.0,352.0,138.0,1061.0,457.0,0.0,2321.0,1122.0,340.0,3256.0,2568.0,433.0,,,,,,,3531.0,1575.0,234.0,3723.0,1496.0,484.0,1927,543,168,2072,720,559,15869,6842,1957,17202,8700,3845,Colorado,08
6,"Connecticut: Summary level: 040, state:09",2797956,356880,5634,134338,1317,189961,90987,3577073,105392,63377,24879,121088,84899,58818,8005.0,2688.0,1020.0,11783.0,6426.0,1652.0,,,,,,,2682.0,704.0,263.0,2783.0,1135.0,316.0,,,,,,,2612.0,192.0,0.0,2043.0,1364.0,242.0,864,274,51,784,540,172,6984,1236,716,8079,4110,615,Connecticut,09
7,"Delaware: Summary level: 040, state:10",636052,191626,2470,27482,1191,17852,23096,899769,28307,15336,4536,31820,19640,9618,4373.0,1975.0,462.0,5702.0,2421.0,1170.0,,,,,,,740.0,149.0,67.0,758.0,347.0,182.0,,,,,,,144.0,0.0,0.0,94.0,15.0,0.0,364,0,55,197,271,283,958,62,70,576,525,307,Delaware,10
8,"District of Columbia: Summary level: 040, state:11",242905,309221,1927,21552,233,16825,11790,604453,6687,3102,1036,6703,3195,2375,8973.0,4734.0,2025.0,13343.0,9149.0,4719.0,,,,,,,289.0,48.0,116.0,589.0,85.0,230.0,,,,,,,369.0,0.0,0.0,45.0,108.0,0.0,133,156,0,146,424,176,908,141,0,1096,286,338,District of Columbia,11
9,"Florida: Summary level: 040, state:12",14411461,2997377,67854,452580,11525,495530,406999,18843326,713637,442465,153629,806689,542447,261821,67478.0,29760.0,6987.0,84471.0,46738.0,17509.0,1747.0,653.0,0.0,1537.0,68.0,204.0,12876.0,4198.0,830.0,16930.0,6155.0,1216.0,417.0,26.0,0.0,161.0,0.0,74.0,9677.0,2027.0,1395.0,8776.0,4755.0,1405.0,5048,3712,1203,9240,3961,1277,105592,62001,15812,138285,86039,34131,Florida,12
10,"Georgia: Summary level: 040, state:13",5895315,2976758,22055,316098,2533,320937,178891,9712587,214189,101405,27116,241459,140738,64018,55789.0,19256.0,5457.0,76490.0,37135.0,18324.0,421.0,259.0,0.0,482.0,130.0,14.0,6349.0,1761.0,513.0,7907.0,2802.0,807.0,,,,,,,1588.0,260.0,177.0,1441.0,655.0,44.0,1484,974,0,2780,1139,345,5227,1870,1052,7578,3291,644,Georgia,13
11,"Hawaii: Summary level: 040, state:15",335563,20345,2660,530937,134881,15126,324109,1363621,15419,7316,2148,13650,7038,3871,563.0,93.0,65.0,174.0,168.0,52.0,,,,,,,23381.0,16473.0,7911.0,28742.0,25185.0,13924.0,2768.0,1654.0,168.0,3511.0,1803.0,427.0,444.0,120.0,0.0,523.0,230.0,23.0,6852,1813,625,6670,2583,1501,2260,753,174,2379,1108,125,Hawaii,15
12,"Idaho: Summary level: 040, state:16",1449223,8871,21791,18718,2095,34159,36593,1571450,52317,26303,9227,54718,31895,16260,,,,,,,553.0,165.0,109.0,558.0,220.0,0.0,306.0,341.0,161.0,441.0,354.0,171.0,,,,,,,249.0,39.0,0.0,327.0,105.0,15.0,415,310,0,566,213,259,1754,576,425,2095,1113,413,Idaho,16
13,"Illinois: Summary level: 040, state:17",9305662,1866145,29545,590174,4008,805013,242619,12843166,320379,185858,63642,370225,253987,150690,43443.0,20518.0,5487.0,61581.0,33601.0,15989.0,398.0,122.0,0.0,757.0,172.0,0.0,16234.0,6443.0,1473.0,18901.0,7555.0,2806.0,,,,,,,7606.0,3021.0,382.0,8542.0,3634.0,809.0,2743,1040,65,3999,1696,831,24259,11455,1608,28890,13880,4022,Illinois,17
14,"Kentucky: Summary level: 040, state:21",3837101,336561,9201,47895,2290,41764,71454,4346266,143971,71223,19457,162916,100555,46516,6312.0,3804.0,737.0,8285.0,5645.0,2532.0,261.0,0.0,41.0,308.0,30.0,0.0,667.0,316.0,92.0,1111.0,434.0,73.0,,,,,,,55.0,349.0,176.0,277.0,0.0,0.0,951,261,77,1384,477,228,1153,438,211,943,607,0,Kentucky,21
