,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
0,0,"Alabama: Summary level: 040, state:01",783952,629324,166856,36580,46257,20.3,6.8,5.5,4.0,2.8,2.0,1.8,4741329,810231,762974,76323,94.0,14.4,17.8,15.9,8.3,11.4,27.7,9.7,17.6,85186,69628,270409,1852518,762974,3386,Alabama,1,"Alabama: Summary level: 040, state:01",3316384,1301102,24509,65611,1503,70333,83858,4863300,170282,78387,24889,192209,108545,45541,39354.0,15624.0,3627.0,52507.0,25257.0,11341.0,650.0,445.0,0.0,966.0,440.0,233.0,1511.0,510.0,126.0,2672.0,787.0,129.0,,,,,,,135.0,384.0,0.0,953.0,133.0,32.0,1949,680,217,2408,660,254,2132,888,176,3053,1669,550,2016,4863300,783952,36580,46257,0.17088689690169148,0.10003355291268116,0.4845360824742268,0.159,0.083,0.114,0.27699999999999997,0.09699999999999999,0.17600000000000002,0.6819205066518619,0.26753480147225134,0.005039582176711286,0.013491045175086876,0.0003090494108938375,0.014461990829272305,0.01724302428392244,0.34894738453374696
1,1,"Alaska: Summary level: 040, state:02",75832,67690,23724,59705,76440,32.8,8.3,4.3,2.8,1.5,0.8,0.9,723968,71566,74396,3123,111.2,9.7,10.8,19.5,9.7,10.4,23.1,8.1,14.3,11935,6488,26039,248468,74396,647,Alaska,2,"Alaska: Summary level: 040, state:02",477895,23753,108056,45580,9937,12712,63961,741894,21587,6683,1649,18526,6013,3589,382.0,176.0,64.0,752.0,175.0,267.0,2648.0,954.0,242.0,3140.0,1465.0,381.0,1746.0,360.0,41.0,1142.0,765.0,351.0,64.0,42.0,0.0,191.0,44.0,0.0,30.0,0.0,89.0,0.0,0.0,20.0,756,146,78,1133,140,1,283,84,89,313,81,20,2016,741894,75832,59705,76440,0.09885243546676097,0.041978063336738536,0.5265151515151516,0.195,0.09699999999999999,0.10400000000000001,0.231,0.081,0.14300000000000002,0.6441553645129897,0.03201670319479602,0.1456488393220595,0.06143734819259894,0.013394096730799818,0.017134523260735363,0.08621312478602064,0.3945432007595738
2,2,"Arizona: Summary level: 040, state:04",1169826,1021940,339519,43647,53558,20.5,5.4,5.6,4.2,3.1,2.1,1.8,6771098,1107464,1159440,104059,98.8,15.7,18.1,15.9,6.9,7.8,21.0,6.9,12.1,138312,123605,312639,2519052,1159440,7701,Arizona,4,"Arizona: Summary level: 040, state:04",5254944,299674,306247,220438,14140,585948,249680,6931071,287112,153116,46838,318797,172119,72216,8689.0,2976.0,802.0,8991.0,3863.0,1133.0,6768.0,3084.0,800.0,9359.0,3964.0,1562.0,6174.0,2574.0,819.0,9221.0,4195.0,1205.0,463.0,103.0,37.0,642.0,0.0,0.0,9028.0,3596.0,713.0,10812.0,5039.0,1127.0,3857,1326,361,4463,1373,509,41049,16430,5879,47839,23104,8246,2016,6931071,1169826,43647,53558,0.16355752050849065,0.08974936176085006,0.4969818913480885,0.159,0.069,0.078,0.21,0.069,0.121,0.7581720054519713,0.04323631946635664,0.044184657753469844,0.03180431999614489,0.0020400887539602465,0.08453931578539593,0.03602329279270116,0.41635764635082484
3,3,"Arkansas: Summary level: 040, state:05",485630,392188,93311,34774,44334,20.9,6.5,5.5,4.0,2.9,2.0,1.9,2898630,499225,471601,49574,96.7,14.7,17.8,17.4,8.7,10.8,26.0,9.2,16.5,57331,41786,142959,1142718,471601,2166,Arkansas,5,"Arkansas: Summary level: 040, state:05",2290066,464516,18859,41781,8808,86797,77421,2988248,115491,58628,16259,130187,70502,34319,13861.0,4568.0,1209.0,16804.0,8049.0,3035.0,493.0,190.0,44.0,646.0,124.0,139.0,757.0,559.0,19.0,1456.0,537.0,120.0,,,,,,,1149.0,62.0,0.0,744.0,417.0,0.0,923,1077,318,1777,727,440,2744,734,126,3151,955,138,2016,2988248,485630,34774,44334,0.1722279145665366,0.10511852180126845,0.4916115912557194,0.174,0.087,0.10800000000000001,0.26,0.092,0.165,0.7663574107637653,0.15544760675820748,0.006311055842754684,0.013981771258610396,0.002947546522243134,0.02904611665430714,0.025908492200111904,0.3920227333566707
4,4,"California: Summary level: 040, state:06",5348439,4254344,1632252,49531,67739,25.2,6.1,4.6,3.2,2.3,1.6,1.8,38513258,5525524,5251974,541403,98.6,12.2,15.1,14.1,6.6,10.3,23.3,10.1,17.3,420216,409970,1238154,12944178,5252189,54853,California,6,"California: Summary level: 040, state:06",23420234,2265280,290133,5602074,150521,5642125,1879650,39250017,1020765,485094,190852,1131585,600407,343691,74971.0,33591.0,9647.0,90866.0,47508.0,21168.0,9585.0,3347.0,1087.0,10944.0,5506.0,2885.0,208013.0,105603.0,36946.0,260861.0,138984.0,66679.0,4063.0,1514.0,925.0,4324.0,1983.0,809.0,94456.0,35800.0,11593.0,115087.0,52673.0,19756.0,28101,11633,4268,38418,15217,7234,288034,121991,43345,346181,171610,77817,2016,39250017,5348439,49531,67739,0.14347069780489619,0.10308562075897558,0.49647532729103727,0.141,0.066,0.10300000000000001,0.233,0.10099999999999999,0.17300000000000001,0.5966936014320707,0.05771411513019217,0.007391920365282899,0.14272793818152996,0.0038349282753176897,0.14374834538288225,0.04788915123272431,0.3172348043980683
5,5,"Colorado: Summary level: 040, state:08",743056,676618,276800,48285,65685,28.6,6.6,5.1,3.2,2.2,1.4,1.4,5420327,598736,727891,55360,101.5,12.2,14.7,15.2,5.7,6.9,18.0,5.0,10.8,95397,66853,171546,2108992,727891,5260,Colorado,8,"Colorado: Summary level: 040, state:08",4654921,234142,54743,175951,8325,228102,184361,5540545,199883,84987,25783,216569,102184,49290,6505.0,2605.0,688.0,7491.0,2449.0,1633.0,2406.0,712.0,110.0,1552.0,375.0,68.0,4935.0,1376.0,545.0,6586.0,2189.0,1113.0,177.0,102.0,0.0,43.0,0.0,0.0,4019.0,1397.0,40.0,4809.0,1813.0,537.0,2763,668,93,2481,1749,331,22025,9287,2676,24963,12517,3483,2016,5540545,743056,48285,65685,0.11046123232048546,0.07605534345114859,0.5037220843672456,0.152,0.057,0.069,0.18,0.05,0.10800000000000001,0.8401557969477732,0.04225974159581774,0.009880435949893017,0.03175698419559809,0.0015025597662323832,0.04116959613178848,0.03327488541289711,0.41807481535711977
6,6,"Connecticut: Summary level: 040, state:09",576640,488979,181138,51847,73433,31.5,7.6,5.3,3.7,2.6,2.0,2.5,3469514,339128,556261,36088,95.3,14.3,17.9,12.9,4.9,8.1,20.0,8.0,14.5,49114,50790,177523,1357269,556261,2593,Connecticut,9,"Connecticut: Summary level: 040, state:09",2741892,378932,9887,161950,1259,171008,111524,3576452,133164,63264,26342,150032,82309,56687,10066.0,4177.0,1211.0,13679.0,7591.0,2656.0,51.0,226.0,114.0,129.0,27.0,42.0,4390.0,1130.0,293.0,4568.0,2218.0,435.0,,,,,,,2112.0,644.0,471.0,3219.0,1807.0,301.0,980,159,50,1158,758,93,9511,3057,1384,11249,5477,2546,2016,3576452,576640,51847,73433,0.0977451020517571,0.06487602042925893,0.48796722990271374,0.129,0.049,0.081,0.2,0.08,0.145,0.7666514187804002,0.1059519322501742,0.002764471604819525,0.04528230771725721,0.00035202485591865907,0.047814985354200194,0.03118285943722997,0.3863242230854606
7,7,"Delaware: Summary level: 040, state:10",166674,145987,46629,47195,61757,25.4,5.8,6.3,4.3,3.2,1.9,1.9,926864,108211,162635,11201,93.6,16.1,18.9,10.4,4.6,8.2,20.4,7.8,13.2,19924,15380,39277,351085,162635,1614,Delaware,10,"Delaware: Summary level: 040, state:10",659091,209911,4055,35646,2053,15595,25714,952065,37867,17161,6135,42664,22198,9902,6643.0,2944.0,434.0,8485.0,4276.0,1224.0,,,,,,,895.0,448.0,210.0,1878.0,643.0,0.0,,,,,,,458.0,15.0,30.0,472.0,0.0,6.0,230,82,145,520,30,70,1381,201,128,1569,327,251,2016,952065,166674,47195,61757,0.11674959864661914,0.06887201401912257,0.4834710743801653,0.10400000000000001,0.046,0.08199999999999999,0.204,0.078,0.132,0.6922752123016811,0.22047969413853047,0.004259162977317725,0.037440720959178206,0.002156365374212895,0.01638018412608383,0.027008660122995805,0.36696185367843814
8,8,"District of Columbia: Summary level: 040, state:11",79097,67156,33108,48536,75506,33.5,9.7,4.0,2.8,1.9,1.4,1.5,647654,120308,76794,10304,90.5,10.0,13.0,9.7,7.6,9.7,24.6,8.5,18.5,5812,5865,40789,281241,76794,593,District of Columbia,11,"District of Columbia: Summary level: 040, state:11",277268,320554,2004,26436,41,37132,17735,681170,8665,3913,781,8607,4213,1925,10474.0,4815.0,1937.0,15169.0,8891.0,4891.0,,,,,,,559.0,154.0,0.0,674.0,305.0,207.0,,,,,,,248.0,101.0,0.0,998.0,122.0,0.0,176,74,95,219,0,184,1372,256,0,1545,601,401,2016,681170,79097,48536,75506,0.1857596803231355,0.13417714925645233,0.47506561679790027,0.09699999999999999,0.076,0.09699999999999999,0.24600000000000002,0.085,0.185,0.4070466990619082,0.4705932439772744,0.002941996858346668,0.03880969508345934,6.0190554487132436e-05,0.054512089493078085,0.02603608497144619,0.16889388978090192
9,9,"Florida: Summary level: 040, state:12",4090764,3455128,1127748,40772,50860,20.8,5.5,6.2,4.9,3.6,2.5,2.6,20191342,2973512,4020746,418376,95.5,18.3,21.4,13.5,6.4,8.5,20.9,7.2,13.0,387606,389475,1077995,7573456,4020746,53073,Florida,12,"Florida: Summary level: 040, state:12",15574165,3310428,52738,559393,12540,570424,532751,20612439,918295,517491,188947,1041070,607770,304888,96923.0,40910.0,11888.0,121729.0,59026.0,26454.0,2287.0,801.0,287.0,1673.0,1540.0,105.0,20287.0,8021.0,1413.0,28409.0,11122.0,3852.0,430.0,131.0,0.0,847.0,209.0,0.0,10185.0,5810.0,1580.0,15839.0,6096.0,2082.0,9314,3896,910,10952,6203,1092,143842,76634,26466,187068,109972,50403,2016,20612439,4090764,40772,50860,0.1472666848989037,0.1040543222576109,0.4884910485933504,0.135,0.064,0.085,0.209,0.07200000000000001,0.13,0.7555711868935064,0.16060341039699377,0.002558552144168868,0.027138612757083236,0.0006083705087010809,0.027673775044282728,0.025846092255263922,0.3971710418885079
10,10,"Georgia: Summary level: 040, state:13",1359134,1105944,338100,40386,53559,22.3,6.8,4.9,3.4,2.2,1.4,1.3,10040201,1603013,1330303,133741,94.8,11.7,14.5,14.2,7.6,9.6,24.3,8.1,14.9,153617,104342,516772,3686135,1330303,12790,Georgia,13,"Georgia: Summary level: 040, state:13",6054861,3254495,37939,398897,6503,299220,258456,10310371,285109,122690,35166,318633,161215,68293,86422.0,29611.0,6075.0,121718.0,50771.0,17854.0,544.0,74.0,0.0,1790.0,12.0,408.0,9400.0,4967.0,978.0,12220.0,4493.0,1429.0,,,,,,,2430.0,306.0,340.0,2044.0,1263.0,44.0,2340,1960,429,5163,1210,895,10588,3823,900,11867,5468,1861,2016,10310371,1359134,40386,53559,0.15965945303286258,0.1005342391921239,0.48665297741273095,0.142,0.076,0.096,0.243,0.081,0.149,0.5872592751512046,0.3156525599321305,0.003679693000377969,0.03868890847865707,0.0006307241514393614,0.029021264123279367,0.025067575162911207,0.32591709132432856
11,11,"Hawaii: Summary level: 040, state:15",243541,207865,71959,63229,74511,33.2,7.0,5.9,3.8,2.7,2.0,2.7,1389442,129569,238734,21349,101.1,15.3,18.8,14.5,5.1,11.0,22.3,8.9,16.3,23459,21536,54008,455868,238734,826,Hawaii,15,"Hawaii: Summary level: 040, state:15",357994,25898,2649,543448,144568,12321,341679,1428557,23384,7934,2932,20908,7705,4664,680.0,33.0,37.0,26.0,113.0,0.0,,,,,,,30594.0,17134.0,8005.0,36222.0,23198.0,18816.0,4908.0,1769.0,683.0,5175.0,1784.0,1240.0,149.0,123.0,41.0,206.0,58.0,104.0,7624,3177,664,8752,3162,1244,2219,767,326,2450,928,730,2016,1428557,243541,63229,74511,0.09325254310723298,0.08942588822706443,0.5027349577324713,0.145,0.051,0.11,0.223,0.08900000000000001,0.163,0.25059833104314355,0.01812878310070932,0.0018543187286191591,0.38041744221616636,0.10119862210608327,0.008624787110349814,0.23917771569492852,0.14063340464233948
12,12,"Idaho: Summary level: 040, state:16",256162,228039,66553,39338,51807,20.5,6.3,5.4,3.8,2.5,1.8,1.7,1652592,237445,252434,25303,99.9,14.4,16.1,18.7,6.6,8.3,20.7,6.4,11.7,33449,24430,66302,610872,252434,1927,Idaho,16,"Idaho: Summary level: 040, state:16",1510119,11437,26596,24406,2375,66137,42070,1683140,71569,32180,11644,75843,37736,16373,0.0,81.0,0.0,17.0,29.0,0.0,1139.0,238.0,11.0,780.0,198.0,120.0,1019.0,124.0,51.0,1372.0,204.0,66.0,,,,,,,431.0,487.0,244.0,507.0,172.0,49.0,1170,148,131,994,459,199,2520,1432,720,3604,1516,208,2016,1683140,256162,39338,51807,0.14368035183517772,0.10023610131757212,0.49974987493746875,0.187,0.066,0.083,0.207,0.064,0.11699999999999999,0.8972034411873047,0.00679503784593082,0.01580141877681001,0.01450027923999192,0.0014110531506588875,0.039293819884263934,0.024994949915039748,0.45046884393469755
13,13,"Illinois: Summary level: 040, state:17",1872830,1571155,475217,41253,60960,24.5,6.5,4.9,3.5,2.4,1.8,2.0,12502057,1621508,1807910,166144,96.6,12.9,16.3,13.2,6.3,8.3,22.1,8.2,14.8,169373,150003,642115,4822046,1807910,15468,Illinois,17,"Illinois: Summary level: 040, state:17",9123763,1813477,30470,684783,4851,822784,321411,12801539,402188,190489,71328,452898,249355,150443,53479.0,23768.0,7137.0,76058.0,39379.0,16859.0,1407.0,529.0,182.0,994.0,297.0,231.0,23247.0,9879.0,2348.0,26800.0,13338.0,4080.0,,,,,,,13509.0,4369.0,1071.0,12964.0,6905.0,1900.0,4061,1441,797,6098,1965,626,36490,14819,3480,40500,19820,6578,2016,12801539,1872830,41253,60960,0.12969929668373772,0.0918983798972294,0.491353001017294,0.132,0.063,0.083,0.221,0.08199999999999999,0.14800000000000002,0.7127082923389133,0.14166085812026194,0.0023801825702362816,0.053492240268923914,0.00037893881352859214,0.06427227226351456,0.025107215624621385,0.35454632828393395
14,14,"Indiana: Summary level: 040, state:18",993339,838005,196685,39568,52314,23.9,6.3,5.2,3.5,2.6,1.8,1.9,6432804,906077,957278,73596,97.1,13.3,16.6,16.0,6.6,9.1,23.5,7.7,14.2,105860,89572,272445,2533270,957278,6193,Indiana,18,"Indiana: Summary level: 040, state:18",5536418,617745,17515,141451,3526,157755,158643,6633053,246370,114267,38111,277051,153182,76738,16006.0,7061.0,2233.0,21242.0,10285.0,4691.0,780.0,361.0,23.0,1097.0,192.0,44.0,2525.0,721.0,131.0,4132.0,1269.0,334.0,,,,,,,2916.0,432.0,289.0,2710.0,968.0,337.0,1603,772,71,2619,889,701,7035,1774,723,6740,2756,862,2016,6633053,993339,39568,52314,0.14085257377653665,0.07688048821763376,0.4926433282597666,0.16,0.066,0.091,0.235,0.077,0.142,0.834671153690465,0.09313132278605342,0.002640563854985027,0.021325172586439456,0.000531580254220794,0.02378316591168501,0.02391704091615128,0.40142187108328575
15,15,"Iowa: Summary level: 040, state:19",513742,459043,111406,39433,56247,29.4,8.1,5.3,3.7,2.8,2.1,2.5,3031338,356378,491235,33813,98.6,14.6,18.1,14.4,5.0,6.7,19.0,5.8,11.5,54397,47817,136100,1247932,491235,820,Iowa,19,"Iowa: Summary level: 040, state:19",2834162,111867,10488,74805,3949,42129,57293,3134693,130948,64531,25811,141219,85498,51342,1704.0,765.0,217.0,1898.0,920.0,386.0,470.0,122.0,0.0,519.0,115.0,24.0,899.0,492.0,150.0,1459.0,678.0,151.0,,,,,,,404.0,0.0,56.0,208.0,87.0,240.0,694,415,269,550,301,40,1956,288,85,1705,793,715,2016,3134693,513742,39433,56247,0.1175645869909591,0.06883263611102629,0.49647532729103727,0.14400000000000002,0.05,0.067,0.19,0.057999999999999996,0.115,0.9041274536294304,0.03568674827168083,0.003345782186644753,0.023863580899309757,0.0012597724880873502,0.013439593606136231,0.0182770689187107,0.4307415005975762
16,16,"Kansas: Summary level: 040, state:20",437671,392851,118303,41015,54935,30.1,8.3,5.1,3.4,2.6,1.8,2.2,2825864,342544,419367,33523,99.3,13.5,16.6,15.9,6.5,7.5,21.3,6.9,12.4,46691,41274,88187,1110407,419367,2292,Kansas,20,"Kansas: Summary level: 040, state:20",2458966,166551,21620,79741,2922,74123,103366,2907289,108687,51889,20541,117152,67532,38861,5367.0,1918.0,588.0,5585.0,1648.0,2182.0,793.0,376.0,25.0,946.0,345.0,87.0,1634.0,469.0,39.0,2358.0,818.0,238.0,,,,,,,1139.0,278.0,40.0,1373.0,272.0,136.0,870,967,103,1430,699,271,5252,1853,365,5256,1309,1010,2016,2907289,437671,41015,54935,0.12121744004665476,0.07993714336130406,0.4982438534872052,0.159,0.065,0.075,0.213,0.069,0.124,0.845793452250533,0.0572873904176709,0.007436481202935105,0.027427957798485118,0.0010050600404706929,0.025495573367491156,0.03555408492241397,0.4138199697946631
17,17,"Kentucky: Summary level: 040, state:21",687525,536093,128296,35215,46659,21.0,5.9,5.5,3.8,2.7,1.9,1.7,4298953,794060,665367,74154,96.6,13.9,17.0,18.9,8.4,10.9,27.9,9.5,17.0,79829,54881,255718,1717706,665367,2106,Kentucky,21,"Kentucky: Summary level: 040, state:21",3866333,366157,11140,61311,2307,37591,92135,4436974,179733,78011,25813,201828,109157,46079,10341.0,4392.0,824.0,12490.0,6047.0,2334.0,,,,,,,998.0,271.0,59.0,1690.0,590.0,234.0,,,,,,,391.0,332.0,0.0,212.0,45.0,56.0,1045,457,13,1384,596,271,1407,240,115,1502,400,400,2016,4436974,687525,35215,46659,0.18471009103844588,0.11144826839924432,0.491353001017294,0.18899999999999997,0.084,0.109,0.27899999999999997,0.095,0.17,0.8713896002095122,0.08252403552511238,0.002510720143953965,0.013818201323694932,0.0005199489562030339,0.008472215523462612,0.020765278318060913,0.4124315479437111
18,18,"Louisiana: Summary level: 040, state:22",674179,537120,142742,33632,45146,24.2,7.1,4.9,3.7,2.5,1.7,1.6,4546017,918187,654026,84798,95.9,12.8,15.9,15.9,8.3,10.4,26.2,9.7,16.2,61184,52977,287164,1720801,654026,2409,Louisiana,22,"Louisiana: Summary level: 040, state:22",2901495,1514755,25508,77921,1030,68208,92749,4681666,135991,63195,19944,151934,81634,39599,45020.0,17200.0,4238.0,59737.0,26687.0,10979.0,705.0,307.0,212.0,1101.0,394.0,290.0,2500.0,803.0,322.0,2554.0,794.0,568.0,,,,,,,788.0,212.0,57.0,88.0,584.0,168.0,1473,1209,160,1674,415,273,4711,2006,514,4816,3205,563,2016,4681666,674179,33632,45146,0.20197614747151188,0.12965539596285164,0.4895354772843288,0.159,0.083,0.10400000000000001,0.262,0.09699999999999999,0.162,0.6197569412256235,0.3235504198719003,0.005448487781913532,0.016643861394640285,0.00022000715130041315,0.014569172597959786,0.019811109976662154,0.32503237270813834
