,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
0,"Maine: Summary level: 040, state:23",1261453,18954,8566,15683,465,3264,30019,1338404,76520,33553,12650,83418,42499,21971,537.0,167.0,0.0,134.0,85.0,0.0,223.0,94.0,0.0,213.0,138.0,41.0,337.0,0.0,0.0,1082.0,236.0,167.0,,,,,,,,,,,,,469,276,0,952,211,20,346,178,0,780,410,234,Maine,23
1,"North Carolina: Summary level: 040, state:37",7098569,2222533,120845,306682,10218,326630,298143,10383620,367806,176776,51000,418363,225137,98724,76790.0,29285.0,7081.0,106734.0,48174.0,17702.0,4619.0,2261.0,38.0,5787.0,2646.0,678.0,8487.0,1952.0,478.0,10652.0,2963.0,1130.0,439.0,95.0,0.0,349.0,77.0,0.0,2365.0,926.0,381.0,3295.0,1194.0,676.0,4502,2026,555,3808,1999,624,10492,3351,1432,11946,5345,2469,North Carolina,37
2,"Georgia: Summary level: 040, state:13",6127645,3319691,34485,436051,14049,301148,286406,10519475,291253,139481,37645,333002,176317,70295,95588.0,32521.0,7952.0,133276.0,52036.0,20987.0,679.0,429.0,0.0,1901.0,120.0,99.0,11007.0,4574.0,1200.0,13523.0,6337.0,2863.0,,,,,,,4782.0,491.0,215.0,2980.0,1081.0,593.0,3749,1259,780,5105,1715,171,12006,5422,1173,13233,6496,2053,Georgia,13
3,"Alaska: Summary level: 040, state:02",474555,25197,111371,46381,7958,9780,62196,737438,23457,7778,2674,20908,8187,2810,919.0,141.0,124.0,784.0,176.0,269.0,3509.0,1265.0,262.0,3773.0,1535.0,441.0,2062.0,302.0,168.0,1807.0,899.0,376.0,187.0,0.0,0.0,115.0,0.0,0.0,,,,,,,570,278,208,1076,180,24,812,537,0,914,350,0,Alaska,02
4,"Alabama: Summary level: 040, state:01",3306838,1307040,22063,65095,1797,84027,101011,4887871,176040,88564,22533,198999,115842,44945,45095.0,16304.0,4029.0,60869.0,25250.0,11966.0,1509.0,349.0,273.0,548.0,210.0,0.0,2070.0,403.0,177.0,2719.0,1369.0,288.0,,,,,,,337.0,164.0,0.0,568.0,349.0,338.0,1996,962,122,2549,1259,571,3288,544,312,3423,1850,890,Alabama,01
5,"Vermont: Summary level: 040, state:50",589337,7621,1743,11859,139,2815,12785,626299,34345,15788,4148,36832,18719,8651,652.0,0.0,0.0,694.0,51.0,0.0,,,,,,,598.0,22.0,21.0,619.0,253.0,13.0,,,,,,,,,,,,,790,30,66,546,108,132,242,0,0,532,241,0,Vermont,50
6,"Nevada: Summary level: 040, state:32",1924976,280385,44666,250137,19612,358786,155830,3034392,110663,52392,15876,113398,56345,20449,9085.0,4459.0,576.0,10613.0,5038.0,1515.0,867.0,736.0,223.0,1601.0,415.0,385.0,11621.0,5761.0,1020.0,17286.0,7898.0,1818.0,522.0,262.0,44.0,812.0,62.0,0.0,4596.0,1563.0,762.0,6667.0,2092.0,854.0,1695,818,375,2570,1003,383,15429,5543,2820,18301,8174,2701,Nevada,32
7,"West Virginia: Summary level: 040, state:54",1679773,68679,2629,13459,451,6430,34411,1805832,98213,45807,13071,106606,56329,25718,4023.0,1267.0,415.0,3206.0,1502.0,586.0,,,,,,,444.0,126.0,39.0,908.0,19.0,102.0,,,,,,,,,,,,,794,60,138,469,327,36,420,229,106,922,443,198,West Virginia,54
8,"Oklahoma: Summary level: 040, state:40",2845906,287680,307183,84694,3859,110013,303744,3943079,140238,70654,23359,156532,89436,41453,9323.0,2993.0,941.0,11885.0,4405.0,2383.0,9560.0,3261.0,752.0,10973.0,5022.0,1740.0,2086.0,758.0,0.0,4242.0,961.0,282.0,,,,,,,1553.0,455.0,67.0,1862.0,593.0,143.0,6169,2859,542,7204,3696,921,5542,1609,357,5355,2160,556,Oklahoma,40
9,"Wisconsin: Summary level: 040, state:55",4957243,370632,50364,165380,1961,121475,146513,5813568,261202,124615,40539,274311,150840,78979,8155.0,2761.0,988.0,11813.0,4758.0,1886.0,1873.0,649.0,88.0,1615.0,582.0,173.0,2390.0,1128.0,190.0,3047.0,1885.0,666.0,,,,,,,1590.0,520.0,81.0,1255.0,973.0,301.0,2030,647,348,2329,583,359,5693,2738,757,5231,3276,909,Wisconsin,55
10,"Puerto Rico: Summary level: 040, state:72",2079304,400936,4013,5144,767,551773,153216,3195153,106263,63274,22262,135866,85797,35861,22041.0,11289.0,3239.0,22134.0,14838.0,4862.0,,,,,,,,,,,,,,,,,,,26876.0,14070.0,4958.0,30409.0,18017.0,7012.0,7847,3687,1539,9591,5989,1824,161392,91095,31886,197112,124485,49114,Puerto Rico,72
11,"Virginia: Summary level: 040, state:51",5737580,1631512,22265,555422,5659,215743,349504,8517685,282383,135257,43130,314794,171849,75945,56626.0,21955.0,7182.0,71520.0,35366.0,14397.0,641.0,284.0,0.0,1271.0,493.0,189.0,16624.0,8496.0,1776.0,22298.0,10464.0,3392.0,,,,,,,1751.0,1020.0,348.0,2443.0,949.0,177.0,4014,2235,456,4782,2139,1194,11247,4354,1247,13828,6941,2426,Virginia,51
12,"North Dakota: Summary level: 040, state:38",651687,25896,41270,13749,339,9569,17567,760077,30792,13915,7022,30584,18791,11090,11.0,291.0,0.0,0.0,0.0,0.0,774.0,271.0,79.0,821.0,414.0,151.0,242.0,24.0,0.0,150.0,133.0,0.0,,,,,,,,,,,,,56,10,90,304,68,7,191,167,72,380,40,48,North Dakota,38
13,"South Carolina: Summary level: 040, state:45",3407706,1353599,23672,80969,4004,92980,121197,5084127,196716,94858,24029,222866,113341,44767,52619.0,19261.0,4176.0,68024.0,29631.0,10981.0,742.0,217.0,0.0,536.0,189.0,71.0,1894.0,944.0,0.0,3057.0,1091.0,431.0,,,,,,,1015.0,718.0,0.0,1587.0,410.0,41.0,1308,477,250,2451,783,26,3564,2116,138,6462,1684,853,South Carolina,45
14,"Oregon: Summary level: 040, state:41",3514983,82046,49051,190680,18758,137973,197222,4190713,197865,90858,27373,215090,105882,49293,2340.0,1011.0,187.0,2547.0,1223.0,247.0,2100.0,1285.0,228.0,1748.0,386.0,346.0,5963.0,2116.0,392.0,7976.0,2556.0,1700.0,127.0,40.0,0.0,310.0,299.0,45.0,1169.0,1711.0,182.0,2039.0,444.0,282.0,4339,1156,338,3983,1666,769,7731,4313,1120,7823,4267,1202,Oregon,41
15,"Wyoming: Summary level: 040, state:56",528453,3667,16185,5807,1111,8798,13716,577737,27966,12432,3628,28106,14643,5457,,,,,,,273.0,118.0,23.0,1098.0,111.0,36.0,,,,,,,,,,,,,,,,,,,287,52,0,102,174,0,1674,548,115,1921,517,477,Wyoming,56
16,"California: Summary level: 040, state:06",23535388,2283850,302792,5821585,155739,5453229,2004462,39557045,1064054,508899,198372,1182648,650125,324687,78902.0,34870.0,12228.0,97363.0,52347.0,21259.0,10663.0,4454.0,1339.0,12500.0,5088.0,2129.0,230201.0,115566.0,40774.0,293979.0,146566.0,77771.0,4930.0,2706.0,824.0,4889.0,3730.0,522.0,108382.0,41898.0,14243.0,125224.0,56789.0,23715.0,33095,11028,4089,39631,17230,7628,321038,131950,47041,380782,190219,79521,California,06
17,"Mississippi: Summary level: 040, state:28",1735455,1135599,13234,26142,1372,29778,44950,2986530,91602,46848,12397,101707,61947,23688,38761.0,10799.0,3125.0,48646.0,22196.0,6785.0,317.0,364.0,0.0,252.0,75.0,0.0,272.0,343.0,12.0,1106.0,330.0,166.0,,,,,,,270.0,0.0,28.0,180.0,0.0,45.0,278,209,0,965,596,70,1294,613,312,1001,521,191,Mississippi,28
18,"Connecticut: Summary level: 040, state:09",2688136,391552,9507,165855,1017,195208,121390,3572665,139494,70327,27142,156265,90653,54582,10665.0,4648.0,874.0,14935.0,8052.0,2764.0,289.0,254.0,0.0,307.0,94.0,0.0,5077.0,1083.0,519.0,5129.0,2328.0,478.0,,,,,,,3541.0,1424.0,680.0,4434.0,2464.0,283.0,1198,547,110,1726,517,264,10570,4784,1236,12528,6844,1677,Connecticut,09
19,"Texas: Summary level: 040, state:48",21099066,3527027,149997,1430857,21463,1709445,763990,28701845,825811,388407,114801,923220,486003,215714,94828.0,32136.0,9306.0,125128.0,52426.0,18947.0,5455.0,1500.0,106.0,4963.0,1631.0,690.0,42325.0,18172.0,2629.0,53716.0,21256.0,6282.0,683.0,480.0,0.0,680.0,110.0,90.0,34821.0,14546.0,3650.0,38485.0,16501.0,6617.0,11025,3810,1389,13154,5392,2714,241315,101242,24186,278520,128864,58294,Texas,48
20,"Maryland: Summary level: 040, state:24",3305047,1810885,13433,378985,7311,304042,223015,6042718,168167,81705,29679,188450,109285,51008,59198.0,23837.0,6706.0,85041.0,39409.0,14471.0,1011.0,1060.0,17.0,295.0,147.0,171.0,12631.0,6531.0,1651.0,16644.0,8521.0,3119.0,,,,,,,2811.0,1033.0,0.0,3556.0,998.0,766.0,3883,1211,282,4636,2097,645,8473,3759,475,11423,5250,2271,Maryland,24
21,"Florida: Summary level: 040, state:12",15899574,3410741,59870,593634,12841,708740,613925,21299325,948127,568578,198847,1086290,659893,308666,107889.0,45752.0,12579.0,135948.0,64400.0,25274.0,2467.0,919.0,160.0,2575.0,886.0,169.0,21186.0,11235.0,2180.0,33552.0,12462.0,4438.0,546.0,28.0,0.0,1307.0,148.0,63.0,16809.0,5541.0,1743.0,19762.0,10348.0,2853.0,12680,6516,1773,15096,6844,2255,161617,81718,33601,209172,123363,58751,Florida,12
22,"Massachusetts: Summary level: 040, state:25",5335175,537523,16198,472403,2775,303331,234744,6902149,267840,124465,47184,308874,166849,95403,14489.0,5928.0,964.0,18524.0,8320.0,3819.0,771.0,159.0,165.0,615.0,86.0,256.0,12194.0,5796.0,1295.0,14423.0,7380.0,2406.0,,,,,,,5332.0,1794.0,486.0,6245.0,3579.0,1244.0,2659,1213,56,4580,1697,451,15190,5424,694,19614,9028,2473,Massachusetts,25
23,"District of Columbia: Summary level: 040, state:11",296747,319777,1932,27538,397,30897,25167,702455,8671,4600,1517,10223,5332,2021,11253.0,4493.0,2685.0,16006.0,10069.0,4377.0,,,,,,,577.0,458.0,83.0,797.0,382.0,0.0,,,,,,,121.0,0.0,0.0,92.0,0.0,0.0,182,272,27,710,196,191,804,981,0,1606,989,256,District of Columbia,11
24,"Utah: Summary level: 040, state:49",2708195,40365,34678,75898,29362,171456,101151,3161105,94107,46387,13193,102600,53269,20518,785.0,66.0,40.0,600.0,236.0,79.0,884.0,144.0,127.0,766.0,251.0,91.0,1965.0,587.0,259.0,3172.0,914.0,240.0,479.0,131.0,180.0,578.0,438.0,0.0,2683.0,800.0,0.0,1524.0,256.0,374.0,960,205,86,1103,144,76,7212,2611,574,7722,2541,955,Utah,49
25,"New York: Summary level: 040, state:36",12375601,3069259,84312,1666113,9424,1689845,647655,19542209,618823,305627,121117,698653,413484,227493,97880.0,44596.0,11794.0,139970.0,81173.0,34048.0,3801.0,1156.0,326.0,3272.0,804.0,193.0,63250.0,28062.0,7111.0,69287.0,36429.0,12867.0,,,,,,,36948.0,15438.0,5301.0,49077.0,27605.0,9035.0,11189,6962,1213,18795,6164,2024,91635,41991,12591,121381,69273,26978,New York,36
26,"New Jersey: Summary level: 040, state:34",5956539,1207995,21131,868213,2909,604334,247399,8908520,291558,144107,57876,331818,195606,110871,35289.0,17780.0,4011.0,52658.0,28431.0,10766.0,306.0,361.0,215.0,543.0,171.0,195.0,28643.0,13789.0,3607.0,34096.0,16438.0,4166.0,,,,,,,11991.0,3376.0,939.0,16248.0,5516.0,2136.0,4398,1769,508,4723,2762,468,40407,16650,6098,50651,24001,10555,New Jersey,34
27,"Ohio: Summary level: 040, state:39",9470940,1446306,25672,271762,4228,112136,358398,11689442,478279,228468,76491,536062,301204,148292,46798.0,19554.0,5686.0,61743.0,32731.0,13739.0,490.0,474.0,55.0,956.0,453.0,41.0,6420.0,3304.0,929.0,9403.0,3477.0,1901.0,,,,,,,1732.0,452.0,29.0,2441.0,752.0,311.0,3446,2030,215,4387,2575,596,7624,2844,848,10537,3692,1645,Ohio,39
28,"Missouri: Summary level: 040, state:29",5035197,704327,27705,121417,7385,56557,173864,6126452,247844,125237,39544,279633,160457,73264,21012.0,8533.0,2735.0,29161.0,12337.0,7281.0,837.0,455.0,207.0,1186.0,475.0,104.0,2820.0,1558.0,188.0,5003.0,1765.0,246.0,245.0,28.0,0.0,341.0,0.0,0.0,1131.0,356.0,43.0,688.0,209.0,182.0,2527,872,648,4195,1364,363,4820,1586,640,6391,1655,407,Missouri,29
29,"Pennsylvania: Summary level: 040, state:42",10256084,1428406,21418,455027,5008,307572,333545,12807060,550398,271907,99640,610197,366123,188220,40841.0,19140.0,5071.0,58945.0,29999.0,14590.0,802.0,59.0,0.0,198.0,234.0,61.0,14115.0,5016.0,1493.0,16277.0,7129.0,1889.0,,,,,,,5180.0,1322.0,597.0,5689.0,2932.0,960.0,3534,985,532,4676,2492,587,15685,5682,1859,18452,8237,2307,Pennsylvania,42
30,"Michigan: Summary level: 040, state:26",7825285,1376751,53012,325828,3907,118467,292665,9995915,412088,196886,62833,448439,246783,117571,46449.0,19419.0,5220.0,63186.0,29295.0,14087.0,2411.0,470.0,170.0,1953.0,588.0,125.0,8458.0,3585.0,1004.0,10719.0,4784.0,1126.0,,,,,,,2392.0,579.0,124.0,2113.0,771.0,114.0,4846,1457,584,5925,2298,1335,10277,3983,1208,10638,5115,1670,Michigan,26
31,"Nebraska: Summary level: 040, state:31",1666990,91221,18555,45779,1289,46473,58961,1929268,78048,38061,14037,84569,46950,26652,2135.0,808.0,392.0,2131.0,1211.0,521.0,417.0,156.0,0.0,756.0,54.0,24.0,853.0,319.0,41.0,1524.0,297.0,232.0,,,,,,,335.0,171.0,32.0,498.0,261.0,0.0,508,529,0,1055,373,21,2576,1089,745,3232,981,220,Nebraska,31
32,"Idaho: Summary level: 040, state:16",1576846,12075,23026,27026,2763,59217,53255,1754208,77320,37374,10217,81214,39752,18254,594.0,312.0,0.0,0.0,0.0,69.0,764.0,642.0,321.0,1162.0,593.0,61.0,652.0,316.0,14.0,1559.0,766.0,658.0,,,,,,,2122.0,305.0,0.0,798.0,390.0,53.0,963,498,52,1249,332,4,3541,1260,176,2792,1435,314,Idaho,16
33,"New Mexico: Summary level: 040, state:35",1599938,46064,200659,34155,2465,144961,67186,2095428,86713,43019,11848,98217,47464,22626,2675.0,855.0,437.0,1425.0,1256.0,577.0,6654.0,1629.0,784.0,7554.0,4026.0,1401.0,1631.0,497.0,45.0,1470.0,720.0,20.0,,,,,,,5166.0,2601.0,1008.0,6413.0,2462.0,1523.0,1789,505,341,1422,1121,125,33209,14814,5627,39629,18731,8199,New Mexico,35
34,"Hawaii: Summary level: 040, state:15",345652,28325,3237,534479,144971,18052,345775,1420491,24692,9368,2988,22107,8409,4842,697.0,98.0,0.0,470.0,186.0,0.0,,,,,,,32818.0,17264.0,9074.0,38812.0,23945.0,18617.0,4772.0,2609.0,453.0,5566.0,3014.0,1080.0,435.0,217.0,0.0,495.0,71.0,55.0,8316,2866,1453,9720,3930,1366,2536,963,117,3069,1068,407,Hawaii,15
35,"South Dakota: Summary level: 040, state:46",740870,19057,78068,15023,51,5782,23384,882235,40022,17414,7357,39473,20997,13887,355.0,0.0,149.0,417.0,4.0,0.0,1777.0,213.0,144.0,1897.0,700.0,224.0,201.0,23.0,0.0,308.0,135.0,0.0,,,,,,,,,,,,,127,81,0,192,8,0,178,267,10,262,229,15,South Dakota,46
36,"Washington: Summary level: 040, state:53",5633263,291808,97329,661781,53924,344853,452633,7535591,293337,130657,42951,319880,155539,72724,9410.0,2103.0,875.0,7157.0,2930.0,1560.0,2764.0,2028.0,157.0,4280.0,1772.0,328.0,20141.0,9478.0,2571.0,27211.0,13635.0,5254.0,1321.0,298.0,41.0,910.0,312.0,128.0,6002.0,1223.0,98.0,4559.0,1616.0,313.0,5086,1572,242,8723,1987,814,14122,5502,885,14741,5924,1407,Washington,53
37,"Rhode Island: Summary level: 040, state:44",852805,70749,4341,36064,883,59743,32730,1057315,43734,20872,7729,49936,27672,16892,2320.0,581.0,11.0,1575.0,1107.0,338.0,,,,,,,1073.0,255.0,285.0,729.0,531.0,114.0,,,,,,,847.0,377.0,260.0,1248.0,1088.0,545.0,872,118,85,403,314,120,2694,1188,196,3589,1257,799,Rhode Island,44
