,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
20,"Mississippi: Summary level: 040, state:28",1768736,1123620,12591,23923,399,22805,32852,2984926,80038,39724,10547,89786,54810,24600,25761.0,9765.0,3605.0,33492.0,16570.0,8950.0,298.0,66.0,21.0,376.0,185.0,0.0,239.0,87.0,33.0,364.0,840.0,57.0,,,,,,,0.0,0.0,0.0,57.0,0.0,0.0,625,173,152,692,580,36,509,431,0,668,440,201,Mississippi,28
21,"Missouri: Summary level: 040, state:29",4981999,691631,28000,102180,4480,70872,142826,6021988,206556,106686,37183,231375,145116,72192,16304.0,7882.0,1950.0,21772.0,13836.0,4587.0,1214.0,205.0,0.0,786.0,309.0,238.0,1789.0,741.0,134.0,2596.0,1128.0,503.0,,,,,,,749.0,0.0,0.0,348.0,250.0,46.0,2373,1107,251,2733,1106,263,3323,1221,492,3049,940,740,Missouri,29
22,"Montana: Summary level: 040, state:30",896467,3605,65148,6442,1183,6526,25770,1005141,42919,21264,6996,42473,23938,13779,,,,,,,1486.0,369.0,171.0,1535.0,880.0,190.0,,,,,,,,,,,,,,,,,,,438,92,10,174,205,35,461,229,21,713,130,303,Montana,30
23,"Nebraska: Summary level: 040, state:31",1634952,85483,15818,36670,1227,42754,38621,1855525,59983,34468,13046,65599,47109,25756,1519.0,767.0,192.0,2127.0,928.0,411.0,433.0,40.0,10.0,201.0,21.0,34.0,884.0,248.0,52.0,610.0,484.0,0.0,,,,,,,340.0,98.0,78.0,369.0,63.0,117.0,331,131,13,327,43,79,1447,643,159,1714,988,185,Nebraska,31
24,"Nevada: Summary level: 040, state:32",1922203,227696,31415,207736,18441,236992,114448,2758931,90485,41786,10452,89806,44496,18456,6216.0,2586.0,617.0,7258.0,2610.0,1726.0,866.0,648.0,82.0,1092.0,424.0,93.0,6832.0,2825.0,491.0,9473.0,4282.0,1112.0,310.0,27.0,0.0,518.0,79.0,0.0,1868.0,722.0,149.0,3011.0,1256.0,352.0,1681,933,64,2561,966,275,9729,4129,994,11838,5752,1346,Nevada,32
25,"New Hampshire: Summary level: 040, state:33",1241905,16515,2321,29743,191,5827,24216,1320718,51654,24364,8855,55314,33947,15790,242.0,85.0,0.0,48.0,48.0,0.0,,,,,,,577.0,272.0,0.0,564.0,422.0,327.0,,,,,,,,,,,,,358,79,9,246,110,61,558,139,0,465,771,0,New Hampshire,33
26,"New Jersey: Summary level: 040, state:34",6111675,1207688,21574,775176,2606,523067,222804,8864590,244406,134990,53287,285496,192193,113219,30878.0,14379.0,2957.0,43663.0,23635.0,9399.0,593.0,500.0,0.0,499.0,329.0,166.0,22159.0,7656.0,1165.0,23787.0,10632.0,2723.0,,,,,,,6167.0,1736.0,477.0,7772.0,3415.0,688.0,3405,1420,278,3816,1599,788,28747,11785,3515,36520,18491,7335,New Jersey,34
27,"New Mexico: Summary level: 040, state:35",1499853,42843,192903,27714,1431,255095,65699,2085538,67205,33527,11551,72820,41260,18812,981.0,564.0,36.0,956.0,242.0,267.0,4126.0,1856.0,474.0,5648.0,3141.0,781.0,416.0,276.0,231.0,525.0,652.0,248.0,,,,,,,5709.0,2879.0,1644.0,7163.0,3896.0,1517.0,1514,594,51,1889,438,337,25185,12516,4231,28935,16669,6197,New Mexico,35
28,"New York: Summary level: 040, state:36",12767396,3046610,73392,1498346,7456,1644049,533012,19570261,510059,286228,110988,598092,390243,239100,78446.0,34476.0,10621.0,118075.0,66396.0,30779.0,2306.0,501.0,140.0,2691.0,1270.0,425.0,41850.0,18747.0,5391.0,48425.0,24553.0,8599.0,,,,,,,28413.0,11038.0,3153.0,34906.0,16000.0,5350.0,9107,2762,1223,11423,4742,2285,69365,30230,9597,96742,53402,18221,New York,36
29,"North Carolina: Summary level: 040, state:37",6817441,2107908,113280,227727,5568,255939,224210,9752073,297680,141927,41522,335105,193262,89262,54282.0,22508.0,6076.0,73658.0,38688.0,16870.0,3465.0,869.0,52.0,3809.0,1719.0,876.0,4072.0,1796.0,275.0,5028.0,2192.0,641.0,,,,,,,1248.0,200.0,55.0,1252.0,252.0,271.0,1585,1719,146,2850,867,570,7291,2094,444,7245,2702,941,North Carolina,37
