,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
0,0,"Alabama: Summary level: 040, state:01",761847,611459,161150,35709,44765,20.4,5.6,5.4,3.9,2.8,1.9,1.7,4736333,876016,743274,73580,93.9,14.0,17.3,16.6,7.6,10.9,27.8,9.6,17.4,87266,68480,285429,1846390,743274,2185,Alabama,1,"Alabama: Summary level: 040, state:01",3329913,1303298,20503,59393,4448,54105,87319,4858979,165653,78915,22516,187422,107301,43862,38529.0,14579.0,3447.0,49313.0,25429.0,11086.0,865.0,92.0,0.0,1107.0,211.0,35.0,1754.0,507.0,208.0,1462.0,991.0,299.0,,,,,,,462.0,0.0,0.0,159.0,202.0,83.0,1279,289,115,2019,1294,267,1619,508,42,1842,1449,54,2015,4858979,761847,35709,44765,0.18495658983437185,0.09899444888426072,0.4842702423929861,0.166,0.076,0.109,0.278,0.096,0.174,0.6853112557185368,0.2682246620123281,0.004219610745384988,0.01222334980249966,0.0009154186507083072,0.011135055327466944,0.017970647743075243,0.35057432791623516
1,1,"Alaska: Summary level: 040, state:02",71008,62370,21391,56421,73355,29.0,5.8,4.0,2.5,1.3,1.0,0.8,720765,74532,70086,3138,111.1,9.0,10.3,20.6,7.7,10.6,24.7,9.9,14.6,13630,5962,26915,250185,70086,734,Alaska,2,"Alaska: Summary level: 040, state:02",481314,26176,101133,47295,6762,12467,63285,738432,20373,6003,1993,18129,6599,2666,501.0,0.0,0.0,208.0,246.0,0.0,2331.0,975.0,179.0,3008.0,1070.0,300.0,914.0,467.0,32.0,909.0,990.0,123.0,,,,,,,55.0,85.0,0.0,220.0,0.0,0.0,631,389,0,510,473,294,430,85,11,1232,138,0,2015,738432,71008,56421,73355,0.1034067969449127,0.04477356390719973,0.5262908574135481,0.20600000000000002,0.077,0.106,0.247,0.099,0.146,0.6518054472178887,0.03544808459005027,0.13695641575663026,0.0640478744149766,0.009157241289651586,0.01688307115617958,0.08570186557462299,0.3995183641279856
2,2,"Arizona: Summary level: 040, state:04",1120004,967546,311836,42295,51492,19.3,5.0,5.3,4.2,3.0,1.9,1.9,6671705,1159043,1107887,99216,98.5,15.2,17.6,16.6,6.8,8.4,21.2,7.1,13.5,132964,125656,321127,2463008,1107887,12037,Arizona,4,"Arizona: Summary level: 040, state:04",5285994,300685,308469,217556,11284,481631,222446,6828065,275732,143619,46628,305449,163527,72607,7302.0,2708.0,1222.0,8849.0,3500.0,1062.0,6628.0,3098.0,976.0,9098.0,4149.0,2203.0,5482.0,2457.0,963.0,8882.0,4111.0,1352.0,166.0,65.0,30.0,284.0,123.0,165.0,8243.0,3331.0,1431.0,10050.0,2876.0,1337.0,3415,1156,420,3278,1181,849,38637,14700,6600,45076,20859,8942,2015,6828065,1120004,42295,51492,0.1737251572124367,0.089554259595067,0.49622166246851385,0.166,0.068,0.084,0.212,0.071,0.135,0.774156953690394,0.04403663409765431,0.045176634961735136,0.03186202826130097,0.0016525911806639217,0.07053696764749603,0.032578190160755645,0.4160511926743119
3,3,"Arkansas: Summary level: 040, state:05",478114,382438,89150,33276,41995,22.0,6.0,5.3,4.1,2.7,2.0,2.0,2887337,550508,461223,47283,96.6,14.5,17.5,18.5,8.6,11.2,28.3,9.6,17.5,54757,45702,156749,1144663,461223,3109,Arkansas,5,"Arkansas: Summary level: 040, state:05",2308047,469555,20797,42404,7639,65542,64220,2978204,113580,54178,19482,127722,70050,33687,13000.0,3950.0,1763.0,15123.0,7585.0,3691.0,776.0,233.0,36.0,652.0,266.0,270.0,1493.0,360.0,0.0,1037.0,370.0,145.0,,,,,,,1084.0,147.0,0.0,1277.0,253.0,145.0,1376,696,135,2004,994,264,2747,504,21,2801,809,477,2015,2978204,478114,33276,41995,0.19066288417320182,0.1025165700756467,0.491353001017294,0.185,0.086,0.11199999999999999,0.28300000000000003,0.096,0.175,0.7749794842797875,0.1576638134929642,0.006983067647481502,0.014238111291234583,0.002564968685825417,0.022007223145224436,0.02156333145748243,0.39162208176292684
4,4,"California: Summary level: 040, state:06",5189558,4122791,1562921,47779,64500,24.7,6.2,4.5,3.1,2.2,1.6,1.8,38398057,5891678,5094631,505959,98.7,11.8,14.7,14.0,6.5,10.0,22.8,9.7,17.0,428588,417335,1257012,12896357,5094631,61995,California,6,"California: Summary level: 040, state:06",23824254,2277229,282777,5548936,157554,5300297,1753771,39144818,996141,477746,187420,1107061,604190,334102,71369.0,34794.0,9262.0,89105.0,47637.0,19265.0,8536.0,3548.0,763.0,10769.0,3737.0,2028.0,201327.0,100549.0,34324.0,253514.0,138704.0,60075.0,3752.0,2007.0,325.0,4798.0,1683.0,524.0,80453.0,32066.0,13070.0,98394.0,47738.0,17590.0,26016,11256,3830,30664,12472,6954,271000,115946,44799,329493,167339,74128,2015,39144818,5189558,47779,64500,0.15343687832954672,0.09931219748790443,0.4967287367891294,0.14,0.065,0.1,0.228,0.09699999999999999,0.17,0.6086183361486059,0.05817446896802535,0.007223868048128363,0.14175403753314167,0.0040249005628280096,0.13540226448364123,0.04480212425562944,0.320124950911041
5,5,"Colorado: Summary level: 040, state:08",711572,636794,258028,46946,63909,26.7,6.5,4.8,3.2,2.1,1.5,1.5,5339618,613549,696097,48978,100.9,11.8,14.3,15.8,6.1,7.6,18.9,6.3,12.2,91865,71847,173729,2074735,696097,5031,Colorado,8,"Colorado: Summary level: 040, state:08",4607390,224809,49138,162880,9136,209890,193331,5456574,191418,76235,29979,206937,100853,47013,5590.0,2667.0,410.0,6275.0,2365.0,1430.0,1568.0,641.0,101.0,1940.0,631.0,297.0,3960.0,1614.0,452.0,5549.0,2123.0,1041.0,107.0,188.0,0.0,396.0,68.0,0.0,3754.0,1422.0,434.0,4829.0,1743.0,870.0,2149,693,238,2300,729,563,21898,8505,2708,24286,10658,4832,2015,5456574,711572,46946,63909,0.11490503627787606,0.07036088361248505,0.5022399203583873,0.158,0.061,0.076,0.18899999999999997,0.063,0.122,0.8443741439225418,0.041199661179340735,0.009005284268114021,0.029850232032040618,0.0016743106571999206,0.03846552800346884,0.035430839937293984,0.4182739062245282
6,6,"Connecticut: Summary level: 040, state:09",565283,476598,176984,49209,71346,30.0,7.9,5.0,3.8,2.6,1.9,2.5,3480932,366909,543412,39372,95.3,13.9,17.5,12.3,4.6,8.1,19.3,8.0,13.7,48793,55578,169838,1343703,543412,3610,Connecticut,9,"Connecticut: Summary level: 040, state:09",2747943,380571,8893,156249,519,180107,116604,3590886,128407,61566,27446,145484,84159,54709,9549.0,3873.0,1478.0,14081.0,6056.0,3370.0,355.0,105.0,13.0,157.0,288.0,42.0,4010.0,1347.0,243.0,4346.0,1671.0,545.0,,,,,,,2983.0,994.0,281.0,2906.0,895.0,464.0,568,297,274,1414,586,278,8571,3202,1238,10916,5130,1409,2015,3590886,565283,49209,71346,0.1054053914296516,0.0724533135079829,0.48796722990271374,0.12300000000000001,0.046,0.081,0.193,0.08,0.13699999999999998,0.7652548702465074,0.10598247897594075,0.002476547570710961,0.04351265954976014,0.0001445325749689631,0.05015670227347791,0.03247220880863386,0.38461973913951064
7,7,"Delaware: Summary level: 040, state:10",160824,138905,42148,47173,61255,22.8,7.1,5.9,4.3,2.9,1.9,2.1,920355,114360,156750,9766,93.9,15.7,18.2,12.8,4.8,6.1,20.6,6.1,12.1,20782,15481,45905,352595,156750,2056,Delaware,10,"Delaware: Summary level: 040, state:10",654904,203863,3121,36114,334,19157,28441,945934,36643,16668,6291,41316,20531,10797,6244.0,2145.0,808.0,7925.0,4081.0,1153.0,,,,,,,973.0,576.0,193.0,1321.0,727.0,121.0,,,,,,,416.0,81.0,113.0,113.0,112.0,21.0,303,283,0,423,54,10,1507,316,379,1345,375,179,2015,945934,160824,47173,61255,0.12425640106263344,0.062303030303030305,0.4842702423929861,0.128,0.048,0.061,0.20600000000000002,0.061,0.121,0.6923358289267538,0.2155150359327395,0.0032993845236559843,0.038178139278216026,0.00035309017331018865,0.020251941467375103,0.03006657969794933,0.37060388996667165
8,8,"District of Columbia: Summary level: 040, state:11",76591,61918,30958,48571,75628,32.2,8.2,3.7,2.8,1.8,1.3,1.7,638027,110500,73677,11167,90.7,9.6,13.0,9.2,7.5,7.6,23.5,9.6,16.3,4739,6157,43203,281787,73677,560,District of Columbia,11,"District of Columbia: Summary level: 040, state:11",269143,318831,1661,25944,475,34797,21377,672228,7536,2965,1585,9086,4051,2006,10236.0,4487.0,2303.0,14506.0,8424.0,5244.0,,,,,,,330.0,292.0,0.0,843.0,142.0,94.0,,,,,,,724.0,0.0,14.0,166.0,118.0,217.0,93,89,117,502,251,72,881,140,107,1289,454,600,2015,672228,76591,48571,75628,0.17319016279875304,0.15156697476824518,0.47561615102254856,0.092,0.075,0.076,0.235,0.096,0.163,0.4003745752929066,0.47428997304485976,0.002470887853525887,0.03859404844784805,0.000706605496944489,0.051763687320373446,0.03180022254354178,0.15779921922941337
9,9,"Florida: Summary level: 040, state:12",3945233,3326242,1056556,39896,49426,21.0,5.5,6.0,4.8,3.5,2.5,2.6,19850054,3116886,3878581,399156,95.3,17.9,20.9,13.7,6.1,8.7,21.3,7.5,13.6,387568,405305,1112925,7463184,3878581,52502,Florida,12,"Florida: Summary level: 040, state:12",15357374,3280778,47032,544068,11898,528266,501856,20271272,884979,502525,182127,1002937,586017,303079,89629.0,39158.0,11150.0,115791.0,60628.0,23414.0,2080.0,915.0,52.0,2687.0,541.0,380.0,17712.0,7607.0,2191.0,24871.0,11118.0,3617.0,153.0,0.0,36.0,509.0,722.0,0.0,10746.0,3571.0,1250.0,13204.0,5880.0,1896.0,10124,4218,1128,9700,5781,1110,138496,72473,25744,178245,110147,45108,2015,20271272,3945233,39896,49426,0.15702153757365092,0.10291289520574663,0.48796722990271374,0.13699999999999998,0.061,0.087,0.213,0.075,0.136,0.7575930114301658,0.1618437165659856,0.0023201306755688544,0.026839361634533838,0.0005869389942574891,0.026059834824376092,0.024757005875112325,0.39785508232340144
