County,state,value,range,year
Union,OR,3.3,3.3 - 8.7 (576),2013-2015
Shelby,IA,3.4,3.3 - 8.7 (576),2013-2015
Allamakee,IA,3.5,3.3 - 8.7 (576),2013-2015
Red Willow,NE,3.5,3.3 - 8.7 (576),2013-2015
Cherokee,IA,3.7,3.3 - 8.7 (576),2013-2015
Minidoka,ID,3.7,3.3 - 8.7 (576),2013-2015
Union,IA,3.7,3.3 - 8.7 (576),2013-2015
Montezuma,CO,3.7,3.3 - 8.7 (576),2013-2015
Cassia,ID,3.8,3.3 - 8.7 (576),2013-2015
Park,MT,3.8,3.3 - 8.7 (576),2013-2015
Latah,ID,3.9,3.3 - 8.7 (576),2013-2015
Kossuth,IA,3.9,3.3 - 8.7 (576),2013-2015
Inyo,CA,4.0,3.3 - 8.7 (576),2013-2015
Deer Lodge,MT,4.1,3.3 - 8.7 (576),2013-2015
Transylvania,NC,4.2,3.3 - 8.7 (576),2013-2015
Siskiyou,CA,4.2,3.3 - 8.7 (576),2013-2015
Lincoln,WY,4.2,3.3 - 8.7 (576),2013-2015
Iowa,WI,4.2,3.3 - 8.7 (576),2013-2015
Caledonia,VT,4.2,3.3 - 8.7 (576),2013-2015
Orleans,VT,4.3,3.3 - 8.7 (576),2013-2015
Crawford,WI,4.3,3.3 - 8.7 (576),2013-2015
Hood River,OR,4.3,3.3 - 8.7 (576),2013-2015
Box Butte,NE,4.3,3.3 - 8.7 (576),2013-2015
Winneshiek,IA,4.4,3.3 - 8.7 (576),2013-2015
Hamilton,IA,4.5,3.3 - 8.7 (576),2013-2015
Hardin,IA,4.5,3.3 - 8.7 (576),2013-2015
Burt,NE,4.5,3.3 - 8.7 (576),2013-2015
Carbon,WY,4.5,3.3 - 8.7 (576),2013-2015
Platte,WY,4.6,3.3 - 8.7 (576),2013-2015
Langlade,WI,4.6,3.3 - 8.7 (576),2013-2015
Millard,UT,4.6,3.3 - 8.7 (576),2013-2015
Meade,SD,4.6,3.3 - 8.7 (576),2013-2015
Colfax,NM,4.6,3.3 - 8.7 (576),2013-2015
Marion,IA,4.6,3.3 - 8.7 (576),2013-2015
Bonner,ID,4.6,3.3 - 8.7 (576),2013-2015
Clearwater,ID,4.6,3.3 - 8.7 (576),2013-2015
Yuma,CO,4.7,3.3 - 8.7 (576),2013-2015
Archuleta,CO,4.7,3.3 - 8.7 (576),2013-2015
Lake,MT,4.7,3.3 - 8.7 (576),2013-2015
Redwood,MN,4.7,3.3 - 8.7 (576),2013-2015
Addison,VT,4.7,3.3 - 8.7 (576),2013-2015
Whitman,WA,4.7,3.3 - 8.7 (576),2013-2015
Fajardo,PR,4.7,3.3 - 8.7 (576),2013-2015
Park,WY,4.8,3.3 - 8.7 (576),2013-2015
Lyon,MN,4.8,3.3 - 8.7 (576),2013-2015
Brown,MN,4.8,3.3 - 8.7 (576),2013-2015
Oxford,ME,4.8,3.3 - 8.7 (576),2013-2015
Lake,OR,4.8,3.3 - 8.7 (576),2013-2015
Eagle,CO,4.8,3.3 - 8.7 (576),2013-2015
Page,IA,4.8,3.3 - 8.7 (576),2013-2015
Mahaska,IA,4.8,3.3 - 8.7 (576),2013-2015
Howard,IA,4.8,3.3 - 8.7 (576),2013-2015
Blaine,ID,4.8,3.3 - 8.7 (576),2013-2015
Lucas,IA,4.9,3.3 - 8.7 (576),2013-2015
Trujillo Alto,PR,4.9,3.3 - 8.7 (576),2013-2015
Roberts,SD,5.0,3.3 - 8.7 (576),2013-2015
Keith,NE,5.0,3.3 - 8.7 (576),2013-2015
Todd,MN,5.0,3.3 - 8.7 (576),2013-2015
Dawson,MT,5.0,3.3 - 8.7 (576),2013-2015
Mitchell,IA,5.1,3.3 - 8.7 (576),2013-2015
Pitkin,CO,5.1,3.3 - 8.7 (576),2013-2015
Goshen,WY,5.1,3.3 - 8.7 (576),2013-2015
Taylor,WI,5.1,3.3 - 8.7 (576),2013-2015
Ashland,WI,5.2,3.3 - 8.7 (576),2013-2015
Boone,IA,5.2,3.3 - 8.7 (576),2013-2015
Calhoun,IA,5.2,3.3 - 8.7 (576),2013-2015
Fayette,IA,5.2,3.3 - 8.7 (576),2013-2015
Sac,IA,5.2,3.3 - 8.7 (576),2013-2015
Wilson,KS,5.2,3.3 - 8.7 (576),2013-2015
Nicollet,MN,5.2,3.3 - 8.7 (576),2013-2015
York,NE,5.2,3.3 - 8.7 (576),2013-2015
Crook,OR,5.2,3.3 - 8.7 (576),2013-2015
Tillamook,OR,5.2,3.3 - 8.7 (576),2013-2015
Chaffee,CO,5.3,3.3 - 8.7 (576),2013-2015
Bayfield,WI,5.3,3.3 - 8.7 (576),2013-2015
Richland,WI,5.4,3.3 - 8.7 (576),2013-2015
San Juan,UT,5.4,3.3 - 8.7 (576),2013-2015
Allen,KS,5.4,3.3 - 8.7 (576),2013-2015
Clatsop,OR,5.4,3.3 - 8.7 (576),2013-2015
Fergus,MT,5.4,3.3 - 8.7 (576),2013-2015
Lincoln,MT,5.5,3.3 - 8.7 (576),2013-2015
Ravalli,MT,5.5,3.3 - 8.7 (576),2013-2015
Coos,NH,5.5,3.3 - 8.7 (576),2013-2015
Lincoln,NM,5.5,3.3 - 8.7 (576),2013-2015
Neosho,KS,5.5,3.3 - 8.7 (576),2013-2015
Adams,IN,5.5,3.3 - 8.7 (576),2013-2015
Custer,SD,5.5,3.3 - 8.7 (576),2013-2015
Lexington,VA,5.6,3.3 - 8.7 (576),2013-2015
Davis,IA,5.6,3.3 - 8.7 (576),2013-2015
Cloud,KS,5.6,3.3 - 8.7 (576),2013-2015
Rio Grande,CO,5.6,3.3 - 8.7 (576),2013-2015
Madison,MT,5.6,3.3 - 8.7 (576),2013-2015
Pipestone,MN,5.6,3.3 - 8.7 (576),2013-2015
Somerset,ME,5.7,3.3 - 8.7 (576),2013-2015
Macon,NC,5.7,3.3 - 8.7 (576),2013-2015
Ellsworth,KS,5.7,3.3 - 8.7 (576),2013-2015
Franklin,ID,5.7,3.3 - 8.7 (576),2013-2015
Sioux,IA,5.8,3.3 - 8.7 (576),2013-2015
Plymouth,IA,5.8,3.3 - 8.7 (576),2013-2015
Grand,CO,5.8,3.3 - 8.7 (576),2013-2015
Baker,OR,5.8,3.3 - 8.7 (576),2013-2015
Dawson,NE,5.8,3.3 - 8.7 (576),2013-2015
Jefferson,NE,5.8,3.3 - 8.7 (576),2013-2015
Okanogan,WA,5.8,3.3 - 8.7 (576),2013-2015
Sawyer,WI,5.8,3.3 - 8.7 (576),2013-2015
Polk,WI,5.8,3.3 - 8.7 (576),2013-2015
Comanche,TX,5.8,3.3 - 8.7 (576),2013-2015
Wasatch,UT,5.8,3.3 - 8.7 (576),2013-2015
Blanco,TX,5.9,3.3 - 8.7 (576),2013-2015
Stark,ND,5.9,3.3 - 8.7 (576),2013-2015
Ashe,NC,5.9,3.3 - 8.7 (576),2013-2015
Alamosa,CO,5.9,3.3 - 8.7 (576),2013-2015
Madison,ID,5.9,3.3 - 8.7 (576),2013-2015
Greene,IA,5.9,3.3 - 8.7 (576),2013-2015
Monona,IA,5.9,3.3 - 8.7 (576),2013-2015
Monroe,IA,5.9,3.3 - 8.7 (576),2013-2015
Lemhi,ID,6.0,3.3 - 8.7 (576),2013-2015
Summit,CO,6.0,3.3 - 8.7 (576),2013-2015
Barnes,ND,6.0,3.3 - 8.7 (576),2013-2015
Beadle,SD,6.0,3.3 - 8.7 (576),2013-2015
Monroe,WI,6.0,3.3 - 8.7 (576),2013-2015
San Juan,PR,6.1,3.3 - 8.7 (576),2013-2015
Alleghany,NC,6.1,3.3 - 8.7 (576),2013-2015
Grafton,NH,6.1,3.3 - 8.7 (576),2013-2015
Lincoln,OR,6.1,3.3 - 8.7 (576),2013-2015
Wallowa,OR,6.1,3.3 - 8.7 (576),2013-2015
Custer,NE,6.1,3.3 - 8.7 (576),2013-2015
Yellow Medicine,MN,6.1,3.3 - 8.7 (576),2013-2015
Carlton,MN,6.1,3.3 - 8.7 (576),2013-2015
Plumas,CA,6.1,3.3 - 8.7 (576),2013-2015
Montgomery,IA,6.1,3.3 - 8.7 (576),2013-2015
Madison,IA,6.1,3.3 - 8.7 (576),2013-2015
Clayton,IA,6.1,3.3 - 8.7 (576),2013-2015
Audubon,IA,6.2,3.3 - 8.7 (576),2013-2015
Hancock,IA,6.2,3.3 - 8.7 (576),2013-2015
Lewis,ID,6.2,3.3 - 8.7 (576),2013-2015
Marshall,KS,6.2,3.3 - 8.7 (576),2013-2015
Montrose,CO,6.2,3.3 - 8.7 (576),2013-2015
Watonwan,MN,6.2,3.3 - 8.7 (576),2013-2015
Cheyenne,NE,6.2,3.3 - 8.7 (576),2013-2015
Toa Alta,PR,6.2,3.3 - 8.7 (576),2013-2015
Rusk,WI,6.2,3.3 - 8.7 (576),2013-2015
Rusk,WI,6.2,3.3 - 8.7 (576),2013-2015
Dunn,WI,6.2,3.3 - 8.7 (576),2013-2015
Grant,WI,6.2,3.3 - 8.7 (576),2013-2015
Klickitat,WA,6.2,3.3 - 8.7 (576),2013-2015
Jefferson,WA,6.3,3.3 - 8.7 (576),2013-2015
Sevier,UT,6.3,3.3 - 8.7 (576),2013-2015
Windsor,VT,6.3,3.3 - 8.7 (576),2013-2015
Richland,MT,6.3,3.3 - 8.7 (576),2013-2015
Nodaway,MO,6.3,3.3 - 8.7 (576),2013-2015
