County,state,value,range,year
Park,MT,3.0,3.0 - 8.8 (581),2012-2014
Union,OR,3.4,3.0 - 8.8 (581),2012-2014
Minidoka,ID,3.4,3.0 - 8.8 (581),2012-2014
Kossuth,IA,3.6,3.0 - 8.8 (581),2012-2014
Emmet,IA,3.7,3.0 - 8.8 (581),2012-2014
Winneshiek,IA,3.7,3.0 - 8.8 (581),2012-2014
Shelby,IA,3.7,3.0 - 8.8 (581),2012-2014
Montezuma,CO,3.7,3.0 - 8.8 (581),2012-2014
Mitchell,IA,3.9,3.0 - 8.8 (581),2012-2014
Ashland,WI,3.9,3.0 - 8.8 (581),2012-2014
Iowa,WI,4.0,3.0 - 8.8 (581),2012-2014
Orleans,VT,4.0,3.0 - 8.8 (581),2012-2014
Caledonia,VT,4.0,3.0 - 8.8 (581),2012-2014
Jackson,WI,4.1,3.0 - 8.8 (581),2012-2014
Cherokee,IA,4.2,3.0 - 8.8 (581),2012-2014
Cassia,ID,4.2,3.0 - 8.8 (581),2012-2014
Chaffee,CO,4.2,3.0 - 8.8 (581),2012-2014
Archuleta,CO,4.2,3.0 - 8.8 (581),2012-2014
Hardin,IA,4.3,3.0 - 8.8 (581),2012-2014
Latah,ID,4.3,3.0 - 8.8 (581),2012-2014
Union,IA,4.3,3.0 - 8.8 (581),2012-2014
Whitman,WA,4.3,3.0 - 8.8 (581),2012-2014
Hood River,OR,4.4,3.0 - 8.8 (581),2012-2014
Baker,OR,4.4,3.0 - 8.8 (581),2012-2014
Lyon,MN,4.4,3.0 - 8.8 (581),2012-2014
Carlton,MN,4.5,3.0 - 8.8 (581),2012-2014
Lake,MT,4.5,3.0 - 8.8 (581),2012-2014
Neosho,KS,4.5,3.0 - 8.8 (581),2012-2014
Greene,IA,4.5,3.0 - 8.8 (581),2012-2014
Carbon,WY,4.5,3.0 - 8.8 (581),2012-2014
Trujillo Alto,PR,4.5,3.0 - 8.8 (581),2012-2014
Park,WY,4.6,3.0 - 8.8 (581),2012-2014
Sawyer,WI,4.6,3.0 - 8.8 (581),2012-2014
Clayton,IA,4.6,3.0 - 8.8 (581),2012-2014
Allen,KS,4.6,3.0 - 8.8 (581),2012-2014
Las Animas,CO,4.6,3.0 - 8.8 (581),2012-2014
Inyo,CA,4.7,3.0 - 8.8 (581),2012-2014
Clearwater,ID,4.7,3.0 - 8.8 (581),2012-2014
Boone,IA,4.7,3.0 - 8.8 (581),2012-2014
York,NE,4.7,3.0 - 8.8 (581),2012-2014
Platte,WY,4.7,3.0 - 8.8 (581),2012-2014
Goshen,WY,4.8,3.0 - 8.8 (581),2012-2014
Converse,WY,4.8,3.0 - 8.8 (581),2012-2014
Lexington,VA,4.8,3.0 - 8.8 (581),2012-2014
Wallowa,OR,4.8,3.0 - 8.8 (581),2012-2014
Buena Vista,IA,4.8,3.0 - 8.8 (581),2012-2014
Siskiyou,CA,4.8,3.0 - 8.8 (581),2012-2014
Bonner,ID,4.9,3.0 - 8.8 (581),2012-2014
Wilson,KS,4.9,3.0 - 8.8 (581),2012-2014
Lincoln,NM,4.9,3.0 - 8.8 (581),2012-2014
Addison,VT,4.9,3.0 - 8.8 (581),2012-2014
Charles Mix,SD,4.9,3.0 - 8.8 (581),2012-2014
Oxford,ME,5.0,3.0 - 8.8 (581),2012-2014
Sac,IA,5.0,3.0 - 8.8 (581),2012-2014
Monona,IA,5.0,3.0 - 8.8 (581),2012-2014
Marion,IA,5.1,3.0 - 8.8 (581),2012-2014
Washington,ID,5.1,3.0 - 8.8 (581),2012-2014
Marshall,KS,5.1,3.0 - 8.8 (581),2012-2014
Fergus,MT,5.1,3.0 - 8.8 (581),2012-2014
Transylvania,NC,5.1,3.0 - 8.8 (581),2012-2014
Langlade,WI,5.1,3.0 - 8.8 (581),2012-2014
Crawford,WI,5.1,3.0 - 8.8 (581),2012-2014
Bayfield,WI,5.2,3.0 - 8.8 (581),2012-2014
Beadle,SD,5.2,3.0 - 8.8 (581),2012-2014
Dawson,NE,5.2,3.0 - 8.8 (581),2012-2014
Custer,NE,5.2,3.0 - 8.8 (581),2012-2014
Burt,NE,5.2,3.0 - 8.8 (581),2012-2014
Coos,NH,5.3,3.0 - 8.8 (581),2012-2014
Crook,OR,5.3,3.0 - 8.8 (581),2012-2014
Mitchell,KS,5.3,3.0 - 8.8 (581),2012-2014
Mahaska,IA,5.3,3.0 - 8.8 (581),2012-2014
Allamakee,IA,5.4,3.0 - 8.8 (581),2012-2014
Lemhi,ID,5.4,3.0 - 8.8 (581),2012-2014
Summit,CO,5.4,3.0 - 8.8 (581),2012-2014
Brown,MN,5.4,3.0 - 8.8 (581),2012-2014
Wasatch,UT,5.4,3.0 - 8.8 (581),2012-2014
Millard,UT,5.5,3.0 - 8.8 (581),2012-2014
Monroe,WI,5.5,3.0 - 8.8 (581),2012-2014
Keith,NE,5.5,3.0 - 8.8 (581),2012-2014
Ravalli,MT,5.5,3.0 - 8.8 (581),2012-2014
Clatsop,OR,5.5,3.0 - 8.8 (581),2012-2014
Garfield,CO,5.5,3.0 - 8.8 (581),2012-2014
Montgomery,IA,5.5,3.0 - 8.8 (581),2012-2014
Lucas,IA,5.6,3.0 - 8.8 (581),2012-2014
Hamilton,IA,5.6,3.0 - 8.8 (581),2012-2014
Lewis,ID,5.6,3.0 - 8.8 (581),2012-2014
Decatur,IN,5.6,3.0 - 8.8 (581),2012-2014
Page,IA,5.6,3.0 - 8.8 (581),2012-2014
Pocahontas,IA,5.6,3.0 - 8.8 (581),2012-2014
Eagle,CO,5.6,3.0 - 8.8 (581),2012-2014
Bingham,ID,5.6,3.0 - 8.8 (581),2012-2014
Cottonwood,MN,5.6,3.0 - 8.8 (581),2012-2014
Swift,MN,5.6,3.0 - 8.8 (581),2012-2014
Waupaca,WI,5.6,3.0 - 8.8 (581),2012-2014
Big Horn,WY,5.7,3.0 - 8.8 (581),2012-2014
Jefferson,NE,5.7,3.0 - 8.8 (581),2012-2014
Cheyenne,NE,5.7,3.0 - 8.8 (581),2012-2014
Grundy,MO,5.7,3.0 - 8.8 (581),2012-2014
Redwood,MN,5.8,3.0 - 8.8 (581),2012-2014
Baraga,MI,5.8,3.0 - 8.8 (581),2012-2014
Wyandot,OH,5.8,3.0 - 8.8 (581),2012-2014
Stark,ND,5.8,3.0 - 8.8 (581),2012-2014
Carroll,NH,5.8,3.0 - 8.8 (581),2012-2014
Gem,ID,5.8,3.0 - 8.8 (581),2012-2014
Kit Carson,CO,5.8,3.0 - 8.8 (581),2012-2014
Wright,IA,5.8,3.0 - 8.8 (581),2012-2014
Madison,ID,5.8,3.0 - 8.8 (581),2012-2014
Lincoln,WY,5.8,3.0 - 8.8 (581),2012-2014
Dunn,WI,5.8,3.0 - 8.8 (581),2012-2014
Okanogan,WA,5.8,3.0 - 8.8 (581),2012-2014
Meade,SD,5.8,3.0 - 8.8 (581),2012-2014
Kittitas,WA,5.9,3.0 - 8.8 (581),2012-2014
Grant,WI,5.9,3.0 - 8.8 (581),2012-2014
Pierce,WI,5.9,3.0 - 8.8 (581),2012-2014
Pierce,WI,5.9,3.0 - 8.8 (581),2012-2014
Howard,IA,5.9,3.0 - 8.8 (581),2012-2014
Madison,IA,5.9,3.0 - 8.8 (581),2012-2014
Cass,IA,5.9,3.0 - 8.8 (581),2012-2014
Taylor,IA,5.9,3.0 - 8.8 (581),2012-2014
Sioux,IA,5.9,3.0 - 8.8 (581),2012-2014
Morrow,OR,5.9,3.0 - 8.8 (581),2012-2014
Potter,PA,5.9,3.0 - 8.8 (581),2012-2014
Nicollet,MN,5.9,3.0 - 8.8 (581),2012-2014
Furnas,NE,5.9,3.0 - 8.8 (581),2012-2014
Koochiching,MN,6.0,3.0 - 8.8 (581),2012-2014
Pipestone,MN,6.0,3.0 - 8.8 (581),2012-2014
Wadena,MN,6.0,3.0 - 8.8 (581),2012-2014
Piscataquis,ME,6.0,3.0 - 8.8 (581),2012-2014
Tillamook,OR,6.0,3.0 - 8.8 (581),2012-2014
Delaware,IA,6.0,3.0 - 8.8 (581),2012-2014
Plumas,CA,6.0,3.0 - 8.8 (581),2012-2014
Polk,WI,6.0,3.0 - 8.8 (581),2012-2014
Burnett,WI,6.1,3.0 - 8.8 (581),2012-2014
Taylor,WI,6.1,3.0 - 8.8 (581),2012-2014
Vernon,WI,6.1,3.0 - 8.8 (581),2012-2014
Gooding,ID,6.1,3.0 - 8.8 (581),2012-2014
Montrose,CO,6.1,3.0 - 8.8 (581),2012-2014
Fremont,IA,6.1,3.0 - 8.8 (581),2012-2014
Franklin,ID,6.1,3.0 - 8.8 (581),2012-2014
Clay,KS,6.1,3.0 - 8.8 (581),2012-2014
Plymouth,IA,6.2,3.0 - 8.8 (581),2012-2014
Humboldt,IA,6.2,3.0 - 8.8 (581),2012-2014
Ida,IA,6.2,3.0 - 8.8 (581),2012-2014
Elmore,ID,6.2,3.0 - 8.8 (581),2012-2014
Benewah,ID,6.2,3.0 - 8.8 (581),2012-2014
Ketchikan Gateway,AK,6.2,3.0 - 8.8 (581),2012-2014
Santa Cruz,AZ,6.2,3.0 - 8.8 (581),2012-2014
Lincoln,OR,6.2,3.0 - 8.8 (581),2012-2014
Grafton,NH,6.2,3.0 - 8.8 (581),2012-2014
White Pine,NV,6.2,3.0 - 8.8 (581),2012-2014
Colfax,NM,6.2,3.0 - 8.8 (581),2012-2014
Los Alamos,NM,6.2,3.0 - 8.8 (581),2012-2014
Gage,NE,6.2,3.0 - 8.8 (581),2012-2014
Richland,WI,6.2,3.0 - 8.8 (581),2012-2014
Island,WA,6.2,3.0 - 8.8 (581),2012-2014
Roberts,SD,6.2,3.0 - 8.8 (581),2012-2014
Grant,SD,6.2,3.0 - 8.8 (581),2012-2014
Windsor,VT,6.2,3.0 - 8.8 (581),2012-2014
Giles,VA,6.2,3.0 - 8.8 (581),2012-2014
Duchesne,UT,6.3,3.0 - 8.8 (581),2012-2014
Butte,SD,6.3,3.0 - 8.8 (581),2012-2014
Custer,SD,6.3,3.0 - 8.8 (581),2012-2014
Jefferson,WA,6.3,3.0 - 8.8 (581),2012-2014
Salinas,PR,6.3,3.0 - 8.8 (581),2012-2014
Pierce,NE,6.3,3.0 - 8.8 (581),2012-2014
Somerset,ME,6.3,3.0 - 8.8 (581),2012-2014
Waldo,ME,6.3,3.0 - 8.8 (581),2012-2014
Barnes,ND,6.3,3.0 - 8.8 (581),2012-2014
Idaho,ID,6.3,3.0 - 8.8 (581),2012-2014
Henry,IA,6.3,3.0 - 8.8 (581),2012-2014
Fayette,IA,6.3,3.0 - 8.8 (581),2012-2014
Fremont,ID,6.3,3.0 - 8.8 (581),2012-2014
Adams,IN,6.3,3.0 - 8.8 (581),2012-2014
Wayne,IA,6.3,3.0 - 8.8 (581),2012-2014
Cloud,KS,6.4,3.0 - 8.8 (581),2012-2014
Carroll,IA,6.4,3.0 - 8.8 (581),2012-2014
Guthrie,IA,6.4,3.0 - 8.8 (581),2012-2014
Prowers,CO,6.4,3.0 - 8.8 (581),2012-2014
Huerfano,CO,6.4,3.0 - 8.8 (581),2012-2014
Macon,NC,6.4,3.0 - 8.8 (581),2012-2014
Seward,NE,6.4,3.0 - 8.8 (581),2012-2014
Walsh,ND,6.4,3.0 - 8.8 (581),2012-2014
Pennington,MN,6.4,3.0 - 8.8 (581),2012-2014
Juncos,PR,6.4,3.0 - 8.8 (581),2012-2014
Rusk,WI,6.4,3.0 - 8.8 (581),2012-2014
Washburn,WI,6.4,3.0 - 8.8 (581),2012-2014
Green Lake,WI,6.4,3.0 - 8.8 (581),2012-2014
Bon Homme,SD,6.4,3.0 - 8.8 (581),2012-2014
Lamoille,VT,6.4,3.0 - 8.8 (581),2012-2014
Fall River,SD,6.5,3.0 - 8.8 (581),2012-2014
Lawrence,SD,6.5,3.0 - 8.8 (581),2012-2014
Buffalo,WI,6.5,3.0 - 8.8 (581),2012-2014
Cayey,PR,6.5,3.0 - 8.8 (581),2012-2014
San Juan,PR,6.5,3.0 - 8.8 (581),2012-2014
Yellow Medicine,MN,6.5,3.0 - 8.8 (581),2012-2014
Santa Fe,NM,6.5,3.0 - 8.8 (581),2012-2014
Calhoun,IA,6.5,3.0 - 8.8 (581),2012-2014
Adair,IA,6.5,3.0 - 8.8 (581),2012-2014
Grand,CO,6.6,3.0 - 8.8 (581),2012-2014
Dare,NC,6.6,3.0 - 8.8 (581),2012-2014
Alleghany,NC,6.6,3.0 - 8.8 (581),2012-2014
Ashe,NC,6.6,3.0 - 8.8 (581),2012-2014
Todd,MN,6.6,3.0 - 8.8 (581),2012-2014
Brewster,TX,6.6,3.0 - 8.8 (581),2012-2014
Orange,VT,6.6,3.0 - 8.8 (581),2012-2014
Juab,UT,6.6,3.0 - 8.8 (581),2012-2014
Cabo Rojo,PR,6.7,3.0 - 8.8 (581),2012-2014
Pepin,WI,6.7,3.0 - 8.8 (581),2012-2014
Aitkin,MN,6.7,3.0 - 8.8 (581),2012-2014
Ramsey,ND,6.7,3.0 - 8.8 (581),2012-2014
Umatilla,OR,6.7,3.0 - 8.8 (581),2012-2014
Modoc,CA,6.7,3.0 - 8.8 (581),2012-2014
Crawford,IA,6.7,3.0 - 8.8 (581),2012-2014
Crawford,IA,6.7,3.0 - 8.8 (581),2012-2014
Washington,IA,6.7,3.0 - 8.8 (581),2012-2014
Nemaha,KS,6.7,3.0 - 8.8 (581),2012-2014
Cibola,NM,6.8,3.0 - 8.8 (581),2012-2014
Fillmore,MN,6.8,3.0 - 8.8 (581),2012-2014
Colfax,NE,6.8,3.0 - 8.8 (581),2012-2014
