County,state,value,range,year
Baker,OR,3.1,3.1 - 8.9 (585),2011-2013
Minidoka,ID,3.1,3.1 - 8.9 (585),2011-2013
Blaine,ID,3.3,3.1 - 8.9 (585),2011-2013
Union,IA,3.4,3.1 - 8.9 (585),2011-2013
Winneshiek,IA,3.5,3.1 - 8.9 (585),2011-2013
Park,MT,3.5,3.1 - 8.9 (585),2011-2013
Cassia,ID,3.7,3.1 - 8.9 (585),2011-2013
Ashland,WI,3.7,3.1 - 8.9 (585),2011-2013
Chaffee,CO,3.8,3.1 - 8.9 (585),2011-2013
Union,OR,3.8,3.1 - 8.9 (585),2011-2013
Coos,NH,3.9,3.1 - 8.9 (585),2011-2013
Montgomery,IA,3.9,3.1 - 8.9 (585),2011-2013
Sawyer,WI,3.9,3.1 - 8.9 (585),2011-2013
Emmet,IA,4.0,3.1 - 8.9 (585),2011-2013
Wright,IA,4.0,3.1 - 8.9 (585),2011-2013
Allen,KS,4.0,3.1 - 8.9 (585),2011-2013
Red Willow,NE,4.1,3.1 - 8.9 (585),2011-2013
Carlton,MN,4.1,3.1 - 8.9 (585),2011-2013
Whitman,WA,4.1,3.1 - 8.9 (585),2011-2013
Trujillo Alto,PR,4.2,3.1 - 8.9 (585),2011-2013
Lexington,VA,4.3,3.1 - 8.9 (585),2011-2013
Park,WY,4.3,3.1 - 8.9 (585),2011-2013
Caledonia,VT,4.3,3.1 - 8.9 (585),2011-2013
Orleans,VT,4.3,3.1 - 8.9 (585),2011-2013
Latah,ID,4.3,3.1 - 8.9 (585),2011-2013
Lemhi,ID,4.4,3.1 - 8.9 (585),2011-2013
Iowa,WI,4.4,3.1 - 8.9 (585),2011-2013
Carbon,WY,4.5,3.1 - 8.9 (585),2011-2013
Big Horn,WY,4.5,3.1 - 8.9 (585),2011-2013
Allamakee,IA,4.5,3.1 - 8.9 (585),2011-2013
Montezuma,CO,4.5,3.1 - 8.9 (585),2011-2013
Clayton,IA,4.6,3.1 - 8.9 (585),2011-2013
Cass,IA,4.6,3.1 - 8.9 (585),2011-2013
Shelby,IA,4.6,3.1 - 8.9 (585),2011-2013
Jackson,MN,4.6,3.1 - 8.9 (585),2011-2013
Custer,NE,4.6,3.1 - 8.9 (585),2011-2013
Charles Mix,SD,4.6,3.1 - 8.9 (585),2011-2013
Los Alamos,NM,4.7,3.1 - 8.9 (585),2011-2013
Butler,NE,4.8,3.1 - 8.9 (585),2011-2013
Bonner,ID,4.8,3.1 - 8.9 (585),2011-2013
Yuma,CO,4.9,3.1 - 8.9 (585),2011-2013
Boone,IA,4.9,3.1 - 8.9 (585),2011-2013
Kossuth,IA,4.9,3.1 - 8.9 (585),2011-2013
Lake,MT,4.9,3.1 - 8.9 (585),2011-2013
Oxford,ME,4.9,3.1 - 8.9 (585),2011-2013
Lincoln,NM,4.9,3.1 - 8.9 (585),2011-2013
Hood River,OR,4.9,3.1 - 8.9 (585),2011-2013
Lake,OR,4.9,3.1 - 8.9 (585),2011-2013
Beadle,SD,4.9,3.1 - 8.9 (585),2011-2013
Hutchinson,SD,4.9,3.1 - 8.9 (585),2011-2013
Platte,WY,4.9,3.1 - 8.9 (585),2011-2013
Washakie,WY,5.0,3.1 - 8.9 (585),2011-2013
Polk,WI,5.0,3.1 - 8.9 (585),2011-2013
Dawson,MT,5.0,3.1 - 8.9 (585),2011-2013
Dawson,NE,5.0,3.1 - 8.9 (585),2011-2013
Fergus,MT,5.1,3.1 - 8.9 (585),2011-2013
White Pine,NV,5.1,3.1 - 8.9 (585),2011-2013
Hamilton,IA,5.1,3.1 - 8.9 (585),2011-2013
Marion,IA,5.1,3.1 - 8.9 (585),2011-2013
Mitchell,IA,5.1,3.1 - 8.9 (585),2011-2013
Cabo Rojo,PR,5.1,3.1 - 8.9 (585),2011-2013
San Juan,PR,5.2,3.1 - 8.9 (585),2011-2013
Goshen,WY,5.2,3.1 - 8.9 (585),2011-2013
Okanogan,WA,5.2,3.1 - 8.9 (585),2011-2013
Addison,VT,5.2,3.1 - 8.9 (585),2011-2013
Idaho,ID,5.2,3.1 - 8.9 (585),2011-2013
Siskiyou,CA,5.2,3.1 - 8.9 (585),2011-2013
Thayer,NE,5.2,3.1 - 8.9 (585),2011-2013
Chowan,NC,5.2,3.1 - 8.9 (585),2011-2013
Potter,PA,5.2,3.1 - 8.9 (585),2011-2013
Richland,MT,5.2,3.1 - 8.9 (585),2011-2013
Nicollet,MN,5.3,3.1 - 8.9 (585),2011-2013
Pitkin,CO,5.3,3.1 - 8.9 (585),2011-2013
Buena Vista,IA,5.3,3.1 - 8.9 (585),2011-2013
Sac,IA,5.3,3.1 - 8.9 (585),2011-2013
Kittitas,WA,5.3,3.1 - 8.9 (585),2011-2013
