County,state,value,range,year
Winneshiek,IA,3.3,3.3 - 8.9 (572),2014-2016
Hood River,OR,3.5,3.3 - 8.9 (572),2014-2016
Orleans,VT,3.6,3.3 - 8.9 (572),2014-2016
Caledonia,VT,3.6,3.3 - 8.9 (572),2014-2016
Union,IA,3.7,3.3 - 8.9 (572),2014-2016
Clearwater,ID,3.9,3.3 - 8.9 (572),2014-2016
Montezuma,CO,3.9,3.3 - 8.9 (572),2014-2016
Park,MT,3.9,3.3 - 8.9 (572),2014-2016
Brown,MN,3.9,3.3 - 8.9 (572),2014-2016
Cherokee,IA,4.0,3.3 - 8.9 (572),2014-2016
Shelby,IA,4.1,3.3 - 8.9 (572),2014-2016
Union,OR,4.2,3.3 - 8.9 (572),2014-2016
Transylvania,NC,4.2,3.3 - 8.9 (572),2014-2016
Colfax,NM,4.2,3.3 - 8.9 (572),2014-2016
Keith,NE,4.3,3.3 - 8.9 (572),2014-2016
Jefferson,NE,4.3,3.3 - 8.9 (572),2014-2016
Mono,CA,4.3,3.3 - 8.9 (572),2014-2016
Whitman,WA,4.3,3.3 - 8.9 (572),2014-2016
Bonner,ID,4.5,3.3 - 8.9 (572),2014-2016
Howard,IA,4.6,3.3 - 8.9 (572),2014-2016
Latah,ID,4.6,3.3 - 8.9 (572),2014-2016
Kossuth,IA,4.7,3.3 - 8.9 (572),2014-2016
Cuming,NE,4.7,3.3 - 8.9 (572),2014-2016
Butler,NE,4.7,3.3 - 8.9 (572),2014-2016
Redwood,MN,4.7,3.3 - 8.9 (572),2014-2016
Oxford,ME,4.8,3.3 - 8.9 (572),2014-2016
Box Butte,NE,4.8,3.3 - 8.9 (572),2014-2016
Park,WY,4.8,3.3 - 8.9 (572),2014-2016
Iowa,WI,4.8,3.3 - 8.9 (572),2014-2016
Grand,UT,4.8,3.3 - 8.9 (572),2014-2016
Fergus,MT,4.9,3.3 - 8.9 (572),2014-2016
Macon,NC,4.9,3.3 - 8.9 (572),2014-2016
Inyo,CA,4.9,3.3 - 8.9 (572),2014-2016
Eagle,CO,5.0,3.3 - 8.9 (572),2014-2016
Ashe,NC,5.0,3.3 - 8.9 (572),2014-2016
Wallowa,OR,5.0,3.3 - 8.9 (572),2014-2016
Platte,WY,5.0,3.3 - 8.9 (572),2014-2016
Johnson,WY,5.0,3.3 - 8.9 (572),2014-2016
Taylor,WI,5.0,3.3 - 8.9 (572),2014-2016
Custer,NE,5.1,3.3 - 8.9 (572),2014-2016
Lucas,IA,5.1,3.3 - 8.9 (572),2014-2016
Custer,MT,5.2,3.3 - 8.9 (572),2014-2016
Crawford,WI,5.2,3.3 - 8.9 (572),2014-2016
Richland,WI,5.3,3.3 - 8.9 (572),2014-2016
Addison,VT,5.3,3.3 - 8.9 (572),2014-2016
Millard,UT,5.3,3.3 - 8.9 (572),2014-2016
Wabasha,MN,5.3,3.3 - 8.9 (572),2014-2016
Madison,MT,5.4,3.3 - 8.9 (572),2014-2016
Ravalli,MT,5.4,3.3 - 8.9 (572),2014-2016
Red Willow,NE,5.4,3.3 - 8.9 (572),2014-2016
Marion,IA,5.4,3.3 - 8.9 (572),2014-2016
Cass,IA,5.4,3.3 - 8.9 (572),2014-2016
Minidoka,ID,5.4,3.3 - 8.9 (572),2014-2016
Mitchell,KS,5.4,3.3 - 8.9 (572),2014-2016
Yuma,CO,5.4,3.3 - 8.9 (572),2014-2016
Rusk,WI,5.4,3.3 - 8.9 (572),2014-2016
Lincoln,WY,5.4,3.3 - 8.9 (572),2014-2016
Chaffee,CO,5.5,3.3 - 8.9 (572),2014-2016
Siskiyou,CA,5.5,3.3 - 8.9 (572),2014-2016
Adams,IN,5.5,3.3 - 8.9 (572),2014-2016
Calhoun,IA,5.5,3.3 - 8.9 (572),2014-2016
Clarke,IA,5.5,3.3 - 8.9 (572),2014-2016
Mahaska,IA,5.5,3.3 - 8.9 (572),2014-2016
Fillmore,NE,5.5,3.3 - 8.9 (572),2014-2016
Lake,MT,5.5,3.3 - 8.9 (572),2014-2016
Lincoln,NM,5.5,3.3 - 8.9 (572),2014-2016
Allamakee,IA,5.6,3.3 - 8.9 (572),2014-2016
Crawford,IA,5.6,3.3 - 8.9 (572),2014-2016
